Date,Open,High,Low,Close,Volume,Adj Close
2015-04-30,3.08,3.13,3.02,3.02,12621000,3.02
2015-04-29,3.08,3.11,3.07,3.09,569700,3.09
2015-04-28,3.08,3.12,3.07,3.11,607500,3.11
2015-04-27,3.07,3.14,3.07,3.09,389700,3.09
2015-04-24,3.15,3.15,3.055,3.06,864600,3.06
2015-04-23,3.12,3.145,3.07,3.14,429000,3.14
2015-04-22,3.05,3.10,3.03,3.08,560100,3.08
2015-04-21,3.07,3.10,3.05,3.06,439200,3.06
2015-04-20,3.08,3.12,3.06,3.10,283300,3.10
2015-04-17,3.10,3.11,3.06,3.06,211300,3.06
2015-04-16,3.10,3.17,3.10,3.12,234300,3.12
2015-04-15,3.07,3.145,3.07,3.12,386600,3.12
2015-04-14,3.04,3.07,3.04,3.07,361000,3.07
2015-04-13,3.04,3.05,3.00,3.04,1355800,3.04
2015-04-10,3.07,3.07,3.04,3.05,176600,3.05
2015-04-09,3.04,3.07,3.03,3.06,327100,3.06
2015-04-08,3.05,3.09,3.05,3.05,326500,3.05
2015-04-07,3.01,3.095,3.00,3.06,938900,3.06
2015-04-06,2.99,3.02,2.985,3.00,639400,3.00
2015-04-03,2.99,2.99,2.99,2.99,000,2.99
2015-04-02,2.98,3.02,2.98,2.99,1067900,2.99
2015-04-01,2.97,2.99,2.95,2.99,202700,2.99
2015-03-31,2.97,2.97,2.93,2.96,288500,2.96
2015-03-30,2.9327,2.98,2.93,2.97,174600,2.97
2015-03-27,2.9327,2.95,2.90,2.95,288300,2.95
2015-03-26,2.91,2.95,2.86,2.94,596900,2.94
2015-03-25,3.00,3.01,2.90,2.93,1390300,2.93
2015-03-24,2.98,3.01,2.98,3.00,756000,3.00
2015-03-23,3.00,3.01,2.98,2.98,446900,2.98
2015-03-20,2.98,3.00,2.97,3.00,784600,3.00
2015-03-19,2.98,2.99,2.96,2.98,219300,2.98
2015-03-18,2.94,2.99,2.93,2.98,409700,2.98
2015-03-17,2.96,2.99,2.92,2.97,361900,2.97
2015-03-16,3.00,3.00,2.94,2.95,565200,2.95
2015-03-13,2.96,3.00,2.94,3.00,594900,3.00
2015-03-12,2.94,3.00,2.94,2.97,3071900,2.97
2015-03-11,2.91,2.96,2.91,2.92,990600,2.92
2015-03-10,2.96,2.98,2.90,2.91,662400,2.91
2015-03-09,3.01,3.02,2.97,2.97,637600,2.97
2015-03-06,2.99,3.02,2.99,3.01,790100,3.01
2015-03-05,3.01,3.025,2.99,3.00,1179300,3.00
2015-03-04,3.00,3.03,2.98,3.02,1352800,3.02
2015-03-03,2.98,3.01,2.98,3.00,1299000,3.00
2015-03-02,2.9754,3.00,2.96,3.00,978800,3.00
2015-02-27,2.9421,2.98,2.9421,2.95,616100,2.95
