Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,7.46,7.47,7.25,7.38,6300,7.38
2015-08-06,7.71,7.71,7.30,7.48,11700,7.48
2015-08-05,7.94,8.04,7.67,7.82,5300,7.82
2015-08-04,7.89,7.96,7.65,7.87,3000,7.87
2015-08-03,8.08,8.08,7.799,7.93,13800,7.93
2015-07-31,8.42,8.42,8.10,8.11,5800,8.11
2015-07-30,7.77,8.55,7.71,8.51,16400,8.51
2015-07-29,7.95,7.95,7.68,7.78,3400,7.78
2015-07-28,7.93,7.93,7.64,7.79,6700,7.79
2015-07-27,7.85,7.99,7.85,7.99,10100,7.99
2015-07-24,8.11,8.11,7.58,7.75,17300,7.75
2015-07-23,8.30,8.43,8.08,8.16,13400,8.16
2015-07-22,7.70,8.17,7.38,8.10,24200,8.10
2015-07-21,7.74,7.78,7.37,7.46,6600,7.46
2015-07-20,7.81,7.84,7.63,7.82,6300,7.82
2015-07-17,7.77,7.77,7.51,7.66,6500,7.66
2015-07-16,7.93,7.95,7.685,7.74,9900,7.74
2015-07-15,8.08,8.08,7.91,7.975,8300,7.975
2015-07-14,8.16,8.31,8.05,8.10,12900,8.10
2015-07-13,8.10,8.32,8.10,8.23,6300,8.23
2015-07-10,8.59,8.59,8.01,8.08,20200,8.08
2015-07-09,8.29,8.48,7.935,8.27,8700,8.27
2015-07-08,8.46,8.77,7.89,8.23,8600,8.23
2015-07-07,7.17,8.575,7.17,8.575,28200,8.575
2015-07-06,8.25,8.25,7.84,8.20,27000,8.20
2015-07-02,8.10,8.35,7.85,8.25,37200,8.25
2015-07-01,8.35,8.47,8.10,8.12,45100,8.12
2015-06-30,8.50,8.50,8.22,8.35,25500,8.35
2015-06-29,8.86,8.86,8.36,8.48,47100,8.48
2015-06-26,8.92,9.08,8.90,9.00,9500,9.00
2015-06-25,9.49,9.99,8.90,9.00,21700,9.00
2015-06-24,9.20,9.47,9.20,9.405,8900,9.405
2015-06-23,8.92,9.25,8.92,9.14,13400,9.14
2015-06-22,8.90,9.09,8.90,9.01,17000,9.01
2015-06-19,9.00,9.22,8.81,9.13,29300,9.13
2015-06-18,8.76,8.93,8.66,8.82,16000,8.82
2015-06-17,9.08,9.08,8.81,8.88,21700,8.88
2015-06-16,8.94,9.48,8.85,8.93,18300,8.93
2015-06-15,9.41,9.41,9.06,9.07,11400,9.07
2015-06-12,9.05,9.47,8.81,9.41,18800,9.41
2015-06-11,9.77,9.77,8.78,9.25,205000,9.25
2015-06-10,10.02,10.18,9.60,9.74,25300,9.74
2015-06-09,10.41,10.47,10.00,10.10,23600,10.10
2015-06-08,10.48,10.53,10.23,10.46,23600,10.46
2015-06-05,10.46,10.47,10.25,10.38,22300,10.38
2015-06-04,10.47,10.63,10.405,10.46,34000,10.46
2015-06-03,10.60,10.65,10.40,10.60,19000,10.60
2015-06-02,10.29,10.54,10.29,10.50,14100,10.50
2015-06-01,10.30,10.83,10.30,10.45,25600,10.45
2015-05-29,10.03,10.30,10.03,10.30,28600,10.30
2015-05-28,10.00,10.25,9.91,10.22,29400,10.22
2015-05-27,9.76,10.09,9.582,10.09,54100,10.09
2015-05-26,9.60,9.95,9.36,9.52,25800,9.52
2015-05-22,9.56,9.59,9.24,9.59,45900,9.59
2015-05-21,9.16,9.56,9.15,9.56,37700,9.56
2015-05-20,9.20,9.20,9.02,9.10,4000,9.10
2015-05-19,9.12,9.24,8.96,9.12,32900,9.12
2015-05-18,9.05,9.23,9.05,9.19,28400,9.19
2015-05-15,8.88,9.00,8.85,9.00,6900,9.00
2015-05-14,9.10,9.10,8.85,8.87,11100,8.87
2015-05-13,9.00,9.09,8.80,9.07,13400,9.07
2015-05-12,8.61,8.91,8.61,8.85,10200,8.85
2015-05-11,8.97,9.17,8.67,8.67,21000,8.67
2015-05-08,9.18,9.18,8.95,9.05,7900,9.05
2015-05-07,9.18,9.18,8.61,9.08,12000,9.08
2015-05-06,9.00,9.00,8.92,8.95,18200,8.95
2015-05-05,8.79,9.00,8.70,8.99,319700,8.99
2015-05-04,8.80,8.94,8.80,8.80,9800,8.80
2015-05-01,9.05,9.06,8.81,8.87,11900,8.87
2015-04-30,8.91,9.16,8.50,9.06,39300,9.06
2015-04-29,8.91,8.99,8.91,8.92,3400,8.92
2015-04-28,8.94,9.00,8.90,8.97,13600,8.97
2015-04-27,9.12,9.12,8.86,8.99,12200,8.99
2015-04-24,9.18,9.24,9.14,9.16,6400,9.16
2015-04-23,8.92,9.21,8.89,9.21,6700,9.21
2015-04-22,9.21,9.21,8.82,8.92,18300,8.92
2015-04-21,9.10,9.20,9.02,9.16,7900,9.16
2015-04-20,9.12,9.20,9.02,9.20,10500,9.20
2015-04-17,9.19,9.30,9.02,9.18,35700,9.18
2015-04-16,9.36,9.40,9.11,9.25,324900,9.25
2015-04-15,9.01,9.47,9.01,9.255,36800,9.255
2015-04-14,8.49,9.18,8.49,8.83,95400,8.83
2015-04-13,8.72,8.75,8.41,8.60,67900,8.60
2015-04-10,8.85,8.85,8.59,8.75,18100,8.75
2015-04-09,8.72,8.86,8.651,8.75,38700,8.75
2015-04-08,8.70,8.86,8.50,8.83,88600,8.83
2015-04-07,8.44,8.76,8.43,8.68,51200,8.68
2015-04-06,7.65,8.38,7.65,8.35,43300,8.35
2015-04-02,7.05,7.70,7.05,7.65,271500,7.65
2015-04-01,7.08,7.08,6.85,7.08,543600,7.08
2015-03-31,6.96,7.20,6.87,7.20,9400,7.20
2015-03-30,7.05,7.06,6.88,7.05,21900,7.05
2015-03-27,6.88,7.03,6.85,7.01,5100,7.01
2015-03-26,6.88,7.00,6.84,7.00,8800,7.00
2015-03-25,7.11,7.14,6.99,7.04,8300,7.04
2015-03-24,7.02,7.20,7.00,7.14,33400,7.14
2015-03-23,6.99,7.02,6.95,7.01,12100,7.01
2015-03-20,7.02,7.09,6.80,7.01,29000,7.01
2015-03-19,6.91,6.99,6.91,6.94,12500,6.94
2015-03-18,6.98,7.055,6.87,6.93,24700,6.93
2015-03-17,6.983,7.07,6.97,7.01,14900,7.01
2015-03-16,7.15,7.25,7.00,7.10,19000,7.10
2015-03-13,6.94,7.18,6.94,7.09,20900,7.09
2015-03-12,7.09,7.09,6.91,7.00,14000,7.00
2015-03-11,7.11,7.23,7.01,7.13,16900,7.13
2015-03-10,7.23,7.26,7.00,7.15,24700,7.15
2015-03-09,7.63,7.63,7.00,7.32,32000,7.32
2015-03-06,7.35,7.78,7.35,7.60,23100,7.60
2015-03-05,7.55,7.65,7.29,7.41,163000,7.41
2015-03-04,7.38,7.89,7.35,7.60,117000,7.60
2015-03-03,8.00,8.02,7.36,7.57,100800,7.57
2015-03-02,8.23,8.23,8.01,8.02,18300,8.02
2015-02-27,8.19,8.39,8.18,8.29,15400,8.29
2015-02-26,8.29,8.29,8.00,8.18,33900,8.18
2015-02-25,8.13,8.40,8.00,8.29,77300,8.29
2015-02-24,7.85,8.00,7.37,7.84,98400,7.84
2015-02-23,7.07,7.855,7.02,7.79,104800,7.79
2015-02-20,6.60,7.07,6.20,7.06,49700,7.06
2015-02-19,6.28,6.81,5.75,6.58,140500,6.58
2015-02-18,6.91,7.40,6.51,6.91,469500,6.91
2015-02-17,5.88,6.95,5.88,6.895,130600,6.895
2015-02-13,5.69,6.25,5.51,5.68,100800,5.68
2015-02-12,5.68,5.86,5.42,5.70,89700,5.70
2015-02-11,5.95,5.95,5.38,5.64,300300,5.64
2015-02-10,6.02,6.14,5.89,5.90,45900,5.90
2015-02-09,6.10,6.40,6.00,6.01,53000,6.01
2015-02-06,5.50,6.55,5.50,6.18,127700,6.18
2015-02-05,6.58,6.62,6.44,6.45,125200,6.45
2015-02-04,6.78,6.78,6.53,6.58,70600,6.58
2015-02-03,6.76,6.95,6.76,6.84,16700,6.84
2015-02-02,6.85,7.07,6.66,6.75,10500,6.75
2015-01-30,6.83,6.92,6.71,6.87,10200,6.87
2015-01-29,6.80,6.882,6.75,6.82,67500,6.82
2015-01-28,7.10,7.10,6.82,6.90,17900,6.90
2015-01-27,7.055,7.07,7.015,7.05,6100,7.05
2015-01-26,7.001,7.10,7.00,7.02,7600,7.02
2015-01-23,7.02,7.239,7.00,7.09,17100,7.09
2015-01-22,7.07,7.13,7.00,7.00,4700,7.00
2015-01-21,7.17,7.19,7.00,7.00,5700,7.00
2015-01-20,7.10,7.26,7.06,7.20,8100,7.20
2015-01-16,7.16,7.18,7.10,7.18,3800,7.18
2015-01-15,7.25,7.29,7.143,7.19,12200,7.19
2015-01-14,7.30,7.37,7.25,7.25,8700,7.25
2015-01-13,7.26,7.403,7.25,7.27,6200,7.27
2015-01-12,7.44,7.44,7.26,7.26,8100,7.26
2015-01-09,7.40,7.46,7.33,7.43,8400,7.43
2015-01-08,7.25,7.47,7.25,7.42,12800,7.42
2015-01-07,7.27,7.48,7.26,7.26,3400,7.26
2015-01-06,7.34,7.48,7.27,7.28,8400,7.28
2015-01-05,7.69,7.744,7.40,7.469,13700,7.469
2015-01-02,7.60,7.69,7.54,7.68,4100,7.68
2014-12-31,7.28,7.674,7.28,7.64,36400,7.64
2014-12-30,7.21,7.69,7.05,7.53,71300,7.53
2014-12-29,7.37,7.39,7.22,7.29,28600,7.29
2014-12-26,7.29,7.61,7.21,7.55,40200,7.55
2014-12-24,7.44,7.55,7.22,7.48,44000,7.48
2014-12-23,7.50,7.55,7.38,7.49,16000,7.49
2014-12-22,7.38,7.70,7.31,7.59,23100,7.59
2014-12-19,7.06,7.76,6.962,7.76,26000,7.76
2014-12-18,7.31,7.31,6.90,7.07,27100,7.07
2014-12-17,6.64,7.13,6.64,7.02,36100,7.02
2014-12-16,7.76,7.76,6.69,6.75,17700,6.75
2014-12-15,7.83,7.90,7.67,7.76,42200,7.76
2014-12-12,7.85,8.01,7.73,8.00,28400,8.00
2014-12-11,7.84,7.86,7.63,7.79,22200,7.79
2014-12-10,7.61,7.97,7.56,7.95,18800,7.95
2014-12-09,7.95,8.12,7.56,7.76,23000,7.76
2014-12-08,8.26,8.40,7.95,7.95,21200,7.95
2014-12-05,8.23,8.33,7.90,8.33,31200,8.33
2014-12-04,7.92,8.335,7.89,8.335,85200,8.335
2014-12-03,7.95,8.00,7.90,7.96,24800,7.96
2014-12-02,8.07,8.15,7.90,7.99,68800,7.99
2014-12-01,7.99,8.19,7.73,8.02,29000,8.02
2014-11-28,8.17,8.23,7.31,8.15,49200,8.15
2014-11-26,8.16,8.26,8.05,8.20,16100,8.20
2014-11-25,8.26,8.26,8.05,8.12,24900,8.12
2014-11-24,8.50,8.51,8.23,8.23,28500,8.23
2014-11-21,8.65,8.70,8.32,8.38,60900,8.38
2014-11-20,8.43,8.64,8.00,8.57,128100,8.57
2014-11-19,8.75,8.75,8.05,8.40,54100,8.40
2014-11-18,8.45,8.54,8.08,8.25,49300,8.25
2014-11-17,7.88,8.64,7.323,8.36,283400,8.36
2014-11-14,7.11,7.50,6.95,7.27,57500,7.27
2014-11-13,6.50,7.27,6.50,7.01,69100,7.01
2014-11-12,6.55,6.70,6.35,6.67,23400,6.67
2014-11-11,6.81,6.86,6.40,6.56,31300,6.56
2014-11-10,6.78,6.90,6.70,6.87,17100,6.87
2014-11-07,6.75,6.86,6.70,6.84,4900,6.84
2014-11-06,6.68,6.90,6.61,6.75,12900,6.75
2014-11-05,6.65,6.79,6.60,6.75,8700,6.75
2014-11-04,6.66,6.90,6.44,6.65,27500,6.65
2014-11-03,6.55,6.80,6.34,6.80,41700,6.80
2014-10-31,6.61,6.67,6.46,6.60,12000,6.60
2014-10-30,6.50,6.60,6.37,6.53,31800,6.53
2014-10-29,6.48,6.50,6.37,6.49,19500,6.49
2014-10-28,6.55,6.55,6.44,6.48,15500,6.48
2014-10-27,6.48,6.50,6.35,6.44,30500,6.44
2014-10-24,6.69,6.69,6.44,6.56,9400,6.56
2014-10-23,6.68,6.99,6.51,6.70,30500,6.70
2014-10-22,6.60,6.82,6.51,6.68,27000,6.68
2014-10-21,6.63,6.65,6.45,6.55,59300,6.55
2014-10-20,6.70,7.12,6.40,6.43,80800,6.43
