Date,Open,High,Low,Close,Volume,Adj Close
2015-03-26,8.59,8.59,8.59,8.59,000,8.59
2015-03-25,8.60,8.60,8.59,8.59,116900,8.59
2015-03-24,8.60,8.60,8.59,8.59,112900,8.59
2015-03-23,8.60,8.60,8.583,8.60,247500,8.60
2015-03-20,8.60,8.60,8.59,8.60,231500,8.60
2015-03-19,8.595,8.60,8.59,8.60,169400,8.60
2015-03-18,8.59,8.60,8.58,8.60,289900,8.60
2015-03-17,8.59,8.60,8.58,8.60,363300,8.60
2015-03-16,8.58,8.60,8.57,8.60,460200,8.60
2015-03-13,8.58,8.59,8.56,8.58,1102900,8.58
2015-03-12,8.57,8.58,8.565,8.58,162900,8.58
2015-03-11,8.57,8.57,8.56,8.56,201300,8.56
2015-03-10,8.56,8.58,8.55,8.56,1448900,8.56
2015-03-09,8.57,8.58,8.56,8.56,509000,8.56
2015-03-06,8.57,8.59,8.56,8.56,819800,8.56
2015-03-05,8.57,8.58,8.56,8.57,98800,8.57
2015-03-04,8.57,8.57,8.56,8.56,369300,8.56
2015-03-03,8.57,8.5701,8.56,8.56,116800,8.56
2015-03-02,8.57,8.58,8.56,8.57,234000,8.57
2015-02-27,8.57,8.58,8.56,8.57,258200,8.57
2015-02-26,8.57,8.57,8.555,8.57,421000,8.57
2015-02-25,8.57,8.58,8.56,8.56,156500,8.56
2015-02-24,8.57,8.59,8.55,8.56,243900,8.56
2015-02-23,8.5601,8.57,8.55,8.56,244700,8.56
2015-02-20,8.58,8.59,8.55,8.55,417100,8.55
2015-02-19,8.59,8.60,8.56,8.57,215300,8.57
2015-02-18,8.59,8.59,8.55,8.59,218900,8.59
2015-02-17,8.57,8.61,8.54,8.59,1582200,8.59
2015-02-16,8.55,8.55,8.55,8.55,000,8.55
2015-02-13,8.57,8.58,8.545,8.55,957800,8.55
2015-02-12,8.58,8.58,8.55,8.56,306700,8.56
2015-02-11,8.57,8.57,8.54,8.54,532000,8.54
2015-02-10,8.59,8.59,8.54,8.56,804700,8.56
2015-02-09,8.60,8.60,8.57,8.59,1079800,8.59
2015-02-06,8.53,8.60,8.53,8.60,1194900,8.60
2015-02-05,8.54,8.60,8.51,8.54,10930400,8.54
2015-02-04,6.20,6.21,6.01,6.11,176400,6.11
2015-02-03,6.09,6.21,6.01,6.10,221100,6.10
2015-02-02,5.91,6.044,5.711,5.97,254300,5.97
2015-01-30,6.15,6.15,5.80,5.89,409900,5.89
2015-01-29,5.86,6.08,5.65,6.03,507000,6.03
2015-01-28,6.33,6.42,5.88,5.95,361200,5.95
2015-01-27,6.72,6.76,6.25,6.40,371200,6.40
2015-01-26,6.78,7.10,6.77,6.87,260800,6.87
2015-01-23,6.05,6.85,6.00,6.81,462500,6.81
2015-01-22,6.09,6.13,5.84,6.03,277800,6.03
2015-01-21,6.43,6.67,6.02,6.07,540700,6.07
2015-01-20,6.50,6.80,6.35,6.55,560500,6.55
2015-01-19,6.72,6.72,6.72,6.72,000,6.72
2015-01-16,6.29,7.78,6.02,6.72,4798300,6.72
2015-01-15,5.79,5.897,5.45,5.47,487900,5.47
2015-01-14,5.841,5.91,5.75,5.80,458100,5.80
2015-01-13,5.95,6.0748,5.7501,5.91,992900,5.91
2015-01-12,5.5607,6.00,5.51,6.00,900400,6.00
2015-01-09,5.40,5.8099,5.21,5.65,4129600,5.65
2015-01-08,8.56,8.85,8.46,8.81,249500,8.81
2015-01-07,8.70,8.775,8.37,8.51,280200,8.51
2015-01-06,8.95,8.96,8.443,8.62,480100,8.62
2015-01-05,9.23,9.42,8.58,8.93,347500,8.93
2015-01-02,9.59,9.68,9.11,9.29,140100,9.29
2015-01-01,9.61,9.61,9.61,9.61,000,9.61
2014-12-31,9.26,9.72,9.18,9.61,212400,9.61
2014-12-30,9.87,9.93,9.18,9.26,151400,9.26
2014-12-29,9.72,9.88,9.60,9.73,361600,9.73
2014-12-26,9.46,9.82,9.33,9.73,143700,9.73
2014-12-25,9.37,9.37,9.37,9.37,000,9.37
2014-12-24,9.40,9.47,9.24,9.37,55400,9.37
2014-12-23,9.27,9.847,9.27,9.39,213900,9.39
2014-12-22,9.33,9.577,9.24,9.39,237800,9.39
2014-12-19,8.92,9.39,8.92,9.32,431500,9.32
2014-12-18,9.18,9.30,8.91,9.04,299700,9.04
2014-12-17,7.9864,9.06,7.89,8.99,243500,8.99
2014-12-16,7.79,7.99,7.53,7.90,283500,7.90
2014-12-15,7.49,7.75,7.49,7.64,284300,7.64
2014-12-12,7.45,7.82,7.4192,7.57,339900,7.57
2014-12-11,7.7999,7.95,7.59,7.68,220000,7.68
2014-12-10,7.805,7.85,7.525,7.70,314500,7.70
2014-12-09,7.311,7.85,7.12,7.82,279600,7.82
2014-12-08,7.78,7.80,7.4007,7.46,299200,7.46
2014-12-05,7.40,7.80,7.34,7.75,195600,7.75
2014-12-04,7.30,7.559,7.22,7.28,163200,7.28
2014-12-03,7.462,7.80,7.34,7.44,263000,7.44
2014-12-02,6.84,7.67,6.78,7.56,436000,7.56
2014-12-01,7.24,7.25,6.79,6.82,419500,6.82
2014-11-28,6.91,6.965,6.61,6.73,165400,6.73
2014-11-27,7.02,7.02,7.02,7.02,000,7.02
2014-11-26,6.345,7.30,6.16,7.02,1150700,7.02
2014-11-25,6.32,6.44,6.17,6.20,339800,6.20
2014-11-24,6.37,6.57,6.24,6.32,182600,6.32
2014-11-21,6.42,6.72,6.30,6.46,365500,6.46
2014-11-20,6.19,6.51,6.15,6.48,109400,6.48
2014-11-19,6.46,6.4875,6.23,6.31,334600,6.31
2014-11-18,6.205,6.50,6.205,6.48,1072100,6.48
2014-11-17,6.62,6.70,6.23,6.30,362300,6.30
2014-11-14,6.57,6.69,6.42,6.66,116800,6.66
2014-11-13,6.63,6.70,6.51,6.55,203500,6.55
2014-11-12,6.19,6.69,6.155,6.63,234300,6.63
2014-11-11,6.28,6.50,6.19,6.36,214200,6.36
2014-11-10,6.23,6.45,6.08,6.30,317700,6.30
2014-11-07,5.84,6.27,5.70,6.23,692900,6.23
2014-11-06,5.67,5.91,5.58,5.88,528300,5.88
2014-11-05,5.52,5.80,5.42,5.66,203900,5.66
2014-11-04,5.62,5.62,5.31,5.43,246800,5.43
2014-11-03,5.65,5.94,5.49,5.55,561000,5.55
2014-10-31,5.89,5.92,5.67,5.84,295400,5.84
2014-10-30,5.668,5.85,5.50,5.72,222800,5.72
2014-10-29,5.83,5.97,5.60,5.62,157700,5.62
2014-10-28,5.708,5.935,5.56,5.89,157500,5.89
2014-10-27,5.916,5.918,5.505,5.64,242700,5.64
2014-10-24,5.882,5.89,5.68,5.80,191500,5.80
2014-10-23,5.632,5.96,5.63,5.87,198400,5.87
2014-10-22,5.88,5.88,5.515,5.61,287400,5.61
2014-10-21,6.114,6.114,5.66,5.81,265900,5.81
2014-10-20,6.29,6.69,5.79,5.85,287700,5.85
2014-10-17,6.434,6.434,5.90,6.13,356200,6.13
