Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,1.46,1.58,1.46,1.47,335800,1.47
2015-08-06,1.44,1.54,1.36,1.50,678600,1.50
2015-08-05,1.62,1.69,1.42,1.46,862100,1.46
2015-08-04,1.65,1.71,1.63,1.65,496400,1.65
2015-08-03,1.89,1.89,1.65,1.72,981500,1.65
2015-07-31,2.02,2.02,1.88,1.91,509000,1.832267
2015-07-30,2.07,2.19,2.00,2.03,507300,1.947384
2015-07-29,1.90,2.07,1.85,2.07,442000,1.985756
2015-07-28,1.82,1.93,1.78,1.89,473700,1.813081
2015-07-27,1.79,1.80,1.71,1.79,421300,1.717151
2015-07-24,1.77,1.83,1.75,1.76,452700,1.688372
2015-07-23,1.81,1.87,1.78,1.80,732100,1.726744
2015-07-22,1.86,1.88,1.77,1.82,501200,1.74593
2015-07-21,1.79,1.97,1.76,1.84,721300,1.765116
2015-07-20,2.00,2.04,1.75,1.84,1886300,1.765116
2015-07-17,2.14,2.14,2.01,2.02,1077500,1.937791
2015-07-16,2.27,2.27,2.15,2.16,440400,2.072093
2015-07-15,2.30,2.32,2.22,2.26,358200,2.168023
2015-07-14,2.33,2.36,2.25,2.31,567600,2.215988
2015-07-13,2.35,2.36,2.30,2.34,286500,2.244767
2015-07-10,2.35,2.42,2.31,2.35,488900,2.25436
2015-07-09,2.35,2.37,2.31,2.35,447300,2.25436
2015-07-08,2.30,2.38,2.30,2.33,374500,2.235174
2015-07-07,2.40,2.44,2.15,2.42,1012100,2.321512
2015-07-06,2.43,2.45,2.39,2.41,477500,2.311919
2015-07-02,2.48,2.54,2.44,2.45,345400,2.350291
2015-07-01,2.50,2.55,2.46,2.48,464600,2.37907
2015-06-30,2.55,2.56,2.49,2.50,505600,2.398256
2015-06-29,2.57,2.59,2.51,2.53,252500,2.427035
2015-06-26,2.55,2.62,2.55,2.59,244000,2.484593
2015-06-25,2.61,2.63,2.56,2.57,191700,2.465407
2015-06-24,2.60,2.63,2.60,2.62,274500,2.513372
2015-06-23,2.53,2.63,2.51,2.61,594200,2.503779
