Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,3.77,3.87,3.76,3.87,800,3.87
2015-08-06,3.95,3.95,3.902,3.902,700,3.902
2015-08-05,3.91,3.91,3.91,3.91,300,3.91
2015-08-04,4.04,4.04,4.039,4.039,1100,4.039
2015-08-03,3.85,4.06,3.844,3.88,7400,3.88
2015-07-31,3.853,3.94,3.85,3.863,1600,3.863
2015-07-30,3.78,3.92,3.78,3.92,1700,3.92
2015-07-29,3.85,3.88,3.83,3.865,3900,3.865
2015-07-28,3.83,3.84,3.73,3.76,3600,3.76
2015-07-27,3.832,3.86,3.832,3.86,2100,3.86
2015-07-24,3.95,3.95,3.86,3.86,5900,3.86
2015-07-23,4.04,4.048,3.942,3.942,4100,3.942
2015-07-22,3.97,4.11,3.96,4.11,5800,4.11
2015-07-21,3.988,4.18,3.988,4.18,4900,4.18
2015-07-20,3.994,3.994,3.98,3.98,1900,3.98
2015-07-17,4.00,4.185,3.95,3.95,5500,3.95
2015-07-16,3.86,3.96,3.86,3.96,2900,3.96
2015-07-15,3.91,3.93,3.86,3.86,4300,3.86
2015-07-14,3.92,3.99,3.92,3.94,3900,3.94
2015-07-13,3.99,3.993,3.99,3.99,4300,3.99
2015-07-10,4.07,4.07,4.03,4.04,3900,4.04
2015-07-09,4.00,4.00,3.90,3.905,9100,3.905
2015-07-08,4.00,4.00,3.97,4.00,6800,4.00
2015-07-07,4.10,4.115,3.85,3.85,20600,3.85
2015-07-06,4.03,4.215,4.03,4.05,3000,4.05
2015-07-02,4.08,4.09,3.99,3.99,5100,3.99
2015-07-01,4.11,4.17,4.039,4.12,9600,4.12
2015-06-30,4.18,4.18,4.03,4.05,7800,4.05
2015-06-29,4.23,4.23,4.04,4.04,4900,4.015
2015-06-26,4.04,4.26,4.04,4.09,9400,4.064691
2015-06-25,4.33,4.39,4.06,4.10,18000,4.074629
2015-06-24,4.335,4.37,4.21,4.32,6300,4.293268
2015-06-23,4.21,4.34,4.20,4.25,8100,4.223701
2015-06-22,4.09,4.23,4.02,4.23,15900,4.203824
2015-06-19,3.92,4.15,3.92,4.15,6000,4.12432
2015-06-18,3.95,4.10,3.90,3.92,10700,3.895743
2015-06-17,4.01,4.10,3.975,3.975,5400,3.950402
2015-06-16,4.00,4.13,3.96,4.00,5000,3.975248
2015-06-15,4.05,4.14,4.00,4.05,3200,4.024938
2015-06-12,4.00,4.16,4.00,4.16,400,4.134257
2015-06-11,4.105,4.105,4.04,4.04,2700,4.015
2015-06-10,3.96,4.11,3.96,4.11,2300,4.084567
2015-06-09,3.95,4.15,3.95,4.15,6800,4.12432
2015-06-08,4.07,4.14,3.84,4.09,7200,4.064691
2015-06-05,4.03,4.07,3.98,4.04,10200,4.015
2015-06-04,3.97,4.032,3.95,4.03,16000,4.005062
2015-06-03,3.86,3.96,3.81,3.96,11200,3.935495
2015-06-02,3.88,3.88,3.77,3.815,2000,3.791392
2015-06-01,3.82,3.87,3.80,3.83,15200,3.8063
