Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.29,0.29,0.25,0.25,1340600,0.25
2015-08-06,0.30,0.31,0.27,0.28,1929400,0.28
2015-08-05,0.32,0.32,0.30,0.31,759800,0.31
2015-08-04,0.31,0.32,0.30,0.31,436800,0.31
2015-08-03,0.31,0.32,0.30,0.30,657300,0.30
2015-07-31,0.31,0.32,0.30,0.31,766500,0.31
2015-07-30,0.33,0.34,0.31,0.32,708800,0.32
2015-07-29,0.31,0.35,0.30,0.34,1384000,0.34
2015-07-28,0.34,0.35,0.31,0.31,558800,0.31
2015-07-27,0.32,0.36,0.32,0.34,1513700,0.34
2015-07-24,0.30,0.32,0.30,0.32,738900,0.32
2015-07-23,0.31,0.33,0.30,0.31,1202900,0.31
2015-07-22,0.34,0.35,0.30,0.32,1845000,0.32
2015-07-21,0.36,0.36,0.34,0.34,1224700,0.34
2015-07-20,0.40,0.40,0.35,0.37,1325800,0.37
2015-07-17,0.45,0.45,0.38,0.40,2774400,0.40
2015-07-16,0.37,0.41,0.35,0.40,2979600,0.40
2015-07-15,0.37,0.37,0.34,0.36,1003700,0.36
2015-07-14,0.37,0.37,0.34,0.37,1330800,0.37
2015-07-13,0.36,0.37,0.33,0.35,1924300,0.35
2015-07-10,0.40,0.41,0.33,0.35,2902900,0.35
2015-07-09,0.40,0.40,0.37,0.38,1905900,0.38
2015-07-08,0.41,0.41,0.34,0.37,3685800,0.37
2015-07-07,0.43,0.44,0.37,0.38,8401600,0.38
2015-07-06,0.52,0.60,0.50,0.58,2310000,0.58
2015-07-02,0.58,0.60,0.50,0.53,4986300,0.53
2015-07-01,0.66,0.66,0.60,0.60,2665600,0.60
2015-06-30,0.83,0.83,0.59,0.62,11366700,0.62
2015-06-29,1.04,1.07,0.96,0.97,657200,0.97
2015-06-26,1.06,1.07,1.04,1.06,229200,1.06
2015-06-25,1.09,1.14,1.06,1.06,283800,1.06
2015-06-24,1.09,1.10,1.08,1.09,149200,1.09
2015-06-23,1.11,1.12,1.08,1.09,234100,1.09
2015-06-22,1.11,1.14,1.11,1.12,127200,1.12
2015-06-19,1.10,1.13,1.08,1.13,310600,1.13
