Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,20.08,20.15,19.200001,19.48,152800,19.48
2015-08-06,19.34,19.959999,19.01,19.950001,108800,19.950001
2015-08-05,20.120001,20.450001,19.610001,19.91,188000,19.342
2015-08-04,20.889999,21.00,20.209999,20.309999,146700,19.730588
2015-08-03,20.57,21.01,20.129999,20.290001,160700,19.71116
2015-07-31,21.01,22.10,20.540001,20.620001,127600,20.031745
2015-07-30,21.459999,21.76,20.700001,21.24,113700,20.634057
2015-07-29,20.459999,21.83,20.379999,21.629999,129800,21.01293
2015-07-28,20.049999,20.92,20.040001,20.719999,118200,20.128891
2015-07-27,20.120001,20.66,20.01,20.16,126900,19.584867
2015-07-24,20.83,21.24,20.02,20.299999,318600,19.720873
2015-07-23,21.290001,21.66,20.709999,20.969999,378100,20.371759
2015-07-22,22.82,22.90,21.040001,21.15,198500,20.546624
2015-07-21,22.969999,23.620001,22.639999,23.030001,149900,22.372992
2015-07-20,23.620001,23.68,22.610001,23.030001,169200,22.372992
2015-07-17,23.540001,23.799999,23.25,23.68,93100,23.004448
2015-07-16,23.74,24.110001,23.459999,23.690001,108800,23.014163
2015-07-15,23.93,23.93,23.389999,23.66,213600,22.985018
2015-07-14,22.959999,24.16,22.280001,23.92,233500,23.237601
2015-07-13,22.639999,23.41,22.450001,23.190001,146100,22.528427
2015-07-10,22.48,22.879999,22.040001,22.60,181800,21.955259
2015-07-09,22.35,22.719999,21.99,22.32,101400,21.683246
2015-07-08,22.139999,22.450001,21.799999,22.17,157500,21.537526
2015-07-07,22.07,22.540001,21.84,22.299999,125900,21.663816
2015-07-06,22.00,22.360001,21.799999,22.24,146300,21.605528
2015-07-02,22.50,22.610001,22.17,22.25,81100,21.615243
2015-07-01,22.52,22.65,22.129999,22.65,102600,22.003832
2015-06-30,22.639999,22.73,22.07,22.50,155500,21.858111
2015-06-29,23.040001,23.040001,22.389999,22.42,93100,21.780394
2015-06-26,22.84,23.24,22.76,23.120001,68100,22.460424
2015-06-25,22.92,23.17,22.77,22.92,56000,22.266129
2015-06-24,23.129999,23.469999,22.91,22.98,61300,22.324417
2015-06-23,23.040001,23.469999,22.879999,23.120001,72200,22.460424
