Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,15.54,15.91,15.54,15.85,25800,15.85
2015-08-06,15.88,15.88,15.67,15.68,9000,15.68
2015-08-05,16.00,16.040001,15.91,15.93,7800,15.93
2015-08-04,15.91,16.08,15.85,15.89,70400,15.89
2015-08-03,16.059999,16.120001,15.80,15.82,9000,15.82
2015-07-31,16.059999,16.139999,16.00,16.120001,22000,16.120001
2015-07-30,15.90,16.110001,15.90,16.09,38300,16.09
2015-07-29,15.80,16.030001,15.42,16.00,28500,16.00
2015-07-28,15.43,15.82,15.36,15.81,36000,15.81
2015-07-27,15.40,15.59,15.37,15.52,11100,15.52
2015-07-24,15.39,15.58,15.36,15.52,14900,15.52
2015-07-23,15.30,15.85,15.30,15.46,18000,15.46
2015-07-22,15.69,15.90,15.69,15.72,8500,15.72
2015-07-21,15.59,15.94,15.59,15.67,16700,15.67
2015-07-20,15.45,15.60,15.45,15.59,45400,15.59
2015-07-17,15.50,15.56,15.31,15.46,39800,15.46
2015-07-16,15.60,15.62,15.50,15.53,27100,15.53
2015-07-15,15.54,15.64,15.54,15.56,16000,15.56
2015-07-14,15.52,15.68,15.40,15.58,31700,15.58
2015-07-13,15.51,15.55,15.36,15.47,14800,15.47
2015-07-10,15.51,15.83,15.34,15.40,18700,15.40
2015-07-09,15.55,15.55,15.25,15.34,27400,15.34
2015-07-08,15.45,15.51,15.31,15.40,21300,15.40
2015-07-07,15.76,15.85,15.44,15.54,13700,15.54
2015-07-06,15.65,15.90,15.64,15.80,18100,15.80
2015-07-02,15.99,16.01,15.65,15.91,31400,15.91
2015-07-01,16.00,16.040001,15.84,15.94,16500,15.94
2015-06-30,16.10,16.209999,15.87,15.87,29600,15.87
2015-06-29,16.08,16.24,15.60,15.95,27400,15.95
2015-06-26,15.78,16.200001,15.64,16.110001,148200,16.110001
2015-06-25,15.75,15.95,15.75,15.88,15500,15.88
2015-06-24,15.59,15.86,15.53,15.75,120500,15.75
2015-06-23,15.60,15.60,15.49,15.54,20000,15.54
2015-06-22,15.30,15.70,15.30,15.69,23000,15.69
2015-06-19,15.08,15.37,15.00,15.25,57500,15.25
2015-06-18,15.29,15.29,15.08,15.12,36900,15.12
2015-06-17,15.40,15.40,15.25,15.25,10000,15.25
2015-06-16,15.20,15.41,15.15,15.40,16200,15.40
2015-06-15,15.09,15.30,14.87,15.26,18200,15.26
2015-06-12,15.18,15.30,14.95,15.20,23900,15.20
2015-06-11,15.19,15.21,15.12,15.20,7400,15.20
2015-06-10,15.11,15.30,15.10,15.12,29600,15.12
2015-06-09,15.08,15.14,14.99,15.01,13100,15.01
2015-06-08,15.12,15.18,15.06,15.12,14600,15.12
2015-06-05,14.75,15.11,14.73,15.09,26300,15.09
2015-06-04,14.78,14.78,14.66,14.71,18200,14.71
2015-06-03,14.69,14.83,14.69,14.81,20600,14.81
2015-06-02,14.55,14.79,14.55,14.65,108400,14.65
2015-06-01,14.69,14.69,14.54,14.58,33400,14.58
2015-05-29,14.58,14.60,14.55,14.58,23500,14.58
2015-05-28,14.59,14.78,14.59,14.62,22100,14.62
2015-05-27,14.62,14.80,14.60,14.70,52200,14.65
2015-05-26,14.70,14.74,14.59,14.63,35200,14.580239
2015-05-22,14.74,14.82,14.57,14.75,26700,14.69983
2015-05-21,14.75,14.81,14.75,14.78,7400,14.729728
2015-05-20,14.76,14.80,14.69,14.77,23200,14.719763
2015-05-19,14.68,14.83,14.67,14.75,47200,14.69983
2015-05-18,14.63,14.75,14.62,14.74,16500,14.689864
2015-05-15,14.85,14.85,14.70,14.70,76700,14.65
2015-05-14,14.75,14.92,14.70,14.89,152200,14.839354
2015-05-13,14.75,14.77,14.70,14.75,16400,14.69983
2015-05-12,14.72,14.75,14.67,14.75,20700,14.69983
2015-05-11,14.73,14.90,14.70,14.85,100400,14.79949
2015-05-08,14.75,14.81,14.68,14.76,42400,14.709796
2015-05-07,14.86,14.92,14.64,14.75,30000,14.69983
2015-05-06,14.89,14.97,14.70,14.93,87100,14.879218
2015-05-05,14.99,15.00,14.75,14.86,29200,14.809456
2015-05-04,15.35,15.35,14.85,15.05,28800,14.99881
2015-05-01,14.90,15.03,14.85,15.02,53400,14.968912
2015-04-30,15.10,15.17,14.77,14.78,46800,14.729728
2015-04-29,15.27,15.35,15.18,15.19,8300,15.138333
2015-04-28,15.41,15.42,15.19,15.25,63100,15.19813
2015-04-27,15.37,15.49,15.11,15.40,50200,15.347619
2015-04-24,15.44,15.45,15.18,15.41,12800,15.357585
2015-04-23,15.12,15.45,15.05,15.43,12000,15.377518
2015-04-22,15.20,15.27,15.17,15.22,2600,15.168232
2015-04-21,15.33,15.33,15.15,15.21,6300,15.158266
2015-04-20,15.18,15.38,15.18,15.38,5000,15.327688
2015-04-17,15.25,15.36,15.07,15.10,16400,15.04864
2015-04-16,15.33,15.43,15.28,15.37,5200,15.317721
2015-04-15,15.34,15.46,15.30,15.44,16800,15.387483
2015-04-14,15.33,15.44,15.21,15.25,10700,15.19813
2015-04-13,15.30,15.30,15.23,15.25,16500,15.19813
2015-04-10,15.51,15.51,15.10,15.23,18100,15.178197
2015-04-09,15.63,15.63,15.30,15.43,12800,15.377518
2015-04-08,15.50,15.64,15.45,15.64,8000,15.586803
2015-04-07,15.49,15.65,15.41,15.53,15800,15.477177
2015-04-06,15.32,15.68,15.32,15.42,7400,15.367551
2015-04-02,15.43,15.56,15.25,15.37,13700,15.317721
2015-04-01,15.25,15.69,15.16,15.43,28200,15.377518
2015-03-31,15.50,15.56,15.21,15.37,28900,15.317721
2015-03-30,15.53,15.70,15.38,15.58,8200,15.527007
2015-03-27,15.58,15.68,15.46,15.51,20600,15.457245
2015-03-26,15.44,15.52,15.42,15.52,11800,15.467212
2015-03-25,15.66,15.69,15.42,15.49,28400,15.437313
2015-03-24,15.49,15.73,15.49,15.65,31900,15.596769
2015-03-23,15.59,15.72,15.58,15.66,12700,15.606735
2015-03-20,15.33,15.69,15.33,15.67,57900,15.616701
2015-03-19,15.18,15.33,15.08,15.31,6200,15.257926
2015-03-18,15.21,15.32,14.98,15.26,22400,15.208096
2015-03-17,15.05,15.33,15.05,15.26,7900,15.208096
2015-03-16,15.23,15.24,15.13,15.23,11400,15.178197
2015-03-13,15.21,15.24,14.92,15.09,14700,15.038674
2015-03-12,14.94,15.25,14.80,15.24,22400,15.188163
2015-03-11,14.92,15.20,14.75,14.76,28400,14.709796
2015-03-10,14.83,14.97,14.83,14.85,16400,14.79949
2015-03-09,14.81,15.01,14.81,14.97,10400,14.919082
2015-03-06,14.75,15.00,14.75,14.76,17700,14.709796
2015-03-05,14.82,14.94,14.75,14.79,14800,14.739694
2015-03-04,14.78,14.85,14.73,14.81,23800,14.759627
2015-03-03,14.98,14.98,14.88,14.88,3100,14.779558
2015-03-02,14.89,15.09,14.88,15.06,17400,14.958343
2015-02-27,14.86,15.00,14.86,14.86,22100,14.759692
