Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,17.74,18.110001,17.74,17.870001,18800,17.870001
2015-08-06,18.139999,18.139999,17.780001,17.85,14800,17.85
2015-08-05,17.84,18.33,17.84,18.139999,18800,18.139999
2015-08-04,18.129999,18.17,17.809999,17.85,27000,17.71
2015-08-03,17.84,18.139999,17.65,17.860001,18400,17.719922
2015-07-31,17.870001,17.950001,17.709999,17.790001,23300,17.650472
2015-07-30,17.700001,17.92,17.59,17.799999,15900,17.660391
2015-07-29,17.700001,18.629999,17.629999,17.68,20600,17.541334
2015-07-28,18.030001,18.030001,17.709999,17.73,22000,17.590941
2015-07-27,17.639999,18.129999,17.48,17.93,9600,17.789373
2015-07-24,18.059999,18.309999,17.83,17.84,22700,17.700079
2015-07-23,18.68,18.68,18.00,18.139999,17200,17.997725
2015-07-22,18.360001,18.559999,18.360001,18.459999,22500,18.315215
2015-07-21,18.450001,18.540001,18.27,18.370001,12800,18.225922
2015-07-20,18.59,18.66,18.190001,18.389999,20200,18.245764
2015-07-17,18.629999,18.68,18.379999,18.51,24700,18.364824
2015-07-16,18.48,18.68,18.469999,18.559999,17500,18.414431
2015-07-15,18.33,18.59,18.299999,18.43,22600,18.285451
2015-07-14,18.26,18.58,18.24,18.40,11500,18.255686
2015-07-13,18.42,18.549999,18.25,18.360001,29900,18.216001
2015-07-10,18.27,18.58,18.23,18.389999,37800,18.245764
2015-07-09,18.16,18.16,17.93,18.110001,14400,17.967961
2015-07-08,18.00,18.030001,17.76,17.85,25300,17.71
2015-07-07,17.969999,18.27,17.690001,18.110001,22900,17.967961
2015-07-06,17.85,18.15,17.719999,18.059999,28000,17.918352
2015-07-02,18.34,18.34,17.91,17.93,19100,17.789373
2015-07-01,18.25,18.48,18.24,18.280001,40100,18.136628
2015-06-30,18.09,18.35,18.09,18.219999,23100,18.077097
2015-06-29,18.299999,18.559999,18.00,18.030001,41800,17.888589
2015-06-26,18.42,18.799999,18.35,18.52,56800,18.374746
2015-06-25,18.200001,18.370001,17.99,18.32,52100,18.176313
2015-06-24,18.18,18.200001,18.059999,18.18,31900,18.037412
2015-06-23,17.90,18.200001,17.85,18.190001,14300,18.047334
2015-06-22,17.950001,18.10,17.639999,18.030001,21800,17.888589
2015-06-19,18.059999,18.27,17.809999,17.870001,97700,17.729844
2015-06-18,17.84,18.110001,17.84,18.00,26700,17.858824
2015-06-17,18.200001,18.200001,17.73,17.799999,29700,17.660391
2015-06-16,17.85,18.120001,17.799999,18.10,31700,17.95804
2015-06-15,17.75,18.23,17.700001,17.90,45400,17.759607
2015-06-12,17.870001,18.07,17.780001,17.91,30900,17.769529
2015-06-11,18.00,18.190001,17.76,17.940001,19400,17.799295
2015-06-10,17.77,18.27,17.77,18.049999,48500,17.908431
2015-06-09,17.639999,17.92,17.52,17.58,19600,17.442118
2015-06-08,17.24,17.959999,17.24,17.68,35200,17.541334
2015-06-05,17.02,17.35,16.91,17.35,20400,17.213922
2015-06-04,17.10,17.190001,16.92,16.940001,14900,16.807138
2015-06-03,17.040001,17.42,16.969999,17.190001,50000,17.055177
2015-06-02,16.780001,17.25,16.65,17.049999,15000,16.916274
2015-06-01,16.790001,16.940001,16.549999,16.809999,24800,16.678156
2015-05-29,16.799999,16.959999,16.50,16.700001,42600,16.56902
2015-05-28,16.98,17.110001,16.76,16.84,17500,16.707922
2015-05-27,16.700001,17.00,16.50,16.950001,22600,16.81706
2015-05-26,16.84,16.889999,16.469999,16.700001,29500,16.56902
2015-05-22,17.02,17.139999,16.85,16.91,34300,16.777372
2015-05-21,17.190001,17.23,16.950001,16.99,17000,16.856745
2015-05-20,17.08,17.24,16.809999,17.110001,46800,16.975805
2015-05-19,16.90,17.10,16.65,16.969999,33500,16.836901
2015-05-18,16.530001,17.049999,16.469999,16.969999,46100,16.836901
2015-05-15,16.65,16.65,16.379999,16.530001,32100,16.400354
2015-05-14,16.700001,16.860001,16.450001,16.73,30600,16.598784
2015-05-13,16.76,16.92,16.530001,16.549999,102700,16.420195
2015-05-12,16.52,16.82,16.43,16.700001,27200,16.56902
2015-05-11,16.48,16.620001,16.43,16.549999,24200,16.420195
2015-05-08,16.549999,16.719999,16.379999,16.459999,22700,16.330901
2015-05-07,16.24,16.540001,16.18,16.42,28400,16.291216
2015-05-06,16.209999,16.540001,16.120001,16.309999,35000,16.182078
2015-05-05,16.42,16.549999,16.200001,16.299999,27400,16.043175
2015-05-04,16.51,16.74,16.42,16.48,94700,16.22034
2015-05-01,16.82,16.82,16.50,16.51,31200,16.249867
2015-04-30,17.00,17.00,16.76,16.76,58800,16.495928
2015-04-29,17.280001,17.389999,17.17,17.17,15900,16.899468
2015-04-28,16.879999,17.40,16.76,17.35,28700,17.076633
2015-04-27,17.059999,17.309999,16.74,16.790001,41300,16.525456
2015-04-24,17.01,17.18,16.959999,17.110001,15100,16.840414
2015-04-23,17.120001,17.23,16.98,17.16,17700,16.889626
2015-04-22,17.290001,17.379999,17.049999,17.27,16300,16.997893
2015-04-21,17.33,17.370001,17.24,17.33,8700,17.056947
2015-04-20,17.139999,17.43,17.07,17.370001,17300,17.096318
2015-04-17,17.43,17.43,17.049999,17.09,23500,16.820729
2015-04-16,17.48,17.620001,17.299999,17.57,12500,17.293166
2015-04-15,17.60,17.65,17.459999,17.60,28300,17.322694
2015-04-14,17.60,17.610001,17.35,17.52,19200,17.243954
2015-04-13,17.629999,17.690001,17.49,17.610001,29900,17.332536
2015-04-10,17.82,17.82,17.540001,17.65,12400,17.371905
2015-04-09,17.700001,17.75,17.41,17.709999,18300,17.430959
2015-04-08,17.75,17.879999,17.49,17.66,45000,17.381748
2015-04-07,17.77,17.799999,17.629999,17.76,21100,17.480172
2015-04-06,17.82,17.860001,17.559999,17.790001,39000,17.5097
2015-04-02,17.93,18.07,17.639999,17.870001,23700,17.58844
2015-04-01,17.440001,18.00,17.41,17.98,35900,17.696705
2015-03-31,17.67,17.709999,17.52,17.530001,26200,17.253797
2015-03-30,17.530001,18.00,17.50,17.83,55100,17.549069
2015-03-27,17.540001,17.799999,17.41,17.50,38800,17.224269
2015-03-26,17.620001,17.65,17.459999,17.559999,48400,17.283323
2015-03-25,17.84,17.84,17.540001,17.629999,34600,17.35222
2015-03-24,17.780001,17.90,17.60,17.85,30600,17.568755
2015-03-23,17.440001,17.950001,17.33,17.870001,69900,17.58844
2015-03-20,17.01,17.50,17.01,17.34,135500,17.06679
2015-03-19,16.860001,17.10,16.84,16.90,44400,16.633722
2015-03-18,16.870001,17.139999,16.51,16.959999,59900,16.692776
2015-03-17,17.02,17.09,16.889999,16.950001,74800,16.682935
2015-03-16,16.809999,17.139999,16.719999,17.139999,54700,16.86994
2015-03-13,16.879999,16.879999,16.58,16.709999,70100,16.446715
2015-03-12,16.65,16.98,16.620001,16.85,86600,16.584511
2015-03-11,16.610001,16.67,16.57,16.620001,47400,16.358135
2015-03-10,16.59,16.65,16.32,16.610001,47500,16.348292
2015-03-09,16.65,16.92,16.639999,16.700001,103400,16.436874
2015-03-06,16.41,16.700001,16.32,16.629999,51000,16.367976
2015-03-05,16.57,16.690001,16.33,16.559999,27800,16.299079
2015-03-04,16.23,16.59,16.23,16.549999,36000,16.289236
2015-03-03,16.49,16.690001,16.35,16.35,143300,16.092389
2015-03-02,16.10,16.60,16.10,16.59,53700,16.328607
2015-02-27,16.129999,16.379999,16.059999,16.08,58900,15.826642
2015-02-26,16.10,16.42,16.07,16.15,47900,15.895539
2015-02-25,16.25,16.49,16.139999,16.139999,59100,15.885696
2015-02-24,16.280001,16.299999,16.219999,16.24,44200,15.984121
2015-02-23,16.17,16.25,16.07,16.219999,71800,15.964436
2015-02-20,16.450001,16.450001,16.110001,16.299999,42700,16.043175
2015-02-19,16.530001,16.68,16.370001,16.389999,20700,16.131757
2015-02-18,16.440001,16.59,16.440001,16.530001,25200,16.269553
2015-02-17,16.43,16.690001,16.360001,16.450001,78000,16.190813
2015-02-13,16.280001,16.49,16.219999,16.33,11000,16.072703
2015-02-12,16.18,16.42,16.16,16.299999,14200,16.043175
2015-02-11,16.120001,16.33,16.059999,16.17,21200,15.915224
2015-02-10,16.360001,16.360001,16.139999,16.209999,27400,15.954593
2015-02-09,16.23,16.50,16.059999,16.18,63700,15.925067
2015-02-06,16.360001,16.60,16.25,16.360001,71000,16.102231
2015-02-05,16.42,16.42,16.17,16.27,89300,16.013649
