Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,7.50,7.75,7.50,7.65,6300,7.65
2015-08-06,7.40,7.45,7.39,7.40,10200,7.40
2015-08-05,7.50,7.58,7.41,7.41,1100,7.41
2015-08-04,7.40,7.40,7.40,7.40,000,7.40
2015-08-03,7.40,7.40,7.39,7.40,2700,7.40
2015-07-31,7.29,7.29,7.29,7.29,000,7.29
2015-07-30,7.29,7.29,7.29,7.29,000,7.29
2015-07-29,7.35,7.35,7.29,7.29,500,7.29
2015-07-28,7.35,7.50,7.20,7.36,15200,7.36
2015-07-27,7.50,7.50,7.49,7.50,2100,7.50
2015-07-24,7.35,7.50,7.35,7.50,4300,7.50
2015-07-23,7.38,7.38,7.35,7.38,900,7.38
2015-07-22,7.35,7.35,7.30,7.30,2500,7.30
2015-07-21,7.30,7.36,7.30,7.31,3400,7.31
2015-07-20,7.30,7.35,7.30,7.30,1000,7.30
2015-07-17,7.35,7.35,7.35,7.35,300,7.35
2015-07-16,7.30,7.30,7.30,7.30,200,7.30
2015-07-15,7.30,7.31,7.30,7.30,17600,7.30
2015-07-14,7.34,7.40,7.30,7.30,1400,7.30
2015-07-13,7.05,7.35,7.05,7.35,3500,7.35
2015-07-10,7.09,7.37,7.07,7.37,2300,7.37
2015-07-09,7.09,7.09,7.09,7.09,100,7.09
2015-07-08,6.95,7.04,6.95,6.98,1200,6.98
2015-07-07,7.00,7.04,7.00,7.04,800,7.04
2015-07-06,7.04,7.05,6.98,6.98,4200,6.98
2015-07-02,7.10,7.10,7.04,7.05,1500,7.05
2015-07-01,6.94,7.23,6.94,7.04,8800,7.04
2015-06-30,7.00,7.05,7.00,7.00,8100,7.00
2015-06-29,7.20,7.20,7.09,7.09,1200,7.09
2015-06-26,7.03,7.50,7.00,7.20,64800,7.20
2015-06-25,7.49,7.49,7.49,7.49,000,7.49
2015-06-24,7.33,7.49,7.31,7.49,9700,7.49
2015-06-23,7.33,7.52,7.30,7.30,1700,7.30
2015-06-22,7.53,8.00,7.52,7.93,4600,7.93
2015-06-19,8.53,9.00,7.66,7.85,54800,7.85
2015-06-18,7.84,8.49,7.84,8.40,19500,8.40
2015-06-17,7.55,7.80,7.28,7.80,16000,7.80
2015-06-16,7.46,7.94,7.42,7.70,14000,7.70
2015-06-15,7.50,7.50,7.41,7.47,14400,7.47
2015-06-12,7.43,7.43,7.16,7.16,2300,7.16
2015-06-11,7.15,7.46,7.15,7.26,4100,7.26
2015-06-10,7.55,7.55,7.28,7.28,2600,7.28
2015-06-09,7.55,7.55,7.32,7.42,900,7.42
2015-06-08,7.55,7.55,7.45,7.54,5200,7.54
2015-06-05,7.50,7.50,7.49,7.49,1200,7.49
2015-06-04,7.15,7.50,7.15,7.50,4000,7.50
2015-06-03,7.20,7.20,7.20,7.20,000,7.20
2015-06-02,7.20,7.20,7.20,7.20,500,7.20
2015-06-01,7.16,7.19,7.16,7.19,300,7.19
2015-05-29,7.49,7.50,7.08,7.50,600,7.50
2015-05-28,7.44,7.44,7.26,7.26,200,7.26
2015-05-27,7.25,7.33,7.25,7.25,6900,7.25
2015-05-26,7.12,7.12,7.02,7.02,500,7.02
2015-05-22,7.28,7.50,7.13,7.50,4900,7.50
2015-05-21,7.30,7.30,6.96,6.96,1000,6.96
2015-05-20,7.30,7.30,7.30,7.30,600,7.30
2015-05-19,7.30,7.30,7.08,7.08,1000,7.08
2015-05-18,7.30,7.30,7.30,7.30,200,7.30
2015-05-15,7.04,7.04,7.04,7.04,2000,7.04
2015-05-14,7.30,7.30,7.04,7.04,200,7.04
2015-05-13,7.29,7.29,7.01,7.01,300,7.01
2015-05-12,7.25,7.30,7.25,7.29,3600,7.29
2015-05-11,7.47,7.47,7.47,7.47,100,7.47
2015-05-08,7.49,7.51,7.49,7.50,5400,7.50
2015-05-07,7.49,7.49,7.49,7.49,200,7.49
2015-05-06,7.00,7.00,7.00,7.00,000,7.00
2015-05-05,7.45,7.45,6.98,7.00,10300,7.00
2015-05-04,7.15,7.45,7.05,7.45,23800,7.45
2015-05-01,6.77,7.14,6.77,7.00,14400,7.00
2015-04-30,6.90,6.90,6.64,6.64,3100,6.64
2015-04-29,6.90,6.96,6.90,6.96,2300,6.96
2015-04-28,6.93,6.93,6.93,6.93,000,6.93
2015-04-27,6.94,7.04,6.86,6.93,11100,6.93
2015-04-24,6.90,7.00,6.83,6.90,4300,6.90
2015-04-23,6.56,6.75,6.56,6.75,400,6.75
2015-04-22,6.89,6.92,6.86,6.86,1700,6.86
2015-04-21,6.87,6.97,6.87,6.89,1000,6.89
2015-04-20,6.86,6.86,6.86,6.86,000,6.86
2015-04-17,6.86,6.86,6.86,6.86,000,6.86
2015-04-16,6.72,6.97,6.72,6.86,5400,6.86
2015-04-15,7.00,7.01,6.76,6.80,10900,6.80
2015-04-14,6.85,6.85,6.85,6.85,000,6.85
2015-04-13,6.75,7.00,6.75,6.85,1900,6.85
2015-04-10,6.98,7.50,6.98,7.00,32100,7.00
2015-04-09,7.00,7.00,7.00,7.00,200,7.00
2015-04-08,6.67,7.01,6.67,7.00,1300,7.00
2015-04-07,7.00,7.05,6.95,6.95,4300,6.95
2015-04-06,6.98,7.24,6.97,6.97,8300,6.97
2015-04-02,6.90,6.90,6.87,6.87,800,6.87
2015-04-01,6.84,6.84,6.84,6.84,000,6.84
2015-03-31,6.54,7.05,6.54,6.84,12300,6.84
2015-03-30,6.84,6.84,6.75,6.75,4700,6.75
2015-03-27,6.63,6.70,6.63,6.70,600,6.70
2015-03-26,6.80,6.80,6.80,6.80,000,6.80
2015-03-25,6.80,6.80,6.80,6.80,100,6.80
2015-03-24,6.99,7.00,6.99,7.00,1000,7.00
2015-03-23,6.77,6.77,6.77,6.77,200,6.77
2015-03-20,6.95,6.98,6.75,6.85,4800,6.85
2015-03-19,6.78,7.00,6.78,6.88,115100,6.88
2015-03-18,6.76,7.00,6.75,7.00,11200,7.00
2015-03-17,6.92,6.92,6.92,6.92,000,6.92
2015-03-16,6.90,6.92,6.90,6.92,900,6.92
2015-03-13,6.77,6.77,6.77,6.77,000,6.77
2015-03-12,6.77,6.77,6.77,6.77,000,6.77
2015-03-11,6.65,7.00,6.65,6.77,1900,6.77
2015-03-10,6.88,6.88,6.88,6.88,000,6.88
2015-03-09,6.88,6.88,6.88,6.88,000,6.88
2015-03-06,6.75,6.90,6.75,6.88,4100,6.88
2015-03-05,6.81,6.81,6.81,6.81,000,6.81
2015-03-04,5.48,6.84,5.48,6.81,13200,6.81
2015-03-03,6.88,6.88,6.76,6.80,1800,6.80
2015-03-02,6.56,6.85,6.56,6.80,2200,6.80
2015-02-27,6.71,6.82,6.61,6.82,5000,6.82
2015-02-26,6.80,6.89,6.80,6.89,4600,6.89
2015-02-25,6.77,6.77,6.77,6.77,000,6.77
2015-02-24,6.76,6.77,6.76,6.77,300,6.77
2015-02-23,6.77,6.77,6.77,6.77,000,6.77
2015-02-20,6.77,6.77,6.77,6.77,000,6.77
2015-02-19,7.00,7.00,6.75,6.77,1100,6.77
2015-02-18,6.53,7.00,6.53,7.00,19900,7.00
