Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,4.71,4.71,4.71,4.71,000,4.71
2015-08-06,4.71,4.71,4.71,4.71,000,4.71
2015-08-05,4.53,4.71,4.53,4.71,10700,4.71
2015-08-04,4.51,4.51,4.51,4.51,000,4.51
2015-08-03,4.56,4.62,4.51,4.51,1400,4.51
2015-07-31,4.56,4.69,4.56,4.60,3600,4.60
2015-07-30,4.54,4.56,4.50,4.56,12000,4.56
2015-07-29,4.33,4.33,4.33,4.33,1000,4.33
2015-07-28,4.40,4.40,4.40,4.40,100,4.40
2015-07-27,4.36,4.42,4.33,4.42,1700,4.42
2015-07-24,4.55,4.55,4.39,4.39,400,4.39
2015-07-23,4.55,4.55,4.50,4.50,1600,4.50
2015-07-22,4.79,4.79,4.79,4.79,000,4.79
2015-07-21,4.79,4.79,4.79,4.79,000,4.79
2015-07-20,4.79,4.79,4.79,4.79,000,4.79
2015-07-17,4.72,4.79,4.72,4.79,6600,4.79
2015-07-16,4.71,4.72,4.70,4.72,1700,4.72
2015-07-15,4.72,4.72,4.72,4.72,000,4.72
2015-07-14,4.61,4.72,4.61,4.72,12200,4.72
2015-07-13,4.53,4.57,4.53,4.57,4200,4.57
2015-07-10,4.53,4.53,4.52,4.52,1200,4.52
2015-07-09,4.58,4.58,4.53,4.53,5600,4.53
2015-07-08,4.72,4.73,4.55,4.55,18200,4.55
2015-07-07,4.67,4.76,4.67,4.75,4000,4.75
2015-07-06,4.72,4.75,4.53,4.53,15700,4.53
2015-07-02,4.34,4.35,4.27,4.35,1800,4.35
2015-07-01,4.24,4.24,4.24,4.24,000,4.24
2015-06-30,4.24,4.24,4.24,4.24,000,4.24
2015-06-29,4.24,4.24,4.24,4.24,100,4.24
2015-06-26,4.27,4.28,4.27,4.28,300,4.28
2015-06-25,4.35,4.35,4.35,4.35,000,4.35
2015-06-24,4.35,4.35,4.35,4.35,000,4.35
2015-06-23,4.26,4.35,4.25,4.35,14500,4.35
2015-06-22,4.26,4.26,4.26,4.26,4700,4.26
2015-06-19,4.29,4.30,4.24,4.24,19800,4.24
2015-06-18,4.35,4.35,4.34,4.34,10100,4.34
2015-06-17,4.23,4.34,4.17,4.34,250200,4.34
2015-06-16,4.33,4.33,4.25,4.25,1500,4.25
2015-06-15,4.32,4.32,4.32,4.32,000,4.32
2015-06-12,4.37,4.37,4.25,4.32,1600,4.32
2015-06-11,4.26,4.26,4.26,4.26,100,4.26
2015-06-10,4.28,4.40,4.27,4.31,4000,4.31
2015-06-09,4.40,4.40,4.40,4.40,600,4.40
2015-06-08,4.30,4.40,4.30,4.40,39600,4.40
2015-06-05,4.38,4.38,4.38,4.38,000,4.37
2015-06-04,4.38,4.38,4.38,4.38,400,4.37
2015-06-03,4.27,4.27,4.27,4.27,500,4.260251
2015-06-02,4.18,4.19,4.18,4.19,7100,4.180434
2015-06-01,4.25,4.25,4.25,4.25,000,4.240297
2015-05-29,4.25,4.35,4.22,4.25,16300,4.240297
2015-05-28,4.27,4.27,4.27,4.27,000,4.260251
2015-05-27,4.30,4.35,4.27,4.27,89200,4.260251
2015-05-26,4.21,4.30,4.21,4.30,14400,4.290183
2015-05-22,4.30,4.30,4.26,4.26,94200,4.250274
2015-05-21,4.27,4.33,4.27,4.33,13100,4.320114
2015-05-20,4.28,4.36,4.28,4.28,4100,4.270229
2015-05-19,4.30,4.39,4.30,4.35,10400,4.340068
2015-05-18,4.28,4.38,4.28,4.28,3400,4.270229
2015-05-15,4.33,4.35,4.28,4.28,2600,4.270229
2015-05-14,4.35,4.35,4.29,4.29,700,4.280205
2015-05-13,4.39,4.39,4.39,4.39,400,4.379977
2015-05-12,4.28,4.39,4.28,4.35,3700,4.340068
2015-05-11,4.40,4.40,4.34,4.34,1300,4.330092
2015-05-08,4.48,4.48,4.40,4.40,4600,4.389954
2015-05-07,4.46,4.46,4.46,4.46,1000,4.449817
2015-05-06,4.50,4.50,4.50,4.50,000,4.489726
2015-05-05,4.50,4.50,4.50,4.50,000,4.489726
