Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,14.40,14.96,13.90,14.02,52100,14.02
2015-08-06,14.34,14.41,14.21,14.24,47800,14.24
2015-08-05,14.48,14.52,14.24,14.26,36600,14.26
2015-08-04,14.43,14.56,14.29,14.36,29900,14.36
2015-08-03,14.61,14.74,14.25,14.54,65300,14.54
2015-07-31,14.50,14.65,14.44,14.65,42100,14.65
2015-07-30,14.67,14.85,14.51,14.51,49400,14.51
2015-07-29,14.35,14.88,14.27,14.81,53800,14.81
2015-07-28,14.26,14.49,14.21,14.35,47900,14.35
2015-07-27,14.65,14.66,14.25,14.28,41700,14.28
2015-07-24,14.61,14.69,14.41,14.41,39100,14.41
2015-07-23,14.99,15.26,14.64,14.70,35000,14.70
2015-07-22,15.21,15.33,14.80,14.92,66200,14.92
2015-07-21,15.27,15.40,15.23,15.30,28200,15.30
2015-07-20,15.41,15.47,15.15,15.16,36400,15.16
2015-07-17,15.24,15.59,15.24,15.51,24900,15.51
2015-07-16,15.42,15.65,15.33,15.35,38400,15.35
2015-07-15,15.52,15.52,15.20,15.47,41800,15.47
2015-07-14,15.27,15.58,15.05,15.51,50100,15.51
2015-07-13,15.37,15.54,15.00,15.41,58400,15.41
2015-07-10,15.04,15.44,14.80,15.40,72600,15.40
2015-07-09,15.05,15.33,14.69,15.09,60500,15.09
2015-07-08,14.74,15.15,14.43,15.10,39500,15.10
2015-07-07,14.61,14.85,14.40,14.73,39100,14.73
2015-07-06,14.79,14.82,14.27,14.45,35000,14.45
2015-07-02,14.98,14.98,14.67,14.79,39200,14.79
2015-07-01,15.12,15.46,14.26,14.96,95800,14.96
2015-06-30,15.60,15.74,14.90,14.90,87100,14.90
2015-06-29,15.53,15.86,15.31,15.51,51000,15.51
2015-06-26,15.74,15.91,15.31,15.85,51400,15.85
2015-06-25,16.25,16.25,15.61,15.64,43300,15.64
2015-06-24,15.62,16.24,15.35,16.18,64800,16.18
2015-06-23,15.91,15.91,15.44,15.71,49000,15.71
2015-06-22,15.61,15.61,15.24,15.49,64100,15.49
2015-06-19,15.68,15.75,15.33,15.33,53400,15.33
2015-06-18,15.60,15.86,15.60,15.81,66300,15.81
2015-06-17,15.79,15.85,15.60,15.62,31600,15.62
2015-06-16,15.73,16.040001,15.66,15.82,29300,15.82
2015-06-15,15.60,15.88,15.60,15.79,27200,15.79
2015-06-12,15.90,15.90,15.61,15.66,49300,15.66
2015-06-11,15.93,15.97,15.80,15.91,25400,15.91
2015-06-10,15.96,16.030001,15.82,15.90,34600,15.90
2015-06-09,15.65,16.07,15.62,15.92,53800,15.92
2015-06-08,16.549999,16.57,16.299999,16.32,69900,15.92
2015-06-05,16.549999,16.620001,16.49,16.620001,42900,16.212648
2015-06-04,16.700001,16.700001,16.379999,16.469999,64700,16.066323
2015-06-03,16.549999,16.719999,16.469999,16.700001,55000,16.290687
2015-06-02,16.49,16.65,16.440001,16.549999,42600,16.144362
2015-06-01,16.58,16.65,16.360001,16.389999,33900,15.988284
2015-05-29,16.629999,16.67,16.40,16.50,43100,16.095589
2015-05-28,16.450001,16.60,16.450001,16.60,55900,16.193138
2015-05-27,16.50,16.75,16.50,16.540001,41100,16.134609
2015-05-26,16.51,16.51,16.40,16.51,40700,16.105344
2015-05-22,16.469999,16.60,16.440001,16.51,29900,16.105344
2015-05-21,16.50,16.639999,16.25,16.40,30100,15.998039
2015-05-20,16.459999,16.620001,16.389999,16.540001,27200,16.134609
2015-05-19,16.389999,16.48,16.25,16.389999,33500,15.988284
2015-05-18,16.389999,16.41,16.290001,16.40,19700,15.998039
