Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,29.059999,29.41,29.049999,29.35,277200,29.35
2015-08-06,29.00,29.51,28.68,29.290001,320800,29.290001
2015-08-05,28.75,29.379999,28.709999,29.07,277300,28.972
2015-08-04,28.92,29.23,28.540001,28.610001,284100,28.513551
2015-08-03,28.93,29.299999,28.50,29.00,410400,28.902236
2015-07-31,28.120001,29.33,28.030001,28.860001,425600,28.762708
2015-07-30,27.940001,28.24,27.73,27.98,469500,27.885674
2015-07-29,27.90,29.040001,27.709999,28.040001,368100,27.945473
2015-07-28,27.49,28.370001,27.15,28.02,443200,27.92554
2015-07-27,27.59,27.629999,27.00,27.07,357900,26.978742
2015-07-24,27.790001,27.82,27.48,27.65,315500,27.556787
2015-07-23,27.879999,28.030001,27.60,27.940001,362500,27.84581
2015-07-22,27.389999,27.780001,27.389999,27.74,257800,27.646483
2015-07-21,27.389999,27.68,27.33,27.549999,231100,27.457123
2015-07-20,27.60,27.690001,27.370001,27.540001,253700,27.447159
2015-07-17,27.620001,27.620001,27.450001,27.50,185200,27.407293
2015-07-16,27.780001,28.120001,27.52,27.65,193700,27.556787
2015-07-15,28.280001,28.280001,27.65,27.75,202200,27.65645
2015-07-14,28.190001,29.41,27.57,28.219999,522300,28.124865
2015-07-13,29.799999,30.049999,27.790001,28.34,1181900,28.244461
2015-07-10,31.24,31.65,22.709999,30.040001,2192700,29.938731
2015-07-09,31.379999,31.379999,30.940001,31.00,223200,30.895493
2015-07-08,30.98,31.299999,30.75,31.00,611300,30.895493
2015-07-07,31.65,31.799999,30.860001,30.959999,422700,30.855627
2015-07-06,31.879999,32.040001,31.549999,31.67,247900,31.563235
2015-07-02,32.419998,32.419998,32.049999,32.209999,165300,32.101413
2015-07-01,32.540001,32.779999,32.150002,32.27,218800,32.161213
2015-06-30,32.509998,32.540001,32.009998,32.330002,362400,32.221012
2015-06-29,32.310001,32.630001,31.959999,32.139999,289600,32.03165
2015-06-26,32.279999,32.599998,31.959999,32.529999,555400,32.420334
2015-06-25,32.34,32.52,31.889999,32.130001,336100,32.021685
2015-06-24,32.919998,32.919998,32.00,32.27,457800,32.161213
2015-06-23,33.23,33.23,32.779999,32.849998,311300,32.739255
2015-06-22,32.830002,33.73,32.599998,33.130001,396800,33.018314
2015-06-19,33.599998,33.599998,33.060001,33.209999,1392100,33.098042
2015-06-18,33.240002,33.66,33.049999,33.560001,376300,33.446865
2015-06-17,33.400002,33.790001,33.16,33.220001,247700,33.108011
2015-06-16,33.400002,35.50,33.07,33.259998,301900,33.147873
2015-06-15,34.130001,34.27,33.25,33.560001,463000,33.446865
2015-06-12,34.599998,34.790001,34.299999,34.439999,169400,34.323895
2015-06-11,34.549999,34.66,34.099998,34.66,272000,34.543155
2015-06-10,34.200001,34.68,34.18,34.59,525900,34.473391
2015-06-09,34.509998,34.73,34.220001,34.290001,247500,34.174403
2015-06-08,34.639999,34.73,34.43,34.619999,172700,34.503289
2015-06-05,34.889999,34.889999,34.349998,34.630001,137700,34.513257
2015-06-04,35.18,35.259998,34.709999,34.84,107900,34.722548
2015-06-03,35.34,35.610001,35.130001,35.349998,156700,35.230827
2015-06-02,35.189999,35.639999,35.130001,35.200001,163900,35.081335
2015-06-01,35.560001,35.779999,34.82,35.349998,134000,35.230827
2015-05-29,35.48,35.560001,35.02,35.189999,111000,35.071367
2015-05-28,35.700001,35.91,35.279999,35.560001,225800,35.440122
2015-05-27,35.09,35.779999,34.880001,35.68,173000,35.559717
2015-05-26,35.380001,35.380001,34.919998,35.060001,228500,34.941808
2015-05-22,35.720001,35.799999,35.349998,35.450001,115300,35.330492
2015-05-21,35.59,36.200001,35.43,35.610001,166500,35.489953
2015-05-20,35.25,35.66,35.080002,35.529999,123400,35.410221
2015-05-19,35.709999,35.919998,35.18,35.360001,154100,35.240796
2015-05-18,35.880001,36.099998,35.529999,35.77,173000,35.551744
