Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,27.709999,27.879999,27.209999,27.42,753300,27.42
2015-08-06,28.459999,28.459999,27.559999,27.85,353500,27.85
2015-08-05,28.66,28.93,28.40,28.52,567600,28.52
2015-08-04,27.99,28.879999,27.90,28.639999,1113800,28.639999
2015-08-03,28.360001,28.389999,27.870001,28.110001,860000,28.110001
2015-07-31,27.389999,27.620001,27.24,27.49,323300,27.49
2015-07-30,27.50,27.559999,27.120001,27.370001,488400,27.370001
2015-07-29,27.040001,27.610001,26.90,27.43,722100,27.43
2015-07-28,26.969999,27.27,26.559999,27.02,530500,27.02
2015-07-27,26.83,26.969999,26.65,26.83,439100,26.83
2015-07-24,27.379999,27.559999,26.90,26.940001,672000,26.940001
2015-07-23,28.00,28.00,27.440001,27.440001,516900,27.440001
2015-07-22,27.540001,27.90,27.51,27.870001,490500,27.870001
2015-07-21,27.66,27.83,27.379999,27.559999,620300,27.559999
2015-07-20,27.709999,27.889999,27.50,27.690001,644000,27.690001
2015-07-17,27.879999,28.030001,27.530001,27.639999,569100,27.639999
2015-07-16,27.51,28.16,27.299999,27.879999,846200,27.879999
2015-07-15,27.200001,27.540001,27.200001,27.290001,790700,27.290001
2015-07-14,27.799999,28.17,27.299999,27.450001,935200,27.450001
2015-07-13,27.92,28.18,27.83,28.030001,585500,28.030001
2015-07-10,27.870001,27.99,27.469999,27.93,637500,27.93
2015-07-09,28.09,28.09,27.60,27.68,697000,27.68
2015-07-08,27.84,28.120001,27.709999,27.84,577300,27.84
2015-07-07,28.02,28.18,27.540001,28.10,638200,28.10
2015-07-06,27.780001,28.52,27.700001,27.99,956200,27.99
2015-07-02,28.34,28.370001,27.82,27.92,662600,27.92
2015-07-01,28.030001,28.389999,27.91,28.26,1068000,28.26
2015-06-30,28.040001,28.120001,27.48,27.82,1523400,27.82
2015-06-29,27.879999,28.700001,27.50,27.74,2635200,27.74
2015-06-26,28.50,28.75,27.90,28.25,4776600,28.25
2015-06-25,27.67,27.83,26.82,27.00,2340000,27.00
2015-06-24,26.90,27.15,26.690001,27.049999,1222700,27.049999
2015-06-23,26.299999,26.879999,26.299999,26.83,1032400,26.83
2015-06-22,26.43,26.59,26.18,26.23,780400,26.23
2015-06-19,26.50,26.50,26.15,26.379999,956600,26.379999
2015-06-18,26.42,26.639999,26.370001,26.40,837100,26.40
2015-06-17,26.799999,26.799999,26.049999,26.32,669900,26.32
2015-06-16,26.209999,26.790001,26.08,26.68,791400,26.68
2015-06-15,26.469999,26.690001,26.01,26.290001,842600,26.290001
2015-06-12,26.360001,26.639999,26.309999,26.530001,411500,26.530001
