Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,27.76,27.940001,27.76,27.85,36300,27.85
2015-08-06,28.00,28.00,27.799999,27.870001,24400,27.870001
2015-08-05,28.18,28.18,27.84,27.950001,23000,27.950001
2015-08-04,28.059999,28.08,27.90,27.93,18500,27.93
2015-08-03,27.99,28.10,27.99,28.040001,37100,28.040001
2015-07-31,28.25,28.25,27.98,28.07,16800,28.07
2015-07-30,28.07,28.15,28.07,28.10,58500,28.10
2015-07-29,28.370001,28.370001,28.139999,28.15,11400,28.15
2015-07-28,28.370001,28.370001,28.110001,28.23,18000,28.23
2015-07-27,28.379999,28.379999,28.18,28.209999,118200,28.209999
2015-07-24,28.33,28.33,28.23,28.280001,10700,28.280001
2015-07-23,28.33,28.33,28.24,28.33,20500,28.33
2015-07-22,28.280001,28.33,28.15,28.27,102600,28.27
2015-07-21,28.40,28.40,28.139999,28.280001,68000,28.280001
2015-07-20,28.41,28.41,28.299999,28.389999,7900,28.389999
2015-07-17,28.40,28.40,28.120001,28.389999,33500,28.389999
2015-07-16,28.32,28.440001,28.309999,28.379999,148800,28.379999
2015-07-15,28.209999,28.309999,28.129999,28.26,194100,28.26
2015-07-14,28.389999,28.389999,28.120001,28.290001,135100,28.290001
2015-07-13,28.440001,28.440001,28.290001,28.35,8600,28.35
2015-07-10,28.440001,28.440001,28.290001,28.290001,32700,28.290001
2015-07-09,28.440001,28.440001,28.27,28.42,22500,28.42
2015-07-08,28.440001,28.440001,28.26,28.27,7200,28.27
2015-07-07,28.34,28.440001,28.209999,28.370001,172300,28.370001
2015-07-06,28.299999,28.530001,28.09,28.360001,223600,28.360001
2015-07-02,28.219999,28.34,28.10,28.26,10600,28.26
2015-07-01,28.25,28.25,28.07,28.110001,8600,28.110001
2015-06-30,28.00,28.25,28.00,28.200001,131800,28.200001
2015-06-29,27.77,28.16,27.77,28.00,75200,28.00
2015-06-26,28.219999,28.219999,27.90,28.17,20700,28.17
2015-06-25,28.27,28.27,27.860001,28.16,19300,28.16
2015-06-24,28.17,28.25,28.030001,28.219999,62200,28.219999
2015-06-23,28.540001,28.540001,28.08,28.540001,82200,28.126
2015-06-22,28.370001,28.370001,28.07,28.27,10900,27.859916
2015-06-19,28.00,28.190001,28.00,28.190001,19300,27.781077
2015-06-18,28.32,28.32,27.93,28.02,25300,27.613543
2015-06-17,28.360001,28.360001,28.00,28.139999,189900,27.731801
2015-06-16,28.200001,28.26,28.120001,28.190001,8000,27.781077
2015-06-15,28.370001,28.370001,28.07,28.16,16600,27.751511
2015-06-12,28.120001,28.32,28.07,28.18,14800,27.771222
2015-06-11,28.32,28.32,28.120001,28.25,6500,27.840206
2015-06-10,28.01,28.32,28.01,28.32,14800,27.90919
2015-06-09,28.290001,28.35,28.190001,28.25,14100,27.840206
2015-06-08,28.290001,28.40,28.190001,28.370001,14000,27.958466
2015-06-05,28.25,28.450001,28.25,28.43,6300,28.017595
2015-06-04,28.40,28.40,28.25,28.280001,15000,27.869771
