Date,Open,High,Low,Close,Volume,Adj Close
2015-06-01,65.93,65.93,64.67,65.39,32600,65.39
2015-05-29,65.07,65.63,64.49,65.38,46400,65.38
2015-05-28,64.61,65.44,63.82,65.11,37100,65.11
2015-05-27,62.94,64.38,62.94,63.96,29000,63.96
2015-05-26,63.06,63.25,62.66,62.84,26900,62.84
2015-05-22,63.24,64.16,62.87,63.85,24300,63.85
2015-05-21,62.39,64.35,62.39,63.10,50900,63.10
2015-05-20,61.35,62.20,61.00,62.04,128100,62.04
2015-05-19,61.50,61.50,60.82,61.09,69300,61.09
2015-05-18,61.26,61.78,61.00,61.50,33300,61.50
2015-05-15,61.28,61.83,60.45,61.33,25900,61.33
2015-05-14,61.52,61.98,61.00,61.52,27100,61.52
2015-05-13,62.13,62.29,61.12,61.40,21100,61.40
2015-05-12,63.50,63.71,61.89,62.03,30800,62.03
2015-05-11,64.00,64.10,63.29,63.69,21200,63.69
2015-05-08,64.39,64.72,63.91,64.09,25100,64.09
2015-05-07,64.08,64.08,62.29,63.57,32900,63.57
2015-05-06,65.06,65.27,63.70,64.12,15000,64.12
2015-05-05,65.60,66.25,64.92,65.08,23600,65.08
2015-05-04,64.73,65.88,64.73,65.52,25700,65.52
2015-05-01,65.58,65.58,64.10,64.85,41300,64.85
2015-04-30,65.78,65.78,64.76,65.42,50100,65.42
2015-04-29,64.52,66.22,64.34,66.00,41000,66.00
2015-04-28,65.65,66.03,63.80,65.25,75200,65.25
2015-04-27,66.45,66.77,65.64,66.01,12200,66.01
2015-04-24,66.56,66.56,65.97,66.41,8000,66.41
2015-04-23,66.24,66.81,66.05,66.45,27600,66.45
2015-04-22,67.27,67.52,65.84,66.30,15100,66.30
2015-04-21,67.20,67.71,66.37,67.31,21600,67.31
2015-04-20,69.00,69.09,66.70,67.08,23700,67.08
2015-04-17,69.00,69.25,68.68,69.01,21600,69.01
2015-04-16,69.49,69.85,68.94,69.43,42100,69.43
2015-04-15,67.47,69.17,67.33,69.10,23500,69.10
2015-04-14,69.28,69.97,67.00,67.12,14300,67.12
2015-04-13,69.11,69.65,68.49,69.06,14600,69.06
2015-04-10,69.48,70.17,69.30,69.31,13400,69.31
2015-04-09,69.80,69.99,68.74,69.28,7400,69.28
2015-04-08,68.48,69.81,68.48,69.07,14300,69.07
2015-04-07,67.64,68.32,67.64,68.24,16000,68.24
2015-04-06,66.69,67.86,66.69,67.61,17300,67.61
2015-04-02,66.53,67.02,66.24,66.92,25300,66.92
2015-04-01,64.67,66.42,64.06,66.41,19400,66.41
2015-03-31,64.75,64.83,63.96,64.72,13800,64.72
2015-03-30,63.55,65.16,62.91,64.37,39600,64.37
2015-03-27,63.29,63.51,62.78,63.39,13500,63.39
2015-03-26,63.12,63.62,63.01,63.41,14500,63.31
2015-03-25,63.84,64.00,62.93,63.17,27200,63.07038
2015-03-24,64.01,64.71,62.87,64.08,29700,63.97895
2015-03-23,63.46,64.17,63.19,64.01,22800,63.90906
2015-03-20,62.74,63.75,62.70,63.44,23400,63.33995
2015-03-19,63.10,63.17,61.87,62.28,29300,62.18178
2015-03-18,62.30,63.68,62.11,63.67,14100,63.56959
2015-03-17,60.41,63.29,60.14,62.23,34000,62.13186
2015-03-16,59.41,61.30,59.26,60.63,32500,60.53439
2015-03-13,59.25,59.50,58.56,59.31,35100,59.21647
2015-03-12,59.18,61.01,59.10,59.74,47400,59.64579
2015-03-11,58.55,59.08,58.33,58.92,17000,58.82708
2015-03-10,58.42,59.43,57.13,58.75,28700,58.65735
2015-03-09,57.73,60.08,57.73,58.94,35400,58.84705
2015-03-06,59.45,59.61,56.65,57.81,21200,57.71883
2015-03-05,60.44,60.46,59.47,59.64,9800,59.54595
2015-03-04,59.68,60.26,59.47,59.87,22100,59.77558
2015-03-03,60.58,61.17,59.77,59.86,20800,59.7656
2015-03-02,61.18,61.26,60.18,60.58,15500,60.48447
2015-02-27,60.79,60.96,60.10,60.61,11500,60.51442
2015-02-26,62.15,62.16,60.42,60.67,13000,60.57432
2015-02-25,61.91,62.10,61.34,61.64,9700,61.54279
2015-02-24,61.49,61.75,60.95,61.50,22800,61.40301
2015-02-23,60.50,61.83,60.50,61.33,22600,61.23328
2015-02-20,60.82,61.86,60.26,60.50,27300,60.40459
2015-02-19,57.67,62.15,57.23,61.14,56500,61.04358
2015-02-18,58.00,58.46,57.68,57.90,35400,57.80869
2015-02-17,58.04,58.38,57.65,57.97,33100,57.87858
2015-02-13,58.00,58.14,57.55,57.78,81300,57.68888
2015-02-12,56.19,58.32,56.19,57.83,28800,57.7388
2015-02-11,53.61,57.43,53.61,56.17,42500,56.08142
2015-02-10,54.27,54.27,52.44,52.56,5000,52.47711
2015-02-09,54.14,54.32,53.35,54.13,8500,54.04464
2015-02-06,54.82,54.82,54.06,54.31,6900,54.22435
2015-02-05,54.12,55.94,54.06,54.80,9800,54.71358
2015-02-04,54.17,54.18,53.25,53.47,7300,53.38568
2015-02-03,53.74,55.60,53.29,55.36,8700,55.2727
2015-02-02,52.49,54.50,52.49,53.95,27100,53.86492
2015-01-30,51.83,52.91,51.62,52.37,28900,52.28741
2015-01-29,52.24,52.52,51.95,52.19,7600,52.10769
2015-01-28,53.38,53.38,52.49,52.49,3400,52.40722
2015-01-27,52.30,53.28,52.30,53.08,31500,52.99629
2015-01-26,52.70,52.96,52.09,52.66,11300,52.57695
2015-01-23,53.11,53.66,52.42,53.20,6500,53.1161
2015-01-22,51.68,52.97,51.36,52.76,16100,52.67679
2015-01-21,52.68,52.68,51.42,51.42,6200,51.33891
2015-01-20,52.18,52.27,51.98,52.13,15800,52.04779
2015-01-16,51.10,52.43,50.99,52.38,8100,52.2974
2015-01-15,51.27,51.66,51.06,51.18,7300,51.09929
2015-01-14,50.36,51.83,50.36,51.32,7200,51.23907
2015-01-13,51.68,52.50,50.94,51.26,20600,51.17916
2015-01-12,51.56,51.70,51.15,51.41,13100,51.32893
2015-01-09,51.20,52.67,51.20,52.28,5100,52.19755
2015-01-08,49.95,51.40,49.95,51.32,5400,51.23907
2015-01-07,49.81,50.18,49.12,49.83,10800,49.75142
2015-01-06,50.47,50.47,49.38,49.38,8300,49.30213
2015-01-05,50.60,50.83,50.03,50.43,10600,50.35047
2015-01-02,50.86,51.16,50.15,50.78,6100,50.69992
2014-12-31,50.52,51.26,50.27,50.86,8300,50.77979
2014-12-30,50.43,50.68,50.32,50.39,10000,50.31053
2014-12-29,49.87,50.48,49.87,50.30,26500,50.22068
2014-12-26,50.11,50.18,49.41,49.95,4500,49.77139
2014-12-24,50.36,50.44,49.91,50.10,7000,49.92085
2014-12-23,50.46,51.00,50.11,50.31,12900,50.1301
2014-12-22,50.42,50.82,49.84,50.66,12600,50.47885
2014-12-19,50.94,51.65,50.74,50.98,34700,50.7977
2014-12-18,51.40,52.07,50.94,51.08,30100,50.89735
2014-12-17,51.47,51.47,50.99,51.24,16300,51.05677
2014-12-16,51.50,52.27,50.90,51.50,19300,51.31584
2014-12-15,51.28,51.47,50.50,51.29,32800,51.10659
2014-12-12,51.97,52.29,50.80,51.28,10300,51.09663
2014-12-11,51.35,53.07,49.96,52.30,18400,52.11298
2014-12-10,53.65,53.65,50.61,51.36,13200,51.17634
2014-12-09,54.47,54.47,53.19,53.86,20500,53.6674
2014-12-08,55.93,55.93,54.29,54.50,8900,54.30512
2014-12-05,56.37,56.37,55.58,56.02,6800,55.81968
2014-12-04,57.09,57.24,55.54,55.76,17400,55.56061
2014-12-03,54.76,58.06,54.76,56.90,22400,56.69654
2014-12-02,54.06,55.76,53.92,55.04,40300,54.84319
2014-12-01,53.66,54.04,53.05,53.75,26300,53.5578
2014-11-28,53.17,54.73,53.13,53.52,7100,53.32862
2014-11-26,52.30,53.39,51.95,53.34,10400,53.14926
2014-11-25,52.76,53.26,51.98,52.25,23500,52.06316
2014-11-24,52.12,53.13,52.09,52.50,30800,52.31227
2014-11-21,51.87,52.69,51.53,52.13,15700,51.94359
2014-11-20,52.35,52.46,51.11,51.93,20200,51.74431
2014-11-19,51.51,52.50,50.51,52.36,41300,52.17277
2014-11-18,52.15,53.01,51.63,51.88,28100,51.69449
2014-11-17,51.95,52.50,51.95,52.28,12600,52.09305
2014-11-14,52.01,52.24,51.63,51.66,6300,51.47527
2014-11-13,51.82,51.93,51.61,51.84,19300,51.65463
2014-11-12,51.51,52.20,51.46,51.87,40500,51.68452
2014-11-11,51.61,51.94,51.53,51.62,14000,51.43541
2014-11-10,52.08,52.27,50.85,51.68,9200,51.4952
2014-11-07,51.79,52.55,51.77,52.00,10900,51.81406
2014-11-06,51.71,52.50,51.47,51.87,11100,51.68452
