Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,20.26,20.26,20.26,20.26,000,20.26
2015-08-06,20.34,20.34,20.24,20.26,1400,20.26
2015-08-05,20.219999,20.219999,20.219999,20.219999,000,20.219999
2015-08-04,20.030001,20.290001,20.030001,20.219999,6100,20.219999
2015-08-03,20.32,20.33,20.32,20.33,11000,20.33
2015-07-31,20.43,20.43,20.379999,20.379999,2500,20.379999
2015-07-30,20.370001,20.370001,20.370001,20.370001,800,20.370001
2015-07-29,20.290001,20.42,20.26,20.42,16200,20.42
2015-07-28,19.879999,20.17,19.879999,20.16,9600,20.16
2015-07-27,20.48,20.48,19.780001,19.879999,1100,19.879999
2015-07-24,20.309999,20.309999,20.309999,20.309999,000,20.309999
2015-07-23,20.379999,20.379999,20.309999,20.309999,400,20.309999
2015-07-22,20.33,20.33,20.33,20.33,1000,20.33
2015-07-21,20.860001,20.860001,20.860001,20.860001,000,20.860001
2015-07-20,20.860001,20.860001,20.860001,20.860001,500,20.80
2015-07-17,20.57,20.57,20.57,20.57,800,20.510833
2015-07-16,20.49,20.59,20.49,20.59,1800,20.530776
2015-07-15,20.540001,20.559999,20.540001,20.549999,2600,20.49089
2015-07-14,20.549999,20.58,20.540001,20.58,1900,20.520805
2015-07-13,20.459999,20.469999,20.34,20.34,2800,20.281495
2015-07-10,20.120001,20.120001,20.120001,20.120001,000,20.062129
2015-07-09,20.120001,20.120001,20.120001,20.120001,000,20.062129
2015-07-08,20.120001,20.120001,20.120001,20.120001,1800,20.062129
2015-07-07,20.08,20.34,20.08,20.34,3100,20.281495
2015-07-06,20.17,20.219999,20.139999,20.219999,500,20.16184
2015-07-02,20.26,20.26,20.26,20.26,900,20.201726
2015-07-01,20.25,20.290001,20.23,20.23,3400,20.171811
2015-06-30,20.530001,20.530001,20.530001,20.530001,000,20.470949
2015-06-29,20.530001,20.530001,20.530001,20.530001,000,20.470949
2015-06-26,20.530001,20.530001,20.49,20.530001,1200,20.470949
2015-06-25,20.549999,20.549999,20.52,20.52,600,20.460978
2015-06-24,20.540001,20.540001,20.540001,20.540001,200,20.480921
2015-06-23,20.530001,20.530001,20.530001,20.530001,000,20.411122
2015-06-22,20.65,20.66,20.530001,20.530001,3000,20.411122
2015-06-19,20.969999,20.969999,20.610001,20.610001,400,20.490659
2015-06-18,20.629999,20.629999,20.59,20.629999,800,20.510542
2015-06-17,20.469999,20.469999,20.469999,20.469999,1000,20.351468
2015-06-16,20.360001,20.459999,20.360001,20.440001,10900,20.321643
2015-06-15,20.370001,20.370001,20.370001,20.370001,000,20.252049
2015-06-12,20.469999,20.469999,20.360001,20.370001,1500,20.252049
2015-06-11,20.450001,20.57,20.450001,20.549999,3500,20.431005
2015-06-10,20.27,20.52,20.27,20.51,1600,20.391238
2015-06-09,20.27,20.34,20.25,20.33,8500,20.21228
2015-06-08,20.52,20.52,20.52,20.52,000,20.40118
2015-06-05,20.52,20.52,20.52,20.52,000,20.40118
2015-06-04,20.52,20.52,20.52,20.52,000,20.40118
2015-06-03,20.65,20.65,20.52,20.52,1100,20.40118
2015-06-02,20.58,20.58,20.58,20.58,3200,20.460832
2015-06-01,20.67,20.67,20.559999,20.629999,15700,20.510542
2015-05-29,20.67,20.67,20.67,20.67,000,20.550311
2015-05-28,20.690001,20.690001,20.65,20.67,4100,20.550311
2015-05-27,20.629999,20.700001,20.59,20.690001,8700,20.570196
2015-05-26,20.440001,20.530001,20.440001,20.530001,1800,20.411122
2015-05-22,20.76,20.76,20.74,20.74,1700,20.619905
2015-05-21,20.799999,20.83,20.799999,20.83,700,20.709384
2015-05-20,20.780001,20.790001,20.780001,20.790001,7300,20.609964
2015-05-19,20.67,20.67,20.67,20.67,600,20.491002
2015-05-18,20.76,20.82,20.76,20.82,5400,20.639703
2015-05-15,20.74,20.74,20.74,20.74,2000,20.560396
2015-05-14,20.48,20.48,20.48,20.48,000,20.302647
2015-05-13,20.48,20.48,20.48,20.48,700,20.302647
