Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,6.80,6.85,6.74,6.75,93600,6.75
2015-08-06,6.79,6.84,6.74,6.79,115100,6.79
2015-08-05,6.73,6.82,6.73,6.80,135000,6.80
2015-08-04,6.75,6.78,6.71,6.76,191900,6.76
2015-08-03,6.75,6.85,6.73,6.76,293100,6.76
2015-07-31,6.65,6.78,6.65,6.77,138000,6.77
2015-07-30,6.54,6.70,6.54,6.63,68000,6.63
2015-07-29,6.55,6.75,6.55,6.62,157700,6.62
2015-07-28,6.60,6.61,6.53,6.56,157000,6.56
2015-07-27,6.53,6.63,6.53,6.61,307100,6.61
2015-07-24,6.67,6.75,6.66,6.69,82600,6.69
2015-07-23,6.69,6.78,6.69,6.69,151300,6.69
2015-07-22,6.67,6.71,6.58,6.69,135400,6.69
2015-07-21,6.76,6.79,6.70,6.71,338800,6.71
2015-07-20,6.77,6.81,6.75,6.79,563500,6.79
2015-07-17,6.75,6.80,6.69,6.76,285800,6.76
2015-07-16,6.68,6.80,6.67,6.75,434300,6.75
2015-07-15,6.76,6.78,6.19,6.70,444800,6.70
2015-07-14,6.80,6.84,6.76,6.78,422400,6.78
2015-07-13,6.74,6.85,6.74,6.78,283400,6.78
2015-07-10,6.80,6.84,6.59,6.75,704900,6.75
2015-07-09,6.45,6.72,6.45,6.68,647700,6.68
2015-07-08,5.87,6.57,5.75,6.39,723200,6.39
2015-07-07,6.51,6.64,5.53,6.07,2367500,6.07
2015-07-06,6.79,6.81,6.53,6.60,1099000,6.60
2015-07-02,6.86,6.89,6.79,6.79,534300,6.79
2015-07-01,6.89,6.89,6.88,6.88,63300,6.88
2015-06-30,6.88,6.90,6.88,6.88,473300,6.88
2015-06-29,6.86,6.90,6.86,6.89,368700,6.89
2015-06-26,6.89,6.90,6.87,6.90,462000,6.90
2015-06-25,6.89,6.91,6.89,6.89,789900,6.89
2015-06-24,6.90,6.90,6.89,6.89,385900,6.89
2015-06-23,6.90,6.90,6.89,6.90,517200,6.90
2015-06-22,6.90,6.94,6.89,6.90,808800,6.90
2015-06-19,6.89,6.93,6.89,6.93,1394400,6.93
2015-06-18,6.90,6.92,6.90,6.90,212200,6.90
2015-06-17,6.90,6.92,6.89,6.90,367600,6.90
2015-06-16,6.90,6.92,6.88,6.91,368600,6.91
2015-06-15,6.90,6.93,6.87,6.91,402300,6.91
2015-06-12,6.92,6.95,6.88,6.92,822000,6.92
2015-06-11,6.93,6.95,6.90,6.92,646300,6.92
2015-06-10,6.93,6.95,6.92,6.94,121700,6.94
2015-06-09,6.92,6.95,6.91,6.94,465400,6.94
2015-06-08,6.94,6.95,6.90,6.92,479400,6.92
2015-06-05,6.93,6.96,6.91,6.94,246400,6.94
2015-06-04,6.95,6.96,6.94,6.94,406700,6.94
2015-06-03,6.93,6.96,6.93,6.96,694500,6.96
2015-06-02,6.93,6.95,6.93,6.93,370300,6.93
2015-06-01,6.94,6.96,6.93,6.93,411700,6.93
2015-05-29,6.95,6.96,6.93,6.96,246400,6.96
2015-05-28,6.93,6.96,6.93,6.94,285800,6.94
2015-05-27,6.93,6.95,6.93,6.94,160400,6.94
2015-05-26,6.92,6.94,6.91,6.94,159500,6.94
2015-05-22,6.91,6.97,6.91,6.92,425000,6.92
2015-05-21,6.92,6.92,6.91,6.91,120000,6.91
2015-05-20,6.90,6.92,6.90,6.92,294100,6.92
2015-05-19,6.91,6.94,6.88,6.88,570800,6.88
2015-05-18,6.87,6.95,6.87,6.90,573300,6.90
2015-05-15,6.87,6.89,6.87,6.88,264900,6.88
2015-05-14,6.87,6.89,6.86,6.87,209500,6.87
2015-05-13,6.86,6.89,6.86,6.87,768600,6.87
2015-05-12,6.86,6.87,6.86,6.87,217300,6.87
2015-05-11,6.87,6.88,6.86,6.87,310500,6.87
2015-05-08,6.86,6.87,6.86,6.86,190400,6.86
2015-05-07,6.86,6.87,6.86,6.86,458300,6.86
2015-05-06,6.87,6.88,6.86,6.86,488700,6.86
2015-05-05,6.86,6.87,6.86,6.86,480300,6.86
2015-05-04,6.86,6.87,6.85,6.86,604400,6.86
2015-05-01,6.85,6.87,6.85,6.87,474300,6.87
