Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,14.67,14.68,14.67,14.68,200,14.68
2015-08-06,14.99,14.99,14.99,14.99,500,14.99
2015-08-05,14.75,14.75,14.75,14.75,000,14.75
2015-08-04,14.75,14.75,14.75,14.75,000,14.75
2015-08-03,14.75,14.82,14.75,14.75,2400,14.75
2015-07-31,14.82,14.82,14.82,14.82,500,14.82
2015-07-30,14.66,14.68,14.66,14.68,500,14.68
2015-07-29,14.80,14.80,14.80,14.80,200,14.80
2015-07-28,14.74,14.74,14.68,14.68,1400,14.68
2015-07-27,14.66,14.66,14.66,14.66,400,14.66
2015-07-24,14.83,14.83,14.83,14.83,100,14.83
2015-07-23,14.80,14.80,14.80,14.80,000,14.80
2015-07-22,14.80,14.80,14.80,14.80,000,14.80
2015-07-21,15.00,15.00,14.80,14.80,1200,14.80
2015-07-20,14.80,14.80,14.80,14.80,000,14.80
2015-07-17,14.80,14.80,14.79,14.80,4100,14.80
2015-07-16,14.80,14.91,14.80,14.91,2200,14.91
2015-07-15,14.70,14.87,14.65,14.65,7600,14.65
2015-07-14,14.86,14.86,14.86,14.86,000,14.86
2015-07-13,14.86,14.86,14.86,14.86,200,14.86
2015-07-10,14.75,15.00,14.75,14.86,2300,14.86
2015-07-09,14.60,14.60,14.60,14.60,000,14.60
2015-07-08,14.60,14.68,14.60,14.60,6800,14.60
2015-07-07,14.66,14.66,14.66,14.66,000,14.66
2015-07-06,14.62,14.66,14.58,14.66,400,14.66
2015-07-02,15.14,15.14,14.57,14.57,1600,14.57
2015-07-01,14.72,14.72,14.72,14.72,000,14.72
2015-06-30,15.00,15.00,14.72,14.72,1800,14.67
2015-06-29,14.72,15.10,14.72,15.10,700,15.048709
2015-06-26,14.76,14.90,14.76,14.90,1500,14.849388
2015-06-25,14.55,14.55,14.55,14.55,000,14.500577
2015-06-24,14.55,14.55,14.55,14.55,400,14.500577
2015-06-23,15.04,15.04,15.02,15.02,600,14.968981
2015-06-22,14.87,15.08,14.55,15.08,16000,15.028777
2015-06-19,15.20,15.20,14.55,14.55,32100,14.500577
2015-06-18,14.99,15.25,14.45,15.20,12200,15.148369
2015-06-17,14.99,15.00,14.93,14.95,6000,14.899218
2015-06-16,14.94,14.97,14.45,14.93,14500,14.879287
2015-06-15,14.72,15.00,14.72,15.00,8700,14.949049
2015-06-12,14.75,14.75,14.75,14.75,400,14.699898
2015-06-11,14.80,14.80,14.52,14.52,800,14.47068
2015-06-10,14.95,14.95,14.49,14.80,1000,14.749728
2015-06-09,14.88,14.88,14.78,14.78,400,14.729796
2015-06-08,14.65,14.80,14.65,14.75,500,14.699898
2015-06-05,14.36,14.89,14.25,14.78,1600,14.729796
2015-06-04,14.36,14.36,14.36,14.36,200,14.311222
2015-06-03,14.36,14.36,14.36,14.36,300,14.311222
2015-06-02,14.55,14.55,14.55,14.55,000,14.500577
2015-06-01,14.58,14.58,14.55,14.55,1000,14.500577
2015-05-29,14.59,14.59,14.59,14.59,000,14.540442
2015-05-28,14.59,14.59,14.59,14.59,000,14.540442
2015-05-27,14.60,14.75,14.59,14.59,600,14.540442
2015-05-26,14.55,14.55,14.55,14.55,1000,14.500577
2015-05-22,14.73,14.73,14.73,14.73,000,14.679965
2015-05-21,14.73,14.73,14.73,14.73,000,14.679965
2015-05-20,14.61,14.73,14.61,14.73,300,14.679965
2015-05-19,14.57,14.57,14.55,14.55,1000,14.500577
2015-05-18,14.55,14.55,14.55,14.55,500,14.500577
2015-05-15,14.58,14.58,14.58,14.58,000,14.530475
2015-05-14,14.55,14.58,14.55,14.58,400,14.530475
2015-05-13,14.65,14.65,14.55,14.55,300,14.500577
2015-05-12,14.57,14.57,14.57,14.57,100,14.520509
2015-05-11,14.61,14.61,14.61,14.61,000,14.560373
2015-05-08,14.80,14.80,14.55,14.61,2700,14.560373
2015-05-07,14.80,14.80,14.80,14.80,1000,14.749728
2015-05-06,14.80,14.82,14.80,14.80,3900,14.749728
2015-05-05,14.75,14.75,14.75,14.75,700,14.699898
2015-05-04,14.83,14.85,14.83,14.85,3300,14.799559
2015-05-01,14.86,14.86,14.86,14.86,200,14.809524
2015-04-30,14.84,14.84,14.84,14.84,100,14.789592
2015-04-29,14.60,14.75,14.60,14.74,3100,14.689932
2015-04-28,14.60,14.60,14.37,14.60,16400,14.550408
2015-04-27,14.58,14.58,14.58,14.58,000,14.530475
2015-04-24,14.58,14.58,14.58,14.58,200,14.530475
2015-04-23,14.45,14.45,14.45,14.45,000,14.400917
2015-04-22,14.40,14.45,14.40,14.45,700,14.400917
2015-04-21,14.40,14.40,14.40,14.40,200,14.351086
2015-04-20,14.35,14.50,14.35,14.45,3900,14.400917
2015-04-17,14.50,14.50,14.30,14.30,700,14.251427
2015-04-16,14.54,14.54,14.44,14.44,900,14.390951
2015-04-15,14.49,14.49,14.45,14.45,500,14.400917
2015-04-14,14.40,14.40,14.40,14.40,000,14.351086
2015-04-13,14.40,14.40,14.40,14.40,000,14.351086
2015-04-10,14.40,14.40,14.40,14.40,000,14.351086
2015-04-09,14.80,14.80,14.40,14.40,400,14.351086
2015-04-08,14.42,14.42,14.42,14.42,000,14.371019
2015-04-07,14.74,14.74,14.39,14.42,1000,14.371019
2015-04-06,14.25,14.96,14.25,14.96,1500,14.909185
