Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,13.08,13.30,12.14,12.95,58900,12.95
2015-08-06,12.63,13.31,11.80,13.11,86300,13.11
2015-08-05,12.41,12.85,12.32,12.70,147400,12.70
2015-08-04,11.81,12.41,11.61,12.29,116300,12.29
2015-08-03,11.50,12.05,11.00,11.81,122000,11.81
2015-07-31,12.01,12.01,10.69,11.41,127000,11.41
2015-07-30,10.12,10.45,10.00,10.41,93300,10.41
2015-07-29,9.59,10.21,9.59,10.12,55700,10.12
2015-07-28,9.07,9.74,8.88,9.64,76100,9.64
2015-07-27,9.10,9.11,8.77,9.06,65300,9.06
2015-07-24,9.21,9.22,8.74,9.05,183600,9.05
2015-07-23,9.76,9.85,9.10,9.15,201400,9.15
2015-07-22,9.72,9.78,9.62,9.67,59100,9.67
2015-07-21,9.82,9.96,9.62,9.77,60600,9.77
2015-07-20,10.21,10.21,9.81,9.82,94600,9.82
2015-07-17,10.17,10.24,10.04,10.16,69300,10.16
2015-07-16,10.53,10.53,10.11,10.25,41700,10.25
2015-07-15,10.55,10.74,10.38,10.53,70700,10.53
2015-07-14,10.67,11.11,10.59,10.63,66700,10.63
2015-07-13,11.16,11.16,10.66,10.73,52700,10.73
2015-07-10,10.76,11.36,10.54,11.24,72000,11.24
2015-07-09,10.89,11.03,10.58,10.70,82400,10.70
2015-07-08,10.77,11.63,10.42,10.75,241800,10.75
2015-07-07,11.54,11.54,10.75,10.77,112600,10.77
2015-07-06,11.17,11.63,10.97,11.53,88200,11.53
2015-07-02,11.31,11.39,11.01,11.25,83200,11.25
2015-07-01,11.28,11.35,10.77,11.25,210500,11.25
2015-06-30,11.17,11.21,10.63,11.17,126800,11.17
2015-06-29,10.52,11.39,10.48,11.05,199700,11.05
2015-06-26,10.24,11.00,10.18,10.52,1451600,10.52
2015-06-25,10.27,10.36,10.05,10.30,135600,10.30
2015-06-24,10.11,10.48,10.11,10.22,176500,10.22
2015-06-23,10.06,10.23,10.00,10.20,141900,10.20
2015-06-22,10.21,10.25,10.00,10.03,98300,10.03
2015-06-19,10.18,10.36,10.00,10.10,173000,10.10
2015-06-18,10.37,10.37,10.11,10.18,75500,10.18
2015-06-17,10.50,10.74,10.26,10.30,55400,10.30
2015-06-16,10.25,10.70,10.20,10.40,114900,10.40
2015-06-15,10.36,10.54,10.23,10.30,170300,10.30
2015-06-12,10.22,10.80,10.20,10.49,110600,10.49
2015-06-11,10.47,10.53,10.16,10.32,114800,10.32
2015-06-10,10.23,10.60,10.23,10.49,92900,10.49
2015-06-09,10.57,10.72,10.05,10.09,59300,10.09
