Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,25.559999,25.59,25.559999,25.57,2000,25.57
2015-08-06,25.799999,25.799999,25.440001,25.57,1500,25.57
2015-08-05,25.51,25.51,25.51,25.51,300,25.51
2015-08-04,25.50,25.50,25.41,25.469999,2900,25.469999
2015-08-03,25.379999,25.469999,25.379999,25.469999,1000,25.469999
2015-07-31,25.450001,25.469999,25.450001,25.450001,600,25.450001
2015-07-30,25.459999,25.50,25.389999,25.389999,700,25.389999
2015-07-29,25.469999,25.469999,25.469999,25.469999,300,25.469999
2015-07-28,25.49,25.49,25.49,25.49,500,25.49
2015-07-27,25.51,25.51,25.379999,25.389999,1400,25.389999
2015-07-24,25.440001,25.48,25.440001,25.440001,3000,25.440001
2015-07-23,25.290001,25.379999,25.290001,25.379999,3400,25.379999
2015-07-22,25.48,25.48,25.24,25.24,2200,25.24
2015-07-21,25.389999,25.48,25.379999,25.450001,1500,25.302001
2015-07-20,25.40,25.40,25.360001,25.360001,1300,25.212524
2015-07-17,25.48,25.49,25.40,25.40,1400,25.25229
2015-07-16,25.35,25.49,25.35,25.440001,4300,25.292059
2015-07-15,25.440001,25.440001,25.440001,25.440001,400,25.292059
2015-07-14,25.280001,25.280001,25.280001,25.280001,000,25.132989
2015-07-13,25.469999,25.469999,25.200001,25.280001,12000,25.132989
2015-07-10,25.469999,25.469999,25.469999,25.469999,300,25.321883
2015-07-09,25.450001,25.59,25.450001,25.59,600,25.441186
2015-07-08,25.620001,25.620001,25.48,25.59,1200,25.441186
2015-07-07,25.60,25.60,25.459999,25.559999,4000,25.41136
2015-07-06,25.629999,25.629999,25.629999,25.629999,200,25.480952
2015-07-02,25.60,25.60,25.60,25.60,400,25.451128
2015-07-01,25.549999,25.60,25.540001,25.60,2300,25.451128
2015-06-30,25.51,25.60,25.51,25.52,600,25.371593
2015-06-29,25.629999,25.639999,25.49,25.51,2700,25.361651
2015-06-26,25.459999,25.60,25.459999,25.469999,1300,25.321883
2015-06-25,25.559999,25.559999,25.559999,25.559999,100,25.41136
2015-06-24,25.41,25.629999,25.41,25.57,2600,25.421302
2015-06-23,25.40,25.540001,25.40,25.530001,3200,25.381535
2015-06-22,25.52,25.59,25.309999,25.379999,3500,25.232406
2015-06-19,25.57,25.57,25.559999,25.559999,700,25.41136
2015-06-18,25.639999,25.639999,25.549999,25.549999,700,25.401418
2015-06-17,25.540001,25.620001,25.50,25.620001,600,25.471012
2015-06-16,25.65,25.65,25.60,25.65,1500,25.353698
2015-06-15,25.74,25.74,25.610001,25.610001,1100,25.314161
2015-06-12,25.639999,25.639999,25.639999,25.639999,000,25.343813
2015-06-11,25.73,25.77,25.610001,25.639999,1900,25.343813
2015-06-10,25.73,25.73,25.73,25.73,500,25.432773
2015-06-09,25.799999,26.959999,25.709999,25.83,8200,25.531619
2015-06-08,25.709999,25.709999,25.690001,25.700001,3300,25.403121
2015-06-05,25.790001,25.799999,25.790001,25.799999,200,25.501964
2015-06-04,25.719999,25.84,25.67,25.84,900,25.541503
2015-06-03,25.799999,25.799999,25.799999,25.799999,000,25.501964
2015-06-02,25.77,25.809999,25.67,25.799999,700,25.501964
2015-06-01,25.620001,25.65,25.620001,25.65,1700,25.353698
2015-05-29,25.85,25.85,25.610001,25.75,3600,25.452543
2015-05-28,25.68,25.85,25.559999,25.85,4200,25.551388
2015-05-27,25.530001,25.690001,25.530001,25.639999,4400,25.343813
2015-05-26,25.629999,25.629999,25.629999,25.629999,000,25.333928
2015-05-22,25.629999,25.629999,25.629999,25.629999,1000,25.333928
2015-05-21,25.549999,25.629999,25.549999,25.629999,1300,25.333928
2015-05-20,25.530001,25.639999,25.51,25.540001,1800,25.24497
2015-05-19,25.68,25.68,25.52,25.52,4000,25.2252
2015-05-18,25.690001,25.690001,25.65,25.65,900,25.353698
2015-05-15,25.690001,25.690001,25.690001,25.690001,500,25.393236
2015-05-14,25.73,25.73,25.73,25.73,400,25.286482
2015-05-13,25.66,25.66,25.559999,25.610001,4000,25.168552
2015-05-12,25.66,25.66,25.629999,25.65,1900,25.207861
2015-05-11,25.65,25.860001,25.65,25.65,3400,25.207861
2015-05-08,25.68,25.68,25.620001,25.620001,1900,25.17838
2015-05-07,25.68,25.68,25.68,25.68,000,25.237345
2015-05-06,25.75,25.76,25.68,25.68,3100,25.237345
2015-05-05,25.950001,25.950001,25.77,25.77,1400,25.325794
2015-05-04,25.879999,25.879999,25.879999,25.879999,000,25.433896
2015-05-01,25.84,25.879999,25.84,25.879999,2000,25.433896
2015-04-30,25.85,25.85,25.75,25.84,1400,25.394587
2015-04-29,25.83,25.83,25.83,25.83,700,25.384759
2015-04-28,25.67,25.75,25.67,25.75,4600,25.306138
2015-04-27,25.549999,25.68,25.549999,25.68,1500,25.237345
2015-04-24,25.75,25.75,25.620001,25.620001,600,25.17838
2015-04-23,25.799999,25.799999,25.799999,25.799999,000,25.355275
2015-04-22,25.74,25.799999,25.68,25.799999,4000,25.355275
2015-04-21,25.75,25.75,25.75,25.75,700,25.160689
2015-04-20,25.75,25.75,25.639999,25.639999,2300,25.053206
2015-04-17,25.68,25.75,25.65,25.65,5600,25.062977
2015-04-16,25.690001,25.690001,25.60,25.620001,1800,25.033665
2015-04-15,25.60,25.610001,25.59,25.610001,3000,25.023894
2015-04-14,25.60,25.65,25.60,25.65,1600,25.062977
2015-04-13,25.60,25.60,25.60,25.60,300,25.014122
2015-04-10,25.65,25.65,25.59,25.60,2600,25.014122
2015-04-09,25.66,25.66,25.65,25.65,900,25.062977
2015-04-08,25.75,25.75,25.620001,25.65,2600,25.062977
2015-04-07,25.77,25.879999,25.75,25.75,3700,25.160689
2015-04-06,25.65,25.700001,25.65,25.65,1200,25.062977
2015-04-02,25.77,25.77,25.77,25.77,200,25.180232
2015-04-01,25.709999,25.76,25.709999,25.76,1200,25.17046
2015-03-31,25.690001,25.99,25.690001,25.92,3500,25.326799
2015-03-30,25.66,25.75,25.58,25.58,3100,24.99458
2015-03-27,25.860001,25.860001,25.860001,25.860001,400,25.268172
2015-03-26,25.65,25.90,25.65,25.85,2000,25.258401
2015-03-25,25.65,25.65,25.65,25.65,200,25.062977
2015-03-24,25.549999,25.549999,25.549999,25.549999,000,24.965266
2015-03-23,25.700001,25.700001,25.549999,25.549999,1600,24.965266
2015-03-20,25.76,25.76,25.76,25.76,000,25.17046
2015-03-19,25.76,25.76,25.76,25.76,1100,25.17046
2015-03-18,25.65,25.66,25.65,25.66,600,25.072749
2015-03-17,25.709999,25.709999,25.709999,25.709999,000,24.976991
2015-03-16,25.59,25.709999,25.59,25.709999,1500,24.976991
2015-03-13,25.59,25.610001,25.59,25.60,1400,24.870128
2015-03-12,25.59,25.60,25.59,25.60,1000,24.870128
2015-03-11,25.59,25.59,25.59,25.59,200,24.860413
2015-03-10,25.65,25.77,25.549999,25.77,4000,25.035282
2015-03-09,25.700001,25.700001,25.700001,25.700001,100,24.967278
2015-03-06,25.60,25.700001,25.60,25.67,900,24.938132
2015-03-05,25.639999,25.74,25.620001,25.74,2100,25.006136
2015-03-04,25.610001,25.77,25.610001,25.77,7200,25.035282
2015-03-03,25.59,25.59,25.58,25.58,600,24.850698
2015-03-02,25.700001,25.700001,25.700001,25.700001,000,24.967278
2015-02-27,25.700001,25.76,25.700001,25.700001,1100,24.967278
2015-02-26,25.58,25.700001,25.58,25.700001,2500,24.967278
2015-02-25,25.66,25.700001,25.66,25.700001,200,24.967278
2015-02-24,25.700001,25.700001,25.700001,25.700001,1300,24.967278
2015-02-23,25.68,25.700001,25.68,25.700001,1000,24.967278
2015-02-20,25.610001,25.610001,25.610001,25.610001,1700,24.879843
2015-02-19,25.65,25.65,25.65,25.65,000,24.918702
2015-02-18,25.690001,25.690001,25.65,25.65,500,24.918702
2015-02-17,25.639999,25.700001,25.639999,25.700001,900,24.967278
2015-02-13,25.700001,25.700001,25.639999,25.639999,2400,24.908987
2015-02-12,25.780001,25.790001,25.700001,25.700001,3200,24.823498
2015-02-11,25.67,25.67,25.67,25.67,000,24.79452
2015-02-10,25.700001,25.700001,25.610001,25.67,3600,24.79452
2015-02-09,25.700001,25.76,25.700001,25.700001,3200,24.823498
2015-02-06,25.66,25.66,25.66,25.66,800,24.784861
2015-02-05,25.709999,25.709999,25.709999,25.709999,100,24.833155
2015-02-04,25.809999,25.82,25.809999,25.82,1900,24.939404
2015-02-03,25.82,25.82,25.82,25.82,400,24.939404
2015-02-02,25.799999,25.799999,25.799999,25.799999,000,24.920086
2015-01-30,25.65,25.85,25.65,25.799999,3600,24.920086
2015-01-29,25.690001,25.719999,25.690001,25.719999,1100,24.842814
2015-01-28,25.700001,25.700001,25.65,25.65,900,24.775202
2015-01-27,25.700001,25.700001,25.700001,25.700001,000,24.823498
2015-01-26,25.690001,25.700001,25.58,25.700001,1800,24.823498
2015-01-23,25.60,25.68,25.559999,25.68,500,24.804179
2015-01-22,25.700001,25.700001,25.60,25.60,2800,24.726908
2015-01-21,25.68,25.700001,25.68,25.690001,1300,24.813838
2015-01-20,25.690001,25.690001,25.690001,25.690001,000,24.670886
2015-01-16,25.690001,25.690001,25.690001,25.690001,000,24.670886
2015-01-15,25.67,25.690001,25.610001,25.690001,900,24.670886
2015-01-14,25.65,25.700001,25.65,25.700001,1300,24.68049
2015-01-13,25.700001,25.700001,25.700001,25.700001,500,24.68049
2015-01-12,25.700001,25.700001,25.690001,25.690001,2000,24.670886
2015-01-09,25.67,25.790001,25.67,25.790001,900,24.76692
2015-01-08,25.700001,25.790001,25.700001,25.790001,1000,24.76692
2015-01-07,25.700001,25.799999,25.700001,25.700001,2100,24.68049
2015-01-06,25.809999,25.809999,25.68,25.68,600,24.661283
2015-01-05,25.85,25.85,25.85,25.85,3500,24.824539
2015-01-02,25.799999,25.799999,25.799999,25.799999,000,24.776521
2014-12-31,25.75,25.83,25.75,25.799999,600,24.776521
2014-12-30,25.780001,25.780001,25.65,25.73,1500,24.709298
2014-12-29,25.73,25.75,25.700001,25.75,700,24.728505
2014-12-26,25.85,25.85,25.66,25.66,1800,24.642076
2014-12-24,25.65,25.65,25.65,25.65,000,24.632472
2014-12-23,25.65,25.65,25.65,25.65,1400,24.632472
2014-12-22,25.74,25.74,25.74,25.74,000,24.718902
2014-12-19,25.75,25.75,25.65,25.74,300,24.718902
2014-12-18,25.75,25.75,25.74,25.74,600,24.718902
2014-12-17,25.83,25.83,25.65,25.75,2100,24.728505
2014-12-16,25.719999,25.790001,25.67,25.790001,1600,24.62479
2014-12-15,25.950001,25.950001,25.75,25.780001,1900,24.615241
2014-12-12,25.83,25.83,25.83,25.83,000,24.662981
2014-12-11,25.83,25.83,25.83,25.83,200,24.662981
2014-12-10,25.83,25.83,25.83,25.83,000,24.662981
2014-12-09,25.83,25.83,25.83,25.83,400,24.662981
2014-12-08,25.82,25.82,25.76,25.76,5600,24.596144
2014-12-05,25.82,25.82,25.82,25.82,600,24.653433
2014-12-04,25.85,25.85,25.85,25.85,200,24.682078
2014-12-03,25.860001,26.24,25.51,25.950001,2300,24.777561
2014-12-02,25.98,25.98,25.98,25.98,000,24.806204
2014-12-01,25.98,25.98,25.98,25.98,000,24.806204
2014-11-28,25.98,25.98,25.98,25.98,000,24.806204
2014-11-26,25.98,25.98,25.98,25.98,000,24.806204
2014-11-25,25.940001,26.00,25.940001,25.98,4900,24.806204
2014-11-24,26.01,26.01,26.01,26.01,000,24.834849
2014-11-21,25.85,26.02,25.85,26.01,800,24.834849
2014-11-20,26.280001,26.280001,26.280001,26.280001,000,25.092651
2014-11-19,26.280001,26.280001,26.280001,26.280001,200,25.092651
2014-11-18,26.440001,26.440001,26.440001,26.440001,000,25.245422
2014-11-17,26.440001,26.440001,26.440001,26.440001,400,25.245422
2014-11-14,25.85,26.27,25.85,25.90,1200,24.729819
2014-11-13,26.32,26.32,26.32,26.32,000,25.130843
2014-11-12,26.32,26.32,26.32,26.32,000,24.98953
2014-11-11,26.32,26.32,26.32,26.32,000,24.98953
