Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,25.809999,26.00,25.379999,25.690001,93300,25.690001
2015-08-06,25.98,26.23,25.67,25.860001,100600,25.860001
2015-08-05,25.52,26.01,25.51,26.00,175100,26.00
2015-08-04,25.32,25.66,25.32,25.41,74900,25.41
2015-08-03,25.360001,25.780001,25.110001,25.370001,119700,25.370001
2015-07-31,25.33,25.42,25.10,25.309999,87400,25.309999
2015-07-30,25.25,25.48,25.08,25.299999,101900,25.299999
2015-07-29,25.299999,25.450001,25.139999,25.280001,81500,25.280001
2015-07-28,25.709999,25.709999,25.139999,25.25,135800,25.25
2015-07-27,25.719999,25.719999,25.26,25.459999,128500,25.459999
2015-07-24,25.620001,26.15,25.24,25.76,192800,25.76
2015-07-23,26.16,26.49,25.290001,25.40,247900,25.40
2015-07-22,25.41,25.889999,25.41,25.780001,113500,25.780001
2015-07-21,25.65,26.030001,25.299999,25.469999,79100,25.469999
2015-07-20,25.290001,25.639999,25.280001,25.60,116000,25.60
2015-07-17,25.74,25.74,25.059999,25.290001,140400,25.290001
2015-07-16,25.92,25.99,25.59,25.690001,96500,25.690001
2015-07-15,25.17,25.700001,24.469999,25.66,157900,25.66
2015-07-14,25.15,25.309999,24.91,25.200001,63100,25.200001
2015-07-13,25.00,25.190001,24.85,25.129999,111400,25.129999
2015-07-10,24.790001,24.950001,24.40,24.870001,131900,24.870001
2015-07-09,24.290001,24.51,24.09,24.41,140900,24.41
2015-07-08,23.91,24.25,23.790001,23.940001,198100,23.940001
2015-07-07,24.700001,24.700001,23.90,24.190001,127200,24.190001
2015-07-06,24.27,24.690001,24.059999,24.639999,150900,24.639999
2015-07-02,25.120001,25.120001,24.459999,24.58,90800,24.58
2015-07-01,25.190001,25.389999,24.99,25.09,129000,25.09
2015-06-30,25.040001,25.530001,24.73,24.84,147200,24.84
2015-06-29,25.129999,25.42,24.639999,24.68,115600,24.68
2015-06-26,25.52,25.59,25.16,25.41,368400,25.41
2015-06-25,25.34,25.52,25.09,25.50,137000,25.39
