Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,25.049999,25.50,25.049999,25.110001,54700,25.110001
2015-08-06,24.90,25.110001,24.60,25.040001,20600,25.040001
2015-08-05,24.75,25.120001,24.700001,24.92,40500,24.92
2015-08-04,24.35,25.02,24.17,24.780001,21300,24.780001
2015-08-03,24.190001,24.870001,24.030001,24.41,27900,24.41
2015-07-31,25.120001,25.280001,22.68,24.26,163400,24.26
2015-07-30,24.610001,25.200001,24.610001,25.00,40900,25.00
2015-07-29,25.209999,25.280001,24.34,24.65,37200,24.65
2015-07-28,25.16,25.190001,20.50,25.17,45500,25.17
2015-07-27,23.860001,25.299999,23.440001,25.139999,48200,25.139999
2015-07-24,23.51,24.23,23.059999,23.91,62500,23.91
2015-07-23,24.690001,24.860001,23.50,23.610001,27400,23.610001
2015-07-22,25.200001,25.299999,24.65,24.91,33200,24.91
2015-07-21,25.43,25.540001,25.110001,25.129999,19500,25.129999
2015-07-20,25.219999,25.48,25.030001,25.299999,21500,25.299999
2015-07-17,25.60,25.65,24.959999,25.219999,21000,25.219999
2015-07-16,25.58,25.75,25.41,25.690001,28100,25.690001
2015-07-15,25.60,25.82,25.40,25.559999,23800,25.559999
2015-07-14,26.110001,26.110001,25.43,25.60,12200,25.60
2015-07-13,25.799999,26.34,25.32,26.15,56700,26.15
2015-07-10,25.379999,26.24,25.360001,25.950001,28900,25.950001
2015-07-09,25.00,25.48,24.99,25.120001,14600,25.120001
2015-07-08,24.440001,24.91,24.440001,24.799999,15500,24.799999
2015-07-07,24.690001,25.040001,24.379999,24.549999,17200,24.549999
2015-07-06,24.879999,25.00,24.66,24.809999,17500,24.809999
2015-07-02,25.280001,25.309999,24.51,24.969999,20000,24.969999
2015-07-01,25.139999,25.469999,24.67,25.32,27800,25.32
2015-06-30,25.290001,25.290001,24.92,24.959999,15000,24.959999
2015-06-29,25.709999,26.07,25.049999,25.049999,20500,25.049999
2015-06-26,25.60,26.040001,25.50,26.030001,83800,26.030001
2015-06-25,25.42,26.190001,25.25,25.58,64900,25.58
2015-06-24,25.129999,25.50,24.98,25.440001,19600,25.440001
2015-06-23,24.90,25.379999,24.90,25.26,24100,25.120001
2015-06-22,25.50,25.50,24.92,25.00,22000,24.861442
2015-06-19,24.700001,25.50,24.610001,25.49,44600,25.348726
2015-06-18,25.200001,25.200001,24.440001,24.610001,27900,24.473604
2015-06-17,25.48,25.48,25.10,25.10,25700,24.960888
2015-06-16,25.02,25.42,24.309999,25.41,25000,25.269169
2015-06-15,25.09,25.43,24.33,25.15,26700,25.01061
2015-06-12,25.379999,25.379999,24.809999,25.129999,23300,24.99072
2015-06-11,25.26,25.65,24.559999,25.450001,27600,25.308948
2015-06-10,24.299999,25.23,24.280001,25.18,37400,25.040444
2015-06-09,24.290001,24.35,24.16,24.209999,12000,24.075819
2015-06-08,23.969999,24.389999,23.76,24.23,23100,24.095709
2015-06-05,24.00,24.10,23.809999,24.10,15300,23.96643
2015-06-04,24.07,24.139999,23.860001,23.889999,9300,23.757593
2015-06-03,23.99,24.15,23.93,24.139999,35000,24.006207
2015-06-02,23.98,24.09,23.950001,24.09,17000,23.956485
2015-06-01,24.09,24.09,23.790001,24.01,16700,23.876929
2015-05-29,24.030001,24.08,23.92,24.00,20700,23.866984
2015-05-28,23.85,24.200001,23.85,24.10,18100,23.96643
2015-05-27,24.00,24.200001,23.82,23.959999,18200,23.827205
2015-05-26,24.25,24.40,24.00,24.01,14200,23.876929
2015-05-22,24.35,24.75,24.200001,24.299999,23600,24.16532
2015-05-21,24.209999,24.67,24.120001,24.27,46000,24.135488
2015-05-20,24.00,24.48,23.75,24.309999,18800,24.175265
2015-05-19,23.559999,23.90,23.52,23.83,33100,23.697926
2015-05-18,23.41,23.610001,23.309999,23.50,12900,23.369755
2015-05-15,23.559999,23.700001,23.299999,23.41,10800,23.280254
2015-05-14,23.370001,23.700001,23.129999,23.530001,21700,23.399589
2015-05-13,23.34,23.379999,23.27,23.299999,12300,23.170863
2015-05-12,23.190001,23.26,23.10,23.23,48500,23.101251
2015-05-11,23.35,23.370001,23.15,23.23,14800,23.101251
2015-05-08,23.35,23.41,23.10,23.41,21900,23.280254
2015-05-07,23.200001,23.370001,23.10,23.35,9700,23.220587
2015-05-06,23.32,23.690001,22.90,23.209999,17400,23.081361
2015-05-05,23.530001,23.690001,23.110001,23.26,14200,23.131085
2015-05-04,23.34,23.74,23.23,23.620001,22400,23.489091
2015-05-01,23.379999,23.50,23.10,23.440001,11100,23.310088
2015-04-30,23.74,23.74,23.209999,23.35,20900,23.220587
2015-04-29,23.74,24.00,23.34,23.92,30000,23.787427
2015-04-28,23.25,23.940001,23.120001,23.77,16300,23.638259
2015-04-27,23.299999,23.309999,23.049999,23.200001,10800,23.071419
2015-04-24,23.25,23.25,23.07,23.25,10700,23.121141
2015-04-23,22.91,23.379999,22.91,23.25,9700,23.121141
2015-04-22,22.969999,23.139999,22.860001,23.030001,7800,22.902361
2015-04-21,23.15,23.40,22.799999,23.040001,18300,22.912305
2015-04-20,22.93,23.32,22.93,23.299999,12500,23.170863
2015-04-17,23.26,23.35,22.85,22.93,22700,22.802914
2015-04-16,22.950001,23.65,22.950001,23.41,15500,23.280254
2015-04-15,23.120001,23.16,22.85,23.049999,12800,22.922248
2015-04-14,23.049999,23.15,23.00,23.120001,19700,22.991862
2015-04-13,22.82,23.17,22.809999,23.10,23900,22.971972
2015-04-10,23.110001,23.190001,22.85,22.889999,12600,22.763135
2015-04-09,23.10,23.110001,22.84,23.08,10600,22.952083
2015-04-08,23.049999,23.34,22.709999,22.85,15700,22.723358
2015-04-07,23.200001,23.219999,23.00,23.059999,13500,22.932193
2015-04-06,23.030001,23.290001,23.030001,23.08,10500,22.952083
2015-04-02,23.360001,23.48,23.24,23.299999,17900,23.170863
2015-04-01,23.379999,23.50,23.219999,23.370001,15300,23.240476
2015-03-31,23.42,23.52,23.09,23.389999,9800,23.260364
2015-03-30,22.950001,23.67,22.75,23.67,38400,23.399588
2015-03-27,22.60,23.00,22.540001,22.99,15700,22.727356
2015-03-26,22.57,22.969999,22.57,22.610001,7900,22.351698
2015-03-25,22.99,22.99,22.50,22.559999,18000,22.302269
2015-03-24,23.719999,23.719999,22.75,22.92,10100,22.658156
2015-03-23,23.40,23.709999,23.10,23.18,12000,22.915186
2015-03-20,22.950001,23.50,22.75,23.440001,64600,23.172216
2015-03-19,22.700001,22.940001,22.60,22.92,15500,22.658156
2015-03-18,23.77,24.16,22.549999,22.639999,85900,22.381355
2015-03-17,23.370001,24.00,23.370001,23.83,10900,23.55776
2015-03-16,23.719999,24.049999,23.35,23.799999,25300,23.528102
2015-03-13,23.58,23.60,23.120001,23.58,24700,23.310616
2015-03-12,22.959999,23.610001,22.860001,23.58,20200,23.310616
2015-03-11,22.700001,22.870001,22.700001,22.709999,8200,22.450555
2015-03-10,23.01,23.01,22.700001,22.709999,10100,22.450555
2015-03-09,23.02,23.290001,22.85,22.98,13800,22.71747
2015-03-06,22.809999,23.33,22.809999,22.85,21700,22.588956
2015-03-05,22.870001,23.18,22.700001,22.93,20300,22.668042
2015-03-04,22.92,23.200001,22.74,22.799999,12800,22.539526
2015-03-03,22.719999,23.34,22.719999,22.969999,12900,22.707584
2015-03-02,22.68,23.00,22.58,22.809999,19700,22.549412
2015-02-27,22.700001,22.969999,22.60,22.60,24100,22.341812
2015-02-26,22.389999,22.799999,22.370001,22.639999,18000,22.381355
2015-02-25,22.35,22.67,22.25,22.549999,14900,22.292383
2015-02-24,22.540001,22.60,22.110001,22.469999,26100,22.213297
2015-02-23,22.34,22.60,21.959999,22.469999,13100,22.213297
2015-02-20,22.639999,22.82,22.08,22.440001,29400,22.183641
2015-02-19,23.049999,23.280001,22.440001,22.57,36000,22.312155
2015-02-18,23.00,23.10,22.969999,23.02,6800,22.757014
2015-02-17,23.01,23.16,23.00,23.120001,6800,22.855872
2015-02-13,23.00,23.34,22.90,23.16,17200,22.895414
2015-02-12,22.889999,23.42,22.889999,23.00,9600,22.737242
2015-02-11,22.790001,23.00,22.60,22.879999,35200,22.618612
2015-02-10,23.139999,23.139999,22.66,22.790001,12900,22.529642
2015-02-09,23.00,23.610001,22.90,22.90,16100,22.638384
2015-02-06,23.24,23.48,23.00,23.129999,22800,22.865756
2015-02-05,22.93,23.23,22.93,23.200001,9300,22.934958
2015-02-04,22.92,23.25,22.889999,22.91,11900,22.64827
2015-02-03,22.49,23.120001,22.49,22.85,16800,22.588956
2015-02-02,22.51,22.879999,22.15,22.50,22100,22.242955
2015-01-30,23.00,23.41,22.209999,22.379999,31300,22.124325
2015-01-29,22.35,23.219999,22.35,23.219999,16300,22.954728
2015-01-28,23.870001,23.870001,22.91,22.92,16200,22.658156
2015-01-27,24.049999,24.280001,23.809999,23.98,22000,23.706046
2015-01-26,24.75,24.75,24.059999,24.219999,21500,23.943304
2015-01-23,24.84,25.049999,24.629999,24.629999,8400,24.34862
2015-01-22,24.780001,25.10,24.49,25.09,18000,24.803366
2015-01-21,24.74,24.969999,24.16,24.48,19000,24.200334
2015-01-20,24.530001,24.860001,24.059999,24.620001,17000,24.338736
2015-01-16,23.559999,24.700001,23.559999,24.450001,21100,24.170678
2015-01-15,23.90,25.299999,23.41,23.629999,20000,23.360044
2015-01-14,24.190001,24.799999,23.66,23.959999,17200,23.686274
2015-01-13,24.67,24.67,23.83,24.41,18500,24.131134
2015-01-12,23.530001,24.33,23.530001,24.09,17800,23.81479
2015-01-09,24.51,25.00,24.34,24.389999,18200,24.111362
2015-01-08,24.559999,24.83,24.559999,24.780001,11800,24.496908
2015-01-07,24.57,24.57,24.08,24.40,19900,24.121248
2015-01-06,25.25,25.389999,24.42,24.559999,16000,24.27942
2015-01-05,25.799999,25.799999,25.23,25.26,6800,24.971424
2015-01-02,26.27,26.27,25.370001,25.860001,19400,25.56457
2014-12-31,26.059999,26.43,26.049999,26.139999,10200,25.84137
2014-12-30,26.290001,26.58,26.290001,26.51,5800,26.207144
2014-12-29,26.42,26.75,26.35,26.73,4600,26.286229
2014-12-26,26.290001,26.50,26.26,26.42,8500,25.981376
2014-12-24,26.559999,26.559999,26.24,26.24,4000,25.804364
2014-12-23,26.24,26.75,25.950001,26.610001,41800,26.168222
2014-12-22,26.370001,26.60,26.129999,26.219999,65100,25.784695
2014-12-19,25.90,26.450001,25.77,26.440001,46300,26.001044
2014-12-18,25.65,26.00,25.08,26.00,17100,25.568349
2014-12-17,24.85,25.67,24.809999,25.66,19900,25.233993
2014-12-16,24.889999,25.01,24.700001,24.84,11500,24.427607
2014-12-15,24.75,24.940001,24.66,24.74,15800,24.329267
2014-12-12,24.75,24.99,24.60,24.700001,13200,24.289932
2014-12-11,24.559999,24.940001,24.559999,24.84,16100,24.427607
2014-12-10,24.870001,25.09,24.549999,24.559999,13400,24.152255
