Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,12.32,13.07,12.06,12.06,26000,12.06
2015-08-06,12.34,12.45,12.15,12.29,35600,12.29
2015-08-05,13.28,13.29,12.20,12.44,47400,12.44
2015-08-04,13.47,13.49,13.15,13.15,8800,13.15
2015-08-03,13.52,13.52,13.14,13.47,33900,13.47
2015-07-31,13.92,13.93,13.52,13.52,6000,13.52
2015-07-30,13.64,13.86,13.50,13.66,10900,13.66
2015-07-29,13.57,13.75,13.57,13.66,6000,13.66
2015-07-28,13.55,13.95,13.54,13.55,12400,13.55
2015-07-27,13.74,13.74,13.44,13.54,29300,13.54
2015-07-24,13.98,13.98,13.65,13.79,12100,13.79
2015-07-23,14.02,14.02,13.66,13.98,17700,13.98
2015-07-22,14.00,14.18,13.99,14.09,13300,14.09
2015-07-21,14.10,14.20,13.94,14.03,6300,14.03
2015-07-20,14.35,14.35,14.08,14.23,10300,14.117
2015-07-17,14.30,14.39,14.10,14.37,26900,14.255888
2015-07-16,14.20,14.29,14.07,14.29,5300,14.176524
2015-07-15,14.05,14.25,14.05,14.10,6700,13.988033
2015-07-14,14.13,14.37,13.95,14.15,29400,14.037635
2015-07-13,13.85,14.15,13.85,14.01,7800,13.898748
2015-07-10,13.90,14.20,13.79,13.82,12700,13.710256
2015-07-09,13.72,14.03,13.72,13.75,9700,13.640812
2015-07-08,13.97,14.05,13.60,13.75,13600,13.640812
2015-07-07,13.85,14.00,13.58,13.80,68100,13.690415
2015-07-06,13.94,14.00,13.63,13.77,36800,13.660654
2015-07-02,13.73,14.08,13.59,13.94,15600,13.829303
2015-07-01,14.21,14.26,13.57,13.59,48000,13.482083
2015-06-30,14.13,14.34,13.97,14.04,29000,13.928509
2015-06-29,14.19,14.34,14.13,14.13,17600,14.017795
2015-06-26,14.28,14.29,13.93,14.25,26900,14.136841
2015-06-25,14.27,14.31,14.08,14.26,17700,14.146762
2015-06-24,14.22,14.25,13.88,14.16,47400,14.047556
2015-06-23,14.02,14.25,14.02,14.16,10600,14.047556
2015-06-22,14.20,14.20,14.00,14.01,24500,13.898748
2015-06-19,14.17,14.34,13.92,14.16,31000,14.047556
2015-06-18,14.39,14.39,14.00,14.03,31700,13.918588
2015-06-17,14.15,14.26,14.01,14.10,28600,13.988033
2015-06-16,14.33,14.35,14.01,14.17,25600,14.057477
2015-06-15,14.39,14.40,14.10,14.37,72700,14.143786
2015-06-12,14.20,14.25,13.98,14.09,76900,13.868194
2015-06-11,14.31,14.50,14.03,14.11,59200,13.887878
2015-06-10,14.24,14.60,13.93,14.16,18000,13.937091
2015-06-09,13.84,14.30,13.82,14.24,16300,14.015832
2015-06-08,13.89,14.47,13.69,14.07,51300,13.848508
2015-06-05,13.83,14.00,13.81,14.00,20700,13.77961
2015-06-04,14.00,14.00,13.68,13.95,17200,13.730397
2015-06-03,14.00,14.00,13.85,14.00,21800,13.77961
2015-06-02,13.68,14.00,13.68,13.95,22000,13.730397
2015-06-01,14.30,14.30,13.72,13.76,60200,13.543389
2015-05-29,14.10,14.18,13.96,14.12,32200,13.897721
2015-05-28,14.04,14.04,13.85,14.00,8300,13.77961
2015-05-27,14.20,14.20,13.90,13.90,20900,13.681184
2015-05-26,13.93,14.20,13.93,13.96,14800,13.74024
2015-05-22,14.33,14.37,13.90,13.96,53000,13.74024
2015-05-21,14.19,14.48,13.87,14.25,34000,14.025675
2015-05-20,14.18,14.39,14.01,14.20,18100,13.976462
2015-05-19,14.49,14.49,14.01,14.18,44000,13.956777
2015-05-18,14.76,14.76,13.89,14.39,154700,14.05225
2015-05-15,13.40,14.05,13.16,14.00,145700,13.671404
2015-05-14,13.41,13.41,13.29,13.38,11900,13.065956
2015-05-13,13.20,13.42,13.20,13.28,15400,12.968303
2015-05-12,12.67,13.71,12.54,13.17,29800,12.860885
2015-05-11,12.00,12.93,12.00,12.51,31700,12.216376
2015-05-08,12.66,12.82,11.82,11.93,40900,11.649989
2015-05-07,13.10,13.59,11.27,12.41,79600,12.118723
2015-05-06,13.34,13.82,13.22,13.59,20600,13.271027
2015-05-05,13.63,13.99,13.24,13.41,15600,13.095251
2015-05-04,14.05,14.05,13.55,13.62,3000,13.300322
2015-05-01,13.42,13.68,13.42,13.58,13200,13.261261
2015-04-30,13.20,13.50,13.20,13.46,23300,13.144078
2015-04-29,13.16,13.46,13.16,13.22,15900,12.909711
2015-04-28,13.42,13.62,13.33,13.37,5100,13.05619
2015-04-27,13.44,13.80,13.20,13.39,5300,13.075721
2015-04-24,13.18,13.65,13.00,13.38,8900,13.065956
2015-04-23,13.65,13.65,12.88,13.18,26500,12.87065
2015-04-22,13.86,13.94,13.55,13.59,10900,13.271027
2015-04-21,13.97,14.08,13.54,13.82,21000,13.495628
2015-04-20,14.15,14.20,14.03,14.03,22300,13.590351
2015-04-17,14.00,14.30,14.00,14.03,26600,13.590351
2015-04-16,14.21,14.45,13.95,14.04,51000,13.600038
2015-04-15,14.10,14.25,14.06,14.15,26100,13.706591
2015-04-14,14.00,14.10,13.89,13.97,12500,13.532232
2015-04-13,13.72,13.99,13.62,13.92,32600,13.483799
2015-04-10,13.62,13.79,13.57,13.66,15800,13.231946
2015-04-09,13.46,13.73,13.46,13.56,15300,13.13508
2015-04-08,13.39,13.56,13.31,13.40,10600,12.980093
2015-04-07,13.47,13.51,13.36,13.45,43700,13.028526
2015-04-06,13.22,13.51,12.89,13.38,33000,12.96072
2015-04-02,12.98,13.30,12.91,13.11,19100,12.699181
2015-04-01,12.97,12.97,12.83,12.89,4300,12.486075
2015-03-31,12.88,13.00,12.80,12.98,15200,12.573254
2015-03-30,12.93,13.01,12.82,12.95,8100,12.544195
2015-03-27,13.01,13.01,12.80,12.85,12000,12.447329
2015-03-26,12.77,13.01,12.77,13.00,10700,12.592628
2015-03-25,12.86,12.98,12.80,12.82,4500,12.418268
2015-03-24,12.84,13.04,12.80,12.80,5200,12.398895
2015-03-23,12.80,12.90,12.60,12.82,89200,12.418268
2015-03-20,12.67,13.18,12.51,12.80,79600,12.398895
2015-03-19,12.72,12.72,12.33,12.64,18300,12.243909
2015-03-18,12.70,12.79,12.51,12.76,9500,12.360149
2015-03-17,12.79,12.80,12.67,12.80,17600,12.289437
2015-03-16,12.68,12.80,12.47,12.80,30900,12.289437
2015-03-13,12.51,12.74,12.45,12.60,19400,12.097414
2015-03-12,12.52,12.66,12.49,12.60,11300,12.097414
2015-03-11,12.73,12.73,12.34,12.50,3700,12.001403
2015-03-10,12.58,12.78,12.51,12.65,9700,12.145419
2015-03-09,12.55,12.70,12.50,12.56,13900,12.05901
2015-03-06,12.70,12.89,12.51,12.55,6700,12.049408
2015-03-05,12.80,12.80,12.70,12.70,2200,12.193425
2015-03-04,12.78,12.85,12.56,12.61,45100,12.107015
2015-03-03,12.94,12.94,12.61,12.77,6200,12.260633
2015-03-02,12.46,12.74,12.46,12.71,8800,12.203026
2015-02-27,12.67,13.00,12.52,12.55,26400,12.049408
2015-02-26,12.65,12.79,12.55,12.62,27300,12.116616
2015-02-25,12.45,12.65,12.33,12.50,7100,12.001403
2015-02-24,12.47,12.70,12.31,12.54,44500,12.039807
2015-02-23,12.30,12.47,12.30,12.41,20800,11.914992
2015-02-20,12.45,12.45,12.30,12.38,15900,11.886189
2015-02-19,12.23,12.49,12.23,12.44,17500,11.943796
2015-02-18,12.47,12.47,12.27,12.45,40100,11.844904
2015-02-17,12.22,12.42,12.18,12.35,35800,11.749765
2015-02-13,12.29,12.30,12.15,12.17,12200,11.578513
2015-02-12,12.27,12.29,12.12,12.14,18600,11.549972
2015-02-11,12.11,12.23,12.03,12.19,4500,11.597541
2015-02-10,12.18,12.34,12.03,12.25,24200,11.654625
2015-02-09,12.24,12.35,12.09,12.12,16200,11.530943
