Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,12.43,12.59,12.07,12.25,147900,12.25
2015-08-06,12.99,13.01,12.35,12.41,163500,12.41
2015-08-05,12.43,13.10,12.41,12.95,180200,12.95
2015-08-04,12.38,12.60,12.38,12.45,74000,12.45
2015-08-03,12.85,12.85,12.21,12.48,104700,12.48
2015-07-31,12.63,12.92,12.52,12.80,95200,12.80
2015-07-30,12.61,12.82,12.45,12.65,88100,12.65
2015-07-29,13.02,13.02,12.53,12.71,73400,12.71
2015-07-28,13.02,13.34,12.57,13.04,92900,13.04
2015-07-27,12.82,13.15,12.60,12.96,78800,12.96
2015-07-24,13.21,13.33,12.83,12.94,79900,12.94
2015-07-23,13.02,13.22,12.85,13.18,130000,13.18
2015-07-22,13.54,13.69,12.99,13.10,135700,13.10
2015-07-21,13.39,13.92,13.39,13.66,260300,13.66
2015-07-20,13.50,13.50,13.14,13.43,107100,13.43
2015-07-17,13.51,13.54,13.28,13.45,78200,13.45
2015-07-16,13.12,13.59,13.07,13.45,130900,13.45
2015-07-15,13.05,13.23,12.84,13.00,102100,13.00
2015-07-14,13.02,13.19,12.89,13.05,91500,13.05
2015-07-13,13.20,13.25,12.89,13.02,114300,13.02
2015-07-10,12.94,13.23,12.65,13.09,105800,13.09
2015-07-09,12.98,13.33,12.77,12.77,111000,12.77
2015-07-08,12.90,13.10,12.53,12.90,138200,12.90
2015-07-07,13.42,13.74,12.87,13.15,130700,13.15
2015-07-06,12.98,13.47,12.83,13.43,154700,13.43
2015-07-02,13.39,13.53,13.15,13.31,123800,13.31
2015-07-01,13.54,14.20,13.15,13.35,320500,13.35
2015-06-30,13.25,13.53,13.05,13.43,785300,13.43
2015-06-29,13.37,13.67,13.01,13.18,180300,13.18
2015-06-26,13.45,13.67,13.08,13.42,852000,13.42
2015-06-25,13.01,13.68,12.80,13.39,233300,13.39
2015-06-24,13.28,13.55,12.88,12.91,293100,12.81
2015-06-23,12.23,13.37,12.16,13.25,376300,13.147367
2015-06-22,11.95,12.36,11.95,12.12,230600,12.026119
2015-06-19,12.21,12.25,11.83,11.95,183800,11.857436
2015-06-18,11.82,12.22,11.82,12.17,124300,12.075732
2015-06-17,11.86,11.98,11.70,11.74,62800,11.649063
2015-06-16,11.71,11.84,11.58,11.79,108700,11.698676
2015-06-15,11.84,11.84,11.37,11.64,141300,11.549838
2015-06-12,11.87,11.93,11.72,11.84,97900,11.748288
2015-06-11,11.82,11.94,11.80,11.85,101300,11.758211
2015-06-10,11.90,11.99,11.82,11.85,129700,11.758211
2015-06-09,11.99,12.00,11.79,11.85,54700,11.758211
2015-06-08,12.05,12.11,11.83,12.03,83400,11.936816
2015-06-05,12.04,12.04,11.75,11.94,125900,11.847513
2015-06-04,11.99,12.21,11.89,12.02,90400,11.926894
2015-06-03,12.05,12.27,11.97,12.10,133100,12.006275
2015-06-02,11.92,12.19,11.82,11.97,201800,11.877282
2015-06-01,11.80,11.99,11.80,11.96,226300,11.867359
2015-05-29,11.88,12.00,11.79,11.83,125300,11.738366
2015-05-28,11.92,11.98,11.69,11.88,61700,11.787979
2015-05-27,11.87,12.12,11.56,11.99,116200,11.897126
2015-05-26,12.22,12.59,11.78,11.79,142800,11.698676
2015-05-22,11.39,11.89,11.39,11.73,100400,11.63914
2015-05-21,11.45,11.50,11.12,11.37,231800,11.281929
2015-05-20,11.48,11.68,11.35,11.40,79000,11.311696
2015-05-19,11.83,11.90,11.42,11.48,101500,11.391076
2015-05-18,11.32,12.12,11.20,11.72,175800,11.629218
2015-05-15,11.35,11.44,11.20,11.29,114200,11.202549
2015-05-14,10.93,11.73,10.80,11.31,243000,11.222394
2015-05-13,10.20,11.14,9.76,10.91,478800,10.825492
2015-05-12,9.45,9.61,9.35,9.45,66100,9.376801
2015-05-11,9.41,9.54,9.37,9.44,53000,9.366878
2015-05-08,9.59,9.59,9.34,9.36,63800,9.287498
2015-05-07,9.39,9.62,9.31,9.50,45200,9.426414
2015-05-06,9.35,9.43,9.02,9.34,80900,9.267653
2015-05-05,9.70,9.81,9.36,9.43,63900,9.356956
2015-05-04,9.43,9.84,9.33,9.74,106100,9.664554
2015-05-01,9.58,9.87,9.53,9.85,62100,9.773703
2015-04-30,9.87,9.98,9.53,9.60,102100,9.52564
2015-04-29,10.04,10.05,9.76,9.89,45800,9.813393
2015-04-28,9.86,10.09,9.85,10.04,47800,9.962231
2015-04-27,9.74,10.07,9.74,9.89,77300,9.813393
2015-04-24,9.94,9.94,9.55,9.74,37900,9.664554
2015-04-23,9.83,9.94,9.64,9.90,63000,9.823315
2015-04-22,10.00,10.11,9.89,9.96,83600,9.882851
2015-04-21,9.94,10.08,9.84,9.94,89200,9.863005
2015-04-20,9.35,10.27,9.34,9.81,237500,9.734013
2015-04-17,9.23,9.36,9.08,9.21,89100,9.13866
2015-04-16,9.28,9.46,9.21,9.30,46500,9.227963
2015-04-15,8.99,9.29,8.93,9.26,42600,9.188273
2015-04-14,8.93,8.98,8.84,8.94,20000,8.870751
2015-04-13,8.74,8.90,8.66,8.89,64000,8.821139
2015-04-10,8.86,9.00,8.77,8.85,45600,8.781449
2015-04-09,9.19,9.19,8.85,8.88,58100,8.811216
2015-04-08,9.03,9.26,9.03,9.16,38800,9.089047
2015-04-07,9.15,9.32,9.02,9.07,47400,8.999744
2015-04-06,9.27,9.30,8.98,9.20,111500,9.128737
2015-04-02,9.44,9.58,9.20,9.28,89300,9.208118
2015-04-01,8.89,9.38,8.89,9.36,167500,9.287498
2015-03-31,8.86,8.99,8.79,8.94,23600,8.870751
2015-03-30,8.77,8.96,8.77,8.94,43600,8.870751
2015-03-27,8.60,8.86,8.60,8.70,109300,8.63261
2015-03-26,8.56,8.68,8.52,8.60,72400,8.533385
2015-03-25,8.83,8.94,8.57,8.58,83000,8.51354
2015-03-24,8.99,8.99,8.67,8.86,31400,8.791371
2015-03-23,8.66,8.75,8.54,8.60,99100,8.533385
2015-03-20,8.75,8.83,8.67,8.70,115000,8.63261
2015-03-19,8.70,8.79,8.69,8.75,34300,8.682223
2015-03-18,8.72,8.80,8.32,8.77,56700,8.702069
2015-03-17,8.78,8.80,8.70,8.78,43200,8.711991
2015-03-16,8.83,8.86,8.55,8.80,33500,8.731836
2015-03-13,8.97,8.97,8.73,8.81,33900,8.741759
2015-03-12,8.95,9.04,8.77,8.97,46800,8.900519
2015-03-11,9.05,9.17,8.85,8.93,44900,8.860829
2015-03-10,8.93,9.21,8.67,8.97,58000,8.900519
2015-03-09,9.14,9.25,9.07,9.11,53100,9.039434
2015-03-06,9.01,9.17,8.99,9.10,49800,9.029512
2015-03-05,9.00,9.20,8.92,9.08,83300,9.009667
2015-03-04,8.71,9.04,8.65,8.98,91100,8.910441
2015-03-03,8.75,8.91,8.65,8.72,34500,8.652456
2015-03-02,8.84,8.91,8.57,8.81,181500,8.741759
2015-02-27,9.25,9.25,8.77,8.81,101000,8.741759
2015-02-26,9.00,9.31,8.89,9.23,42200,9.158505
2015-02-25,8.10,9.07,8.10,9.02,119900,8.950132
2015-02-24,7.87,7.98,7.81,7.93,44000,7.868575
2015-02-23,7.95,7.97,7.85,7.87,39000,7.809039
2015-02-20,8.01,8.02,7.87,7.93,50000,7.868575
2015-02-19,8.10,8.14,7.98,7.99,22700,7.92811
