Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,8.40,8.47,8.27,8.44,54300,8.44
2015-08-06,8.36,8.63,8.36,8.50,34500,8.50
2015-08-05,8.43,8.62,8.13,8.23,25800,8.23
2015-08-04,8.28,8.45,8.26,8.30,13100,8.30
2015-08-03,8.56,8.56,8.25,8.30,34100,8.30
2015-07-31,8.60,8.60,8.50,8.50,24000,8.50
2015-07-30,8.59,8.69,8.52,8.52,10300,8.52
2015-07-29,8.59,8.71,8.53,8.60,16500,8.60
2015-07-28,8.69,8.72,8.55,8.61,18400,8.61
2015-07-27,8.85,8.91,8.67,8.67,20300,8.67
2015-07-24,9.11,9.11,8.90,8.90,15300,8.90
2015-07-23,9.11,9.14,9.01,9.05,10200,9.05
2015-07-22,9.17,9.17,9.03,9.10,17900,9.10
2015-07-21,9.30,9.31,9.14,9.24,11700,9.24
2015-07-20,9.61,9.61,9.31,9.31,8200,9.31
2015-07-17,9.45,9.49,9.34,9.46,10800,9.46
2015-07-16,9.39,9.48,9.35,9.43,18300,9.43
2015-07-15,9.50,9.55,9.34,9.40,14100,9.40
2015-07-14,9.55,9.64,9.55,9.55,3100,9.55
2015-07-13,9.61,9.69,9.50,9.61,10500,9.61
2015-07-10,9.57,9.74,9.52,9.54,11600,9.54
2015-07-09,9.61,9.75,9.50,9.53,11400,9.53
2015-07-08,9.56,9.65,9.51,9.55,14600,9.55
2015-07-07,9.64,9.73,9.36,9.61,35100,9.61
2015-07-06,9.71,9.74,9.52,9.65,15400,9.65
2015-07-02,9.83,9.90,9.69,9.72,25500,9.72
2015-07-01,9.91,10.01,9.91,9.91,3700,9.91
2015-06-30,9.90,9.94,9.80,9.85,20400,9.85
2015-06-29,10.20,10.24,9.85,9.89,21900,9.89
2015-06-26,10.14,10.25,10.14,10.25,13000,10.25
2015-06-25,9.96,10.19,9.96,10.08,14700,10.08
2015-06-24,10.03,10.08,9.95,9.97,10900,9.97
2015-06-23,10.00,10.13,9.94,9.98,15400,9.98
2015-06-22,9.80,10.12,9.80,9.98,14000,9.98
2015-06-19,9.89,9.95,9.77,9.78,23100,9.78
2015-06-18,9.87,9.97,9.84,9.84,7700,9.84
2015-06-17,9.99,9.99,9.85,9.90,9900,9.90
2015-06-16,9.87,10.01,9.85,10.01,4200,10.01
2015-06-15,9.79,9.96,9.66,9.87,14600,9.87
2015-06-12,9.75,9.88,9.71,9.83,42900,9.83
2015-06-11,9.57,9.69,9.38,9.65,40500,9.65
2015-06-10,9.45,9.60,9.45,9.54,15000,9.54
2015-06-09,9.75,9.82,9.41,9.47,40400,9.47
2015-06-08,10.20,10.20,9.72,9.82,36100,9.82
2015-06-05,10.35,10.46,10.11,10.15,15000,10.15
2015-06-04,10.72,10.72,10.37,10.37,5000,10.37
2015-06-03,10.70,10.84,10.64,10.69,8200,10.69
2015-06-02,10.74,10.79,10.66,10.79,8100,10.79
2015-06-01,10.81,10.81,10.62,10.72,15300,10.72
2015-05-29,10.64,10.77,10.58,10.70,6600,10.70
2015-05-28,10.75,10.80,10.65,10.79,9500,10.79
2015-05-27,10.76,10.85,10.66,10.69,11700,10.669999
2015-05-26,10.76,10.86,10.75,10.77,15200,10.749851
2015-05-22,10.89,10.92,10.84,10.90,13800,10.879606
2015-05-21,10.80,11.08,10.74,10.95,6600,10.929513
2015-05-20,10.75,10.83,10.70,10.80,10600,10.779794
2015-05-19,10.90,10.93,10.73,10.73,10800,10.709924
2015-05-18,10.91,11.00,10.86,10.97,18300,10.949476
2015-05-15,10.96,10.99,10.82,10.97,4400,10.949476
2015-05-14,10.97,11.11,10.97,10.97,4300,10.949476
2015-05-13,11.00,11.02,10.91,10.96,6200,10.939495
2015-05-12,11.05,11.11,10.96,11.00,15100,10.97942
2015-05-11,11.06,11.21,10.76,11.13,22600,11.109177
2015-05-08,11.06,11.20,10.98,11.03,6900,11.009363
2015-05-07,10.49,11.16,10.42,10.93,14900,10.909551
2015-05-06,10.34,10.47,10.30,10.47,28600,10.450412
2015-05-05,10.40,10.44,10.25,10.27,6900,10.250786
2015-05-04,10.74,10.75,10.31,10.33,28000,10.310673
2015-05-01,10.80,10.88,10.65,10.79,5600,10.769813
2015-04-30,10.89,10.89,10.67,10.76,14700,10.739869
2015-04-29,10.98,10.98,10.67,10.93,14200,10.909551
2015-04-28,10.62,11.11,10.61,10.99,21500,10.969438
2015-04-27,11.10,11.17,10.72,10.80,18000,10.779794
2015-04-24,11.10,11.21,10.89,11.02,29100,10.999383
2015-04-23,11.20,11.31,11.08,11.16,38400,11.13912
2015-04-22,11.33,11.48,11.09,11.21,45100,11.189027
2015-04-21,11.40,11.45,11.36,11.43,9900,11.408616
2015-04-20,11.43,11.49,11.37,11.41,9500,11.388653
2015-04-17,11.38,11.51,11.36,11.44,7200,11.418596
2015-04-16,11.49,11.51,11.40,11.45,10500,11.428578
2015-04-15,11.49,11.49,11.42,11.46,3800,11.438559
2015-04-14,11.33,11.53,11.33,11.48,7300,11.458521
2015-04-13,11.48,11.50,11.36,11.48,21500,11.458521
2015-04-10,11.41,11.52,11.40,11.40,7800,11.378671
2015-04-09,11.55,11.55,11.42,11.51,3700,11.488466
2015-04-08,11.60,11.60,11.50,11.51,6600,11.488466
2015-04-07,11.54,11.69,11.51,11.63,9400,11.608241
2015-04-06,11.51,11.68,11.37,11.55,10700,11.528391
2015-04-02,11.54,11.69,11.54,11.60,14600,11.578298
2015-04-01,11.39,11.69,11.39,11.63,8200,11.608241
2015-03-31,11.42,11.65,11.42,11.60,16400,11.578298
2015-03-30,11.35,11.45,11.35,11.45,11200,11.428578
2015-03-27,11.35,11.42,11.35,11.35,3500,11.328765
2015-03-26,11.30,11.40,11.26,11.40,18100,11.378671
2015-03-25,11.38,11.40,11.36,11.36,7900,11.338746
2015-03-24,11.24,11.44,11.22,11.40,7500,11.378671
2015-03-23,11.37,11.43,11.30,11.33,21700,11.308802
2015-03-20,11.49,11.79,11.30,11.30,73400,11.278859
2015-03-19,11.40,11.61,11.36,11.50,41100,11.478484
2015-03-18,11.41,11.45,11.39,11.40,39400,11.378671
2015-03-17,11.39,11.45,11.37,11.45,11900,11.428578
2015-03-16,11.46,11.48,11.37,11.42,19600,11.398634
2015-03-13,11.40,11.50,11.36,11.50,32000,11.478484
2015-03-12,11.51,11.54,11.41,11.41,2900,11.388653
2015-03-11,11.36,11.50,11.35,11.45,27300,11.428578
2015-03-10,11.52,11.53,11.36,11.39,15000,11.36869
2015-03-09,11.54,11.64,11.47,11.64,22000,11.618223
2015-03-06,11.50,11.51,11.40,11.50,27600,11.478484
2015-03-05,11.69,11.72,11.55,11.57,29800,11.548353
2015-03-04,11.80,11.85,11.60,11.72,22100,11.698073
2015-03-03,11.49,11.89,11.49,11.75,22500,11.728017
2015-03-02,11.47,11.60,11.44,11.50,35800,11.478484
2015-02-27,11.56,11.60,11.42,11.42,16500,11.398634
2015-02-26,11.51,11.64,11.46,11.52,16000,11.498447
2015-02-25,11.52,11.60,11.50,11.55,7800,11.528391
2015-02-24,11.46,11.64,11.45,11.45,6700,11.408615
2015-02-23,11.44,11.58,11.44,11.44,36700,11.398651
2015-02-20,11.60,11.72,11.44,11.44,16500,11.398651
2015-02-19,11.60,11.80,11.60,11.62,8600,11.578001
2015-02-18,11.77,11.81,11.63,11.66,13900,11.617856
2015-02-17,11.69,11.75,11.51,11.71,19100,11.667676
2015-02-13,11.80,11.84,11.44,11.69,117900,11.647748
2015-02-12,11.40,11.96,11.40,11.83,21500,11.787242
2015-02-11,11.41,11.42,11.19,11.33,12700,11.289049
2015-02-10,11.55,11.56,11.31,11.50,8800,11.458435
2015-02-09,11.55,11.60,11.45,11.49,16700,11.448471
2015-02-06,11.55,11.63,11.50,11.52,5500,11.478363
2015-02-05,11.40,11.60,11.34,11.55,6300,11.508254
2015-02-04,11.60,11.60,11.15,11.43,22000,11.388688
2015-02-03,11.60,11.80,11.43,11.65,14300,11.607892
2015-02-02,11.56,11.69,11.30,11.61,19600,11.568037
2015-01-30,11.46,11.61,11.35,11.41,26500,11.36876
2015-01-29,11.03,11.65,11.03,11.65,22100,11.607892
2015-01-28,11.38,11.38,11.01,11.34,21000,11.299013
2015-01-27,11.25,11.38,10.91,11.32,7200,11.279085
2015-01-26,11.21,11.38,11.16,11.32,17100,11.279085
2015-01-23,11.03,11.32,10.89,11.30,11400,11.259158
2015-01-22,11.06,11.17,10.78,11.14,24300,11.099736
2015-01-21,10.89,11.06,10.88,11.06,18400,11.020026
2015-01-20,11.20,11.20,10.88,11.05,174000,11.010061
2015-01-16,11.25,11.28,11.19,11.21,18000,11.169483
2015-01-15,11.20,11.30,11.20,11.24,25200,11.199374
2015-01-14,11.30,11.35,11.23,11.26,13000,11.219302
2015-01-13,11.38,11.44,11.30,11.34,20500,11.299013
2015-01-12,11.36,11.44,11.33,11.38,115500,11.338869
2015-01-09,11.18,11.42,11.18,11.36,52600,11.31894
2015-01-08,11.36,11.44,11.25,11.30,17200,11.259158
2015-01-07,11.32,11.45,11.12,11.25,39900,11.209338
2015-01-06,11.41,11.50,11.13,11.24,27800,11.199374
2015-01-05,11.63,11.94,11.37,11.45,45700,11.408615
2015-01-02,12.05,12.05,11.51,11.56,20900,11.518218
2014-12-31,11.93,12.13,11.85,11.92,51100,11.876917
2014-12-30,11.96,12.00,11.72,12.00,21000,11.956628
2014-12-29,11.95,12.01,11.94,12.01,11500,11.966592
2014-12-26,11.84,12.26,11.82,11.98,16300,11.936699
2014-12-24,12.06,12.06,11.88,12.00,6200,11.956628
2014-12-23,12.10,12.19,11.63,11.99,31500,11.946664
2014-12-22,11.67,12.08,11.67,12.07,39900,12.026374
2014-12-19,11.55,11.85,11.46,11.65,48400,11.607892
2014-12-18,11.44,11.63,11.42,11.56,23000,11.518218
2014-12-17,11.44,11.44,11.21,11.28,39000,11.23923
2014-12-16,11.46,11.53,11.40,11.46,26200,11.418579
2014-12-15,11.49,11.58,11.33,11.55,13000,11.508254
2014-12-12,11.47,11.55,11.30,11.49,31900,11.448471
2014-12-11,11.63,11.75,11.42,11.45,38300,11.408615
2014-12-10,11.88,11.96,11.54,11.54,20000,11.49829
2014-12-09,11.72,11.99,11.54,11.84,15600,11.797206
2014-12-08,12.20,12.29,11.78,11.90,15700,11.856989
2014-12-05,12.26,12.49,12.20,12.31,27600,12.265508
2014-12-04,12.58,12.60,12.25,12.32,39900,12.275471
2014-12-03,12.59,13.09,12.31,12.44,40500,12.395037
2014-12-02,12.24,12.66,12.08,12.59,45300,12.544495
2014-12-01,12.11,12.39,12.00,12.26,34300,12.215688
2014-11-28,12.11,12.38,11.96,12.25,56300,12.205724
2014-11-26,11.80,12.08,11.80,12.02,22100,11.976556
2014-11-25,11.32,11.98,11.32,11.76,27700,11.697567
2014-11-24,11.20,11.40,11.20,11.25,168000,11.190275
2014-11-21,11.34,11.34,11.22,11.25,23700,11.190275
2014-11-20,11.23,11.35,11.17,11.25,33800,11.190275
2014-11-19,11.34,11.41,11.15,11.26,24500,11.200222
2014-11-18,11.35,11.61,11.15,11.28,48400,11.220115
2014-11-17,11.09,11.42,11.02,11.36,43600,11.29969
2014-11-14,11.36,11.45,11.08,11.09,32600,11.031124
2014-11-13,11.35,11.45,11.30,11.38,41900,11.319585
2014-11-12,11.32,11.48,11.30,11.35,18700,11.289744
2014-11-11,11.55,11.56,11.34,11.44,29300,11.379265
2014-11-10,11.47,11.60,11.13,11.50,34700,11.438947
2014-11-07,11.10,11.50,10.98,11.43,25200,11.369319
2014-11-06,10.81,11.14,10.61,11.14,96900,11.080859
2014-11-05,10.97,11.24,10.91,11.24,31000,11.180327
2014-11-04,11.31,11.33,10.94,10.98,26900,10.921708
2014-11-03,11.23,11.45,11.23,11.30,13100,11.240009
2014-10-31,11.46,11.46,11.22,11.22,15000,11.160434
2014-10-30,11.34,11.43,11.31,11.34,9700,11.279797
2014-10-29,11.28,11.45,11.11,11.38,21900,11.319585
2014-10-28,11.11,11.33,11.11,11.23,9100,11.17038
2014-10-27,11.02,11.07,10.93,11.01,9900,10.951549
2014-10-24,10.89,11.04,10.87,11.04,16700,10.981389
2014-10-23,11.05,11.05,10.78,10.80,41100,10.742664
2014-10-22,10.91,11.04,10.88,11.01,28100,10.951549
2014-10-21,10.62,10.88,10.56,10.87,49700,10.812292
2014-10-20,10.31,10.56,10.31,10.56,49500,10.503938
2014-10-17,10.43,10.65,10.36,10.41,41900,10.354734
2014-10-16,10.07,10.31,9.79,10.31,57300,10.255265
2014-10-15,9.73,10.35,9.70,10.20,63100,10.145849
2014-10-14,9.71,9.98,9.71,9.89,41000,9.837495
2014-10-13,10.11,10.11,9.70,9.79,48200,9.738026
2014-10-10,10.30,10.30,10.07,10.12,23000,10.066274
2014-10-09,10.33,10.43,10.29,10.35,21500,10.295053
2014-10-08,10.50,10.63,10.27,10.40,44100,10.344787
2014-10-07,10.62,10.72,10.51,10.51,23100,10.454203
2014-10-06,10.84,10.84,10.65,10.67,31400,10.613354
2014-10-03,10.50,10.76,10.47,10.75,19000,10.692929
2014-10-02,10.60,10.65,10.45,10.45,39300,10.394522
2014-10-01,10.87,10.88,10.50,10.58,48700,10.523831
2014-09-30,10.92,11.00,10.90,10.94,25500,10.88192
2014-09-29,10.77,11.03,10.77,10.98,41000,10.921708
