Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,17.809999,17.940001,17.799999,17.90,78500,17.90
2015-08-06,17.75,18.01,17.709999,17.950001,83500,17.950001
2015-08-05,17.370001,17.77,17.370001,17.620001,22100,17.620001
2015-08-04,17.48,17.690001,17.360001,17.43,25900,17.43
2015-08-03,17.700001,17.700001,17.450001,17.540001,25900,17.430001
2015-07-31,17.610001,17.879999,17.52,17.700001,36800,17.588998
2015-07-30,17.620001,17.75,17.52,17.639999,27800,17.529373
2015-07-29,17.719999,17.82,17.389999,17.690001,38300,17.57906
2015-07-28,17.82,17.82,17.49,17.700001,57400,17.588998
2015-07-27,17.459999,17.73,17.309999,17.709999,55100,17.598933
2015-07-24,17.74,17.969999,17.209999,17.52,62800,17.410126
2015-07-23,18.50,18.65,17.82,17.82,67700,17.708244
2015-07-22,18.49,18.74,18.49,18.620001,28100,18.503228
2015-07-21,18.540001,18.719999,18.379999,18.469999,55500,18.354167
2015-07-20,18.35,18.540001,18.290001,18.469999,22800,18.354167
2015-07-17,18.52,18.52,18.24,18.26,64300,18.145485
2015-07-16,18.50,18.549999,18.389999,18.440001,38500,18.324357
2015-07-15,18.41,18.48,18.280001,18.389999,34400,18.274669
2015-07-14,18.190001,18.459999,18.07,18.389999,40500,18.274669
2015-07-13,18.25,18.25,18.129999,18.219999,45500,18.105735
2015-07-10,18.01,18.23,17.889999,18.139999,52700,18.026237
2015-07-09,17.860001,18.030001,17.790001,17.92,60800,17.807617
2015-07-08,17.66,17.74,17.59,17.639999,39900,17.529373
2015-07-07,17.73,17.85,17.51,17.76,142400,17.648621
2015-07-06,17.67,17.809999,17.540001,17.780001,44600,17.668496
2015-07-02,18.15,18.15,17.709999,17.77,41300,17.658558
2015-07-01,17.90,18.32,17.84,18.129999,131300,18.016299
2015-06-30,17.98,17.98,17.76,17.870001,48300,17.757932
2015-06-29,17.940001,17.959999,17.700001,17.879999,81100,17.767867
2015-06-26,17.950001,18.00,17.90,17.99,239300,17.877178
2015-06-25,18.00,18.00,17.82,17.889999,36100,17.777805
2015-06-24,17.950001,17.969999,17.809999,17.93,55300,17.817555
2015-06-23,17.73,17.98,17.73,17.959999,103700,17.847365
2015-06-22,17.75,17.84,17.73,17.790001,58800,17.678433
2015-06-19,17.65,17.73,17.549999,17.66,187000,17.549248
2015-06-18,17.549999,17.75,17.540001,17.67,69900,17.559185
2015-06-17,17.700001,17.700001,17.370001,17.49,43000,17.380314
2015-06-16,17.459999,17.65,17.35,17.65,47900,17.53931
2015-06-15,17.43,17.610001,17.299999,17.549999,58200,17.439937
2015-06-12,17.610001,17.639999,17.49,17.58,79400,17.469749
2015-06-11,17.58,17.65,17.51,17.639999,44300,17.529373
2015-06-10,17.49,17.65,17.370001,17.65,146200,17.53931
2015-06-09,17.370001,17.49,17.32,17.469999,45900,17.360439
2015-06-08,17.40,17.50,17.32,17.41,26900,17.300815
2015-06-05,17.16,17.50,17.040001,17.48,41500,17.370376
2015-06-04,17.23,17.299999,17.02,17.10,29200,16.99276
2015-06-03,17.190001,17.459999,17.139999,17.370001,52500,17.261067
2015-06-02,16.860001,17.299999,16.860001,17.200001,40000,17.092133
2015-06-01,17.24,17.24,16.84,16.99,38300,16.883449
2015-05-29,17.24,17.24,16.950001,17.110001,48100,17.002698
2015-05-28,17.209999,17.43,17.110001,17.200001,30200,17.092133
2015-05-27,17.190001,17.40,17.08,17.309999,52400,17.201442
2015-05-26,17.08,17.290001,16.91,17.190001,64200,17.082196
2015-05-22,17.379999,17.48,17.129999,17.200001,57300,17.092133
2015-05-21,17.32,17.48,17.25,17.370001,60300,17.261067
2015-05-20,17.23,17.34,17.129999,17.280001,45300,17.171632
2015-05-19,17.26,17.309999,17.15,17.26,18800,17.151757
2015-05-18,16.98,17.299999,16.98,17.290001,42900,17.181569
2015-05-15,17.34,17.34,16.959999,17.02,42500,16.913262
2015-05-14,17.09,17.379999,17.049999,17.33,75300,17.221317
2015-05-13,17.18,17.18,16.99,17.02,23500,16.913262
2015-05-12,17.02,17.17,16.67,17.16,71900,17.052383
2015-05-11,17.110001,17.18,16.83,16.93,53600,16.823826
2015-05-08,17.120001,17.190001,16.76,17.10,86600,16.99276
2015-05-07,16.98,17.049999,16.870001,16.940001,68700,16.833764
2015-05-06,16.75,17.10,16.75,17.049999,122500,16.943073
2015-05-05,16.709999,16.84,16.58,16.76,87600,16.654892
2015-05-04,16.91,17.15,16.83,16.860001,56800,16.644955
2015-05-01,16.91,16.969999,16.629999,16.85,351900,16.635082
2015-04-30,17.09,17.219999,16.870001,16.90,91400,16.684444
2015-04-29,17.33,17.43,17.08,17.209999,43300,16.990489
2015-04-28,17.25,17.440001,17.190001,17.40,103000,17.178066
2015-04-27,17.25,17.42,17.10,17.190001,45200,16.970746
2015-04-24,17.280001,17.299999,17.10,17.290001,46600,17.06947
2015-04-23,17.27,17.50,17.139999,17.219999,65300,17.000362
2015-04-22,17.25,17.450001,17.120001,17.33,21400,17.108959
2015-04-21,17.290001,17.440001,17.15,17.299999,42000,17.079341
2015-04-20,17.10,17.389999,17.10,17.26,35500,17.039852
2015-04-17,17.120001,17.129999,17.00,17.02,85900,16.802914
2015-04-16,17.370001,17.370001,17.15,17.25,18300,17.02998
2015-04-15,17.209999,17.370001,17.040001,17.32,49400,17.099087
2015-04-14,17.129999,17.16,16.93,17.120001,29700,16.901639
2015-04-13,17.139999,17.18,17.09,17.120001,24200,16.901639
2015-04-10,17.219999,17.389999,17.10,17.209999,66800,16.990489
2015-04-09,17.129999,17.26,16.92,17.139999,82200,16.921382
2015-04-08,17.110001,17.34,17.110001,17.219999,33900,17.000362
2015-04-07,16.870001,17.440001,16.780001,17.17,86800,16.951
2015-04-06,16.870001,16.98,16.719999,16.84,35200,16.625209
2015-04-02,16.93,17.23,16.790001,17.040001,38200,16.822659
2015-04-01,16.92,17.030001,16.639999,17.00,102400,16.783168
2015-03-31,16.959999,17.040001,16.85,17.00,58300,16.783168
2015-03-30,16.799999,17.15,16.799999,17.00,67500,16.783168
2015-03-27,16.700001,16.879999,16.690001,16.82,121000,16.605464
2015-03-26,16.530001,16.83,16.440001,16.790001,76900,16.575848
2015-03-25,16.549999,17.07,16.41,16.68,297500,16.46725
2015-03-24,16.549999,16.82,16.48,16.59,102500,16.378398
