Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,5.54,5.60,5.53,5.53,12400,5.53
2015-08-06,5.60,5.61,5.51,5.53,5500,5.53
2015-08-05,5.72,5.72,5.61,5.70,18500,5.70
2015-08-04,5.24,5.24,5.24,5.24,000,5.24
2015-08-03,5.22,5.29,5.22,5.24,2300,5.24
2015-07-31,5.54,5.54,5.54,5.54,400,5.54
2015-07-30,5.27,5.27,5.16,5.16,7700,5.16
2015-07-29,5.21,5.24,5.21,5.21,1200,5.21
2015-07-28,5.42,5.42,5.12,5.12,700,5.12
2015-07-27,5.06,5.16,5.06,5.16,2100,5.16
2015-07-24,5.27,5.27,5.22,5.22,700,5.22
2015-07-23,5.24,5.30,5.24,5.24,2900,5.24
2015-07-22,5.27,5.27,4.84,5.13,8500,5.13
2015-07-21,5.26,5.29,5.18,5.29,8000,5.29
2015-07-20,5.30,5.32,5.27,5.28,7400,5.28
2015-07-17,5.27,5.43,5.27,5.43,3200,5.43
2015-07-16,5.29,5.29,5.24,5.29,2300,5.29
2015-07-15,5.35,5.36,5.32,5.32,1600,5.32
2015-07-14,5.41,5.41,5.35,5.35,5100,5.35
2015-07-13,5.30,5.49,5.30,5.39,26700,5.39
2015-07-10,5.01,5.06,4.97,4.98,6000,4.98
2015-07-09,4.84,4.90,4.80,4.88,18100,4.88
2015-07-08,4.40,4.41,4.25,4.35,22600,4.35
2015-07-07,5.00,5.00,4.79,4.85,12000,4.85
2015-07-06,5.50,5.50,5.05,5.07,10300,5.07
2015-07-02,5.63,5.66,5.60,5.61,2700,5.61
2015-07-01,5.75,5.75,5.66,5.68,5000,5.68
2015-06-30,5.72,5.77,5.69,5.70,5300,5.70
2015-06-29,5.74,5.77,5.65,5.77,2900,5.77
2015-06-26,5.94,5.98,5.88,5.94,3100,5.94
2015-06-25,5.95,5.96,5.88,5.96,7200,5.96
2015-06-24,6.02,6.02,5.93,5.95,13300,5.95
2015-06-23,6.00,6.12,6.00,6.09,13800,6.09
2015-06-22,6.50,6.57,6.20,6.20,48100,6.20
2015-06-19,6.78,6.78,6.78,6.78,200,6.78
2015-06-18,6.82,6.89,6.82,6.89,400,6.89
2015-06-17,6.82,6.84,6.81,6.84,4200,6.84
2015-06-16,6.80,6.82,6.76,6.76,1500,6.76
2015-06-15,7.20,7.20,6.85,6.85,6000,6.85
2015-06-12,7.13,7.26,7.13,7.24,13600,7.24
2015-06-11,6.78,6.79,6.74,6.79,2700,6.79
2015-06-10,6.63,6.76,6.63,6.74,2500,6.74
2015-06-09,6.69,6.75,6.63,6.63,5600,6.63
2015-06-08,6.86,6.89,6.82,6.89,7000,6.89
2015-06-05,7.01,7.03,6.86,6.90,22100,6.90
2015-06-04,7.15,7.15,7.02,7.05,4600,7.05
2015-06-03,7.25,7.27,7.19,7.27,2400,7.27
2015-06-02,7.27,7.36,7.27,7.31,3500,7.31
2015-06-01,7.35,7.38,7.30,7.30,4500,7.30
2015-05-29,7.40,7.44,7.40,7.40,2700,7.40
2015-05-28,7.32,7.40,7.32,7.32,800,7.32
2015-05-27,7.34,7.35,7.34,7.35,500,7.35
2015-05-26,7.40,7.40,7.32,7.32,3700,7.32
2015-05-22,7.44,7.44,7.42,7.42,3500,7.42
2015-05-21,7.45,7.45,7.41,7.41,3500,7.41
2015-05-20,7.51,7.51,7.45,7.49,10600,7.49
2015-05-19,7.68,7.72,7.68,7.72,2000,7.72
2015-05-18,7.62,7.75,7.62,7.74,6000,7.74
2015-05-15,7.53,7.63,7.50,7.62,9000,7.62
2015-05-14,7.54,7.58,7.52,7.52,6800,7.52
2015-05-13,7.52,7.60,7.52,7.58,8000,7.58
2015-05-12,7.50,7.62,7.44,7.53,9600,7.53
2015-05-11,7.55,7.56,7.50,7.50,5100,7.50
2015-05-08,7.65,7.65,7.63,7.64,2100,7.64
2015-05-07,7.50,7.62,7.41,7.51,20600,7.51
2015-05-06,7.68,7.68,7.56,7.56,4800,7.56
