Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,2.19,2.19,2.12,2.12,4800,2.12
2015-08-06,2.15,2.20,2.15,2.19,3900,2.19
2015-08-05,2.13,2.20,2.10,2.15,6600,2.15
2015-08-04,2.22,2.30,2.20,2.20,25300,2.20
2015-08-03,2.24,2.25,2.22,2.22,1500,2.22
2015-07-31,2.33,2.35,2.20,2.23,36400,2.23
2015-07-30,2.15,2.30,2.15,2.21,52900,2.21
2015-07-29,2.20,2.28,2.14,2.25,25500,2.25
2015-07-28,2.19,2.26,2.11,2.12,51900,2.12
2015-07-27,2.10,2.20,2.10,2.16,13300,2.16
2015-07-24,2.13,2.15,2.10,2.10,19600,2.10
2015-07-23,2.19,2.20,2.15,2.18,13000,2.18
2015-07-22,2.24,2.24,2.14,2.17,12300,2.17
2015-07-21,2.16,2.18,2.15,2.16,16700,2.16
2015-07-20,2.20,2.20,2.16,2.18,2400,2.18
2015-07-17,2.22,2.22,2.18,2.18,13200,2.18
2015-07-16,2.20,2.24,2.19,2.21,51200,2.21
2015-07-15,2.23,2.24,2.20,2.20,6000,2.20
2015-07-14,2.29,2.36,2.28,2.30,8100,2.30
2015-07-13,2.26,2.38,2.25,2.38,800,2.38
2015-07-10,2.25,2.32,2.24,2.27,27800,2.27
2015-07-09,2.30,2.30,2.25,2.25,7000,2.25
2015-07-08,2.40,2.40,2.25,2.25,8700,2.25
2015-07-07,2.40,2.40,2.31,2.40,17200,2.40
2015-07-06,2.41,2.44,2.29,2.30,18500,2.30
2015-07-02,2.35,2.43,2.30,2.37,41600,2.37
2015-07-01,2.28,2.34,2.25,2.30,8400,2.30
2015-06-30,2.34,2.34,2.26,2.29,3700,2.29
2015-06-29,2.33,2.33,2.24,2.27,21900,2.27
2015-06-26,2.32,2.35,2.27,2.27,59500,2.27
2015-06-25,2.30,2.35,2.27,2.30,19400,2.30
2015-06-24,2.35,2.35,2.26,2.28,29000,2.28
2015-06-23,2.27,2.34,2.25,2.32,17700,2.32
2015-06-22,2.28,2.35,2.25,2.30,30400,2.30
2015-06-19,2.28,2.33,2.24,2.26,69500,2.26
2015-06-18,2.25,2.34,2.20,2.20,35800,2.20
2015-06-17,2.24,2.34,2.19,2.32,81100,2.32
2015-06-16,2.15,2.17,2.13,2.17,24200,2.17
2015-06-15,2.21,2.22,2.13,2.14,71500,2.14
2015-06-12,2.20,2.22,2.19,2.19,27100,2.19
2015-06-11,2.19,2.24,2.19,2.22,30000,2.22
2015-06-10,2.18,2.22,2.18,2.19,17800,2.19
2015-06-09,2.15,2.19,2.15,2.17,14600,2.17
2015-06-08,2.15,2.21,2.12,2.18,7900,2.18
2015-06-05,2.20,2.21,2.15,2.15,27700,2.15
2015-06-04,2.21,2.25,2.20,2.20,17100,2.20
2015-06-03,2.22,2.27,2.20,2.22,24100,2.22
2015-06-02,2.13,2.25,2.13,2.22,24300,2.22
2015-06-01,2.21,2.21,2.11,2.12,23600,2.12
2015-05-29,2.26,2.28,2.23,2.23,28200,2.23
2015-05-28,2.31,2.32,2.26,2.26,20700,2.26
2015-05-27,2.31,2.40,2.31,2.31,35000,2.31
2015-05-26,2.37,2.40,2.26,2.28,32800,2.28
2015-05-22,2.37,2.39,2.35,2.39,9300,2.39
2015-05-21,2.35,2.37,2.31,2.35,71400,2.35
2015-05-20,2.44,2.44,2.35,2.35,6600,2.35
2015-05-19,2.40,2.43,2.35,2.35,24300,2.35
2015-05-18,2.50,2.51,2.40,2.40,22800,2.40
2015-05-15,2.51,2.54,2.49,2.51,13600,2.51
2015-05-14,2.54,2.57,2.49,2.50,7700,2.50
2015-05-13,2.50,2.60,2.33,2.46,95200,2.46
2015-05-12,2.54,2.55,2.45,2.53,70200,2.53
2015-05-11,2.64,2.68,2.58,2.59,49900,2.59
2015-05-08,2.53,2.65,2.52,2.62,25400,2.62
2015-05-07,2.50,2.53,2.47,2.53,35000,2.53
