Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,13.99,13.99,13.74,13.74,4800,13.74
2015-08-06,13.69,13.69,13.69,13.69,000,13.69
2015-08-05,13.69,13.69,13.69,13.69,000,13.69
2015-08-04,13.69,13.69,13.69,13.69,100,13.69
2015-08-03,13.91,13.92,13.73,13.74,3000,13.74
2015-07-31,13.98,13.98,13.98,13.98,000,13.98
2015-07-30,13.98,13.98,13.98,13.98,000,13.98
2015-07-29,13.92,13.98,13.90,13.98,1000,13.98
2015-07-28,13.91,13.91,13.91,13.91,200,13.91
2015-07-27,13.90,14.07,13.90,14.07,1600,14.07
2015-07-24,14.00,14.10,13.90,14.00,1800,14.00
2015-07-23,14.12,14.13,14.00,14.05,1600,14.05
2015-07-22,14.00,14.00,14.00,14.00,000,14.00
2015-07-21,14.00,14.00,14.00,14.00,100,14.00
2015-07-20,14.00,14.00,14.00,14.00,200,14.00
2015-07-17,14.13,14.13,14.13,14.13,000,14.13
2015-07-16,14.13,14.13,14.13,14.13,000,14.13
2015-07-15,14.14,14.15,14.13,14.13,1000,14.13
2015-07-14,14.15,14.15,13.90,13.90,1100,13.90
2015-07-13,14.16,14.21,14.15,14.15,800,14.15
2015-07-10,14.15,14.55,14.15,14.21,3300,14.21
2015-07-09,14.15,14.35,14.15,14.35,1400,14.35
2015-07-08,14.17,14.17,14.17,14.17,100,14.17
2015-07-07,14.35,14.35,14.35,14.35,000,14.35
2015-07-06,14.25,14.45,14.25,14.35,4700,14.35
2015-07-02,14.20,14.89,14.16,14.29,5800,14.29
2015-07-01,14.89,14.89,14.55,14.55,3200,14.55
2015-06-30,14.22,14.32,14.22,14.32,900,14.32
2015-06-29,14.16,14.16,14.15,14.15,600,14.15
2015-06-26,14.20,14.89,14.15,14.25,2900,14.25
2015-06-25,14.30,14.31,14.20,14.20,2700,14.20
2015-06-24,14.46,14.74,14.06,14.33,2400,14.33
2015-06-23,14.75,14.92,14.75,14.75,3100,14.75
2015-06-22,14.26,15.49,14.26,14.89,4500,14.89
2015-06-19,14.26,15.99,13.97,13.97,23400,13.97
2015-06-18,15.37,15.37,14.75,15.03,15800,15.03
2015-06-17,14.25,15.45,14.25,15.30,13400,15.30
2015-06-16,15.26,16.60,15.05,15.52,20100,15.52
2015-06-15,13.55,17.58,13.55,15.85,9800,15.85
2015-06-12,13.77,13.77,13.77,13.77,000,13.77
2015-06-11,13.35,14.09,13.35,13.77,5800,13.77
2015-06-10,13.90,13.96,13.78,13.96,800,13.912
2015-06-09,14.00,14.00,14.00,14.00,2200,13.951862
2015-06-08,13.56,13.56,13.56,13.56,000,13.513376
2015-06-05,13.56,13.56,13.56,13.56,700,13.513376
2015-06-04,13.64,13.64,13.64,13.64,400,13.5931
2015-06-03,13.56,13.56,13.56,13.56,400,13.513376
2015-06-02,13.70,13.70,13.66,13.66,1300,13.613031
