Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,74.190002,74.82,73.510002,74.50,662500,74.50
2015-08-06,76.690002,77.419998,73.449997,74.279999,1291100,74.279999
2015-08-05,77.099998,78.419998,76.589996,76.720001,510200,76.720001
2015-08-04,76.059998,77.410004,76.059998,76.879997,644300,76.879997
2015-08-03,76.959999,77.650002,75.949997,76.260002,718700,76.260002
2015-07-31,77.239998,77.940002,76.860001,77.260002,550300,77.260002
2015-07-30,77.860001,78.82,76.889999,77.230003,1383600,77.230003
2015-07-29,81.00,81.43,76.360001,77.699997,2394900,77.699997
2015-07-28,80.50,81.760002,79.57,80.599998,1164600,80.599998
2015-07-27,81.519997,81.720001,79.660004,80.029999,749900,80.029999
2015-07-24,82.730003,82.900002,81.540001,81.690002,596700,81.690002
2015-07-23,83.349998,83.75,82.080002,82.389999,372900,82.389999
2015-07-22,82.730003,83.199997,81.860001,83.199997,786400,83.199997
2015-07-21,83.919998,84.269997,82.949997,83.169998,661600,83.169998
2015-07-20,83.889999,84.480003,82.639999,84.089996,537200,84.089996
2015-07-17,83.18,84.169998,83.00,83.940002,996700,83.940002
2015-07-16,83.18,83.50,82.099998,82.760002,1435700,82.760002
2015-07-15,84.50,84.50,81.669998,82.190002,690200,82.190002
2015-07-14,83.190002,84.660004,83.080002,84.589996,1129400,84.589996
2015-07-13,81.629997,83.110001,81.190002,82.57,755100,82.57
2015-07-10,80.970001,81.25,80.309998,80.599998,655700,80.599998
2015-07-09,78.989998,80.099998,78.800003,79.879997,663500,79.879997
2015-07-08,78.760002,79.75,78.519997,79.00,465600,79.00
2015-07-07,80.010002,80.129997,77.599998,79.639999,869800,79.639999
2015-07-06,81.059998,81.57,79.209999,79.779999,1101300,79.779999
2015-07-02,80.400002,81.019997,79.739998,80.919998,537900,80.919998
2015-07-01,80.489998,81.059998,79.900002,80.040001,604100,80.040001
2015-06-30,79.400002,80.110001,78.480003,79.660004,815300,79.660004
2015-06-29,79.860001,79.989998,78.099998,78.32,745800,78.32
2015-06-26,81.629997,81.919998,80.199997,80.480003,1851000,80.480003
