Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,372.00,372.00,361.630005,368.670013,3504300,368.670013
2015-08-06,387.350006,387.640015,369.630005,370.079987,2948900,370.079987
2015-08-05,386.820007,390.049988,385.50,386.720001,1147600,386.720001
2015-08-04,384.26001,386.820007,382.209991,383.809998,811900,383.809998
2015-08-03,383.399994,385.50,378.829987,382.130005,827500,382.130005
2015-07-31,381.420013,385.369995,379.75,382.529999,1083500,382.529999
2015-07-30,374.00,380.140015,370.299988,378.799988,1566600,378.799988
2015-07-29,384.75,385.480011,374.679993,377.429993,1505400,377.429993
2015-07-28,377.76001,383.329987,373.690002,382.839996,2138700,382.839996
2015-07-27,374.450012,376.570007,369.690002,373.579987,2909100,373.579987
2015-07-24,386.630005,389.00,375.959991,377.579987,3885900,377.579987
2015-07-23,394.350006,397.579987,392.320007,393.75,1811400,393.75
2015-07-22,390.109985,395.609985,388.910004,394.350006,1364300,394.350006
2015-07-21,398.00,398.670013,391.040009,395.48999,1390000,395.48999
2015-07-20,399.269989,400.790009,396.50,398.00,1211600,398.00
2015-07-17,395.00,397.690002,392.850006,397.589996,1292900,397.589996
2015-07-16,393.51001,396.480011,391.350006,395.670013,1471400,395.670013
2015-07-15,393.059998,396.940002,389.100006,390.76001,2412500,390.76001
2015-07-14,380.420013,388.679993,379.25,387.940002,1857800,387.940002
2015-07-13,376.200012,380.070007,376.00,379.149994,1173300,379.149994
2015-07-10,372.019989,372.859985,367.540009,372.799988,1308900,372.799988
2015-07-09,368.309998,369.429993,365.350006,366.73999,1249600,366.73999
2015-07-08,369.00,370.75,361.890015,362.779999,2479700,362.779999
2015-07-07,373.26001,373.920013,365.850006,373.420013,1419800,373.420013
2015-07-06,367.660004,375.829987,366.00,372.359985,1145400,372.359985
2015-07-02,372.100006,372.100006,368.059998,370.350006,840700,370.350006
2015-07-01,374.040009,375.00,367.910004,369.899994,1336400,369.899994
2015-06-30,366.179993,370.170013,363.269989,368.970001,2153000,368.970001
2015-06-29,367.98999,371.929993,360.570007,360.570007,1973500,360.570007
2015-06-26,377.00,377.50,369.299988,372.779999,1876600,372.779999
2015-06-25,378.059998,379.970001,373.519989,375.839996,1506100,375.839996
2015-06-24,382.380005,383.279999,376.559998,377.589996,1251300,377.589996
