Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,27.030001,27.530001,27.01,27.290001,143800,27.290001
2015-08-06,27.290001,27.52,27.02,27.23,114000,27.23
2015-08-05,27.280001,27.68,27.09,27.290001,176600,27.290001
2015-08-04,27.07,27.530001,27.00,27.10,91300,27.10
2015-08-03,26.91,27.25,26.73,27.00,120100,27.00
2015-07-31,26.969999,27.040001,26.530001,26.93,141900,26.93
2015-07-30,26.68,27.00,26.58,26.879999,162000,26.879999
2015-07-29,26.68,26.969999,26.57,26.860001,187500,26.860001
2015-07-28,26.73,26.73,26.17,26.66,202300,26.66
2015-07-27,26.50,26.860001,26.290001,26.59,130200,26.59
2015-07-24,26.950001,27.219999,26.58,26.76,274700,26.76
2015-07-23,27.540001,27.700001,26.93,27.049999,175400,27.049999
2015-07-22,27.02,27.620001,27.02,27.459999,100800,27.459999
2015-07-21,27.280001,27.719999,27.07,27.18,238200,27.18
2015-07-20,27.01,27.360001,26.860001,27.35,136700,27.35
2015-07-17,27.60,27.60,26.700001,26.950001,150800,26.950001
2015-07-16,27.51,27.799999,27.280001,27.52,209500,27.52
2015-07-15,27.370001,27.540001,27.18,27.309999,122600,27.309999
2015-07-14,26.85,27.219999,26.719999,27.209999,149500,27.209999
2015-07-13,26.879999,27.200001,26.67,26.99,138100,26.99
2015-07-10,26.75,26.959999,26.469999,26.690001,138800,26.690001
2015-07-09,26.309999,26.50,25.690001,26.309999,221100,26.309999
2015-07-08,25.77,26.040001,25.459999,25.85,280800,25.85
2015-07-07,26.290001,26.48,25.43,26.09,282300,26.09
2015-07-06,26.040001,26.450001,26.040001,26.379999,114700,26.379999
2015-07-02,27.10,27.10,26.33,26.440001,93000,26.440001
2015-07-01,27.23,27.42,26.790001,27.09,156300,27.09
2015-06-30,26.959999,27.09,26.639999,26.870001,198000,26.870001
2015-06-29,27.24,27.52,26.59,26.620001,364100,26.620001
2015-06-26,27.58,27.719999,27.379999,27.42,565100,27.42
2015-06-25,27.50,27.68,27.17,27.440001,228200,27.440001
2015-06-24,27.52,27.75,27.33,27.50,138100,27.50
2015-06-23,27.370001,27.66,27.26,27.60,244100,27.60
2015-06-22,27.290001,27.60,27.07,27.25,155900,27.25
2015-06-19,26.98,27.23,26.809999,27.030001,853700,27.030001
2015-06-18,26.76,27.10,26.370001,26.99,184800,26.99
2015-06-17,27.42,27.42,26.530001,26.68,107000,26.68
2015-06-16,26.799999,27.450001,26.780001,27.299999,228800,27.299999
2015-06-15,27.360001,27.360001,26.76,26.99,298400,26.99
2015-06-12,27.450001,27.559999,27.25,27.41,101700,27.41
2015-06-11,27.75,27.75,27.309999,27.50,222300,27.50
2015-06-10,27.52,27.73,27.299999,27.700001,342500,27.700001
2015-06-09,27.139999,27.67,26.91,27.25,189700,27.25
2015-06-08,26.950001,27.18,26.93,27.049999,102800,27.049999
2015-06-05,26.58,27.08,26.49,27.030001,347500,27.030001
2015-06-04,26.639999,26.860001,26.34,26.469999,116300,26.469999
2015-06-03,26.709999,27.110001,26.65,26.90,194800,26.90
2015-06-02,26.00,26.860001,26.00,26.549999,94600,26.549999
2015-06-01,26.299999,26.540001,25.780001,26.16,131000,26.16
2015-05-29,26.440001,26.440001,25.889999,26.10,134800,26.10
2015-05-28,26.52,26.52,26.18,26.50,87400,26.50
2015-05-27,26.18,26.57,25.959999,26.52,290900,26.52
2015-05-26,26.27,26.559999,25.82,26.09,126900,26.09
2015-05-22,26.700001,26.91,26.389999,26.469999,95800,26.469999
2015-05-21,26.82,27.00,26.639999,26.709999,115000,26.709999
2015-05-20,26.799999,26.959999,26.51,26.90,433700,26.90
2015-05-19,26.719999,26.889999,26.620001,26.809999,154200,26.809999
2015-05-18,26.27,26.84,26.209999,26.74,123900,26.74
2015-05-15,26.58,26.75,25.92,26.25,199800,26.25
2015-05-14,26.84,26.84,26.49,26.690001,170800,26.690001
2015-05-13,26.870001,26.870001,26.34,26.700001,239600,26.700001
2015-05-12,26.469999,26.92,26.16,26.780001,172200,26.780001
2015-05-11,26.209999,26.68,26.209999,26.549999,123000,26.549999
2015-05-08,26.50,26.50,25.93,26.27,489900,26.27
2015-05-07,26.190001,26.530001,26.049999,26.42,117700,26.42
2015-05-06,26.15,26.68,25.82,26.32,197900,26.32
2015-05-05,25.780001,26.35,25.780001,26.00,157100,26.00
2015-05-04,25.799999,26.139999,25.66,25.99,77300,25.99
2015-05-01,26.07,26.360001,25.540001,25.84,382400,25.84
2015-04-30,26.41,26.639999,25.790001,25.98,288000,25.98
2015-04-29,26.200001,26.85,26.190001,26.57,120400,26.57
2015-04-28,25.75,26.549999,25.73,26.469999,100400,26.469999
2015-04-27,26.059999,26.43,25.469999,25.73,114100,25.73
