Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,14.81,14.81,14.81,14.81,000,14.81
2015-08-06,13.48,14.81,13.48,14.81,900,14.81
2015-08-05,14.21,14.21,13.477,13.477,3100,13.477
2015-08-04,14.20,14.20,14.20,14.20,000,14.20
2015-08-03,14.16,14.39,14.00,14.20,8800,14.20
2015-07-31,14.15,15.00,14.15,14.80,6900,14.80
2015-07-30,14.02,15.00,13.94,14.50,15200,14.50
2015-07-29,14.95,14.95,14.95,14.95,100,14.95
2015-07-28,14.75,14.759,14.74,14.759,400,14.759
2015-07-27,14.63,14.999,14.10,14.999,2700,14.999
2015-07-24,14.02,15.00,14.02,14.98,700,14.98
2015-07-23,14.06,14.65,14.06,14.63,1300,14.63
2015-07-22,14.05,14.63,14.04,14.63,700,14.63
2015-07-21,14.12,15.00,12.91,14.75,6000,14.75
2015-07-20,14.00,14.04,14.00,14.01,500,14.01
2015-07-17,14.28,14.501,14.26,14.46,3000,14.46
2015-07-16,14.60,14.60,14.60,14.60,000,14.60
2015-07-15,14.361,15.00,14.361,14.60,1500,14.60
2015-07-14,14.32,14.76,14.31,14.75,5200,14.75
2015-07-13,14.761,15.00,14.761,14.886,5700,14.886
2015-07-10,14.51,14.76,14.51,14.70,3300,14.70
2015-07-09,14.30,14.54,14.30,14.54,2400,14.54
2015-07-08,14.62,14.62,14.62,14.62,000,14.62
2015-07-07,14.75,14.75,14.50,14.62,1800,14.62
2015-07-06,14.93,15.00,14.90,14.95,3000,14.95
2015-07-02,14.69,14.90,14.63,14.69,2700,14.69
2015-07-01,14.125,15.19,14.125,15.04,11900,15.04
2015-06-30,15.00,15.20,14.19,14.63,10400,14.63
2015-06-29,14.26,15.00,13.98,14.77,4500,14.77
2015-06-26,13.94,15.25,13.904,14.37,8300,14.37
2015-06-25,15.00,15.008,13.97,14.30,8700,14.30
2015-06-24,14.30,14.80,14.28,14.66,4800,14.66
2015-06-23,14.90,15.00,14.54,15.00,6100,15.00
2015-06-22,14.57,14.90,14.55,14.90,4700,14.90
2015-06-19,14.58,14.90,14.50,14.88,3000,14.88
2015-06-18,14.51,14.95,14.51,14.89,4700,14.89
2015-06-17,15.00,15.15,14.56,15.10,7700,15.10
2015-06-16,15.94,15.94,14.58,15.10,8500,15.10
2015-06-15,16.34,16.34,15.937,15.937,500,15.937
2015-06-12,15.25,16.459999,14.711,15.981,2000,15.981
2015-06-11,14.56,15.99,14.50,15.99,3200,15.99
2015-06-10,14.33,15.424,14.10,14.40,2400,14.40
2015-06-09,14.45,14.45,14.12,14.20,2900,14.20
2015-06-08,12.51,14.50,12.50,14.35,12700,14.35
2015-06-05,12.50,15.00,12.50,14.80,8100,14.80
2015-06-04,12.26,12.74,12.082,12.50,5700,12.50
2015-06-03,12.47,12.60,12.06,12.49,6300,12.49
2015-06-02,12.083,12.50,11.76,12.47,7100,12.47
2015-06-01,11.70,12.87,11.70,12.07,14700,12.07
2015-05-29,11.32,11.93,10.95,11.74,8200,11.74
2015-05-28,11.31,11.31,11.31,11.31,100,11.31
2015-05-27,10.90,10.95,10.90,10.95,900,10.95
2015-05-26,11.20,11.20,10.68,10.95,4500,10.95
2015-05-22,10.44,10.83,10.40,10.71,4700,10.71
2015-05-21,10.50,10.70,10.40,10.40,10100,10.40
2015-05-20,10.40,10.40,10.40,10.40,800,10.40
2015-05-19,10.35,10.46,10.30,10.40,5000,10.40
2015-05-18,10.40,10.40,10.15,10.21,13800,10.21
2015-05-15,10.20,10.44,10.20,10.20,4600,10.20
2015-05-14,10.15,10.25,10.15,10.21,7400,10.21
