Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.38,0.42,0.37,0.38,70800,0.38
2015-08-06,0.46,0.46,0.38,0.42,34900,0.42
2015-08-05,0.46,0.46,0.40,0.40,16600,0.40
2015-08-04,0.47,0.47,0.40,0.42,8900,0.42
2015-08-03,0.48,0.48,0.42,0.46,3000,0.46
2015-07-31,0.49,0.49,0.43,0.48,6300,0.48
2015-07-30,0.44,0.47,0.44,0.47,9300,0.47
2015-07-29,0.43,0.44,0.42,0.44,3600,0.44
2015-07-28,0.40,0.45,0.40,0.41,23300,0.41
2015-07-27,0.44,0.49,0.41,0.41,8500,0.41
2015-07-24,0.48,0.48,0.43,0.45,10500,0.45
2015-07-23,0.51,0.51,0.42,0.48,95800,0.48
2015-07-22,0.55,0.58,0.50,0.53,43800,0.53
2015-07-21,0.60,0.60,0.55,0.56,23800,0.56
2015-07-20,0.56,0.60,0.54,0.58,31300,0.58
2015-07-17,0.60,0.61,0.60,0.60,900,0.60
2015-07-16,0.58,0.60,0.55,0.59,40900,0.59
2015-07-15,0.58,0.60,0.58,0.58,8700,0.58
2015-07-14,0.61,0.62,0.58,0.59,32300,0.59
2015-07-13,0.57,0.62,0.57,0.62,6500,0.62
2015-07-10,0.60,0.63,0.56,0.56,18700,0.56
2015-07-09,0.62,0.63,0.60,0.60,6200,0.60
2015-07-08,0.69,0.69,0.60,0.60,70100,0.60
2015-07-07,0.66,0.69,0.64,0.68,26500,0.68
2015-07-06,0.71,0.71,0.69,0.69,18400,0.69
2015-07-02,0.84,0.84,0.70,0.71,51900,0.71
2015-07-01,0.86,0.87,0.80,0.80,110600,0.80
2015-06-30,0.80,0.87,0.73,0.77,78300,0.77
2015-06-29,0.67,0.79,0.67,0.77,60000,0.77
2015-06-26,0.70,0.75,0.69,0.69,22400,0.69
2015-06-25,0.75,0.77,0.72,0.73,20200,0.73
2015-06-24,0.70,0.79,0.70,0.72,60300,0.72
2015-06-23,0.73,0.79,0.70,0.72,47600,0.72
2015-06-22,0.74,0.78,0.72,0.75,44800,0.75
2015-06-19,0.80,0.80,0.73,0.77,169600,0.77
2015-06-18,0.79,0.88,0.79,0.83,160500,0.83
2015-06-17,0.99,0.99,0.85,0.88,215200,0.88
2015-06-16,1.10,1.13,0.95,1.00,279600,1.00
2015-06-15,1.18,1.18,1.00,1.11,779700,1.11
2015-06-12,0.77,1.33,0.77,1.17,4240500,1.17
2015-06-11,0.70,0.70,0.62,0.68,42500,0.68
2015-06-10,0.63,0.70,0.62,0.62,8300,0.62
2015-06-09,0.64,0.67,0.62,0.64,16100,0.64
2015-06-08,0.70,0.70,0.62,0.64,8100,0.64
2015-06-05,0.68,0.72,0.62,0.62,44500,0.62
2015-06-04,0.68,0.74,0.68,0.68,19000,0.68
2015-06-03,0.75,0.75,0.67,0.69,21100,0.69
2015-06-02,0.70,0.74,0.69,0.72,21800,0.72
2015-06-01,0.70,0.73,0.67,0.67,11500,0.67
2015-05-29,0.69,0.75,0.69,0.70,3700,0.70
2015-05-28,0.69,0.76,0.69,0.69,33800,0.69
2015-05-27,0.79,0.87,0.65,0.68,86100,0.68
2015-05-26,0.80,0.87,0.79,0.87,36000,0.87
2015-05-22,0.82,0.86,0.80,0.80,4800,0.80
2015-05-21,0.89,0.89,0.77,0.83,59600,0.83
2015-05-20,0.88,0.89,0.79,0.82,51900,0.82
2015-05-19,0.82,1.04,0.77,0.89,141700,0.89
2015-05-18,0.61,0.89,0.61,0.87,140000,0.87
2015-05-15,0.53,0.62,0.51,0.61,96700,0.61
2015-05-14,0.50,0.55,0.50,0.50,113600,0.50
2015-05-13,0.62,0.63,0.50,0.51,134000,0.51
2015-05-12,0.76,0.76,0.61,0.61,71000,0.61
2015-05-11,0.99,0.99,0.70,0.72,106600,0.72
2015-05-08,0.98,0.98,0.90,0.90,15600,0.90
2015-05-07,1.03,1.03,0.91,0.97,45700,0.97
2015-05-06,1.19,1.19,0.95,0.99,147200,0.99
2015-05-05,1.30,1.37,1.25,1.25,7000,1.25
2015-05-04,1.38,1.38,1.31,1.31,600,1.31
2015-05-01,1.30,1.38,1.30,1.38,2000,1.38
2015-04-30,1.33,1.36,1.31,1.33,9900,1.33
2015-04-29,1.33,1.38,1.33,1.34,3500,1.34
2015-04-28,1.44,1.46,1.36,1.41,3800,1.41
2015-04-27,1.35,1.40,1.35,1.38,8200,1.38
2015-04-24,1.35,1.41,1.35,1.40,14500,1.40
2015-04-23,1.35,1.49,1.35,1.38,24100,1.38
2015-04-22,1.48,1.63,1.33,1.39,35300,1.39
2015-04-21,1.68,1.68,1.47,1.49,7000,1.49
2015-04-20,1.55,1.60,1.47,1.47,11200,1.47
2015-04-17,1.45,1.60,1.26,1.54,168600,1.54
2015-04-16,1.40,1.69,1.40,1.45,260700,1.45
