Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.33,0.37,0.32,0.34,608700,0.34
2015-08-06,0.33,0.33,0.29,0.29,108300,0.29
2015-08-05,0.33,0.34,0.29,0.30,79500,0.30
2015-08-04,0.30,0.32,0.28,0.32,71600,0.32
2015-08-03,0.37,0.37,0.28,0.30,308500,0.30
2015-07-31,0.38,0.40,0.35,0.37,196100,0.37
2015-07-30,0.37,0.40,0.34,0.37,416000,0.37
2015-07-29,0.35,0.40,0.34,0.39,534500,0.39
2015-07-28,0.30,0.35,0.30,0.34,534300,0.34
2015-07-27,0.26,0.31,0.26,0.31,410800,0.31
2015-07-24,0.26,0.27,0.23,0.26,100600,0.26
2015-07-23,0.25,0.26,0.25,0.26,10000,0.26
2015-07-22,0.27,0.27,0.25,0.26,122500,0.26
2015-07-21,0.25,0.27,0.25,0.26,71900,0.26
2015-07-20,0.26,0.28,0.25,0.26,176900,0.26
2015-07-17,0.30,0.30,0.27,0.28,78200,0.28
2015-07-16,0.29,0.30,0.26,0.30,193800,0.30
2015-07-15,0.28,0.30,0.28,0.29,50100,0.29
2015-07-14,0.31,0.31,0.28,0.29,47500,0.29
2015-07-13,0.30,0.31,0.28,0.30,209100,0.30
2015-07-10,0.30,0.34,0.29,0.30,91700,0.30
2015-07-09,0.31,0.32,0.30,0.31,150900,0.31
2015-07-08,0.32,0.32,0.31,0.31,163000,0.31
2015-07-07,0.34,0.35,0.33,0.33,83400,0.33
2015-07-06,0.35,0.37,0.33,0.35,65500,0.35
2015-07-02,0.35,0.38,0.33,0.35,102700,0.35
2015-07-01,0.34,0.35,0.34,0.35,43300,0.35
2015-06-30,0.35,0.37,0.32,0.33,123000,0.33
2015-06-29,0.35,0.37,0.32,0.35,151400,0.35
2015-06-26,0.36,0.39,0.35,0.37,63200,0.37
2015-06-25,0.37,0.40,0.37,0.37,588800,0.37
2015-06-24,0.35,0.37,0.32,0.35,78100,0.35
2015-06-23,0.35,0.37,0.33,0.35,116300,0.35
2015-06-22,0.37,0.37,0.33,0.35,150400,0.35
2015-06-19,0.33,0.39,0.31,0.38,322800,0.38
2015-06-18,0.33,0.33,0.31,0.33,225800,0.33
2015-06-17,0.37,0.38,0.31,0.33,270800,0.33
2015-06-16,0.34,0.43,0.34,0.37,969500,0.37
2015-06-15,0.31,0.36,0.31,0.36,526400,0.36
2015-06-12,0.30,0.32,0.30,0.31,106200,0.31
2015-06-11,0.33,0.33,0.30,0.32,308200,0.32
2015-06-10,0.30,0.32,0.30,0.32,90700,0.32
2015-06-09,0.29,0.32,0.28,0.30,137600,0.30
2015-06-08,0.34,0.35,0.30,0.32,239300,0.32
2015-06-05,0.34,0.35,0.34,0.34,179100,0.34
2015-06-04,0.35,0.35,0.33,0.34,427600,0.34
2015-06-03,0.28,0.35,0.28,0.34,922400,0.34
2015-06-02,0.31,0.31,0.26,0.29,118300,0.29
2015-06-01,0.30,0.30,0.28,0.30,104400,0.30
2015-05-29,0.29,0.32,0.28,0.29,83400,0.29
2015-05-28,0.29,0.32,0.28,0.31,450400,0.31
2015-05-27,0.29,0.30,0.25,0.28,291700,0.28
2015-05-26,0.30,0.30,0.28,0.29,205300,0.29
2015-05-22,0.30,0.31,0.28,0.29,125400,0.29
2015-05-21,0.31,0.31,0.29,0.30,127200,0.30
2015-05-20,0.29,0.34,0.29,0.31,279000,0.31
2015-05-19,0.32,0.34,0.28,0.30,629200,0.30
2015-05-18,0.38,0.38,0.32,0.32,287700,0.32
2015-05-15,0.40,0.40,0.34,0.37,314600,0.37
2015-05-14,0.39,0.41,0.37,0.38,500800,0.38
2015-05-13,0.34,0.44,0.31,0.41,1948200,0.41
2015-05-12,0.34,0.35,0.30,0.31,148700,0.31
2015-05-11,0.32,0.35,0.32,0.33,214100,0.33
2015-05-08,0.29,0.33,0.28,0.31,114000,0.31
2015-05-07,0.34,0.34,0.28,0.31,273900,0.31
2015-05-06,0.34,0.37,0.31,0.33,203300,0.33
2015-05-05,0.34,0.37,0.34,0.36,196100,0.36
2015-05-04,0.33,0.37,0.32,0.37,272700,0.37
2015-05-01,0.32,0.35,0.31,0.35,362900,0.35
2015-04-30,0.34,0.35,0.31,0.31,280800,0.31
2015-04-29,0.34,0.37,0.33,0.33,223000,0.33
2015-04-28,0.37,0.37,0.34,0.34,119000,0.34
