Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,21.209999,22.120001,21.209999,21.40,8300,21.40
2015-08-06,21.33,21.790001,21.299999,21.309999,26000,21.309999
2015-08-05,21.110001,21.799999,21.110001,21.40,15300,21.40
2015-08-04,21.01,21.10,20.75,21.030001,7700,21.030001
2015-08-03,21.09,21.219999,21.00,21.120001,30400,21.120001
2015-07-31,21.10,21.370001,20.75,21.10,13900,21.10
2015-07-30,21.209999,21.549999,20.790001,21.15,14500,21.15
2015-07-29,21.00,22.00,21.00,21.34,14300,21.34
2015-07-28,21.10,21.129999,20.780001,21.00,29200,21.00
2015-07-27,21.00,21.25,20.709999,21.15,8800,21.15
2015-07-24,21.709999,22.07,20.93,20.98,9500,20.98
2015-07-23,21.92,22.360001,21.799999,21.799999,6300,21.799999
2015-07-22,22.700001,22.969999,21.91,22.00,53100,22.00
2015-07-21,23.219999,23.549999,22.48,22.73,17100,22.73
2015-07-20,23.219999,23.26,22.60,22.950001,18200,22.950001
2015-07-17,23.219999,23.540001,22.879999,23.440001,14500,23.440001
2015-07-16,24.110001,24.110001,23.049999,23.280001,6800,23.280001
2015-07-15,23.889999,24.40,22.98,23.290001,18200,23.290001
2015-07-14,24.549999,24.809999,23.610001,23.83,29500,23.83
2015-07-13,23.74,25.059999,23.700001,24.90,27400,24.824999
2015-07-10,23.57,24.629999,23.379999,23.92,8800,23.847952
2015-07-09,25.209999,25.209999,23.309999,23.40,15900,23.329517
2015-07-08,23.790001,25.00,23.790001,24.139999,7200,24.067288
2015-07-07,23.59,24.73,23.10,23.93,15400,23.857922
2015-07-06,23.16,24.25,22.559999,23.059999,26100,22.990541
2015-07-02,23.879999,24.280001,23.030001,23.389999,21500,23.319547
2015-07-01,23.700001,24.25,23.639999,24.00,11100,23.927711
2015-06-30,23.23,23.90,23.18,23.549999,11500,23.479065
2015-06-29,23.50,23.73,23.040001,23.23,22300,23.160029
2015-06-26,23.85,23.940001,23.030001,23.610001,42500,23.538886
2015-06-25,23.65,24.01,23.57,23.879999,9200,23.808071
