Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,23.98,23.98,23.98,23.98,100,23.98
2015-08-06,23.74,23.74,23.74,23.74,000,23.74
2015-08-05,23.74,23.74,23.74,23.74,000,23.74
2015-08-04,23.74,23.74,23.74,23.74,000,23.74
2015-08-03,23.74,23.74,23.74,23.74,000,23.74
2015-07-31,23.559999,24.139999,23.559999,23.74,1600,23.74
2015-07-30,23.90,23.90,23.90,23.90,000,23.90
2015-07-29,24.110001,24.110001,23.889999,23.90,1400,23.90
2015-07-28,24.190001,24.190001,24.190001,24.190001,000,24.190001
2015-07-27,24.10,24.190001,24.10,24.190001,200,24.190001
2015-07-24,24.35,24.35,24.27,24.27,400,24.27
2015-07-23,24.299999,24.299999,24.299999,24.299999,000,24.299999
2015-07-22,24.299999,24.299999,24.24,24.299999,700,24.299999
2015-07-21,24.379999,24.379999,24.379999,24.379999,100,24.379999
2015-07-20,24.23,24.23,23.90,23.90,500,23.90
2015-07-17,24.280001,24.280001,24.280001,24.280001,200,24.280001
2015-07-16,24.10,24.10,23.700001,23.700001,600,23.700001
2015-07-15,24.10,24.139999,23.75,23.75,900,23.75
2015-07-14,23.17,23.60,23.17,23.60,2100,23.60
2015-07-13,23.51,23.51,23.51,23.51,000,23.51
2015-07-10,23.48,23.51,23.43,23.51,2000,23.51
2015-07-09,23.60,23.60,23.60,23.60,000,23.60
2015-07-08,23.60,23.60,23.60,23.60,000,23.60
2015-07-07,23.60,23.60,23.40,23.60,3300,23.60
2015-07-06,23.60,23.60,23.10,23.139999,1300,23.139999
2015-07-02,23.540001,23.540001,23.540001,23.540001,300,23.540001
2015-07-01,23.60,23.60,23.16,23.16,500,23.16
2015-06-30,23.59,23.60,23.50,23.57,2000,23.57
2015-06-29,23.65,23.65,23.530001,23.530001,2000,23.530001
2015-06-26,24.42,24.42,24.42,24.42,000,24.42
2015-06-25,23.799999,24.42,23.799999,24.42,1200,24.42
2015-06-24,23.50,23.85,23.26,23.85,800,23.85
2015-06-23,23.50,23.51,23.50,23.51,1200,23.43
2015-06-22,22.870001,22.870001,22.870001,22.870001,000,22.792178
2015-06-19,23.129999,23.98,22.870001,22.870001,8200,22.792178
2015-06-18,23.98,23.99,23.98,23.99,800,23.908366
2015-06-17,23.99,23.99,23.98,23.99,2600,23.908366
2015-06-16,23.469999,23.99,23.469999,23.860001,1600,23.778809
2015-06-15,23.450001,23.469999,23.209999,23.42,2400,23.340306
2015-06-12,23.07,23.07,23.07,23.07,000,22.991496
2015-06-11,23.07,23.07,23.07,23.07,000,22.991496
2015-06-10,23.08,23.469999,23.02,23.07,2100,22.991496
2015-06-09,23.75,23.75,23.75,23.75,100,23.669183
2015-06-08,23.049999,23.049999,23.049999,23.049999,200,22.971564
2015-06-05,23.049999,23.049999,23.049999,23.049999,200,22.971564
2015-06-04,23.00,23.40,23.00,23.290001,3100,23.210749
2015-06-03,23.01,23.10,23.01,23.10,700,23.021395
2015-06-02,22.950001,22.950001,22.950001,22.950001,000,22.871906
2015-06-01,23.540001,23.540001,22.950001,22.950001,1000,22.871906
2015-05-29,23.68,23.99,23.52,23.60,1000,23.519694
2015-05-28,23.24,23.24,23.24,23.24,000,23.160918
2015-05-27,23.24,23.24,23.24,23.24,000,23.160918
2015-05-26,23.15,23.65,23.15,23.24,14300,23.160918
2015-05-22,22.85,23.030001,22.84,23.030001,51800,22.951634
2015-05-21,22.809999,22.809999,22.75,22.75,200,22.672586
2015-05-20,23.23,23.23,23.23,23.23,200,23.150952
2015-05-19,23.27,23.35,23.200001,23.200001,4500,23.121055
2015-05-18,23.049999,23.309999,23.049999,23.200001,13500,23.121055
2015-05-15,22.950001,23.24,22.67,23.24,1900,23.160918
2015-05-14,22.799999,23.25,22.719999,23.25,6800,23.170884
2015-05-13,23.34,23.34,22.799999,22.799999,200,22.722415
2015-05-12,23.42,23.42,22.879999,22.879999,400,22.802142
2015-05-11,22.82,22.82,22.82,22.82,000,22.742347
2015-05-08,22.82,22.82,22.82,22.82,000,22.742347
2015-05-07,23.540001,23.540001,22.82,22.82,400,22.742347
2015-05-06,22.620001,22.620001,22.620001,22.620001,000,22.543029
2015-05-05,22.620001,22.620001,22.620001,22.620001,000,22.543029
2015-05-04,22.940001,22.940001,22.620001,22.620001,800,22.543029
2015-05-01,22.540001,22.950001,22.540001,22.77,1500,22.692518
2015-04-30,23.00,23.00,23.00,23.00,000,22.921735
2015-04-29,23.00,23.00,23.00,23.00,500,22.921735
2015-04-28,23.00,23.00,22.969999,23.00,1400,22.921735
2015-04-27,22.51,22.51,22.51,22.51,000,22.433403
2015-04-24,22.51,22.51,22.51,22.51,000,22.433403
2015-04-23,22.51,22.51,22.51,22.51,000,22.433403
2015-04-22,22.51,22.51,22.51,22.51,500,22.433403
2015-04-21,23.01,23.01,23.01,23.01,000,22.931701
2015-04-20,23.01,23.01,23.01,23.01,200,22.931701
2015-04-17,22.77,22.77,22.77,22.77,000,22.692518
2015-04-16,22.77,22.77,22.77,22.77,100,22.692518
2015-04-15,22.42,22.42,22.42,22.42,000,22.343709
2015-04-14,22.42,22.42,22.42,22.42,300,22.343709
2015-04-13,23.10,23.10,23.10,23.10,000,23.021395
2015-04-10,23.10,23.10,23.10,23.10,000,23.021395
2015-04-09,23.10,23.10,23.10,23.10,000,23.021395
2015-04-08,23.10,23.10,23.10,23.10,000,23.021395
2015-04-07,23.10,23.10,23.10,23.10,000,23.021395
2015-04-06,22.40,23.540001,22.40,23.10,1800,23.021395
2015-04-02,21.969999,21.969999,21.969999,21.969999,200,21.895239
2015-04-01,24.00,24.00,24.00,24.00,000,23.918332
2015-03-31,23.90,24.10,23.90,24.00,1400,23.918332
2015-03-30,22.110001,22.110001,22.110001,22.110001,000,22.034764
2015-03-27,22.110001,22.110001,22.110001,22.110001,000,22.034764
2015-03-26,22.110001,22.110001,22.110001,22.110001,000,22.034764
2015-03-25,22.110001,22.110001,22.110001,22.110001,000,22.034764
2015-03-24,22.110001,22.110001,22.110001,22.110001,200,21.955036
2015-03-23,22.75,22.75,22.75,22.75,000,22.59055
2015-03-20,22.75,22.75,22.75,22.75,200,22.59055
2015-03-19,23.110001,23.16,23.110001,23.16,300,22.997676
2015-03-18,22.780001,23.10,22.780001,23.10,300,22.938097
2015-03-17,23.10,23.10,23.10,23.10,100,22.938097
2015-03-16,23.10,23.10,23.10,23.10,000,22.938097
2015-03-13,23.10,23.10,23.10,23.10,000,22.938097
2015-03-12,23.10,23.10,23.10,23.10,000,22.938097
2015-03-11,23.10,23.10,23.10,23.10,000,22.938097
2015-03-10,23.10,23.10,23.10,23.10,300,22.938097
2015-03-09,23.00,23.00,23.00,23.00,000,22.838798
2015-03-06,23.00,23.00,23.00,23.00,000,22.838798
2015-03-05,23.00,23.00,23.00,23.00,000,22.838798
2015-03-04,23.00,23.00,23.00,23.00,000,22.838798
2015-03-03,23.00,23.00,23.00,23.00,000,22.838798
2015-03-02,23.00,23.00,23.00,23.00,000,22.838798
2015-02-27,23.00,23.00,23.00,23.00,000,22.838798
2015-02-26,23.030001,23.030001,22.969999,23.00,1100,22.838798
2015-02-25,23.10,23.10,23.10,23.10,400,22.938097
2015-02-24,23.00,23.00,23.00,23.00,000,22.838798
2015-02-23,23.00,23.00,23.00,23.00,000,22.838798
2015-02-20,23.00,23.00,23.00,23.00,000,22.838798
2015-02-19,23.00,23.00,23.00,23.00,000,22.838798
2015-02-18,23.00,23.00,23.00,23.00,100,22.838798
2015-02-17,23.00,23.00,23.00,23.00,700,22.838798
2015-02-13,23.00,23.00,23.00,23.00,000,22.838798
2015-02-12,22.85,23.00,22.85,23.00,200,22.838798
2015-02-11,22.85,22.90,22.85,22.90,300,22.739498
2015-02-10,23.00,23.00,23.00,23.00,400,22.838798
2015-02-09,22.50,22.50,22.50,22.50,000,22.342302
2015-02-06,22.50,22.50,22.50,22.50,000,22.342302
2015-02-05,22.50,22.50,22.42,22.50,8100,22.342302
2015-02-04,22.440001,22.50,22.440001,22.50,300,22.342302
2015-02-03,22.440001,22.459999,22.42,22.450001,900,22.292653
2015-02-02,21.860001,21.860001,21.860001,21.860001,300,21.706788
2015-01-30,22.139999,22.139999,22.139999,22.139999,000,21.984825
2015-01-29,22.139999,22.139999,22.139999,22.139999,000,21.984825
2015-01-28,22.120001,22.139999,21.76,22.139999,300,21.984825
2015-01-27,22.200001,22.450001,22.01,22.450001,800,22.292653
2015-01-26,23.00,23.00,22.01,23.00,1100,22.838798
2015-01-23,23.08,23.15,23.00,23.15,1000,22.987746
2015-01-22,23.00,23.049999,23.00,23.049999,200,22.888447
2015-01-21,23.00,23.00,23.00,23.00,400,22.838798
2015-01-20,22.139999,22.139999,22.139999,22.139999,000,21.984825
2015-01-16,22.139999,22.139999,22.139999,22.139999,000,21.984825
2015-01-15,22.139999,22.139999,22.139999,22.139999,000,21.984825
2015-01-14,22.139999,22.139999,22.139999,22.139999,200,21.984825
2015-01-13,23.00,23.00,23.00,23.00,000,22.838798
2015-01-12,23.00,23.00,23.00,23.00,000,22.838798
2015-01-09,23.00,23.00,23.00,23.00,000,22.838798
2015-01-08,23.00,23.00,23.00,23.00,000,22.838798
2015-01-07,23.00,23.00,23.00,23.00,000,22.838798
2015-01-06,23.00,23.00,23.00,23.00,000,22.838798
2015-01-05,23.00,23.00,23.00,23.00,000,22.838798
2015-01-02,23.00,23.00,23.00,23.00,000,22.838798
2014-12-31,23.00,23.00,23.00,23.00,300,22.838798
2014-12-30,22.73,23.00,22.450001,23.00,10100,22.838798
2014-12-29,22.719999,22.719999,22.719999,22.719999,000,22.56076
2014-12-26,22.719999,22.719999,22.719999,22.719999,000,22.56076
2014-12-24,21.700001,22.73,21.700001,22.719999,500,22.56076
2014-12-23,22.57,22.57,22.57,22.57,000,22.411811
2014-12-22,22.49,22.57,22.49,22.57,600,22.411811
2014-12-19,22.57,22.57,22.57,22.57,000,22.411811
2014-12-18,22.57,22.57,22.57,22.57,000,22.411811
2014-12-17,22.57,22.57,22.57,22.57,000,22.411811
2014-12-16,22.57,22.57,22.57,22.57,000,22.332373
2014-12-15,22.57,22.57,22.57,22.57,200,22.332373
2014-12-12,22.620001,22.620001,22.620001,22.620001,000,22.381847
2014-12-11,22.620001,22.620001,22.620001,22.620001,000,22.381847
2014-12-10,22.620001,22.620001,22.620001,22.620001,000,22.381847
2014-12-09,22.620001,22.620001,22.620001,22.620001,000,22.381847
2014-12-08,22.60,22.620001,22.60,22.620001,300,22.381847
2014-12-05,22.60,22.639999,22.60,22.639999,400,22.401635
2014-12-04,22.790001,22.790001,22.790001,22.790001,200,22.550058
2014-12-03,22.219999,22.25,22.00,22.00,8300,21.768374
2014-12-02,22.23,22.23,22.23,22.23,000,21.995952
2014-12-01,22.08,22.60,21.75,22.23,7000,21.995952
2014-11-28,23.049999,23.049999,23.049999,23.049999,000,22.807319
2014-11-26,23.049999,23.049999,23.049999,23.049999,200,22.807319
2014-11-25,22.00,22.00,22.00,22.00,000,21.768374
2014-11-24,22.00,22.00,22.00,22.00,000,21.768374
2014-11-21,22.00,22.00,22.00,22.00,600,21.768374
2014-11-20,22.00,22.00,22.00,22.00,000,21.768374
2014-11-19,22.00,22.00,22.00,22.00,000,21.768374
2014-11-18,22.00,22.00,22.00,22.00,000,21.768374
2014-11-17,22.00,22.00,22.00,22.00,100,21.768374
2014-11-14,22.00,22.00,22.00,22.00,1500,21.768374
2014-11-13,21.530001,22.549999,21.530001,21.76,29600,21.530901
2014-11-12,22.65,22.65,22.65,22.65,000,22.41153
2014-11-11,22.65,22.65,22.65,22.65,000,22.41153
2014-11-10,22.65,22.65,22.65,22.65,400,22.41153
2014-11-07,22.799999,22.799999,22.799999,22.799999,000,22.559951
2014-11-06,22.799999,22.799999,22.799999,22.799999,000,22.559951
2014-11-05,22.799999,22.799999,22.799999,22.799999,600,22.559951
2014-11-04,22.01,22.799999,22.01,22.379999,2800,22.144373
2014-11-03,22.549999,22.549999,22.549999,22.549999,000,22.312583
2014-10-31,22.75,22.75,21.90,22.549999,700,22.312583
2014-10-30,22.85,22.85,22.85,22.85,700,22.609425
2014-10-29,22.950001,22.950001,22.950001,22.950001,000,22.708373
2014-10-28,22.60,23.10,22.60,22.950001,4700,22.708373
2014-10-27,22.51,22.90,22.51,22.799999,2600,22.559951
2014-10-24,22.50,22.90,22.50,22.690001,1600,22.45111
2014-10-23,22.60,22.950001,22.60,22.799999,800,22.559951
2014-10-22,22.40,23.10,22.40,22.799999,2300,22.559951
2014-10-21,23.799999,23.799999,23.799999,23.799999,100,23.549422
2014-10-20,24.00,24.00,24.00,24.00,300,23.747317
2014-10-17,21.99,22.48,21.99,22.48,1300,22.24332
2014-10-16,21.98,21.98,21.98,21.98,000,21.748584
2014-10-15,22.00,22.00,21.549999,21.98,6400,21.748584
2014-10-14,21.75,21.75,21.75,21.75,100,21.521006
2014-10-13,21.799999,21.799999,21.75,21.75,2300,21.521006
2014-10-10,21.82,22.00,21.75,22.00,4300,21.768374
2014-10-09,21.76,22.00,21.75,21.75,1600,21.521006
2014-10-08,21.790001,22.00,21.75,21.76,10800,21.530901
2014-10-07,22.450001,22.450001,22.450001,22.450001,000,22.213637
2014-10-06,22.450001,22.450001,22.450001,22.450001,000,22.213637
2014-10-03,21.76,22.450001,21.76,22.450001,800,22.213637
2014-10-02,22.50,22.50,22.50,22.50,000,22.26311
2014-10-01,22.41,22.50,22.41,22.50,800,22.26311
2014-09-30,22.299999,22.299999,22.299999,22.299999,000,22.065215
2014-09-29,22.299999,22.299999,22.299999,22.299999,000,22.065215
2014-09-26,22.299999,22.299999,22.299999,22.299999,000,22.065215
2014-09-25,22.299999,22.299999,22.299999,22.299999,200,22.065215
2014-09-24,22.01,22.01,22.01,22.01,000,21.778269
2014-09-23,22.01,22.01,22.01,22.01,600,21.699112
2014-09-22,21.82,22.65,21.75,22.65,3000,22.330071
2014-09-19,23.700001,23.700001,21.799999,21.799999,400,21.492077
2014-09-18,22.00,22.00,22.00,22.00,000,21.689253
2014-09-17,21.75,22.00,21.75,22.00,1500,21.689253
2014-09-16,21.75,21.75,21.75,21.75,000,21.442784
2014-09-15,22.15,22.16,21.75,21.75,9100,21.442784
2014-09-12,22.50,22.50,22.50,22.50,000,22.18219
2014-09-11,22.50,22.50,22.50,22.50,000,22.18219
2014-09-10,23.719999,23.719999,22.059999,22.50,1700,22.18219
2014-09-09,22.00,22.00,22.00,22.00,000,21.689253
2014-09-08,22.00,22.00,22.00,22.00,000,21.689253
2014-09-05,22.00,22.00,22.00,22.00,000,21.689253
2014-09-04,22.00,22.00,22.00,22.00,000,21.689253
2014-09-03,22.00,22.00,22.00,22.00,000,21.689253
2014-09-02,22.00,22.00,22.00,22.00,000,21.689253
2014-08-29,22.00,22.00,22.00,22.00,000,21.689253
2014-08-28,22.00,22.00,22.00,22.00,000,21.689253
2014-08-27,22.00,22.00,22.00,22.00,000,21.689253
2014-08-26,22.00,22.00,22.00,22.00,000,21.689253
2014-08-25,22.00,22.00,22.00,22.00,000,21.689253
2014-08-22,22.00,22.02,22.00,22.00,800,21.689253
2014-08-21,22.00,22.00,22.00,22.00,500,21.689253
