Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,1.98,1.98,1.83,1.87,81300,1.87
2015-08-06,2.05,2.13,1.98,2.00,32300,2.00
2015-08-05,2.10,2.14,2.03,2.03,26800,2.03
2015-08-04,2.05,2.10,1.98,2.09,29500,2.09
2015-08-03,2.05,2.09,1.99,2.09,35800,2.09
2015-07-31,2.20,2.20,2.01,2.10,107500,2.10
2015-07-30,2.52,2.52,2.13,2.16,164200,2.16
2015-07-29,2.32,2.90,2.18,2.52,524500,2.52
2015-07-28,2.33,2.40,2.25,2.34,39800,2.34
2015-07-27,2.47,2.48,2.28,2.30,76800,2.30
2015-07-24,2.60,2.67,2.47,2.50,49300,2.50
2015-07-23,2.60,2.68,2.55,2.60,23000,2.60
2015-07-22,2.51,2.69,2.45,2.60,60600,2.60
2015-07-21,2.85,2.85,2.44,2.55,79800,2.55
2015-07-20,2.88,3.15,2.75,2.75,34700,2.75
2015-07-17,2.82,2.92,2.77,2.88,22500,2.88
2015-07-16,3.03,3.03,2.73,2.79,81000,2.79
2015-07-15,3.06,3.10,3.00,3.00,60200,3.00
2015-07-14,3.25,3.25,2.65,3.09,151300,3.09
2015-07-13,0.45,0.45,0.38,0.39,236400,3.12
2015-07-10,0.47,0.50,0.45,0.46,17300,3.68
2015-07-09,0.46,0.49,0.44,0.45,23600,3.60
2015-07-08,0.48,0.50,0.44,0.46,47100,3.68
2015-07-07,0.49,0.49,0.46,0.49,23300,3.92
2015-07-06,0.48,0.49,0.47,0.48,12000,3.84
2015-07-02,0.50,0.51,0.46,0.49,22200,3.92
2015-07-01,0.49,0.50,0.46,0.50,36000,4.00
2015-06-30,0.48,0.50,0.47,0.48,18000,3.84
2015-06-29,0.51,0.51,0.47,0.49,31400,3.92
2015-06-26,0.52,0.52,0.47,0.47,81300,3.76
2015-06-25,0.52,0.53,0.50,0.51,53600,4.08
2015-06-24,0.53,0.55,0.51,0.53,32300,4.24
2015-06-23,0.54,0.56,0.51,0.54,75000,4.32
2015-06-22,0.53,0.56,0.51,0.55,33300,4.40
2015-06-19,0.56,0.57,0.53,0.53,52000,4.24
2015-06-18,0.55,0.58,0.54,0.55,59600,4.40
2015-06-17,0.54,0.55,0.53,0.54,15400,4.32
2015-06-16,0.54,0.55,0.53,0.54,20900,4.32
