Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,14.01,14.13,13.90,14.11,103200,14.11
2015-08-06,14.30,14.32,13.91,14.06,149300,14.06
2015-08-05,14.49,14.97,14.18,14.38,99700,14.38
2015-08-04,14.80,14.98,14.62,14.73,77700,14.73
2015-08-03,14.93,14.93,14.62,14.78,94900,14.78
2015-07-31,14.97,14.97,14.76,14.94,98000,14.94
2015-07-30,14.70,15.11,14.64,14.96,109000,14.96
2015-07-29,14.34,15.11,14.34,14.79,126100,14.79
2015-07-28,14.57,14.62,14.13,14.44,171000,14.44
2015-07-27,14.61,14.64,14.30,14.47,138800,14.47
2015-07-24,14.58,14.87,14.49,14.73,180300,14.73
2015-07-23,15.15,15.23,14.40,14.52,103400,14.52
2015-07-22,14.78,15.15,14.78,15.08,98200,15.08
2015-07-21,15.03,15.38,14.83,14.86,117500,14.86
2015-07-20,15.18,15.25,15.01,15.05,94300,15.05
2015-07-17,15.33,15.35,15.12,15.18,89500,15.18
2015-07-16,15.26,15.44,15.25,15.30,85200,15.30
2015-07-15,15.30,15.30,15.09,15.15,95300,15.15
2015-07-14,15.18,15.40,15.17,15.32,111400,15.32
2015-07-13,15.19,15.36,15.14,15.18,198900,15.18
2015-07-10,15.23,15.35,15.01,15.14,120300,15.14
2015-07-09,15.21,15.26,14.89,15.04,147900,15.04
2015-07-08,15.12,15.41,14.79,14.99,309000,14.99
2015-07-07,15.48,15.48,15.13,15.20,145300,15.20
2015-07-06,15.48,15.67,15.33,15.51,86800,15.51
2015-07-02,15.64,15.71,15.50,15.59,101500,15.59
2015-07-01,15.52,15.74,15.36,15.65,88300,15.65
2015-06-30,15.29,15.41,15.18,15.35,178700,15.35
2015-06-29,15.59,15.82,15.09,15.11,92200,15.11
2015-06-26,15.70,15.87,15.58,15.82,311000,15.82
2015-06-25,15.58,15.74,15.45,15.64,121900,15.64
2015-06-24,15.46,15.56,15.29,15.48,122700,15.48
2015-06-23,15.47,15.60,15.33,15.46,84800,15.46
2015-06-22,15.36,15.46,15.21,15.43,124500,15.43
2015-06-19,15.12,15.33,15.03,15.28,245000,15.28
2015-06-18,15.04,15.17,15.01,15.09,156100,15.09
2015-06-17,15.08,15.11,14.95,15.03,95500,15.03
2015-06-16,14.95,15.11,14.87,15.07,102200,15.07
2015-06-15,15.18,15.18,14.66,14.96,99000,14.96
2015-06-12,15.28,15.33,15.13,15.24,98900,15.24
2015-06-11,15.28,15.33,15.14,15.28,66200,15.28
2015-06-10,15.12,15.42,15.05,15.27,154800,15.27
2015-06-09,15.27,15.29,15.04,15.10,101000,15.10
2015-06-08,15.28,15.42,15.13,15.26,100300,15.26
2015-06-05,15.28,15.35,15.02,15.35,124100,15.35
2015-06-04,15.33,15.34,15.14,15.32,68300,15.32
2015-06-03,15.29,15.49,15.12,15.39,77800,15.39
2015-06-02,15.24,15.57,15.04,15.27,79800,15.27
2015-06-01,15.56,15.56,15.17,15.33,94800,15.33
2015-05-29,15.91,15.91,15.50,15.52,107000,15.52
2015-05-28,16.040001,16.040001,15.69,15.95,96300,15.95
2015-05-27,16.040001,16.08,15.85,16.059999,89000,16.059999
2015-05-26,16.629999,16.629999,15.93,16.040001,104300,16.040001
2015-05-22,16.700001,16.879999,16.559999,16.77,177800,16.77
2015-05-21,16.75,16.82,16.68,16.700001,93400,16.700001
2015-05-20,16.799999,16.83,16.67,16.76,96600,16.76
2015-05-19,16.799999,16.889999,16.700001,16.809999,103400,16.809999
2015-05-18,16.530001,16.84,16.26,16.76,157600,16.76
2015-05-15,16.74,16.84,16.450001,16.59,142600,16.59
2015-05-14,16.75,16.940001,16.639999,16.84,96400,16.84
2015-05-13,16.549999,16.780001,16.27,16.76,69700,16.710001
2015-05-12,16.549999,16.620001,16.110001,16.57,114100,16.520567
2015-05-11,16.92,17.07,16.68,16.68,139800,16.630239
2015-05-08,17.10,17.10,16.75,16.959999,182200,16.909403
2015-05-07,16.450001,17.059999,16.35,16.860001,179100,16.809703
2015-05-06,15.57,16.60,15.02,16.459999,279200,16.410894
2015-05-05,16.799999,17.00,16.48,16.74,141900,16.69006
2015-05-04,16.700001,17.040001,16.700001,16.879999,81700,16.829642
2015-05-01,16.530001,16.74,16.459999,16.690001,92500,16.64021
2015-04-30,16.90,17.07,16.18,16.42,136300,16.371015
2015-04-29,16.99,17.450001,16.93,17.07,89100,17.019075
2015-04-28,17.02,17.32,16.889999,17.290001,123500,17.23842
2015-04-27,17.200001,17.27,16.82,17.030001,93600,16.979196
2015-04-24,17.059999,17.51,17.01,17.200001,99300,17.148688
2015-04-23,17.32,17.52,16.90,17.01,111500,16.959255
2015-04-22,17.60,17.60,17.25,17.34,62000,17.28827
2015-04-21,17.77,17.77,17.559999,17.629999,102800,17.577404
2015-04-20,17.219999,17.709999,17.219999,17.67,129000,17.617286
2015-04-17,17.32,17.40,17.16,17.219999,98100,17.168627
2015-04-16,17.639999,17.860001,17.43,17.440001,81800,17.387972
2015-04-15,17.65,17.790001,17.48,17.639999,102600,17.587374
2015-04-14,17.50,17.690001,17.459999,17.549999,85000,17.497643
2015-04-13,17.33,17.67,17.16,17.50,72200,17.447793
2015-04-10,17.450001,17.450001,17.309999,17.35,108600,17.298241
2015-04-09,17.49,17.620001,17.27,17.52,61500,17.467734
2015-04-08,17.360001,17.709999,17.34,17.469999,186700,17.417882
2015-04-07,17.41,17.50,17.280001,17.41,106800,17.358061
2015-04-06,17.059999,17.610001,16.950001,17.389999,75700,17.33812
2015-04-02,17.18,17.50,17.16,17.370001,57800,17.318181
2015-04-01,17.43,17.530001,17.07,17.23,77100,17.178598
2015-03-31,17.620001,17.620001,17.360001,17.440001,230700,17.387972
2015-03-30,17.35,17.85,17.25,17.790001,174200,17.736929
2015-03-27,17.02,17.35,16.879999,17.32,241700,17.268329
2015-03-26,16.940001,17.17,16.879999,17.01,71700,16.959255
2015-03-25,17.50,17.50,16.90,17.030001,134300,16.979196
2015-03-24,17.58,17.809999,17.35,17.50,122100,17.447793
2015-03-23,17.540001,17.85,17.360001,17.57,133800,17.517584
2015-03-20,17.780001,17.879999,17.51,17.59,261800,17.537524
2015-03-19,17.799999,18.07,17.60,17.700001,156300,17.647197
2015-03-18,17.690001,17.93,17.60,17.91,104000,17.856569
2015-03-17,17.67,17.85,17.450001,17.790001,75500,17.736929
2015-03-16,17.92,17.950001,17.68,17.76,84800,17.707017
2015-03-13,17.93,17.950001,17.629999,17.92,98900,17.86654
2015-03-12,17.219999,17.99,17.219999,17.93,90300,17.87651
2015-03-11,17.16,17.25,16.870001,17.110001,97600,17.058957
2015-03-10,17.58,17.83,17.120001,17.18,71300,17.128748
2015-03-09,17.450001,17.940001,17.450001,17.799999,69100,17.746897
2015-03-06,17.48,17.700001,17.26,17.440001,116600,17.387972
2015-03-05,17.879999,17.959999,17.690001,17.799999,115200,17.746897
2015-03-04,17.90,18.00,17.74,17.879999,72500,17.826658
2015-03-03,18.09,18.190001,17.860001,18.00,173100,17.946301
2015-03-02,17.33,18.219999,17.33,18.209999,200800,18.155674
2015-02-27,17.84,18.09,17.280001,17.309999,194600,17.258359
2015-02-26,17.90,18.01,17.809999,17.93,72100,17.87651
2015-02-25,17.780001,18.200001,17.700001,17.90,72100,17.846599
2015-02-24,17.33,17.860001,17.08,17.82,104000,17.766838
2015-02-23,17.59,17.620001,17.129999,17.40,82600,17.348091
2015-02-20,17.58,17.68,17.23,17.68,84200,17.627256
2015-02-19,17.639999,17.73,17.379999,17.59,110900,17.487673
2015-02-18,17.90,17.959999,17.57,17.74,101400,17.6368
2015-02-17,18.059999,18.219999,17.82,17.98,154500,17.875404
2015-02-13,17.98,18.200001,17.780001,18.00,75400,17.895288
2015-02-12,17.99,18.07,17.950001,17.99,136500,17.885346
2015-02-11,17.790001,18.00,17.60,17.65,82400,17.547323
2015-02-10,18.00,18.00,17.709999,17.809999,93000,17.706392
2015-02-09,17.610001,18.059999,17.200001,17.860001,164000,17.756103
2015-02-06,17.68,17.799999,17.530001,17.73,142600,17.626858
2015-02-05,17.549999,17.75,17.450001,17.59,117200,17.487673
2015-02-04,17.209999,17.860001,17.110001,17.52,206700,17.41808
2015-02-03,17.10,17.50,16.98,17.24,208100,17.139709
2015-02-02,16.91,17.139999,16.219999,17.059999,202700,16.960755
2015-01-30,16.41,17.190001,16.41,16.90,345600,16.801686
2015-01-29,16.299999,16.77,15.40,16.60,259000,16.503432
2015-01-28,16.059999,16.27,15.51,15.60,113600,15.50925
2015-01-27,15.78,16.08,15.66,15.93,93800,15.83733
2015-01-26,15.98,16.120001,15.65,16.02,111000,15.926806
2015-01-23,15.93,16.040001,15.57,15.94,86400,15.847271
2015-01-22,15.37,16.00,15.10,16.00,131200,15.906922
2015-01-21,15.32,15.40,15.10,15.32,174400,15.230878
2015-01-20,15.62,15.70,15.28,15.46,105800,15.370064
2015-01-16,15.38,15.71,15.38,15.66,119100,15.5689
2015-01-15,15.60,15.60,15.33,15.43,115400,15.340239
2015-01-14,15.39,15.68,15.17,15.61,125200,15.519191
2015-01-13,15.63,15.93,15.40,15.62,152100,15.529133
2015-01-12,15.56,15.57,15.33,15.54,118700,15.449598
2015-01-09,15.43,15.67,15.42,15.60,194600,15.50925
2015-01-08,16.02,16.120001,15.47,15.70,303200,15.608667
2015-01-07,15.87,16.18,15.53,15.84,153100,15.747853
2015-01-06,16.33,16.530001,15.63,15.79,142700,15.698144
2015-01-05,16.559999,16.67,16.139999,16.370001,127600,16.274771
2015-01-02,17.15,17.27,16.459999,16.74,96500,16.642617
2014-12-31,17.17,17.549999,16.959999,17.02,135200,16.920989
2014-12-30,17.10,17.27,16.91,17.139999,102800,17.04029
2014-12-29,16.940001,17.200001,16.629999,17.16,71700,17.060174
2014-12-26,17.379999,17.450001,16.92,17.00,115000,16.901105
2014-12-24,17.23,17.42,16.83,17.379999,93000,17.278894
2014-12-23,16.83,17.379999,16.74,17.16,274900,17.060174
2014-12-22,16.50,16.85,16.299999,16.77,204700,16.672443
2014-12-19,16.450001,16.700001,16.290001,16.559999,501400,16.463664
2014-12-18,16.40,16.530001,16.200001,16.469999,212200,16.374188
2014-12-17,15.77,16.24,15.21,16.18,395700,16.085876
2014-12-16,16.00,16.290001,15.61,15.72,308900,15.628551
2014-12-15,15.79,16.299999,15.79,16.040001,146800,15.946691
2014-12-12,15.88,16.290001,15.60,15.75,176000,15.658377
2014-12-11,16.17,16.50,15.97,16.09,135600,15.996399
2014-12-10,16.50,16.540001,16.00,16.059999,270500,15.966573
2014-12-09,15.91,16.530001,15.77,16.51,162000,16.413956
2014-12-08,16.15,16.610001,15.90,16.10,208900,16.006341
2014-12-05,15.45,16.34,15.45,16.25,161400,16.155468
2014-12-04,15.66,15.66,15.31,15.36,195200,15.270645
2014-12-03,15.37,15.94,15.21,15.69,171800,15.598725
2014-12-02,15.21,15.55,15.10,15.38,153800,15.290529
2014-12-01,15.34,15.50,15.16,15.20,223200,15.111576
2014-11-28,15.50,15.71,15.41,15.44,72900,15.35018
2014-11-26,15.60,15.67,15.41,15.67,112300,15.578842
2014-11-25,16.00,16.110001,15.51,15.67,118000,15.578842
2014-11-24,15.91,16.139999,15.87,15.94,169600,15.847271
2014-11-21,15.97,16.120001,15.75,15.91,167500,15.817446
2014-11-20,15.37,15.81,15.32,15.73,148400,15.638493
2014-11-19,15.62,15.62,15.35,15.47,168600,15.380006
2014-11-18,15.08,15.61,15.01,15.59,255700,15.499308
2014-11-17,15.36,15.58,14.74,15.08,345600,14.992274
2014-11-14,15.43,15.57,15.35,15.42,146400,15.330296
2014-11-13,15.55,15.65,15.27,15.41,244900,15.320354
2014-11-12,16.299999,16.299999,15.15,15.64,169900,15.499308
2014-11-11,15.62,15.77,15.16,15.18,238300,15.043446
2014-11-10,15.55,15.71,15.34,15.63,160500,15.489398
2014-11-07,15.53,15.80,15.45,15.52,207300,15.380388
2014-11-06,15.51,15.89,15.49,15.55,168900,15.410118
2014-11-05,16.02,16.290001,14.79,15.56,792400,15.420028
2014-11-04,17.25,17.610001,17.10,17.290001,380400,17.134466
2014-11-03,17.60,17.790001,17.26,17.360001,160800,17.203836
2014-10-31,17.809999,17.809999,17.00,17.629999,311500,17.471406
2014-10-30,17.290001,17.530001,17.16,17.41,129300,17.253386
2014-10-29,17.57,17.719999,17.23,17.41,118500,17.253386
2014-10-28,16.790001,17.57,16.700001,17.530001,160600,17.372307
2014-10-27,16.469999,16.75,16.280001,16.67,159400,16.520043
2014-10-24,16.530001,16.84,16.280001,16.67,118000,16.520043
2014-10-23,16.34,16.73,16.309999,16.50,102700,16.351572
2014-10-22,16.41,16.58,16.18,16.209999,130000,16.06418
2014-10-21,16.27,16.610001,16.17,16.43,143100,16.282202
2014-10-20,16.030001,16.35,16.00,16.24,146200,16.09391
2014-10-17,16.450001,16.450001,16.02,16.08,162700,15.93535
2014-10-16,16.110001,16.40,16.08,16.200001,150700,16.054271
2014-10-15,16.09,16.52,15.87,16.389999,190500,16.242561
2014-10-14,16.120001,16.799999,16.120001,16.360001,202300,16.212832
2014-10-13,15.81,16.42,15.70,16.049999,140100,15.905619
2014-10-10,15.79,16.059999,15.64,15.82,208100,15.677688
2014-10-09,16.360001,16.360001,15.85,15.91,183700,15.766879
2014-10-08,15.70,16.389999,15.61,16.360001,196800,16.212832
2014-10-07,15.95,16.049999,15.68,15.76,228000,15.618229
2014-10-06,15.94,16.26,15.92,16.030001,149200,15.8858
2014-10-03,15.70,16.02,15.39,15.85,149000,15.707419
2014-10-02,15.33,15.66,15.30,15.55,129000,15.410118
2014-10-01,15.64,15.64,15.28,15.37,202300,15.231737
2014-09-30,15.75,15.81,15.63,15.67,227500,15.529038
2014-09-29,15.96,16.200001,15.62,15.81,257800,15.667779
2014-09-26,15.91,16.200001,15.77,16.190001,158400,16.044361
2014-09-25,16.17,16.379999,15.71,15.90,137400,15.756969
2014-09-24,16.280001,16.440001,16.139999,16.23,133800,16.084
2014-09-23,16.18,16.41,16.08,16.290001,223200,16.143462
2014-09-22,16.639999,16.860001,16.18,16.27,153600,16.123641
2014-09-19,16.950001,17.040001,16.52,16.76,444400,16.609233
2014-09-18,16.889999,17.00,16.67,16.809999,114300,16.658783
2014-09-17,16.92,17.15,16.719999,16.83,113700,16.678603
2014-09-16,17.00,17.07,16.91,16.959999,137300,16.807433
2014-09-15,17.23,17.23,17.00,17.030001,74400,16.876805
2014-09-12,17.299999,17.40,16.940001,17.209999,164200,17.055184
2014-09-11,17.42,17.540001,17.200001,17.290001,200600,17.134466
2014-09-10,17.34,17.610001,17.280001,17.48,135800,17.322756
2014-09-09,17.60,17.60,17.26,17.360001,158500,17.203836
2014-09-08,17.32,17.620001,17.190001,17.60,216000,17.441677
2014-09-05,17.209999,17.41,17.110001,17.32,159400,17.164195
2014-09-04,17.02,17.379999,16.969999,17.299999,187400,17.144374
2014-09-03,17.040001,17.15,16.92,17.00,201800,16.847074
2014-09-02,16.73,17.18,16.610001,16.91,238600,16.757883
2014-08-29,16.389999,16.77,16.33,16.709999,98900,16.559682
2014-08-28,16.43,16.49,16.24,16.35,130900,16.202921
2014-08-27,16.60,16.690001,16.379999,16.559999,127700,16.411031
2014-08-26,16.129999,16.60,16.120001,16.58,191000,16.430852
2014-08-25,16.290001,16.290001,16.049999,16.120001,181600,15.974991
2014-08-22,16.27,16.290001,16.08,16.190001,79200,16.044361
2014-08-21,16.27,16.379999,16.040001,16.219999,109900,16.07409
2014-08-20,16.41,16.41,16.129999,16.33,106000,16.183101
2014-08-19,16.110001,16.610001,16.040001,16.469999,312700,16.321841
