Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,11.40,11.50,11.28,11.42,423400,11.42
2015-08-06,11.42,11.47,11.25,11.45,552700,11.45
2015-08-05,11.15,11.47,11.15,11.39,609900,11.39
2015-08-04,11.15,11.26,11.10,11.15,531100,11.15
2015-08-03,11.17,11.22,11.07,11.12,652000,11.12
2015-07-31,11.05,11.32,11.05,11.15,670900,11.15
2015-07-30,11.22,11.31,11.13,11.28,453400,11.28
2015-07-29,11.36,11.41,11.27,11.29,445000,11.29
2015-07-28,11.34,11.52,11.27,11.39,702700,11.39
2015-07-27,11.31,11.35,11.22,11.30,425500,11.30
2015-07-24,11.42,11.52,11.32,11.33,431800,11.33
2015-07-23,11.59,11.63,11.41,11.46,500700,11.46
2015-07-22,11.53,11.67,11.53,11.63,470800,11.63
2015-07-21,11.60,11.66,11.51,11.56,460400,11.56
2015-07-20,11.54,11.67,11.51,11.64,602700,11.64
2015-07-17,11.61,11.63,11.46,11.54,764100,11.54
2015-07-16,11.65,11.68,11.54,11.60,901600,11.60
2015-07-15,11.56,11.65,11.54,11.58,824200,11.58
2015-07-14,11.50,11.58,11.48,11.56,410800,11.56
2015-07-13,11.60,11.60,11.51,11.53,458200,11.53
2015-07-10,11.50,11.58,11.49,11.56,805600,11.56
2015-07-09,11.45,11.51,11.39,11.47,1105600,11.47
2015-07-08,11.31,11.41,11.31,11.39,687000,11.39
2015-07-07,11.44,11.46,11.28,11.35,702800,11.35
2015-07-06,11.29,11.47,11.15,11.47,1048500,11.47
2015-07-02,11.34,11.41,11.22,11.39,1224100,11.39
2015-07-01,11.20,11.35,11.14,11.33,1156500,11.33
2015-06-30,11.14,11.18,11.07,11.16,1016400,11.16
2015-06-29,11.30,11.32,11.05,11.09,1781600,11.09
2015-06-26,11.38,11.44,11.20,11.30,7322100,11.30
2015-06-25,11.36,11.39,11.23,11.38,1348500,11.38
2015-06-24,11.32,11.46,11.29,11.32,901900,11.32
2015-06-23,11.37,11.44,11.30,11.33,1138000,11.33
2015-06-22,11.29,11.43,11.24,11.41,1294100,11.41
2015-06-19,11.39,11.42,11.26,11.26,3687100,11.26
2015-06-18,11.38,11.42,11.32,11.39,1199900,11.39
2015-06-17,11.45,11.50,11.33,11.39,1249900,11.39
2015-06-16,11.43,11.50,11.33,11.45,1778000,11.45
2015-06-15,11.23,11.45,11.20,11.44,1918500,11.44
2015-06-12,11.08,11.26,11.08,11.21,1273900,11.21
2015-06-11,11.05,11.11,11.03,11.11,841300,11.11
2015-06-10,10.99,11.05,10.98,11.05,1538900,11.05
2015-06-09,10.95,10.99,10.95,10.99,1658700,10.99
2015-06-08,10.84,10.99,10.84,10.99,2274700,10.99
2015-06-05,10.86,10.90,10.85,10.89,1754900,10.89
2015-06-04,10.80,10.90,10.80,10.89,1350300,10.89
2015-06-03,10.83,10.87,10.76,10.85,955800,10.85
2015-06-02,10.81,10.87,10.80,10.84,1274800,10.84
2015-06-01,10.90,10.92,10.72,10.82,1320100,10.82
2015-05-29,10.95,10.96,10.83,10.87,1413600,10.87
2015-05-28,10.90,10.95,10.85,10.95,1806800,10.95
2015-05-27,10.90,10.93,10.83,10.89,1695600,10.89
2015-05-26,10.92,10.94,10.72,10.80,1422600,10.80
2015-05-22,10.94,11.01,10.83,10.90,3041100,10.90
2015-05-21,10.75,10.94,10.74,10.90,4023400,10.90
2015-05-20,10.75,10.80,10.65,10.80,4097600,10.80
2015-05-19,10.60,10.72,10.57,10.72,22812700,10.72
2015-05-18,14.77,14.82,14.59,14.59,553700,14.59
2015-05-15,14.64,14.90,14.57,14.79,1488500,14.79
2015-05-14,14.000002,14.510005,13.950004,14.45,2427600,10.46798
2015-05-13,13.359994,13.410005,13.320003,13.379995,29400,9.692839
2015-05-12,13.270006,13.410005,13.259998,13.399997,37800,9.707329
2015-05-11,13.390004,13.449996,13.329998,13.359994,26400,9.67835
2015-05-08,13.390004,13.42,13.309996,13.399997,38400,9.707329
2015-05-07,13.42,13.489999,13.239996,13.359994,50100,9.67835
2015-05-06,13.320003,13.440002,13.320003,13.399997,49700,9.707329
2015-05-05,13.35,13.440002,13.119997,13.289993,37500,9.627639
2015-05-04,13.239996,13.42,13.239996,13.42,42000,9.721819
2015-05-01,13.309996,13.449996,13.219994,13.28,37100,9.6204
2015-04-30,13.390004,13.410005,13.200006,13.340005,67100,9.663869
2015-04-29,13.499994,13.510001,13.399997,13.410005,37400,9.714579
2015-04-28,13.580002,13.580002,13.449996,13.489999,79900,9.772529
2015-04-27,13.589996,13.589996,13.429994,13.480006,107500,9.76529
2015-04-24,13.499994,13.600003,13.499994,13.589996,31200,9.844969
2015-04-23,13.410005,13.550006,13.399997,13.519996,50000,9.79426
2015-04-22,13.359994,13.469998,13.320003,13.469998,44900,9.75804
2015-04-21,13.510001,13.539998,13.329998,13.440002,44900,9.73631
2015-04-20,13.569994,13.650002,13.510001,13.580002,59500,9.83773
2015-04-17,13.510001,13.63,13.510001,13.530004,99800,9.801509
2015-04-16,13.589996,13.659997,13.519996,13.589996,28200,9.844969
2015-04-15,13.639995,13.740004,13.569994,13.589996,83500,9.844969
2015-04-14,13.569994,13.689992,13.499994,13.689992,85900,9.917409
2015-04-13,13.469998,13.589996,13.449996,13.550006,72500,9.816
2015-04-10,13.460004,13.489999,13.320003,13.460004,38400,9.7508
2015-04-09,13.449996,13.489999,13.390004,13.449996,89000,9.74355
2015-04-08,13.42,13.550006,13.379995,13.429994,80100,9.72906
2015-04-07,13.440002,13.489999,13.42,13.429994,43900,9.72906
2015-04-06,13.510001,13.580002,13.449996,13.480006,37500,9.76529
2015-04-02,13.56,13.600003,13.510001,13.580002,35200,9.83773
2015-04-01,13.489999,13.620006,13.449996,13.56,28900,9.82324
2015-03-31,13.489999,13.600003,13.449996,13.580002,30200,9.83773
2015-03-30,13.689992,13.760006,13.679998,13.749999,28600,9.96088
2015-03-27,13.810004,13.91,13.749999,13.810004,18800,10.004349
2015-03-26,13.790002,14.050001,13.740004,13.819998,28400,10.01159
2015-03-25,13.869996,13.919995,13.749999,13.84,36700,10.02608
2015-03-24,13.899992,13.98,13.679998,13.930002,16300,10.09128
2015-03-23,14.020004,14.020004,13.589996,13.770001,32200,9.97537
2015-03-20,13.720002,13.849995,13.720002,13.819998,67400,10.01159
2015-03-19,13.779994,13.790002,13.620006,13.70,14900,9.924659
2015-03-18,13.98,14.070003,13.799996,13.869996,40700,10.047809
2015-03-17,13.919995,14.090004,13.849995,13.959999,20400,10.11301
2015-03-16,14.129995,14.129995,13.84,14.000002,18500,10.141989
2015-03-13,13.899992,14.149997,13.70,14.079996,20300,10.199939
2015-03-12,13.620006,13.899992,13.56,13.880005,21100,10.05506
2015-03-11,13.300001,13.550006,13.300001,13.519996,23200,9.79426
2015-03-10,13.329998,13.510001,13.309996,13.379995,22200,9.692839
2015-03-09,13.250004,13.370002,13.250004,13.370002,20600,9.6856
2015-03-06,13.250004,13.390004,13.219994,13.329998,30400,9.65662
2015-03-05,13.329998,13.410005,13.300001,13.379995,15900,9.692839
2015-03-04,13.300001,13.469998,13.300001,13.379995,26800,9.692839
2015-03-03,13.320003,13.589996,13.28,13.399997,29100,9.707329
