Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,53.59,55.59,53.540001,55.290001,1943700,55.290001
2015-08-06,59.709999,60.419998,53.060001,54.330002,3131200,54.330002
2015-08-05,60.310001,60.889999,60.099998,60.849998,735100,60.849998
2015-08-04,60.240002,60.790001,60.080002,60.259998,318000,60.259998
2015-08-03,60.389999,60.439999,59.560001,60.310001,450800,60.310001
2015-07-31,59.529999,60.439999,59.369999,60.049999,594800,60.049999
2015-07-30,58.93,59.369999,58.34,59.299999,306000,59.299999
2015-07-29,58.50,59.16,58.040001,59.02,306900,59.02
2015-07-28,58.220001,58.669998,57.66,58.650002,552400,58.650002
2015-07-27,57.619999,58.00,57.439999,57.91,369600,57.91
2015-07-24,58.00,58.48,57.799999,57.880001,282500,57.880001
2015-07-23,58.580002,58.630001,57.84,58.049999,328700,58.049999
2015-07-22,57.98,58.619999,57.860001,58.419998,281400,58.419998
2015-07-21,58.330002,58.48,57.740002,57.98,481200,57.98
2015-07-20,58.68,58.68,58.23,58.349998,255300,58.349998
2015-07-17,59.23,59.259998,58.400002,58.540001,476000,58.540001
2015-07-16,59.049999,59.439999,59.02,59.330002,364100,59.330002
2015-07-15,59.189999,59.290001,58.709999,58.790001,351600,58.790001
2015-07-14,58.950001,59.470001,58.84,59.34,336000,59.34
2015-07-13,59.169998,59.34,58.740002,58.799999,401700,58.799999
2015-07-10,58.169998,58.779999,57.700001,58.73,461400,58.73
2015-07-09,57.93,58.25,57.470001,57.720001,524300,57.720001
2015-07-08,57.880001,58.25,57.48,57.57,752200,57.57
2015-07-07,58.00,58.189999,57.389999,58.09,481500,58.09
2015-07-06,57.700001,58.259998,57.700001,57.950001,768100,57.950001
2015-07-02,57.98,58.25,57.669998,58.00,552700,58.00
2015-07-01,57.639999,58.040001,57.529999,58.00,593000,58.00
2015-06-30,57.540001,57.860001,57.25,57.48,690300,57.48
2015-06-29,57.849998,58.23,56.93,57.09,630800,57.09
2015-06-26,58.080002,58.709999,57.849998,58.52,1248400,58.52
2015-06-25,57.810001,59.450001,57.709999,58.07,789900,58.07
2015-06-24,58.380001,58.52,57.57,57.580002,370600,57.580002
2015-06-23,59.240002,59.43,58.299999,58.380001,487300,58.380001
2015-06-22,59.330002,59.549999,59.07,59.25,446200,59.25
2015-06-19,59.400002,59.490002,59.00,59.200001,746600,59.200001
