Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,9.96,9.96,9.76,9.94,9600,9.94
2015-08-06,10.07,10.21,9.75,9.95,23500,9.95
2015-08-05,9.996,10.11,9.90,10.06,34800,10.06
2015-08-04,10.04,10.206,9.75,9.84,30200,9.84
2015-08-03,9.99,10.12,9.669,9.97,12600,9.97
2015-07-31,9.83,10.12,9.83,10.03,24900,10.03
2015-07-30,9.57,9.85,9.57,9.76,17700,9.76
2015-07-29,9.55,9.79,9.32,9.61,31600,9.61
2015-07-28,9.73,9.78,9.502,9.53,59900,9.53
2015-07-27,10.01,10.01,9.62,9.75,33800,9.75
2015-07-24,10.26,10.47,9.96,10.01,66900,10.01
2015-07-23,10.68,10.73,10.33,10.33,38600,10.33
2015-07-22,10.78,10.84,10.70,10.75,8300,10.75
2015-07-21,10.82,10.90,10.80,10.84,19800,10.80
2015-07-20,10.89,10.89,10.80,10.87,9700,10.829889
2015-07-17,10.75,10.92,10.75,10.88,9000,10.839852
2015-07-16,10.72,10.77,10.70,10.75,10700,10.710332
2015-07-15,10.75,10.78,10.70,10.72,6300,10.680443
2015-07-14,10.94,10.94,10.68,10.76,18000,10.720295
2015-07-13,10.99,11.10,10.84,10.98,14900,10.939483
2015-07-10,10.89,11.04,10.89,10.99,6200,10.949446
2015-07-09,10.54,10.88,10.53,10.85,17900,10.809963
2015-07-08,10.55,10.55,10.37,10.49,28600,10.451291
2015-07-07,10.60,10.60,10.48,10.56,25200,10.521033
2015-07-06,10.46,10.60,10.35,10.60,21100,10.560886
2015-07-02,10.30,10.48,10.30,10.46,24900,10.421402
2015-07-01,10.341,10.41,10.26,10.33,52500,10.291882
2015-06-30,10.42,10.42,10.26,10.34,50600,10.301845
2015-06-29,10.56,10.56,10.25,10.31,45200,10.271956
2015-06-26,10.53,10.58,10.50,10.58,22400,10.540959
2015-06-25,10.75,10.75,10.47,10.50,35800,10.461254
2015-06-24,10.76,10.82,10.76,10.76,20300,10.720295
2015-06-23,10.93,10.97,10.80,10.80,15100,10.760147
2015-06-22,10.79,11.024,10.79,10.96,20000,10.919557
2015-06-19,10.88,10.91,10.76,10.85,54500,10.809963
2015-06-18,10.97,11.12,10.84,10.90,16200,10.859778
2015-06-17,11.03,11.14,10.96,10.96,48900,10.919557
2015-06-16,11.18,11.18,10.978,11.01,31200,10.929521
2015-06-15,11.00,11.17,10.98,11.09,22300,11.008936
2015-06-12,11.01,11.04,10.93,11.01,88300,10.929521
2015-06-11,11.07,11.096,10.95,11.01,50700,10.929521
2015-06-10,11.22,11.23,11.00,11.01,20500,10.929521
2015-06-09,11.19,11.30,11.19,11.29,16400,11.207474
2015-06-08,11.19,11.32,11.175,11.175,13600,11.093315
2015-06-05,11.19,11.28,10.80,11.28,97400,11.197547
2015-06-04,11.10,11.19,11.01,11.19,13700,11.108204
2015-06-03,11.02,11.14,11.00,11.13,57600,11.048643
2015-06-02,11.15,11.15,11.00,11.00,20100,10.919594
2015-06-01,11.18,11.24,11.07,11.11,16600,11.028789
2015-05-29,11.14,11.24,11.01,11.18,57900,11.098278
2015-05-28,11.13,11.16,11.00,11.14,57400,11.058571
