Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,91.370003,92.32,91.110001,91.870003,124200,91.870003
2015-08-06,91.599998,92.010002,90.360001,91.809998,139300,91.809998
2015-08-05,91.370003,91.980003,90.629997,91.279999,187600,91.279999
2015-08-04,91.50,91.959999,90.760002,91.139999,127900,91.139999
2015-08-03,92.00,92.330002,90.959999,91.720001,141700,91.720001
2015-07-31,92.190002,93.339996,91.129997,92.00,206200,92.00
2015-07-30,91.480003,92.459999,91.230003,91.910004,189500,91.910004
2015-07-29,92.199997,93.230003,89.07,92.410004,169000,92.410004
2015-07-28,90.82,91.730003,89.129997,91.07,168900,91.07
2015-07-27,89.839996,90.989998,89.18,90.440002,143000,90.440002
2015-07-24,91.220001,91.550003,89.269997,90.419998,111200,90.419998
2015-07-23,91.519997,92.50,90.910004,91.120003,97800,91.120003
2015-07-22,91.629997,92.57,90.57,91.620003,136000,91.620003
2015-07-21,91.989998,93.120003,91.089996,91.93,80700,91.93
2015-07-20,92.470001,92.480003,91.790001,92.279999,84400,92.279999
2015-07-17,92.93,92.93,91.650002,92.260002,83000,92.260002
2015-07-16,91.169998,93.209999,91.120003,92.760002,276100,92.760002
2015-07-15,93.489998,93.790001,90.75,90.980003,199400,90.980003
2015-07-14,93.230003,94.260002,92.82,93.75,114200,93.75
2015-07-13,92.529999,93.57,92.040001,93.400002,107900,93.400002
2015-07-10,91.050003,92.389999,90.970001,92.160004,151600,92.160004
2015-07-09,91.519997,91.519997,90.139999,90.25,125900,90.25
2015-07-08,93.650002,93.650002,89.239998,90.389999,219100,90.389999
2015-07-07,94.610001,94.610001,92.459999,94.379997,132400,94.379997
2015-07-06,94.910004,95.949997,94.110001,94.709999,90200,94.709999
2015-07-02,95.690002,96.029999,94.940002,95.790001,177100,95.790001
2015-07-01,95.860001,97.339996,94.610001,95.519997,90800,95.519997
2015-06-30,95.32,95.410004,93.629997,94.889999,140200,94.889999
2015-06-29,97.139999,97.959999,94.580002,94.650002,116200,94.650002
2015-06-26,97.419998,98.169998,95.849998,97.760002,240700,97.760002
2015-06-25,97.589996,97.889999,95.839996,97.110001,145000,97.110001
2015-06-24,98.900002,98.900002,96.760002,97.150002,105500,97.150002
2015-06-23,98.809998,98.879997,97.25,98.620003,148900,98.620003
2015-06-22,99.080002,99.449997,97.57,98.449997,78500,98.449997
2015-06-19,98.949997,99.059998,98.089996,98.339996,144600,98.339996
2015-06-18,97.879997,99.029999,97.730003,98.699997,107700,98.699997
2015-06-17,97.779999,98.440002,97.339996,97.690002,101700,97.690002
2015-06-16,96.580002,98.199997,96.300003,97.419998,164500,97.419998
2015-06-15,96.410004,96.669998,94.82,96.540001,87200,96.540001
2015-06-12,96.470001,97.889999,95.940002,97.25,89600,97.25
2015-06-11,97.610001,97.730003,96.150002,96.610001,157700,96.610001
2015-06-10,96.309998,98.449997,95.800003,97.559998,159600,97.559998
2015-06-09,96.779999,97.150002,95.470001,95.790001,120600,95.790001
2015-06-08,95.900002,97.839996,95.400002,97.00,266600,97.00
2015-06-05,96.379997,96.779999,95.260002,95.82,155700,95.82
2015-06-04,98.120003,98.120003,96.559998,97.059998,123100,97.059998
2015-06-03,97.059998,98.669998,96.550003,98.300003,116500,98.300003
2015-06-02,97.120003,98.25,96.709999,97.220001,126700,97.220001
2015-06-01,97.349998,98.489998,95.230003,97.489998,88900,97.489998
2015-05-29,97.879997,97.879997,95.260002,96.699997,123400,96.699997
2015-05-28,98.059998,98.629997,96.599998,98.260002,198600,98.260002
2015-05-27,98.050003,99.480003,96.639999,98.00,126000,98.00
2015-05-26,98.589996,98.970001,97.309998,97.949997,71200,97.949997
2015-05-22,99.989998,100.690002,99.129997,99.25,74400,99.25
2015-05-21,100.00,100.889999,99.610001,100.269997,93100,100.269997
2015-05-20,99.389999,100.599998,98.849998,100.040001,71200,100.040001
2015-05-19,99.779999,100.080002,98.779999,99.440002,107400,99.440002
2015-05-18,97.870003,100.75,97.870003,100.190002,86900,99.940005
2015-05-15,98.660004,98.760002,97.699997,98.18,85700,97.935019
2015-05-14,98.440002,99.25,96.800003,99.139999,295400,98.892622
2015-05-13,98.620003,99.690002,97.550003,97.809998,124500,97.565939
2015-05-12,98.300003,99.25,97.32,98.459999,89600,98.214319
2015-05-11,97.309998,99.440002,96.970001,98.970001,100400,98.723048
2015-05-08,98.110001,98.50,96.980003,97.510002,96900,97.266692
2015-05-07,96.339996,98.459999,96.150002,97.25,97000,97.007339
2015-05-06,96.550003,97.540001,94.639999,96.629997,165800,96.388883
2015-05-05,99.169998,99.730003,95.779999,95.989998,203800,95.750481
2015-05-04,99.160004,100.699997,99.160004,99.540001,111900,99.291626
2015-05-01,97.989998,100.089996,97.470001,99.290001,138300,99.04225
2015-04-30,98.139999,99.07,96.349998,97.989998,198100,97.74549
2015-04-29,99.150002,102.779999,98.980003,99.279999,229400,99.032272
2015-04-28,96.839996,98.980003,96.540001,97.589996,232500,97.346487
2015-04-27,96.050003,97.68,95.669998,97.07,209600,96.827788
2015-04-24,96.550003,97.00,95.120003,96.150002,105400,95.910085
2015-04-23,94.860001,96.889999,94.739998,96.279999,128000,96.039758
2015-04-22,94.839996,95.169998,94.00,94.910004,143500,94.673181
2015-04-21,94.669998,95.480003,93.870003,94.809998,202500,94.573425
2015-04-20,94.949997,95.82,93.309998,94.120003,227600,93.885152
2015-04-17,95.459999,96.019997,93.839996,94.230003,157100,93.994878
2015-04-16,96.949997,97.50,96.099998,96.379997,182000,96.139507
