Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,7.00,8.38,7.00,7.90,634800,7.90
2015-08-06,5.92,7.10,5.56,7.08,841100,7.08
2015-08-05,6.50,6.69,5.80,6.30,892900,6.30
2015-08-04,6.40,6.62,6.37,6.51,497100,6.51
2015-08-03,7.61,7.70,6.12,6.37,1531800,6.37
2015-07-31,8.34,8.40,7.78,7.81,653700,7.81
2015-07-30,9.00,9.00,8.31,8.49,372900,8.49
2015-07-29,8.71,9.19,8.36,9.07,324000,9.07
2015-07-28,8.59,9.24,8.56,9.13,535000,8.78
2015-07-27,8.13,8.70,8.00,8.65,316900,8.318401
2015-07-24,8.40,8.58,8.21,8.36,269600,8.039518
2015-07-23,8.25,8.51,8.11,8.44,269600,8.116451
2015-07-22,8.40,8.50,8.03,8.24,408500,7.924118
2015-07-21,8.30,8.77,8.26,8.52,407300,8.193385
2015-07-20,8.31,8.40,7.90,8.29,595200,7.972202
2015-07-17,8.99,9.06,8.15,8.43,594400,8.106835
2015-07-16,9.40,9.44,9.00,9.04,554300,8.69345
2015-07-15,9.69,9.73,9.11,9.44,392500,9.078116
2015-07-14,9.32,9.73,9.30,9.69,266900,9.318532
2015-07-13,10.06,10.21,9.31,9.44,506400,9.078116
2015-07-10,10.32,10.49,10.00,10.13,476200,9.741665
2015-07-09,9.00,10.28,8.95,10.19,855200,9.799364
2015-07-08,9.05,10.00,8.71,8.79,1265400,8.453034
2015-07-07,8.19,9.08,8.00,9.02,1767300,8.674217
2015-07-06,8.01,8.11,7.70,8.08,669200,7.770252
2015-07-02,8.63,8.63,8.12,8.13,402100,7.818335
2015-07-01,8.52,8.54,8.06,8.51,507600,8.183768
2015-06-30,8.91,9.01,8.43,8.57,472800,8.241468
2015-06-29,9.23,9.26,8.83,8.90,365000,8.558817
2015-06-26,10.03,10.03,9.38,9.39,201500,9.030033
2015-06-25,10.06,10.16,9.85,10.05,245900,9.664732
2015-06-24,9.70,10.05,9.67,10.01,383500,9.626265
2015-06-23,9.52,9.73,9.29,9.68,167400,9.308916
2015-06-22,9.44,9.71,9.12,9.49,318700,9.126199
2015-06-19,9.37,9.66,9.16,9.37,1703400,9.0108
2015-06-18,9.89,9.89,9.39,9.47,325000,9.106966
