Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,3.27,3.44,3.13,3.16,3521500,3.16
2015-08-06,3.05,3.43,2.97,3.32,5886900,3.32
2015-08-05,3.45,3.49,3.03,3.15,7347200,3.15
2015-08-04,3.40,3.58,3.32,3.45,6456900,3.45
2015-08-03,3.85,3.92,3.26,3.28,16971300,3.28
2015-07-31,4.62,4.63,4.00,4.04,14044400,4.04
2015-07-30,5.15,5.71,4.65,4.76,20397700,4.76
2015-07-29,5.79,6.48,5.61,6.46,5792300,6.46
2015-07-28,5.53,5.83,5.44,5.75,4253500,5.75
2015-07-27,5.70,5.81,5.51,5.51,3809000,5.51
2015-07-24,5.98,6.00,5.75,5.79,3202800,5.79
2015-07-23,5.75,6.01,5.65,5.89,4640100,5.89
2015-07-22,6.00,6.13,5.67,5.69,6840400,5.69
2015-07-21,6.05,6.31,6.02,6.09,4675000,6.09
2015-07-20,6.98,6.98,5.98,6.03,10913900,6.03
2015-07-17,7.36,7.45,6.89,6.96,7953500,6.96
2015-07-16,7.94,7.97,7.33,7.36,5593700,7.36
2015-07-15,8.12,8.13,7.76,7.78,3072800,7.78
2015-07-14,7.79,8.14,7.75,8.05,3884600,8.05
2015-07-13,8.30,8.31,7.61,7.73,7159000,7.73
2015-07-10,8.60,8.68,8.31,8.31,2964600,8.31
2015-07-09,8.71,8.78,8.47,8.54,2449900,8.54
2015-07-08,8.85,9.03,8.50,8.51,3400800,8.406
2015-07-07,9.03,9.10,8.62,8.99,3899600,8.880134
2015-07-06,9.06,9.33,9.01,9.05,2894800,8.939401
2015-07-02,9.04,9.42,9.04,9.16,2721700,9.048056
2015-07-01,8.95,9.12,8.58,8.95,4702700,8.840623
2015-06-30,9.32,9.45,8.89,8.91,4726800,8.801111
2015-06-29,9.63,9.66,9.23,9.23,3908500,9.1172
2015-06-26,9.96,9.99,9.78,9.81,2038900,9.690113
2015-06-25,10.19,10.30,9.95,10.00,1771400,9.877791
2015-06-24,10.22,10.47,10.10,10.20,1479200,10.075346
2015-06-23,10.01,10.32,10.01,10.27,1560000,10.144492
2015-06-22,10.12,10.16,9.94,10.09,2174800,9.966691
2015-06-19,10.15,10.19,9.92,10.02,3108000,9.897547
2015-06-18,10.28,10.36,10.15,10.16,1704400,10.035835
2015-06-17,10.33,10.47,10.18,10.23,1992700,10.10498
2015-06-16,10.34,10.40,10.10,10.23,2542000,10.10498
2015-06-15,10.29,10.43,10.22,10.39,1266000,10.263025
2015-06-12,10.40,10.46,10.30,10.31,1874400,10.184003
2015-06-11,10.60,10.71,10.41,10.42,2127100,10.292658
2015-06-10,10.64,10.78,10.58,10.63,1867400,10.500092
2015-06-09,10.61,10.77,10.45,10.48,2203500,10.351924
2015-06-08,10.67,10.87,10.60,10.63,1580300,10.397363
2015-06-05,10.43,10.74,10.35,10.68,1683500,10.446269
2015-06-04,10.46,10.55,10.30,10.50,2350600,10.270208
2015-06-03,10.89,10.98,10.45,10.56,2558500,10.328895
2015-06-02,10.57,10.91,10.52,10.88,2250500,10.641892
2015-06-01,10.51,10.68,10.41,10.48,2136400,10.250645
2015-05-29,10.64,10.68,10.46,10.58,2538500,10.348457
2015-05-28,10.98,11.00,10.40,10.64,4978500,10.407144
2015-05-27,11.23,11.23,10.91,11.00,3462800,10.759265
2015-05-26,11.44,11.51,11.04,11.25,2924600,11.003794
2015-05-22,11.30,11.64,11.27,11.51,2622600,11.258104
2015-05-21,11.28,11.42,11.22,11.37,2323700,11.121168
2015-05-20,11.31,11.45,11.26,11.26,2445600,11.013575
2015-05-19,11.28,11.40,11.01,11.30,18968000,11.0527
2015-05-18,12.51,12.60,12.29,12.41,1676700,12.138407
2015-05-15,12.77,12.82,12.41,12.65,1788500,12.373155
2015-05-14,13.19,13.25,12.80,12.83,1491500,12.549216
2015-05-13,13.28,13.30,12.98,13.02,1146800,12.735058
2015-05-12,12.90,13.30,12.90,13.17,1180000,12.881775
2015-05-11,13.27,13.34,12.80,12.89,1692600,12.607903
2015-05-08,13.17,13.24,12.98,13.24,1207600,12.950243
2015-05-07,13.41,13.41,12.90,13.02,2378200,12.735058
2015-05-06,13.95,13.97,13.07,13.49,2708700,13.093047
2015-05-05,13.96,13.99,13.50,13.63,1998600,13.228928
2015-05-04,14.00,14.21,13.65,13.66,2581200,13.258045
2015-05-01,13.90,14.05,13.72,13.94,1382300,13.529806
2015-04-30,13.69,14.10,13.58,13.85,2699900,13.442455
2015-04-29,13.17,13.82,13.10,13.63,2600900,13.228928
2015-04-28,13.30,13.39,13.16,13.39,1186400,12.99599
2015-04-27,13.60,13.61,13.16,13.26,1687200,12.869816
2015-04-24,13.69,13.69,13.40,13.57,1841100,13.170693
2015-04-23,13.45,13.68,13.40,13.61,1867800,13.209516
2015-04-22,13.20,13.70,13.10,13.36,2179000,12.966873
2015-04-21,13.48,13.55,12.97,13.15,2807500,12.763052
2015-04-20,12.92,13.59,12.92,13.30,2330100,12.908639
2015-04-17,12.94,13.06,12.60,12.92,1719900,12.53982
2015-04-16,12.97,13.25,12.50,12.96,2560100,12.578643
2015-04-15,12.63,13.30,12.44,12.98,4498600,12.598054
2015-04-14,11.73,12.40,11.69,12.40,3067500,12.035121
2015-04-13,11.68,11.85,11.61,11.67,1257400,11.326602
2015-04-10,11.57,11.71,11.33,11.66,1034200,11.316896
2015-04-09,11.41,11.52,11.25,11.45,1382200,11.113076
2015-04-08,11.80,11.82,11.41,11.41,1706900,10.973313
2015-04-07,11.77,11.79,11.50,11.67,2341400,11.223363
2015-04-06,11.68,11.92,11.55,11.66,2632900,11.213745
2015-04-02,11.25,11.55,11.22,11.51,1570000,11.069486
2015-04-01,11.10,11.45,11.03,11.25,1547200,10.819437
2015-03-31,11.10,11.30,10.98,11.06,1233800,10.636709
2015-03-30,11.37,11.53,10.86,11.30,3256700,10.867524
2015-03-27,11.99,11.99,11.45,11.57,1632700,11.12719
2015-03-26,12.25,12.30,11.70,11.84,2295100,11.386857
2015-03-25,12.00,12.18,11.81,12.06,1944000,11.598437
2015-03-24,11.77,12.08,11.56,11.78,2553300,11.329153
2015-03-23,11.24,11.57,11.21,11.31,1688400,10.877141
2015-03-20,11.28,11.50,11.11,11.24,3826700,10.80982
2015-03-19,11.00,11.33,10.97,11.16,1333100,10.732881
2015-03-18,10.85,11.58,10.81,11.40,2606200,10.963696
2015-03-17,10.93,11.10,10.69,11.02,1953100,10.59824
2015-03-16,10.96,11.02,10.50,10.93,3078200,10.511684
2015-03-13,11.44,11.55,11.10,11.20,1978400,10.77135
2015-03-12,11.57,11.75,11.44,11.52,1003900,11.079104
2015-03-11,11.47,11.90,11.30,11.54,2680800,11.098338
2015-03-10,12.05,12.06,11.47,11.47,1883400,11.031017
2015-03-09,11.98,12.17,11.86,12.05,1781700,11.488799
2015-03-06,12.02,12.10,11.82,11.86,1378100,11.307648
2015-03-05,12.10,12.37,11.93,11.99,2318200,11.431593
2015-03-04,11.66,11.82,11.40,11.79,1711300,11.240908
2015-03-03,11.56,11.98,11.42,11.67,3386100,11.126497
2015-03-02,12.16,12.19,11.54,11.56,1868200,11.02162
2015-02-27,12.04,12.16,11.88,12.02,1539300,11.460197
2015-02-26,12.20,12.27,11.92,11.96,2453200,11.402991
2015-02-25,12.37,12.50,12.21,12.28,2422300,11.708087
2015-02-24,12.50,12.81,12.39,12.45,1599000,11.87017
2015-02-23,12.67,12.81,12.35,12.48,2231500,11.898772
2015-02-20,12.45,12.88,12.43,12.75,2145800,12.156198
2015-02-19,12.24,12.73,11.80,12.49,3571000,11.908307
2015-02-18,12.94,12.99,12.59,12.80,2588800,12.20387
2015-02-17,13.18,13.31,12.71,13.13,2332300,12.518501
2015-02-13,13.15,13.18,12.80,12.94,2754000,12.337349
2015-02-12,13.12,13.22,12.53,12.54,3655000,11.955978
2015-02-11,12.92,12.92,12.11,12.51,4684300,11.927376
2015-02-10,14.20,14.29,12.82,13.17,5266800,12.556638
2015-02-09,13.69,14.93,13.55,14.25,8926100,13.586339
2015-02-06,12.84,13.73,12.67,13.36,6642000,12.737789
2015-02-05,12.00,12.85,11.88,12.48,5658300,11.799616
2015-02-04,11.72,11.92,11.27,11.63,2726000,10.995957
2015-02-03,11.03,12.49,10.95,11.87,7607500,11.222872
2015-02-02,10.40,10.78,10.25,10.77,3766500,10.182842
2015-01-30,10.10,10.54,9.88,10.26,2578200,9.700646
2015-01-29,10.04,10.20,9.71,10.13,2725600,9.577734
2015-01-28,10.38,10.42,9.84,9.95,2819600,9.407546
2015-01-27,10.08,10.55,10.00,10.27,3253100,9.710101
2015-01-26,9.50,10.34,9.45,10.14,3764200,9.587189
2015-01-23,9.42,9.84,9.35,9.45,2742100,8.934805
2015-01-22,9.37,9.40,9.06,9.40,2949700,8.887531
2015-01-21,9.25,9.47,9.18,9.32,3353500,8.811893
2015-01-20,9.50,9.50,9.05,9.22,4358700,8.717345
2015-01-16,9.64,9.89,9.42,9.62,5104300,9.095537
2015-01-15,10.57,10.68,9.41,9.52,6138500,9.00099
2015-01-14,9.68,10.34,9.50,10.30,4601200,9.738466
