Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,14.10,14.20,14.04,14.12,141000,14.12
2015-08-06,14.08,14.19,14.08,14.15,190800,14.15
2015-08-05,14.09,14.16,14.03,14.16,367300,14.16
2015-08-04,14.26,14.28,14.12,14.19,260400,14.19
2015-08-03,14.37,14.42,14.24,14.26,429700,14.26
2015-07-31,14.43,14.51,14.29,14.32,152000,14.32
2015-07-30,14.12,14.22,14.06,14.20,257900,14.20
2015-07-29,14.18,14.42,14.18,14.28,247100,14.28
2015-07-28,14.05,14.17,13.92,14.11,303100,14.11
2015-07-27,14.17,14.19,13.97,14.03,672100,14.03
2015-07-24,14.41,14.47,13.98,13.99,862600,13.99
2015-07-23,14.90,15.09,14.59,14.64,1207400,14.64
2015-07-22,13.70,13.78,13.22,13.28,908100,13.28
2015-07-21,13.96,14.08,13.95,14.05,315000,14.05
2015-07-20,14.04,14.06,13.93,13.96,197100,13.96
2015-07-17,14.19,14.19,13.92,13.99,170800,13.99
2015-07-16,14.16,14.31,14.16,14.21,171100,14.21
2015-07-15,14.29,14.36,14.11,14.20,222000,14.20
2015-07-14,14.71,14.73,14.47,14.56,213400,14.56
2015-07-13,14.81,14.94,14.73,14.80,104800,14.80
2015-07-10,14.90,14.90,14.59,14.70,290100,14.70
2015-07-09,14.39,14.50,14.26,14.28,343200,14.28
2015-07-08,14.39,14.40,14.21,14.26,252600,14.26
2015-07-07,14.49,14.73,14.40,14.71,211600,14.71
2015-07-06,14.67,14.83,14.65,14.72,96700,14.72
2015-07-02,14.88,14.95,14.81,14.87,174200,14.87
2015-07-01,14.88,15.04,14.76,14.86,372900,14.86
2015-06-30,14.79,14.87,14.54,14.66,350600,14.66
2015-06-29,14.81,14.97,14.69,14.69,251200,14.69
2015-06-26,15.08,15.13,14.85,14.88,180900,14.88
2015-06-25,15.07,15.18,15.00,15.02,114900,15.02
2015-06-24,15.15,15.24,15.07,15.08,132000,15.08
2015-06-23,15.10,15.18,15.05,15.18,96900,15.18
2015-06-22,15.05,15.23,15.05,15.13,91800,15.13
2015-06-19,15.16,15.21,15.06,15.07,142200,15.07
2015-06-18,15.06,15.22,15.06,15.13,133800,15.13
2015-06-17,15.16,15.25,15.01,15.13,253400,15.13
2015-06-16,14.90,15.16,14.90,15.11,119700,15.11
2015-06-15,14.99,15.04,14.89,15.01,242500,15.01
2015-06-12,15.44,15.44,15.33,15.37,135900,15.37
2015-06-11,15.23,15.38,15.18,15.28,243900,15.28
2015-06-10,15.34,15.45,15.26,15.40,376700,15.40
2015-06-09,15.49,15.50,15.40,15.43,192000,15.43
2015-06-08,15.47,15.49,15.37,15.47,214100,15.47
2015-06-05,15.60,15.62,15.35,15.50,454400,15.50
2015-06-04,16.120001,16.120001,15.87,16.00,240800,16.00
2015-06-03,16.15,16.24,16.049999,16.139999,167600,16.139999
2015-06-02,16.139999,16.379999,16.059999,16.25,274300,16.25
2015-06-01,16.08,16.129999,15.94,15.98,174100,15.98
2015-05-29,16.15,16.280001,15.97,16.030001,503000,16.030001
2015-05-28,16.059999,16.07,15.83,15.94,445400,15.94
2015-05-27,15.55,15.74,15.53,15.57,786400,15.57
2015-05-26,15.21,15.26,15.10,15.18,171600,15.18
2015-05-22,15.20,15.30,15.19,15.19,130100,15.19
2015-05-21,15.50,15.55,15.42,15.51,167900,15.51
2015-05-20,15.37,15.50,15.34,15.46,361800,15.46
2015-05-19,15.38,15.47,15.37,15.41,413900,15.41
2015-05-18,15.34,15.50,15.27,15.43,237200,15.43
2015-05-15,15.03,15.32,15.03,15.28,405300,15.28
2015-05-14,15.48,15.69,15.48,15.63,176000,15.63
2015-05-13,15.18,15.38,15.18,15.30,122400,15.30
2015-05-12,15.09,15.19,15.06,15.11,251100,15.11
2015-05-11,14.99,15.17,14.97,15.13,582600,15.13
2015-05-08,15.28,15.46,15.24,15.30,232000,15.30
2015-05-07,15.17,15.32,15.14,15.25,461700,15.25
2015-05-06,15.16,15.47,15.11,15.31,724700,15.31
2015-05-05,15.21,15.31,15.07,15.12,261900,15.12
2015-05-04,15.11,15.33,15.11,15.29,255900,15.29
2015-05-01,14.88,15.19,14.88,15.08,312000,15.08
2015-04-30,15.05,15.09,14.90,14.91,325800,14.91
2015-04-29,14.98,15.11,14.85,14.96,417800,14.96
2015-04-28,14.51,14.74,14.44,14.70,483800,14.70
2015-04-27,14.80,14.98,14.79,14.87,284600,14.87
2015-04-24,15.32,15.38,14.98,15.01,707000,15.01
2015-04-23,14.71,15.49,14.71,15.48,970900,15.48
2015-04-22,14.27,14.41,14.20,14.40,881600,14.40
2015-04-21,14.33,14.55,14.30,14.51,270900,14.51
2015-04-20,14.24,14.38,14.23,14.30,298400,14.30
2015-04-17,14.19,14.20,14.02,14.18,204200,14.18
2015-04-16,14.24,14.40,14.18,14.38,210800,14.38
2015-04-15,14.18,14.34,14.10,14.28,212600,14.28
2015-04-14,14.13,14.25,14.12,14.17,241300,14.17
2015-04-13,13.93,14.05,13.92,14.01,263200,14.01
2015-04-10,13.77,14.00,13.76,13.95,314600,13.95
2015-04-09,13.65,13.88,13.64,13.87,299600,13.87
2015-04-08,13.79,13.82,13.57,13.72,318200,13.72
2015-04-07,13.50,13.64,13.49,13.49,352400,13.49
2015-04-06,13.33,13.61,13.33,13.49,177800,13.49
2015-04-02,13.19,13.41,13.19,13.41,245900,13.41
2015-04-01,13.09,13.19,13.04,13.13,255600,13.13
2015-03-31,13.10,13.27,13.10,13.15,215300,13.15
2015-03-30,13.34,13.38,13.26,13.38,287500,13.38
2015-03-27,13.23,13.41,13.23,13.36,164300,13.36
2015-03-26,13.30,13.30,13.16,13.22,169600,13.22
2015-03-25,13.72,13.80,13.40,13.44,331400,13.44
2015-03-24,13.84,13.84,13.50,13.58,588900,13.58
2015-03-23,13.02,13.25,13.02,13.13,378900,13.13
2015-03-20,12.79,12.96,12.76,12.89,321100,12.89
2015-03-19,12.50,12.66,12.50,12.57,226500,12.57
2015-03-18,12.46,12.76,12.41,12.74,228300,12.74
2015-03-17,12.60,12.65,12.45,12.50,152600,12.50
2015-03-16,12.70,12.73,12.51,12.52,209600,12.52
2015-03-13,12.65,12.77,12.51,12.73,332900,12.73
2015-03-12,12.48,12.54,12.37,12.51,799400,12.51
2015-03-11,13.51,13.51,12.79,12.84,669100,12.84
2015-03-10,13.47,13.48,13.31,13.41,232000,13.41
2015-03-09,13.62,13.71,13.56,13.65,197600,13.65
2015-03-06,13.75,13.81,13.49,13.60,665100,13.60
2015-03-05,14.14,14.30,14.10,14.27,261300,14.27
2015-03-04,14.48,14.48,14.31,14.37,227000,14.37
2015-03-03,14.63,14.69,14.50,14.61,232200,14.61
2015-03-02,14.64,14.80,14.64,14.67,220100,14.67
2015-02-27,14.85,14.94,14.77,14.78,213600,14.78
2015-02-26,14.84,15.07,14.84,15.02,209000,15.02
2015-02-25,14.71,14.83,14.67,14.80,157400,14.80
2015-02-24,14.67,14.82,14.67,14.80,114500,14.80
2015-02-23,14.79,14.83,14.69,14.70,124400,14.70
2015-02-20,14.59,14.86,14.59,14.84,148200,14.84
2015-02-19,14.75,14.82,14.66,14.77,224500,14.77
2015-02-18,14.83,14.87,14.70,14.80,221000,14.80
2015-02-17,14.71,14.85,14.66,14.79,393200,14.79
2015-02-13,14.88,14.92,14.82,14.86,210000,14.86
