Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.53,0.60,0.46,0.59,28000,0.59
2015-08-06,0.45,0.52,0.45,0.52,1200,0.52
2015-08-05,0.51,0.58,0.51,0.52,27200,0.52
2015-08-04,0.55,0.59,0.46,0.51,43600,0.51
2015-08-03,0.59,0.59,0.46,0.54,53900,0.54
2015-07-31,0.59,0.59,0.43,0.45,64200,0.45
2015-07-30,0.44,0.65,0.43,0.54,95600,0.54
2015-07-29,0.41,0.62,0.41,0.44,61200,0.44
2015-07-28,0.43,0.46,0.38,0.41,10100,0.41
2015-07-27,0.42,0.46,0.42,0.46,9300,0.46
2015-07-24,0.50,0.50,0.36,0.45,39900,0.45
2015-07-23,0.55,0.57,0.52,0.52,8800,0.52
2015-07-22,0.55,0.56,0.55,0.56,7300,0.56
2015-07-21,0.57,0.60,0.55,0.56,13600,0.56
2015-07-20,0.60,0.60,0.56,0.57,10000,0.57
2015-07-17,0.60,0.67,0.55,0.60,73700,0.60
2015-07-16,0.64,0.64,0.55,0.63,25700,0.63
2015-07-15,0.58,0.58,0.57,0.58,8000,0.58
2015-07-14,0.60,0.60,0.55,0.57,31400,0.57
2015-07-13,0.60,0.60,0.60,0.60,4600,0.60
2015-07-10,0.58,0.60,0.58,0.60,13400,0.60
2015-07-09,0.58,0.61,0.58,0.61,7600,0.61
2015-07-08,0.61,0.61,0.58,0.58,30800,0.58
2015-07-07,0.64,0.64,0.61,0.61,11700,0.61
2015-07-06,0.61,0.62,0.61,0.61,9500,0.61
2015-07-02,0.62,0.64,0.61,0.64,45200,0.64
2015-07-01,0.63,0.66,0.59,0.62,37900,0.62
2015-06-30,0.66,0.68,0.62,0.62,13900,0.62
2015-06-29,0.65,0.66,0.65,0.65,7400,0.65
2015-06-26,0.66,0.68,0.66,0.66,28400,0.66
2015-06-25,0.68,0.70,0.68,0.69,9700,0.69
2015-06-24,0.70,0.70,0.66,0.67,29200,0.67
2015-06-23,0.68,0.70,0.66,0.70,21400,0.70
2015-06-22,0.71,0.75,0.66,0.67,100700,0.67
2015-06-19,0.76,1.08,0.66,0.70,859900,0.70
2015-06-18,0.65,0.69,0.65,0.65,14400,0.65
2015-06-17,0.68,0.74,0.66,0.66,16400,0.66
2015-06-16,0.62,0.75,0.62,0.71,36900,0.71
2015-06-15,0.68,0.69,0.62,0.65,22100,0.65
2015-06-12,0.71,0.71,0.68,0.68,4300,0.68
2015-06-11,0.67,0.67,0.66,0.67,2400,0.67
2015-06-10,0.69,0.69,0.69,0.69,800,0.69
2015-06-09,0.74,0.75,0.70,0.70,32100,0.70
2015-06-08,0.70,0.74,0.70,0.72,10400,0.72
2015-06-05,0.72,0.72,0.66,0.69,16100,0.69
2015-06-04,0.75,0.76,0.72,0.74,12500,0.74
2015-06-03,0.68,0.74,0.68,0.72,29600,0.72
2015-06-02,0.63,0.68,0.63,0.68,12500,0.68
2015-06-01,0.73,0.73,0.64,0.67,32300,0.67
2015-05-29,0.77,0.77,0.70,0.73,53900,0.73
2015-05-28,0.76,0.76,0.69,0.72,19700,0.72
2015-05-27,0.79,0.80,0.68,0.68,33400,0.68
2015-05-26,0.75,0.83,0.75,0.78,52200,0.78
2015-05-22,1.01,1.03,0.70,0.75,128200,0.75
2015-05-21,1.04,1.06,1.01,1.01,21500,1.01
2015-05-20,1.03,1.04,1.01,1.04,39400,1.04
2015-05-19,1.04,1.07,1.03,1.03,11500,1.03
2015-05-18,1.08,1.11,1.04,1.04,48200,1.04
2015-05-15,1.13,1.15,1.07,1.08,40500,1.08
2015-05-14,1.15,1.15,1.09,1.11,27100,1.11
2015-05-13,1.05,1.15,1.04,1.13,86300,1.13
2015-05-12,1.04,1.11,1.03,1.05,40700,1.05
2015-05-11,1.04,1.18,1.02,1.08,128100,1.08
2015-05-08,1.05,1.10,1.04,1.05,61100,1.05
2015-05-07,1.16,1.20,1.00,1.03,201000,1.03
2015-05-06,1.28,1.30,1.11,1.16,190900,1.16
2015-05-05,1.44,1.50,1.23,1.27,341100,1.27
2015-05-04,1.21,1.53,1.18,1.40,597800,1.40
2015-05-01,1.30,1.30,1.15,1.18,311700,1.18
2015-04-30,1.38,1.42,1.26,1.33,171000,1.33
2015-04-29,1.38,1.44,1.26,1.36,307900,1.36
2015-04-28,1.57,1.57,1.35,1.39,441500,1.39
2015-04-27,1.89,2.01,1.51,1.59,979700,1.59
2015-04-24,2.01,2.36,1.85,1.97,7733400,1.97
2015-04-23,1.75,1.75,1.40,1.60,1496800,1.60
2015-04-22,1.91,2.33,1.68,1.75,3566400,1.75
2015-04-21,0.60,2.33,0.60,2.26,4062700,2.26
2015-04-20,0.64,0.64,0.56,0.60,7700,0.60
2015-04-17,0.60,0.64,0.56,0.56,8300,0.56
2015-04-16,0.66,0.66,0.56,0.66,13700,0.66
2015-04-15,0.58,0.66,0.56,0.62,13300,0.62
2015-04-14,0.67,0.67,0.55,0.63,15900,0.63
2015-04-13,0.66,0.67,0.57,0.67,11500,0.67
2015-04-10,0.52,0.69,0.51,0.68,32800,0.68
2015-04-09,0.50,0.64,0.50,0.64,24800,0.64
2015-04-08,0.60,0.61,0.54,0.55,16400,0.55
2015-04-07,0.62,0.62,0.59,0.59,1400,0.59
2015-04-06,0.52,0.68,0.49,0.60,25100,0.60
2015-04-02,0.64,0.64,0.55,0.62,10800,0.62
2015-04-01,0.58,0.61,0.43,0.61,53800,0.61
2015-03-31,0.59,0.59,0.39,0.58,1800,0.58
2015-03-30,0.60,0.61,0.60,0.61,1900,0.61
2015-03-27,0.64,0.64,0.63,0.63,900,0.63
2015-03-26,0.62,0.62,0.62,0.62,300,0.62
2015-03-25,0.64,0.64,0.59,0.59,8700,0.59
2015-03-24,0.65,0.65,0.57,0.61,30800,0.61
2015-03-23,0.75,0.75,0.69,0.70,16200,0.70
2015-03-20,0.75,0.83,0.75,0.77,8500,0.77
2015-03-19,0.73,0.89,0.73,0.81,28700,0.81
2015-03-18,0.77,0.85,0.76,0.77,11600,0.77
2015-03-17,0.79,0.87,0.78,0.84,19100,0.84
2015-03-16,0.75,0.90,0.75,0.87,16100,0.87
2015-03-13,0.76,0.76,0.76,0.76,1000,0.76
2015-03-12,0.77,0.79,0.77,0.79,2500,0.79
2015-03-11,0.81,0.88,0.81,0.82,5200,0.82
2015-03-10,0.84,0.89,0.84,0.89,1900,0.89
2015-03-09,0.86,0.86,0.86,0.86,000,0.86
2015-03-06,0.94,0.94,0.76,0.86,4600,0.86
2015-03-05,0.79,0.97,0.75,0.97,5500,0.97
2015-03-04,0.86,0.99,0.80,0.83,36900,0.83
2015-03-03,0.79,0.95,0.72,0.89,52200,0.89
2015-03-02,0.75,0.75,0.74,0.74,3700,0.74
2015-02-27,0.74,0.76,0.67,0.74,10800,0.74
2015-02-26,0.72,0.75,0.72,0.75,7000,0.75
2015-02-25,0.72,0.72,0.72,0.72,2200,0.72
2015-02-24,0.72,0.72,0.72,0.72,6900,0.72
2015-02-23,0.70,0.70,0.70,0.70,600,0.70
2015-02-20,0.72,0.75,0.71,0.71,2300,0.71
2015-02-19,0.71,0.75,0.71,0.75,2500,0.75
2015-02-18,0.71,0.75,0.70,0.70,7600,0.70
2015-02-17,0.75,0.75,0.71,0.71,2400,0.71
2015-02-13,0.74,0.75,0.72,0.75,700,0.75
2015-02-12,0.75,0.79,0.70,0.71,14200,0.71
