Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,19.08,19.610001,18.82,19.33,98700,19.33
2015-08-06,19.02,19.34,18.870001,19.190001,82400,19.190001
2015-08-05,18.940001,19.07,18.67,19.049999,108700,19.049999
2015-08-04,18.860001,18.92,18.52,18.85,51700,18.85
2015-08-03,19.18,19.33,18.635,18.799999,49900,18.799999
2015-07-31,19.09,19.67,19.02,19.309999,132700,19.309999
2015-07-30,19.15,19.309999,19.045,19.15,49900,19.15
2015-07-29,18.76,19.389999,18.76,19.27,165100,19.27
2015-07-28,18.74,18.93,18.209999,18.84,124100,18.84
2015-07-27,18.74,18.790001,18.379999,18.76,68300,18.76
2015-07-24,18.90,19.059999,18.52,18.91,116700,18.91
2015-07-23,19.00,19.305,18.889999,18.959999,94600,18.959999
2015-07-22,19.280001,19.42,18.91,19.10,141300,19.10
2015-07-21,19.360001,19.709999,19.246,19.309999,166700,19.309999
2015-07-20,20.129999,20.129999,19.219999,19.43,202400,19.43
2015-07-17,20.809999,20.809999,20.049999,20.129999,104600,20.129999
2015-07-16,20.74,21.200001,20.645,20.889999,91600,20.889999
2015-07-15,20.969999,21.124001,20.530001,20.700001,65600,20.700001
2015-07-14,21.35,21.469999,20.799999,20.91,133700,20.91
2015-07-13,20.959999,21.42,20.92,21.23,110400,21.23
2015-07-10,20.620001,20.950001,20.620001,20.92,94200,20.92
2015-07-09,20.40,20.620001,20.219999,20.48,208100,20.48
2015-07-08,20.219999,20.389999,19.969999,20.209999,107100,20.209999
2015-07-07,20.40,20.49,19.969999,20.34,111300,20.34
2015-07-06,20.059999,20.459999,19.959999,20.42,125200,20.42
2015-07-02,20.50,20.50,20.129999,20.16,135100,20.16
2015-07-01,20.459999,20.77,20.32,20.50,212500,20.50
2015-06-30,20.57,20.57,19.549999,20.09,159500,20.09
2015-06-29,21.10,21.42,20.370001,20.41,157900,20.41
2015-06-26,21.83,21.83,20.955,21.209999,1114200,21.209999
2015-06-25,21.530001,21.790001,21.264999,21.735001,107700,21.735001
2015-06-24,21.84,22.455,21.41,21.530001,78800,21.530001
2015-06-23,22.17,23.719999,21.77,21.809999,110300,21.809999
2015-06-22,22.68,23.059999,21.969999,22.129999,112600,22.129999
2015-06-19,22.35,22.709999,22.17,22.66,190300,22.66
2015-06-18,21.91,22.309999,21.879999,22.290001,213400,22.290001
2015-06-17,22.00,22.059999,21.65,21.85,115300,21.85
2015-06-16,21.700001,22.040001,21.41,22.00,98000,22.00
2015-06-15,21.59,21.969999,21.450001,21.76,154000,21.76
2015-06-12,21.629999,21.879999,21.59,21.84,68300,21.84
2015-06-11,21.790001,21.92,21.620001,21.76,91200,21.76
2015-06-10,21.389999,21.91,21.389999,21.83,218900,21.83
2015-06-09,21.40,21.43,21.16,21.27,138100,21.27
2015-06-08,21.24,21.58,21.24,21.35,159400,21.35
2015-06-05,21.450001,21.48,21.264,21.370001,70400,21.370001
2015-06-04,21.50,21.620001,21.290001,21.450001,113600,21.450001
2015-06-03,21.27,21.690001,21.15,21.49,148600,21.49
2015-06-02,21.23,21.35,21.059999,21.17,127600,21.17
2015-06-01,21.00,21.42,20.780001,21.190001,286200,21.190001
2015-05-29,20.67,21.01,20.629999,20.969999,258900,20.969999
2015-05-28,20.90,20.90,20.40,20.77,172600,20.77
2015-05-27,20.83,20.879999,20.311001,20.700001,276400,20.700001
2015-05-26,20.969999,20.99,20.59,20.809999,120300,20.809999
2015-05-22,20.559999,21.00,20.40,20.92,262600,20.92
2015-05-21,21.059999,21.200001,20.450001,20.559999,1765300,20.559999
2015-05-20,20.60,20.90,20.540001,20.620001,168800,20.620001
2015-05-19,20.299999,20.870001,20.07,20.77,166800,20.77
2015-05-18,19.76,20.73,19.58,20.57,154800,20.57
2015-05-15,20.58,20.690001,20.389999,20.67,67300,20.67
2015-05-14,20.530001,20.639999,20.450001,20.549999,70300,20.549999
2015-05-13,20.450001,20.629999,20.43,20.52,63500,20.52
2015-05-12,20.59,20.629999,20.370001,20.48,82100,20.48
2015-05-11,20.629999,21.00,20.25,20.77,132100,20.77
2015-05-08,20.85,21.059999,20.23,20.49,172900,20.49
2015-05-07,21.02,21.50,20.75,20.93,75700,20.93
2015-05-06,21.91,21.91,20.48,21.01,76800,21.01
2015-05-05,21.83,22.41,21.164,21.57,98900,21.57
2015-05-04,21.09,21.24,20.48,20.99,153600,20.99
2015-05-01,21.16,21.16,20.73,21.00,85500,21.00
2015-04-30,21.629999,21.629999,21.10,21.17,45900,21.17
2015-04-29,21.870001,21.969999,21.540001,21.639999,35300,21.639999
2015-04-28,22.07,22.34,21.52,22.030001,28400,22.030001
2015-04-27,22.52,22.52,21.690001,22.02,52800,22.02
2015-04-24,22.50,22.58,22.23,22.469999,55600,22.469999
2015-04-23,22.51,22.67,22.32,22.51,43600,22.51
2015-04-22,22.82,22.82,22.25,22.629999,113400,22.629999
2015-04-21,22.959999,22.98,22.610001,22.74,57800,22.74
2015-04-20,23.00,23.23,22.41,22.85,147000,22.85
2015-04-17,23.780001,24.09,22.709999,22.98,125700,22.98
2015-04-16,22.549999,24.139999,22.50,23.889999,264700,23.889999
