Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,1.16,1.16,1.09,1.11,194300,1.11
2015-08-06,1.13,1.16,1.11,1.13,40600,1.13
2015-08-05,1.12,1.14,1.09,1.11,64300,1.11
2015-08-04,1.11,1.16,1.11,1.14,21900,1.14
2015-08-03,1.18,1.18,1.07,1.14,101400,1.14
2015-07-31,1.14,1.22,1.14,1.18,23600,1.18
2015-07-30,1.17,1.19,1.17,1.18,18600,1.18
2015-07-29,1.17,1.19,1.15,1.18,36200,1.18
2015-07-28,1.17,1.19,1.15,1.16,23600,1.16
2015-07-27,1.16,1.21,1.15,1.15,45700,1.15
2015-07-24,1.21,1.21,1.15,1.20,73900,1.20
2015-07-23,1.16,1.20,1.16,1.19,13200,1.19
2015-07-22,1.15,1.16,1.13,1.15,26400,1.15
2015-07-21,1.22,1.22,1.15,1.16,25400,1.16
2015-07-20,1.20,1.22,1.16,1.18,52200,1.18
2015-07-17,1.17,1.22,1.17,1.20,56400,1.20
2015-07-16,1.20,1.20,1.13,1.17,48400,1.17
2015-07-15,1.13,1.22,1.13,1.20,113200,1.20
2015-07-14,1.10,1.15,1.10,1.12,29500,1.12
2015-07-13,1.14,1.14,1.08,1.10,49500,1.10
2015-07-10,1.12,1.14,1.06,1.12,83900,1.12
2015-07-09,1.12,1.14,1.10,1.10,91500,1.10
2015-07-08,1.13,1.17,1.11,1.11,96800,1.11
2015-07-07,1.14,1.21,1.12,1.13,72300,1.13
2015-07-06,1.19,1.19,1.12,1.16,71800,1.16
2015-07-02,1.16,1.18,1.13,1.16,81600,1.16
2015-07-01,1.16,1.23,1.15,1.15,93700,1.15
2015-06-30,1.17,1.19,1.15,1.15,130700,1.15
2015-06-29,1.19,1.19,1.12,1.15,173700,1.15
2015-06-26,1.30,1.30,1.16,1.20,577300,1.20
2015-06-25,1.33,1.37,1.29,1.31,289700,1.31
2015-06-24,1.39,1.39,1.33,1.33,465600,1.33
2015-06-23,1.38,1.44,1.29,1.33,1793100,1.33
2015-06-22,1.73,1.81,1.68,1.74,234700,1.74
2015-06-19,1.65,1.74,1.60,1.74,87800,1.74
2015-06-18,1.64,1.66,1.60,1.62,66700,1.62
2015-06-17,1.65,1.75,1.57,1.62,151900,1.62
2015-06-16,1.60,1.64,1.58,1.64,76600,1.64
2015-06-15,1.57,1.64,1.52,1.57,39300,1.57
2015-06-12,1.54,1.64,1.52,1.57,91900,1.57
2015-06-11,1.55,1.58,1.53,1.55,60400,1.55
2015-06-10,1.51,1.55,1.51,1.53,20900,1.53
2015-06-09,1.52,1.56,1.48,1.53,33600,1.53
2015-06-08,1.46,1.54,1.46,1.54,79200,1.54
2015-06-05,1.48,1.50,1.43,1.49,55600,1.49
2015-06-04,1.49,1.50,1.46,1.46,67800,1.46
2015-06-03,1.50,1.52,1.49,1.49,35600,1.49
2015-06-02,1.50,1.53,1.47,1.52,133800,1.52
2015-06-01,1.53,1.65,1.48,1.49,220300,1.49
2015-05-29,1.54,1.64,1.51,1.53,239500,1.53
2015-05-28,1.56,1.61,1.51,1.54,129500,1.54
2015-05-27,1.50,1.64,1.50,1.56,304800,1.56
2015-05-26,1.60,1.60,1.51,1.54,57900,1.54
2015-05-22,1.67,1.67,1.55,1.59,106400,1.59
2015-05-21,1.73,1.80,1.52,1.69,1022600,1.69
2015-05-20,1.46,1.68,1.43,1.62,334900,1.62
2015-05-19,1.45,1.47,1.42,1.46,32500,1.46
2015-05-18,1.43,1.44,1.40,1.43,48100,1.43
2015-05-15,1.47,1.47,1.41,1.43,72500,1.43
2015-05-14,1.45,1.54,1.44,1.45,79200,1.45
2015-05-13,1.49,1.54,1.43,1.44,79700,1.44
2015-05-12,1.54,1.54,1.44,1.46,59400,1.46
2015-05-11,1.46,1.51,1.42,1.51,51200,1.51
2015-05-08,1.44,1.48,1.42,1.44,66600,1.44
2015-05-07,1.53,1.53,1.42,1.42,136900,1.42
2015-05-06,1.59,1.59,1.50,1.53,82700,1.53
2015-05-05,1.64,1.65,1.52,1.56,159100,1.56
2015-05-04,1.50,1.65,1.50,1.62,164100,1.62
2015-05-01,1.50,1.54,1.44,1.50,99400,1.50
2015-04-30,1.50,1.50,1.45,1.50,84300,1.50
2015-04-29,1.51,1.51,1.44,1.49,102400,1.49
2015-04-28,1.42,1.49,1.40,1.48,169500,1.48
2015-04-27,1.51,1.55,1.44,1.44,223900,1.44
2015-04-24,1.51,1.59,1.48,1.51,197500,1.51
2015-04-23,1.50,1.63,1.49,1.49,382100,1.49
2015-04-22,1.71,1.71,1.50,1.52,358000,1.52
2015-04-21,1.61,1.76,1.61,1.66,565400,1.66
2015-04-20,1.57,1.66,1.52,1.61,242900,1.61
2015-04-17,1.66,1.73,1.46,1.60,971200,1.60
2015-04-16,1.72,1.83,1.67,1.70,300100,1.70
2015-04-15,2.00,2.00,1.72,1.74,448800,1.74
2015-04-14,2.26,2.26,1.96,1.97,360000,1.97
2015-04-13,2.35,2.35,2.16,2.22,120200,2.22
2015-04-10,2.44,2.46,2.30,2.37,148400,2.37
2015-04-09,2.42,2.43,2.29,2.42,143100,2.42
2015-04-08,2.36,2.44,2.30,2.40,121800,2.40
2015-04-07,2.28,2.44,2.22,2.39,123100,2.39
2015-04-06,2.44,2.47,2.27,2.28,206400,2.28
2015-04-02,2.49,2.51,2.38,2.44,131000,2.44
2015-04-01,2.63,2.63,2.48,2.48,122800,2.48
2015-03-31,2.76,2.76,2.56,2.57,191900,2.57
2015-03-30,3.01,3.09,2.75,2.78,232200,2.78
2015-03-27,2.86,3.01,2.76,2.99,116500,2.99
2015-03-26,2.65,2.90,2.65,2.86,156900,2.86
2015-03-25,3.11,3.18,2.65,2.70,427900,2.70
2015-03-24,3.10,3.23,3.03,3.07,108800,3.07
2015-03-23,3.16,3.24,2.95,3.07,249000,3.07
2015-03-20,3.32,3.32,3.12,3.16,211000,3.16
2015-03-19,3.38,3.42,3.28,3.32,178200,3.32
2015-03-18,3.50,3.74,3.28,3.38,620400,3.38
2015-03-17,3.50,3.60,3.27,3.47,733400,3.47
2015-03-16,3.07,3.68,3.04,3.57,1106300,3.57
2015-03-13,3.15,3.35,2.93,3.04,797100,3.04
2015-03-12,3.30,3.49,3.02,3.21,2487000,3.21
2015-03-11,3.60,4.05,3.05,3.32,13352700,3.32
2015-03-10,2.20,2.20,2.00,2.08,249700,2.08
2015-03-09,1.86,2.28,1.80,2.23,553100,2.23
2015-03-06,1.87,1.87,1.78,1.83,36600,1.83
2015-03-05,1.77,1.86,1.77,1.81,13200,1.81
2015-03-04,1.80,1.87,1.75,1.82,22100,1.82
2015-03-03,1.88,1.92,1.81,1.83,49800,1.83
2015-03-02,1.79,1.88,1.70,1.86,71000,1.86
2015-02-27,1.80,1.86,1.77,1.77,53300,1.77
2015-02-26,1.98,2.08,1.80,1.84,205900,1.84
2015-02-25,1.91,2.08,1.79,1.98,318600,1.98
2015-02-24,1.88,1.93,1.76,1.92,213200,1.92
2015-02-23,2.04,2.09,1.82,1.91,207000,1.91
2015-02-20,2.16,2.33,1.90,2.09,651900,2.09
2015-02-19,2.23,2.83,2.01,2.16,3259900,2.16
2015-02-18,1.61,2.10,1.57,1.98,281200,1.98
2015-02-17,1.55,1.63,1.52,1.61,23500,1.61
2015-02-13,1.55,1.55,1.45,1.55,18300,1.55
2015-02-12,1.48,1.52,1.45,1.46,14800,1.46
2015-02-11,1.55,1.57,1.47,1.50,42800,1.50
2015-02-10,1.40,1.57,1.40,1.48,64400,1.48
2015-02-09,1.44,1.45,1.39,1.45,29900,1.45
2015-02-06,1.43,1.43,1.34,1.37,38700,1.37
2015-02-05,1.41,1.45,1.36,1.40,20300,1.40
2015-02-04,1.38,1.41,1.35,1.40,22800,1.40
2015-02-03,1.35,1.55,1.35,1.38,69600,1.38
2015-02-02,1.39,1.39,1.37,1.37,6600,1.37
2015-01-30,1.37,1.39,1.35,1.38,7300,1.38
2015-01-29,1.41,1.45,1.34,1.39,35600,1.39
2015-01-28,1.54,1.54,1.41,1.41,4900,1.41
2015-01-27,1.50,1.55,1.39,1.47,55800,1.47
2015-01-26,1.32,1.50,1.31,1.48,76200,1.48
2015-01-23,1.26,1.32,1.20,1.32,61200,1.32
2015-01-22,1.25,1.30,1.17,1.23,50900,1.23
2015-01-21,1.39,1.39,1.22,1.22,96900,1.22
2015-01-20,1.35,1.38,1.32,1.36,34600,1.36
2015-01-16,1.36,1.39,1.34,1.35,38000,1.35
2015-01-15,1.42,1.45,1.37,1.39,33900,1.39
2015-01-14,1.51,1.53,1.40,1.41,48100,1.41
2015-01-13,1.55,1.57,1.46,1.53,22000,1.53
2015-01-12,1.51,1.59,1.46,1.54,56000,1.54
2015-01-09,1.62,1.67,1.51,1.51,73500,1.51
2015-01-08,1.56,1.61,1.51,1.61,69200,1.61
2015-01-07,1.45,1.55,1.45,1.51,116200,1.51
2015-01-06,1.64,1.64,1.51,1.57,60600,1.57
2015-01-05,1.60,1.70,1.49,1.62,295900,1.62
2015-01-02,1.24,1.68,1.19,1.61,743500,1.61
2014-12-31,1.22,1.27,1.11,1.20,184600,1.20
2014-12-30,1.28,1.30,1.23,1.25,123100,1.25
2014-12-29,1.30,1.32,1.25,1.30,138000,1.30
2014-12-26,1.23,1.30,1.23,1.29,43600,1.29
2014-12-24,1.27,1.36,1.24,1.25,167200,1.25
2014-12-23,1.26,1.34,1.23,1.23,60300,1.23
2014-12-22,1.26,1.34,1.26,1.28,18200,1.28
2014-12-19,1.32,1.39,1.29,1.30,67600,1.30
2014-12-18,1.31,1.34,1.27,1.31,178200,1.31
2014-12-17,1.27,1.40,1.27,1.33,429900,1.33
2014-12-16,1.29,1.39,1.14,1.34,74700,1.34
2014-12-15,1.36,1.42,1.31,1.31,19000,1.31
2014-12-12,1.37,1.41,1.36,1.37,15400,1.37
2014-12-11,1.42,1.44,1.39,1.39,52700,1.39
2014-12-10,1.40,1.46,1.40,1.43,32600,1.43
2014-12-09,1.43,1.51,1.40,1.44,64200,1.44
2014-12-08,1.51,1.53,1.47,1.49,21300,1.49
2014-12-05,1.49,1.53,1.45,1.49,28800,1.49
2014-12-04,1.54,1.54,1.48,1.52,113100,1.52
2014-12-03,1.56,1.57,1.51,1.52,73300,1.52
2014-12-02,1.57,1.59,1.56,1.58,20900,1.58
2014-12-01,1.62,1.63,1.57,1.58,28200,1.58
2014-11-28,1.60,1.62,1.56,1.60,11100,1.60
2014-11-26,1.63,1.66,1.58,1.63,60800,1.63
2014-11-25,1.59,1.68,1.54,1.65,48000,1.65
2014-11-24,1.65,1.68,1.54,1.57,125600,1.57
2014-11-21,1.70,1.70,1.65,1.68,52300,1.68
2014-11-20,1.57,1.67,1.57,1.67,44700,1.67
2014-11-19,1.60,1.68,1.57,1.57,12300,1.57
2014-11-18,1.63,1.65,1.58,1.59,11500,1.59
2014-11-17,1.68,1.70,1.62,1.62,17900,1.62
2014-11-14,1.71,1.71,1.65,1.70,18900,1.70
2014-11-13,1.78,1.84,1.66,1.71,60400,1.71
2014-11-12,1.52,1.70,1.52,1.61,21800,1.61
2014-11-11,1.60,1.80,1.55,1.57,60500,1.57
2014-11-10,1.85,1.86,1.60,1.60,210200,1.60
2014-11-07,1.86,1.86,1.80,1.80,22600,1.80
2014-11-06,1.83,1.87,1.83,1.85,17200,1.85
2014-11-05,1.84,1.87,1.83,1.83,14600,1.83
2014-11-04,1.87,1.87,1.83,1.87,16200,1.87
2014-11-03,1.82,1.87,1.82,1.87,15100,1.87
2014-10-31,1.87,1.87,1.81,1.84,23100,1.84
2014-10-30,1.86,1.87,1.84,1.84,7500,1.84
2014-10-29,1.85,1.87,1.84,1.85,17300,1.85
2014-10-28,2.06,2.06,1.81,1.84,41000,1.84
2014-10-27,1.93,1.99,1.84,1.85,44300,1.85
2014-10-24,1.91,2.15,1.88,1.95,120300,1.95
2014-10-23,1.92,2.00,1.90,1.95,12100,1.95
2014-10-22,2.15,2.15,1.80,1.92,109000,1.92
2014-10-21,1.95,2.30,1.93,2.15,277500,2.15
2014-10-20,1.84,1.85,1.81,1.85,4600,1.85
2014-10-17,1.79,1.90,1.79,1.81,13800,1.81
2014-10-16,1.75,1.80,1.72,1.79,14600,1.79
2014-10-15,1.84,1.91,1.71,1.77,25600,1.77
2014-10-14,1.91,1.91,1.77,1.83,37400,1.83
2014-10-13,1.87,1.94,1.80,1.88,32300,1.88
2014-10-10,1.95,1.95,1.83,1.87,26400,1.87
2014-10-09,1.88,1.95,1.73,1.95,20700,1.95
2014-10-08,1.89,1.95,1.76,1.88,54900,1.88
2014-10-07,1.73,1.97,1.73,1.95,62600,1.95
2014-10-06,1.70,1.80,1.67,1.80,17900,1.80
