Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.48,0.48,0.48,0.48,200,0.48
2015-08-06,0.478,0.478,0.478,0.478,000,0.478
2015-08-05,0.478,0.478,0.478,0.478,500,0.478
2015-08-04,0.47,0.47,0.47,0.47,000,0.47
2015-08-03,0.47,0.47,0.47,0.47,000,0.47
2015-07-31,0.47,0.47,0.47,0.47,000,0.47
2015-07-30,0.47,0.47,0.47,0.47,1300,0.47
2015-07-29,0.481,0.481,0.481,0.481,000,0.481
2015-07-28,0.481,0.481,0.481,0.481,000,0.481
2015-07-27,0.481,0.481,0.481,0.481,000,0.481
2015-07-24,0.481,0.481,0.481,0.481,000,0.481
2015-07-23,0.48,0.481,0.48,0.481,300,0.481
2015-07-22,0.95,0.95,0.95,0.95,000,0.95
2015-07-21,0.95,0.95,0.95,0.95,000,0.95
2015-07-20,0.95,0.95,0.95,0.95,000,0.95
2015-07-17,0.95,0.95,0.95,0.95,000,0.95
2015-07-16,0.95,0.95,0.95,0.95,000,0.95
2015-07-15,0.95,0.95,0.95,0.95,000,0.95
2015-07-14,0.80,0.95,0.80,0.95,500,0.95
2015-07-13,0.45,0.45,0.45,0.45,000,0.45
2015-07-10,0.45,0.45,0.45,0.45,000,0.45
2015-07-09,0.45,0.45,0.45,0.45,000,0.45
2015-07-08,0.45,0.45,0.45,0.45,000,0.45
2015-07-07,0.45,0.45,0.45,0.45,000,0.45
2015-07-06,0.45,0.45,0.45,0.45,000,0.45
2015-07-02,0.45,0.45,0.45,0.45,000,0.45
2015-07-01,0.45,0.45,0.45,0.45,000,0.45
2015-06-30,0.45,0.45,0.45,0.45,1300,0.45
2015-06-29,0.535,0.535,0.535,0.535,000,0.535
2015-06-26,0.535,0.535,0.535,0.535,000,0.535
2015-06-25,0.535,0.535,0.535,0.535,000,0.535
2015-06-24,0.535,0.535,0.535,0.535,000,0.535
2015-06-23,0.535,0.535,0.535,0.535,000,0.535
2015-06-22,0.535,0.535,0.535,0.535,000,0.535
2015-06-19,0.50,0.535,0.50,0.535,2300,0.535
2015-06-18,0.45,0.45,0.45,0.45,000,0.45
2015-06-17,0.45,0.45,0.45,0.45,000,0.45
2015-06-16,0.45,0.45,0.45,0.45,000,0.45
2015-06-15,0.45,0.45,0.45,0.45,000,0.45
2015-06-12,0.45,0.45,0.45,0.45,100,0.45
2015-06-11,0.46,0.46,0.46,0.46,200,0.46
2015-06-10,0.46,0.46,0.46,0.46,000,0.46
2015-06-09,0.46,0.46,0.46,0.46,000,0.46
2015-06-08,0.46,0.46,0.46,0.46,000,0.46
2015-06-05,0.46,0.46,0.46,0.46,000,0.46
2015-06-04,0.46,0.46,0.46,0.46,200,0.46
2015-06-03,0.52,0.52,0.52,0.52,000,0.52
2015-06-02,0.52,0.52,0.52,0.52,000,0.52
2015-06-01,0.52,0.52,0.52,0.52,000,0.52
2015-05-29,0.52,0.52,0.52,0.52,000,0.52
2015-05-28,0.52,0.52,0.52,0.52,000,0.52
2015-05-27,0.52,0.52,0.52,0.52,000,0.52
2015-05-26,0.52,0.52,0.52,0.52,000,0.52
2015-05-22,0.52,0.52,0.52,0.52,000,0.52
2015-05-21,0.52,0.52,0.52,0.52,2000,0.52
2015-05-20,0.386,0.386,0.386,0.386,000,0.386
2015-05-19,0.386,0.386,0.386,0.386,000,0.386
2015-05-18,0.386,0.386,0.386,0.386,000,0.386
2015-05-15,0.386,0.386,0.386,0.386,000,0.386
2015-05-14,0.386,0.386,0.386,0.386,000,0.386
2015-05-13,0.386,0.386,0.386,0.386,2000,0.386
2015-05-12,0.50,0.50,0.50,0.50,000,0.50
2015-05-11,0.50,0.50,0.50,0.50,000,0.50
2015-05-08,0.50,0.50,0.50,0.50,000,0.50
2015-05-07,0.50,0.50,0.50,0.50,000,0.50
2015-05-06,0.50,0.50,0.50,0.50,000,0.50
2015-05-05,0.50,0.50,0.50,0.50,8800,0.50
2015-05-04,0.50,0.50,0.50,0.50,200,0.50
2015-05-01,0.435,0.435,0.435,0.435,000,0.435
2015-04-30,0.435,0.435,0.435,0.435,000,0.435
2015-04-29,0.435,0.435,0.435,0.435,000,0.435
2015-04-28,0.435,0.435,0.435,0.435,000,0.435
2015-04-27,0.435,0.435,0.435,0.435,000,0.435
2015-04-24,0.435,0.435,0.435,0.435,000,0.435
2015-04-23,0.435,0.435,0.435,0.435,000,0.435
2015-04-22,0.435,0.435,0.435,0.435,000,0.435
2015-04-21,0.435,0.435,0.435,0.435,000,0.435
2015-04-20,0.435,0.435,0.435,0.435,000,0.435
2015-04-17,0.435,0.435,0.435,0.435,000,0.435
2015-04-16,0.435,0.435,0.435,0.435,000,0.435
2015-04-15,0.435,0.435,0.435,0.435,000,0.435
2015-04-14,0.435,0.435,0.435,0.435,000,0.435
2015-04-13,0.435,0.435,0.435,0.435,000,0.435
2015-04-10,0.435,0.435,0.435,0.435,000,0.435
2015-04-09,0.435,0.435,0.435,0.435,000,0.435
2015-04-08,0.435,0.435,0.435,0.435,300,0.435
2015-04-07,0.60,0.60,0.60,0.60,000,0.60
2015-04-06,0.60,0.60,0.60,0.60,000,0.60
2015-04-02,0.60,0.60,0.60,0.60,000,0.60
2015-04-01,0.60,0.60,0.60,0.60,000,0.60
2015-03-31,0.60,0.60,0.60,0.60,000,0.60
2015-03-30,0.60,0.60,0.60,0.60,000,0.60
2015-03-27,0.60,0.60,0.60,0.60,000,0.60
2015-03-26,0.60,0.60,0.60,0.60,000,0.60
2015-03-25,0.60,0.60,0.60,0.60,000,0.60
2015-03-24,0.60,0.60,0.60,0.60,100,0.60
2015-03-23,0.50,0.50,0.50,0.50,000,0.50
2015-03-20,0.50,0.50,0.50,0.50,600,0.50
2015-03-19,0.40,0.40,0.40,0.40,000,0.40
2015-03-18,0.40,0.40,0.40,0.40,000,0.40
2015-03-17,0.40,0.40,0.40,0.40,4500,0.40
2015-03-16,0.41,0.41,0.41,0.41,000,0.41
2015-03-13,0.41,0.41,0.41,0.41,000,0.41
2015-03-12,0.41,0.41,0.41,0.41,100,0.41
2015-03-11,0.50,0.50,0.50,0.50,000,0.50
2015-03-10,0.50,0.50,0.50,0.50,000,0.50
2015-03-09,0.50,0.50,0.50,0.50,000,0.50
2015-03-06,0.50,0.50,0.50,0.50,000,0.50
2015-03-05,0.50,0.50,0.50,0.50,000,0.50
2015-03-04,0.50,0.50,0.50,0.50,000,0.50
2015-03-03,0.50,0.50,0.50,0.50,000,0.50
2015-03-02,0.50,0.50,0.50,0.50,000,0.50
2015-02-27,0.50,0.50,0.50,0.50,000,0.50
2015-02-26,0.50,0.50,0.50,0.50,000,0.50
2015-02-25,0.50,0.50,0.50,0.50,5500,0.50
2015-02-24,0.65,0.65,0.65,0.65,2700,0.65
2015-02-23,0.65,0.65,0.65,0.65,000,0.65
2015-02-20,0.65,0.65,0.65,0.65,000,0.65
2015-02-19,0.65,0.65,0.65,0.65,000,0.65
2015-02-18,0.65,0.65,0.65,0.65,000,0.65
2015-02-17,0.65,0.65,0.65,0.65,000,0.65
2015-02-13,0.65,0.65,0.65,0.65,100,0.65
2015-02-12,0.65,0.65,0.65,0.65,000,0.65
