Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,8.46,8.50,8.35,8.43,22200,8.43
2015-08-06,8.50,8.55,8.34,8.35,30900,8.35
2015-08-05,8.25,8.50,8.25,8.41,22900,8.41
2015-08-04,8.45,8.45,8.25,8.29,61600,8.29
2015-08-03,8.69,9.00,8.35,8.50,91300,8.50
2015-07-31,8.90,8.92,8.72,8.76,45000,8.76
2015-07-30,8.95,9.13,8.76,8.98,60200,8.98
2015-07-29,9.00,9.30,8.91,9.15,22300,9.15
2015-07-28,9.28,9.28,8.72,9.12,81900,9.12
2015-07-27,9.02,9.23,9.02,9.18,28200,9.18
2015-07-24,9.23,9.25,8.55,9.25,84500,9.25
2015-07-23,9.25,9.42,9.01,9.15,94000,9.15
2015-07-22,9.59,9.59,8.81,9.30,198100,9.30
2015-07-21,10.00,10.03,9.51,9.63,28100,9.63
2015-07-20,9.91,10.09,9.70,9.91,33600,9.91
2015-07-17,9.98,9.98,9.56,9.73,26900,9.73
2015-07-16,9.86,10.00,9.71,9.87,49200,9.87
2015-07-15,9.93,10.35,9.71,9.79,150200,9.79
2015-07-14,9.40,9.95,9.40,9.85,122700,9.85
2015-07-13,9.31,9.47,9.31,9.44,18500,9.44
2015-07-10,9.15,9.34,9.15,9.20,38500,9.20
2015-07-09,9.02,9.18,9.01,9.05,29500,9.05
2015-07-08,9.00,9.21,8.99,9.06,64500,9.06
2015-07-07,9.25,9.30,8.70,8.92,96400,8.92
2015-07-06,9.55,9.55,9.05,9.12,90100,9.12
2015-07-02,9.25,9.60,9.17,9.59,169900,9.59
2015-07-01,9.00,9.18,8.85,9.10,57000,9.10
2015-06-30,9.10,9.10,8.95,9.10,32500,9.10
2015-06-29,9.20,9.25,8.90,9.03,88800,9.03
2015-06-26,9.25,9.25,8.97,9.19,95700,9.19
2015-06-25,8.99,9.25,8.98,9.25,186300,9.25
2015-06-24,8.89,8.97,8.77,8.91,26800,8.91
2015-06-23,8.97,8.99,8.60,8.89,39900,8.89
2015-06-22,8.69,9.00,8.50,8.94,182500,8.94
2015-06-19,8.50,8.54,8.46,8.54,24600,8.54
2015-06-18,8.57,8.60,8.46,8.52,16800,8.52
2015-06-17,8.55,8.60,8.46,8.52,15700,8.52
2015-06-16,8.62,8.62,8.47,8.57,18500,8.57
2015-06-15,8.61,8.62,8.50,8.60,26700,8.60
2015-06-12,8.67,8.72,8.54,8.66,19400,8.66
2015-06-11,8.95,9.08,8.61,8.67,20800,8.67
2015-06-10,8.73,9.05,8.68,8.90,41500,8.90
2015-06-09,8.63,8.69,8.53,8.66,71600,8.66
2015-06-08,8.60,8.75,8.56,8.63,28000,8.63
2015-06-05,8.79,8.89,8.51,8.63,36700,8.63
2015-06-04,8.82,9.05,8.63,8.91,58800,8.91
2015-06-03,8.45,8.95,8.45,8.90,61800,8.90
2015-06-02,8.50,8.53,8.36,8.42,33900,8.42
2015-06-01,8.25,8.58,8.25,8.47,67100,8.47
2015-05-29,7.96,8.29,7.73,8.22,105600,8.22
2015-05-28,7.78,8.01,7.73,8.00,81200,8.00
2015-05-27,7.70,7.95,7.65,7.72,48700,7.72
2015-05-26,8.00,8.01,7.52,7.68,41700,7.68
2015-05-22,7.69,7.70,7.61,7.65,24300,7.65
2015-05-21,7.70,7.70,7.60,7.64,20500,7.64
2015-05-20,7.80,7.80,7.70,7.73,14300,7.73
2015-05-19,7.90,8.00,7.72,7.84,25700,7.84
2015-05-18,7.90,7.99,7.72,7.97,45200,7.97
2015-05-15,7.99,7.99,7.60,7.71,35800,7.71
2015-05-14,7.72,7.95,7.60,7.86,75800,7.86
2015-05-13,7.40,7.69,7.05,7.53,49900,7.53
2015-05-12,6.88,6.97,6.86,6.92,10100,6.92
2015-05-11,6.96,7.00,6.80,6.86,37900,6.86
2015-05-08,6.92,7.07,6.85,6.88,38900,6.88
2015-05-07,7.13,7.13,6.85,6.89,45700,6.89
2015-05-06,7.23,7.23,7.05,7.11,42200,7.11
2015-05-05,7.34,7.45,7.20,7.21,19000,7.21
2015-05-04,7.27,7.46,7.25,7.32,24000,7.32
2015-05-01,7.48,7.48,7.20,7.21,30200,7.21
2015-04-30,7.35,7.52,7.17,7.39,53200,7.39
2015-04-29,7.60,7.60,7.20,7.32,71500,7.32
2015-04-28,7.45,7.61,7.30,7.60,37900,7.60
2015-04-27,7.30,7.70,7.30,7.37,116800,7.37
2015-04-24,7.40,7.40,7.16,7.27,74500,7.27
2015-04-23,6.95,7.30,6.90,7.13,82300,7.13
2015-04-22,6.72,6.89,6.60,6.89,472300,6.89
2015-04-21,6.78,6.93,6.63,6.65,86000,6.65
2015-04-20,7.00,7.00,6.71,6.75,39700,6.75
2015-04-17,6.71,6.85,6.65,6.82,46200,6.82
2015-04-16,6.60,6.81,6.60,6.68,112700,6.68
2015-04-15,6.56,6.70,6.50,6.60,123800,6.60
2015-04-14,6.58,6.62,6.45,6.49,62300,6.49
2015-04-13,6.70,6.94,6.50,6.58,59600,6.58
2015-04-10,6.80,6.98,6.59,6.67,89400,6.67
2015-04-09,7.09,7.15,6.75,6.87,60700,6.87
2015-04-08,7.35,7.43,6.92,7.00,114800,7.00
2015-04-07,7.00,7.14,6.85,7.03,50300,7.03
2015-04-06,7.00,7.01,6.80,6.85,37900,6.85
2015-04-02,6.99,7.02,6.77,6.99,43100,6.99
2015-04-01,7.08,7.08,6.85,6.94,58900,6.94
2015-03-31,6.95,7.15,6.84,6.99,115800,6.99
2015-03-30,6.90,7.01,6.85,6.98,50500,6.98
