Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,2.62,2.72,2.62,2.67,594600,2.67
2015-08-06,2.65,2.70,2.61,2.66,554900,2.66
2015-08-05,2.67,2.75,2.65,2.66,856000,2.66
2015-08-04,2.52,2.70,2.52,2.65,451800,2.65
2015-08-03,2.86,2.87,2.55,2.69,749600,2.69
2015-07-31,2.82,3.00,2.71,2.86,777100,2.86
2015-07-30,2.94,2.98,2.85,2.86,967900,2.86
2015-07-29,2.96,2.99,2.87,2.92,285300,2.92
2015-07-28,2.88,2.98,2.79,2.94,489600,2.94
2015-07-27,2.80,2.93,2.71,2.88,320400,2.88
2015-07-24,2.94,2.96,2.85,2.85,432900,2.85
2015-07-23,2.93,3.00,2.90,2.96,293600,2.96
2015-07-22,2.97,3.05,2.89,2.90,440700,2.90
2015-07-21,2.96,3.03,2.92,2.99,478500,2.99
2015-07-20,3.10,3.10,2.96,2.98,1010600,2.98
2015-07-17,3.14,3.19,3.04,3.16,694000,3.16
2015-07-16,3.36,3.36,3.15,3.16,726900,3.16
2015-07-15,3.40,3.48,3.30,3.34,656800,3.34
2015-07-14,3.42,3.46,3.38,3.40,296300,3.40
2015-07-13,3.49,3.52,3.38,3.42,342400,3.42
2015-07-10,3.28,3.41,3.28,3.41,355400,3.41
2015-07-09,3.39,3.45,3.25,3.27,473500,3.27
2015-07-08,3.32,3.36,3.18,3.36,995900,3.36
2015-07-07,3.37,3.41,3.23,3.35,754800,3.35
2015-07-06,3.30,3.50,3.23,3.39,478300,3.39
2015-07-02,3.38,3.38,3.21,3.34,1389600,3.34
2015-07-01,3.41,3.45,3.31,3.36,341900,3.36
2015-06-30,3.35,3.41,3.31,3.35,346700,3.35
2015-06-29,3.49,3.49,3.32,3.35,832900,3.35
2015-06-26,3.53,3.58,3.40,3.47,7079500,3.47
2015-06-25,3.37,3.54,3.29,3.52,877000,3.52
2015-06-24,3.51,3.55,3.39,3.40,465300,3.40
2015-06-23,3.46,3.54,3.38,3.53,845700,3.53
2015-06-22,3.47,3.53,3.41,3.49,595900,3.49
2015-06-19,3.62,3.70,3.45,3.45,1207600,3.45
2015-06-18,3.64,3.72,3.60,3.65,527700,3.65
2015-06-17,3.80,3.80,3.60,3.66,637000,3.66
2015-06-16,3.72,3.80,3.72,3.78,319300,3.78
2015-06-15,3.81,3.86,3.71,3.72,482900,3.72
2015-06-12,3.80,3.84,3.78,3.81,283500,3.81
2015-06-11,3.90,3.93,3.79,3.80,207000,3.80
2015-06-10,3.82,3.89,3.80,3.88,276700,3.88
2015-06-09,3.87,3.89,3.75,3.81,307300,3.81
2015-06-08,3.86,3.88,3.79,3.86,466800,3.86
2015-06-05,3.78,3.86,3.68,3.83,739200,3.83
2015-06-04,3.80,3.85,3.71,3.80,607900,3.80
2015-06-03,3.88,3.89,3.81,3.83,247900,3.83
2015-06-02,3.84,3.90,3.80,3.85,342400,3.85
2015-06-01,3.91,3.96,3.82,3.88,498300,3.88
2015-05-29,3.89,3.95,3.83,3.90,571800,3.90
2015-05-28,3.78,3.94,3.78,3.85,446000,3.85
2015-05-27,3.73,3.84,3.72,3.80,866100,3.80
2015-05-26,3.71,3.74,3.68,3.71,415000,3.71
2015-05-22,3.73,3.80,3.69,3.72,306200,3.72
2015-05-21,3.73,3.80,3.71,3.74,318700,3.74
2015-05-20,3.83,3.85,3.70,3.76,335300,3.76
2015-05-19,3.88,3.99,3.71,3.83,957300,3.83
2015-05-18,3.85,3.92,3.80,3.90,612900,3.90
2015-05-15,3.80,3.84,3.70,3.80,431100,3.80
2015-05-14,3.72,3.83,3.67,3.79,575000,3.79
2015-05-13,3.78,3.80,3.68,3.70,322900,3.70
2015-05-12,3.76,3.78,3.65,3.75,378700,3.75
2015-05-11,3.68,3.79,3.64,3.74,604900,3.74
2015-05-08,3.61,3.70,3.61,3.65,693000,3.65
2015-05-07,3.45,3.61,3.44,3.59,519500,3.59
2015-05-06,3.38,3.46,3.36,3.43,354300,3.43
2015-05-05,3.50,3.56,3.38,3.40,570000,3.40
2015-05-04,3.53,3.59,3.49,3.49,297900,3.49
2015-05-01,3.40,3.51,3.37,3.50,568600,3.50
2015-04-30,3.42,3.45,3.34,3.41,655300,3.41
2015-04-29,3.50,3.60,3.44,3.44,367500,3.44
2015-04-28,3.40,3.56,3.35,3.53,847700,3.53
2015-04-27,3.47,3.57,3.41,3.41,926000,3.41
2015-04-24,3.60,3.61,3.18,3.49,2425800,3.49
2015-04-23,3.74,3.84,3.65,3.75,1149700,3.75
2015-04-22,3.65,3.75,3.64,3.73,985400,3.73
2015-04-21,3.65,3.76,3.62,3.66,1476800,3.66
2015-04-20,3.56,3.65,3.48,3.60,588900,3.60
2015-04-17,3.51,3.57,3.45,3.52,642300,3.52
2015-04-16,3.68,3.72,3.50,3.53,946400,3.53
2015-04-15,3.77,3.78,3.68,3.70,945800,3.70
2015-04-14,3.74,3.77,3.69,3.77,440600,3.77
2015-04-13,3.86,3.90,3.72,3.74,786500,3.74
2015-04-10,3.85,3.92,3.80,3.86,383100,3.86
2015-04-09,3.85,3.90,3.81,3.85,260100,3.85
2015-04-08,3.85,3.98,3.77,3.84,679800,3.84
2015-04-07,3.71,3.92,3.71,3.86,669500,3.86
2015-04-06,3.75,3.81,3.65,3.71,380200,3.71
