Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,76.25,79.610001,76.25,78.260002,33600,78.260002
2015-08-06,78.290001,78.290001,76.440002,77.309998,34100,77.309998
2015-08-05,79.169998,79.230003,77.800003,77.949997,36200,77.949997
2015-08-04,78.220001,79.129997,78.120003,78.75,26700,78.75
2015-08-03,77.860001,78.809998,77.230003,78.720001,41800,78.720001
2015-07-31,78.769997,78.940002,77.779999,78.18,29900,78.18
2015-07-30,77.879997,78.900002,77.699997,78.470001,59100,78.470001
2015-07-29,77.480003,78.209999,77.370003,77.889999,32000,77.889999
2015-07-28,78.019997,78.019997,76.949997,77.620003,46100,77.620003
2015-07-27,77.910004,78.419998,76.910004,77.599998,32500,77.599998
2015-07-24,78.480003,78.690002,76.580002,78.160004,42900,78.160004
2015-07-23,79.559998,79.93,78.309998,78.690002,37800,78.690002
2015-07-22,79.349998,80.129997,79.129997,79.199997,46100,79.199997
2015-07-21,79.440002,79.760002,78.730003,79.440002,37900,79.440002
2015-07-20,79.82,80.610001,79.059998,79.260002,52400,79.260002
2015-07-17,79.089996,79.25,78.449997,79.050003,43400,79.050003
2015-07-16,79.489998,79.489998,78.629997,78.980003,47200,78.980003
2015-07-15,78.800003,79.00,78.470001,78.910004,33500,78.910004
2015-07-14,79.230003,79.25,78.349998,78.980003,35300,78.980003
2015-07-13,78.779999,79.889999,78.349998,78.879997,43000,78.879997
2015-07-10,77.43,78.639999,77.389999,78.209999,38500,78.209999
2015-07-09,78.00,78.50,77.029999,77.419998,49300,77.419998
2015-07-08,78.379997,78.410004,77.169998,77.57,34800,77.57
2015-07-07,78.839996,79.010002,78.160004,78.400002,42300,78.400002
2015-07-06,78.589996,79.370003,78.349998,79.129997,59500,79.129997
2015-07-02,78.970001,79.989998,78.599998,79.080002,60000,79.080002
2015-07-01,78.110001,79.540001,77.309998,78.989998,40900,78.989998
2015-06-30,77.480003,77.919998,76.779999,77.559998,39500,77.559998
2015-06-29,77.910004,78.040001,76.580002,76.870003,42800,76.870003
2015-06-26,77.669998,78.800003,77.669998,78.610001,82600,78.610001
2015-06-25,77.790001,78.129997,77.220001,77.830002,46000,77.830002
2015-06-24,78.019997,78.489998,77.209999,77.949997,72800,77.949997
2015-06-23,78.75,79.50,78.220001,78.779999,60200,78.779999
2015-06-22,78.599998,79.110001,77.559998,78.690002,23100,78.690002
2015-06-19,78.650002,79.059998,77.279999,78.559998,65000,78.559998
2015-06-18,77.629997,78.75,77.629997,78.419998,51800,78.419998
2015-06-17,77.849998,78.25,76.93,77.400002,41100,77.400002
2015-06-16,77.75,78.32,77.379997,77.980003,50800,77.980003
2015-06-15,78.029999,78.529999,76.480003,77.669998,38000,77.669998
2015-06-12,78.410004,79.25,78.160004,78.790001,16100,78.790001
2015-06-11,78.639999,79.099998,78.160004,78.760002,20700,78.760002
2015-06-10,77.25,79.110001,77.25,78.599998,37900,78.599998
2015-06-09,77.099998,77.550003,76.620003,77.139999,12300,77.139999
2015-06-08,77.099998,77.739998,77.099998,77.209999,15400,77.209999
2015-06-05,77.669998,78.040001,76.620003,77.43,25300,77.43
2015-06-04,77.860001,78.25,77.089996,77.650002,12800,77.650002
2015-06-03,77.190002,78.629997,76.669998,78.190002,53600,78.190002
2015-06-02,77.040001,77.849998,76.760002,77.019997,32400,77.019997
2015-06-01,77.769997,78.050003,76.769997,77.440002,19200,77.440002
2015-05-29,77.620003,78.290001,76.870003,77.620003,67500,77.620003
2015-05-28,77.550003,78.239998,77.400002,77.849998,19700,77.849998
2015-05-27,77.07,78.260002,76.809998,77.900002,15400,77.900002
2015-05-26,77.459999,77.68,76.889999,77.360001,20000,77.360001
2015-05-22,78.610001,78.709999,77.720001,77.800003,14400,77.800003
2015-05-21,78.660004,78.790001,77.870003,78.669998,44800,78.669998
2015-05-20,78.129997,78.839996,77.900002,78.529999,25400,78.529999
2015-05-19,77.650002,78.07,77.160004,77.919998,42700,77.919998
2015-05-18,77.330002,77.760002,76.360001,77.459999,55000,77.459999
2015-05-15,77.910004,77.910004,76.919998,77.209999,30100,77.209999
2015-05-14,77.699997,78.370003,77.50,77.870003,44300,77.870003
2015-05-13,78.239998,78.839996,77.260002,77.379997,32400,77.379997
2015-05-12,78.809998,78.93,77.800003,78.43,24600,78.43
2015-05-11,79.410004,79.910004,79.089996,79.190002,24100,79.190002
2015-05-08,80.00,80.00,78.269997,79.25,61500,79.25
2015-05-07,78.580002,79.639999,78.57,79.25,29000,79.25
2015-05-06,78.970001,79.129997,77.879997,78.980003,34400,78.980003
2015-05-05,78.580002,79.480003,77.480003,78.629997,44500,78.629997
2015-05-04,78.879997,79.580002,78.360001,78.980003,42000,78.980003
2015-05-01,77.910004,79.129997,77.489998,78.860001,38300,78.860001
2015-04-30,78.940002,79.269997,77.349998,78.050003,46000,78.050003
2015-04-29,79.07,79.43,78.50,78.82,24700,78.82
2015-04-28,78.519997,79.68,78.510002,79.25,29600,79.25
2015-04-27,79.489998,79.879997,78.18,78.860001,48800,78.860001
2015-04-24,79.699997,79.769997,78.410004,79.019997,42400,79.019997
2015-04-23,79.629997,79.769997,79.050003,79.370003,16300,79.370003
2015-04-22,79.349998,79.769997,77.980003,79.459999,48800,79.459999
2015-04-21,79.589996,79.589996,78.290001,78.860001,93600,78.860001
2015-04-20,78.760002,79.709999,78.760002,79.110001,44200,79.110001
2015-04-17,78.809998,79.120003,77.699997,78.239998,74000,78.239998
2015-04-16,78.919998,79.699997,78.440002,79.220001,57000,79.220001
2015-04-15,78.00,78.900002,77.43,78.650002,49200,78.650002
2015-04-14,77.68,78.25,77.129997,77.629997,22500,77.629997
2015-04-13,76.690002,77.669998,76.650002,77.480003,29400,77.480003
2015-04-10,76.260002,77.089996,76.260002,76.690002,46400,76.690002
2015-04-09,77.519997,77.639999,76.360001,76.860001,41600,76.860001
2015-04-08,77.190002,78.239998,76.989998,77.68,32700,77.68
2015-04-07,78.980003,79.449997,77.309998,77.50,32400,77.50
2015-04-06,78.949997,79.839996,78.18,78.709999,63900,78.709999
2015-04-02,78.330002,79.959999,78.309998,79.610001,51200,79.610001
2015-04-01,77.330002,78.519997,77.110001,78.519997,36200,78.519997
2015-03-31,77.970001,78.489998,77.199997,77.839996,34900,77.839996
2015-03-30,78.419998,79.43,78.209999,78.690002,33900,78.690002
2015-03-27,76.370003,78.029999,75.839996,77.93,55300,77.93
2015-03-26,77.029999,77.089996,76.220001,76.559998,24800,76.559998
2015-03-25,78.089996,78.330002,76.989998,77.199997,34800,77.199997
2015-03-24,78.830002,78.830002,76.080002,78.370003,54000,78.370003
2015-03-23,78.540001,79.480003,78.099998,79.059998,31500,79.059998
2015-03-20,78.519997,79.040001,77.760002,78.519997,107800,78.519997
2015-03-19,78.209999,78.919998,77.809998,78.290001,37000,78.290001
2015-03-18,78.220001,78.830002,77.300003,78.629997,34900,78.629997
2015-03-17,77.50,78.68,76.610001,78.129997,44100,78.129997
2015-03-16,76.970001,78.059998,76.970001,77.580002,23900,77.580002
2015-03-13,76.919998,77.110001,75.059998,76.489998,29100,76.489998
2015-03-12,76.019997,77.110001,75.589996,76.849998,38000,76.849998
2015-03-11,74.18,75.620003,74.029999,75.50,51600,75.50
2015-03-10,73.839996,74.68,73.650002,74.480003,45000,74.480003
2015-03-09,74.68,75.199997,74.220001,74.489998,32300,74.489998
2015-03-06,73.849998,75.199997,73.260002,73.989998,31900,73.989998
2015-03-05,73.889999,75.339996,73.239998,74.489998,24800,74.489998
2015-03-04,74.139999,74.43,73.309998,74.160004,25500,74.160004
2015-03-03,75.169998,75.169998,74.00,74.650002,33600,74.650002
2015-03-02,74.830002,75.989998,73.699997,75.589996,66400,75.589996
2015-02-27,74.809998,75.959999,74.419998,74.709999,59000,74.709999
2015-02-26,73.360001,74.949997,73.290001,74.800003,31000,74.800003
2015-02-25,73.360001,73.93,72.970001,73.599998,27800,73.599998
2015-02-24,73.389999,73.989998,73.389999,73.620003,25200,73.620003
2015-02-23,72.879997,73.050003,71.669998,72.980003,38700,72.980003
2015-02-20,72.50,72.970001,70.879997,72.620003,36400,72.620003
2015-02-19,72.620003,73.129997,72.00,72.470001,33700,72.470001
2015-02-18,72.419998,73.389999,72.330002,72.970001,45500,72.970001
2015-02-17,74.029999,74.080002,72.459999,73.230003,62100,73.230003
2015-02-13,74.00,74.540001,72.75,74.129997,69200,74.129997
2015-02-12,76.00,76.900002,72.900002,73.589996,81900,73.589996
2015-02-11,78.349998,79.150002,77.510002,77.900002,28500,77.900002
2015-02-10,77.220001,81.019997,76.230003,77.309998,39700,77.309998
2015-02-09,77.25,77.93,76.419998,76.580002,33500,76.580002
2015-02-06,77.75,78.32,76.400002,76.830002,37900,76.830002
2015-02-05,76.120003,77.699997,75.050003,77.199997,34500,77.199997
2015-02-04,75.199997,76.010002,74.349998,75.589996,26600,75.589996
2015-02-03,75.07,76.360001,74.07,74.709999,38800,74.709999
2015-02-02,74.870003,75.309998,73.870003,75.230003,44900,75.230003
2015-01-30,74.980003,75.779999,74.18,74.220001,69500,74.220001
2015-01-29,75.059998,76.00,74.160004,75.220001,55700,75.220001
2015-01-28,75.199997,75.959999,73.57,74.510002,71300,74.510002
2015-01-27,73.889999,75.349998,73.540001,74.480003,50300,74.480003
2015-01-26,73.769997,74.199997,72.489998,73.690002,40800,73.690002
2015-01-23,73.629997,73.889999,72.510002,73.209999,37000,73.209999
2015-01-22,71.980003,73.93,70.68,73.080002,30600,73.080002
2015-01-21,70.690002,71.639999,69.959999,71.349998,45400,71.349998
2015-01-20,70.75,71.610001,69.260002,70.019997,30700,70.019997
2015-01-16,68.120003,70.879997,68.120003,70.75,41500,70.75
2015-01-15,69.910004,69.910004,68.00,68.389999,51300,68.389999
2015-01-14,70.169998,71.00,69.00,69.209999,54500,69.209999
2015-01-13,71.779999,73.540001,70.82,71.599998,54000,71.599998
2015-01-12,71.809998,71.849998,70.580002,71.050003,39200,71.050003
2015-01-09,72.550003,72.779999,71.129997,71.519997,41900,71.519997
2015-01-08,72.650002,73.540001,72.650002,72.779999,53000,72.779999
2015-01-07,71.199997,72.010002,70.589996,71.970001,34500,71.970001
2015-01-06,72.110001,72.82,70.459999,70.760002,28400,70.760002
2015-01-05,71.730003,72.669998,71.169998,72.110001,25400,72.110001
2015-01-02,73.730003,74.199997,71.779999,72.00,38800,72.00
2014-12-31,74.220001,74.860001,73.25,73.339996,38800,73.339996
2014-12-30,73.220001,74.360001,73.220001,73.720001,30000,73.720001
2014-12-29,72.480003,73.849998,72.470001,73.519997,25200,73.519997
2014-12-26,72.839996,72.93,72.019997,72.480003,22500,72.480003
2014-12-24,72.120003,73.300003,72.040001,72.800003,13900,72.800003
2014-12-23,72.169998,73.510002,71.769997,72.629997,35000,72.629997
2014-12-22,70.720001,72.150002,70.540001,72.029999,73900,72.029999
2014-12-19,70.550003,70.720001,70.010002,70.510002,106500,70.510002
2014-12-18,70.720001,71.68,70.379997,70.720001,73000,70.720001
2014-12-17,70.150002,70.839996,69.279999,70.720001,55300,70.720001
2014-12-16,70.68,70.989998,69.860001,70.25,81500,70.25
2014-12-15,71.330002,71.800003,70.010002,70.720001,26000,70.720001
2014-12-12,71.639999,72.400002,70.620003,71.010002,31600,71.010002
2014-12-11,72.480003,73.279999,72.00,72.190002,27200,72.190002
2014-12-10,73.220001,73.75,72.160004,72.169998,33400,72.169998
2014-12-09,73.110001,73.739998,73.089996,73.360001,59000,73.360001
2014-12-08,73.279999,74.50,73.010002,73.239998,81100,73.239998
2014-12-05,73.360001,74.040001,73.120003,73.57,53300,73.57
2014-12-04,73.639999,74.120003,73.00,73.510002,56200,73.510002
2014-12-03,73.230003,74.449997,73.07,73.470001,35400,73.470001
2014-12-02,73.32,73.699997,72.959999,73.550003,80100,73.550003
2014-12-01,73.370003,73.839996,72.900002,72.959999,37000,72.959999
2014-11-28,73.089996,74.029999,72.949997,73.050003,12700,73.050003
2014-11-26,73.75,74.32,73.120003,73.410004,31000,73.410004
2014-11-25,73.75,74.349998,72.739998,73.279999,35300,73.279999
2014-11-24,72.699997,73.610001,72.540001,73.559998,31800,73.559998
2014-11-21,72.150002,72.610001,71.050003,72.559998,57300,72.559998
2014-11-20,69.68,71.50,69.669998,71.440002,39700,71.440002
2014-11-19,70.199997,70.690002,69.019997,69.860001,26300,69.860001
2014-11-18,70.589996,71.00,69.699997,70.269997,21400,70.269997
2014-11-17,70.699997,71.080002,69.93,70.290001,31500,70.290001
2014-11-14,71.129997,71.440002,70.360001,70.589996,15700,70.589996
2014-11-13,71.830002,72.150002,70.660004,71.230003,17800,71.230003
2014-11-12,72.089996,72.089996,70.849998,71.57,22200,71.57
2014-11-11,70.870003,72.220001,70.849998,72.120003,41800,72.120003
2014-11-10,71.00,72.089996,70.400002,70.849998,64000,70.849998
2014-11-07,70.00,70.849998,69.25,70.550003,45200,70.550003
2014-11-06,68.580002,69.599998,66.610001,68.230003,33800,68.230003
2014-11-05,69.519997,69.519997,68.040001,68.230003,26200,68.230003
2014-11-04,66.620003,68.949997,66.620003,68.910004,22900,68.910004
2014-11-03,68.669998,68.669998,66.910004,67.080002,37100,67.080002
2014-10-31,68.230003,68.57,67.290001,68.089996,44800,68.089996
2014-10-30,66.769997,67.480003,65.790001,67.230003,27200,67.230003
2014-10-29,66.480003,66.940002,65.610001,66.370003,29000,66.370003
2014-10-28,65.139999,66.370003,64.480003,66.279999,69900,66.279999
2014-10-27,64.989998,65.309998,64.279999,64.940002,22700,64.940002
2014-10-24,64.870003,65.019997,63.900002,64.900002,20000,64.900002
2014-10-23,64.980003,65.099998,64.68,64.82,17800,64.82
2014-10-22,62.779999,65.769997,62.779999,64.389999,33600,64.389999
2014-10-21,64.139999,65.230003,64.029999,65.209999,25700,65.209999
2014-10-20,63.509998,64.489998,63.509998,64.029999,27200,64.029999
2014-10-17,64.75,64.830002,63.220001,63.639999,37400,63.639999
2014-10-16,63.790001,64.879997,63.130001,63.91,36900,63.91
2014-10-15,63.75,64.739998,63.150002,64.519997,37500,64.519997
2014-10-14,63.720001,64.910004,63.57,64.480003,36200,64.480003
2014-10-13,62.009998,63.959999,61.43,63.209999,42300,63.209999
2014-10-10,61.509998,63.200001,61.50,62.330002,33200,62.330002
2014-10-09,63.490002,63.490002,61.630001,61.759998,26800,61.759998
2014-10-08,61.549999,63.50,61.50,63.32,35800,63.32
2014-10-07,62.00,62.639999,61.349998,61.630001,35500,61.630001
