Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,8.47,8.56,8.41,8.45,38100,8.45
2015-08-06,8.65,8.74,8.51,8.54,33300,8.54
2015-08-05,8.70,8.78,8.65,8.68,19300,8.68
2015-08-04,8.81,8.85,8.65,8.66,25100,8.66
2015-08-03,8.78,8.88,8.68,8.82,46200,8.82
2015-07-31,8.75,8.83,8.70,8.81,84700,8.81
2015-07-30,8.65,8.84,8.60,8.72,32900,8.72
2015-07-29,8.70,8.79,8.35,8.72,1555100,8.72
2015-07-28,8.87,8.87,8.65,8.71,28400,8.71
2015-07-27,8.73,8.93,8.25,8.81,25500,8.81
2015-07-24,8.75,8.91,8.75,8.82,52600,8.82
2015-07-23,8.76,8.76,8.51,8.65,55000,8.65
2015-07-22,8.67,8.82,8.54,8.80,38600,8.80
2015-07-21,8.80,8.84,8.64,8.68,10600,8.68
2015-07-20,8.88,8.90,8.72,8.74,12000,8.74
2015-07-17,8.91,8.91,8.77,8.89,43500,8.89
2015-07-16,8.95,8.95,8.86,8.89,17700,8.89
2015-07-15,8.93,8.94,8.82,8.88,20700,8.88
2015-07-14,8.70,8.94,8.70,8.93,27000,8.93
2015-07-13,8.84,8.88,8.74,8.76,46400,8.76
2015-07-10,8.73,8.88,8.70,8.84,40700,8.84
2015-07-09,8.69,8.77,8.42,8.65,51400,8.65
2015-07-08,8.69,8.75,8.53,8.59,20100,8.59
2015-07-07,8.74,8.77,8.55,8.74,38600,8.74
2015-07-06,8.79,8.81,8.70,8.79,27300,8.79
2015-07-02,8.86,8.86,8.65,8.78,38800,8.78
2015-07-01,8.95,8.99,8.84,8.85,61400,8.85
2015-06-30,8.83,8.99,8.62,8.93,139700,8.93
2015-06-29,8.91,9.00,8.72,8.74,69900,8.74
2015-06-26,8.57,8.98,8.51,8.94,182800,8.94
2015-06-25,8.51,8.53,8.25,8.51,1437300,8.51
2015-06-24,8.54,8.59,8.38,8.45,31300,8.45
2015-06-23,8.51,8.58,8.24,8.53,55700,8.53
2015-06-22,8.60,8.69,8.48,8.51,43600,8.51
2015-06-19,8.43,8.60,8.42,8.60,104600,8.60
2015-06-18,8.44,8.55,8.44,8.50,48100,8.50
2015-06-17,8.49,8.49,8.35,8.39,22100,8.39
2015-06-16,8.47,8.51,8.44,8.49,50100,8.49
2015-06-15,8.15,8.58,8.12,8.55,71000,8.55
2015-06-12,8.15,8.20,8.11,8.18,20300,8.18
2015-06-11,8.20,8.21,8.12,8.16,14300,8.145
2015-06-10,8.07,8.34,8.06,8.25,50200,8.234835
2015-06-09,8.04,8.14,7.93,8.00,20000,7.985294
2015-06-08,8.14,8.14,8.00,8.06,26700,8.045184
2015-06-05,7.94,8.21,7.94,8.17,45200,8.154982
2015-06-04,7.88,7.96,7.80,7.91,56900,7.89546
2015-06-03,7.79,7.97,7.79,7.96,25100,7.945368
2015-06-02,7.75,7.90,7.75,7.82,27100,7.805625
2015-06-01,7.90,8.11,7.80,7.81,27900,7.795644
2015-05-29,7.76,7.96,7.71,7.85,65600,7.83557
2015-05-28,7.86,7.86,7.76,7.78,15700,7.765699
2015-05-27,7.83,7.91,7.79,7.89,25200,7.875496
2015-05-26,7.94,7.95,7.75,7.77,40600,7.755717
2015-05-22,7.97,8.03,7.92,8.02,104100,8.005258
2015-05-21,8.07,8.09,7.94,8.01,22000,7.995276
2015-05-20,8.18,8.18,7.83,8.12,13500,8.105074
2015-05-19,7.98,8.15,7.92,8.13,36300,8.115055
2015-05-18,7.67,8.02,7.48,8.01,69900,7.995276
2015-05-15,7.90,7.92,7.65,7.70,47600,7.685846
2015-05-14,7.95,8.06,7.85,7.92,33700,7.905441
2015-05-13,7.94,8.00,7.85,7.94,24300,7.925405
2015-05-12,8.00,8.10,7.90,7.94,29900,7.925405
2015-05-11,8.16,8.17,7.96,8.00,26600,7.985294
2015-05-08,8.19,8.19,7.96,8.02,50600,8.005258
2015-05-07,8.04,8.22,7.96,8.08,32800,8.065147
2015-05-06,8.07,8.13,7.93,8.09,48600,8.075129
2015-05-05,8.03,8.08,8.00,8.05,71200,8.035203
2015-05-04,7.94,8.07,7.93,8.04,49300,8.025221
2015-05-01,8.05,8.11,7.81,7.90,64100,7.885478
2015-04-30,8.26,8.32,8.05,8.05,109400,8.035203
2015-04-29,8.43,8.43,8.30,8.33,30100,8.314688
2015-04-28,8.25,8.47,8.25,8.42,33900,8.404522
2015-04-27,8.45,8.50,8.22,8.30,44700,8.284743
2015-04-24,8.34,8.50,8.29,8.50,30500,8.484375
2015-04-23,8.27,8.39,8.23,8.39,24700,8.374578
2015-04-22,8.38,8.42,8.27,8.31,13900,8.294725
2015-04-21,8.50,8.50,8.39,8.39,14200,8.374578
2015-04-20,8.48,8.61,8.44,8.49,38300,8.474393
2015-04-17,8.53,8.59,8.43,8.45,59500,8.434467
2015-04-16,8.60,8.71,8.30,8.59,38100,8.57421
2015-04-15,8.62,8.77,8.38,8.59,36200,8.57421
2015-04-14,8.60,8.60,8.48,8.58,31600,8.564228
2015-04-13,8.57,8.77,8.54,8.60,18300,8.584192
2015-04-10,8.67,8.67,8.57,8.59,14800,8.57421
2015-04-09,8.80,8.80,8.56,8.65,17500,8.634099
2015-04-08,8.67,8.77,8.60,8.76,18500,8.743898
2015-04-07,8.76,8.90,8.68,8.70,19900,8.684007
2015-04-06,8.77,8.94,8.76,8.80,18700,8.783824
2015-04-02,8.93,9.17,8.93,8.97,53600,8.953512
2015-04-01,8.94,9.10,8.77,8.96,40200,8.94353
2015-03-31,8.95,8.95,8.76,8.92,28000,8.903603
2015-03-30,8.73,9.00,8.73,8.99,37200,8.973474
2015-03-27,8.71,8.78,8.65,8.73,24200,8.713952
2015-03-26,8.82,8.94,8.69,8.72,31200,8.703971
2015-03-25,9.08,9.10,8.80,8.80,39600,8.783824
2015-03-24,8.99,9.18,8.96,9.09,31800,9.073291
2015-03-23,8.90,9.09,8.86,9.06,86700,9.043346
2015-03-20,8.90,8.95,8.81,8.86,183300,8.843713
2015-03-19,8.76,8.89,8.72,8.88,26900,8.863677
2015-03-18,8.69,8.90,8.67,8.81,36100,8.793806
2015-03-17,8.56,8.75,8.55,8.75,20200,8.733916
2015-03-16,8.42,8.64,8.36,8.61,29000,8.594173
2015-03-13,8.65,8.65,8.18,8.40,30500,8.384559
2015-03-12,8.23,8.64,8.23,8.63,39500,8.614136
2015-03-11,8.19,8.25,8.16,8.19,32600,8.159972
2015-03-10,8.28,8.28,8.16,8.20,23400,8.169936
2015-03-09,8.27,8.35,8.26,8.33,13900,8.299459
2015-03-06,8.26,8.40,8.14,8.26,54200,8.229716
2015-03-05,8.33,8.36,8.14,8.34,21000,8.309423
2015-03-04,8.29,8.38,8.29,8.35,24500,8.319386
2015-03-03,8.27,8.40,8.27,8.35,16400,8.319386
2015-03-02,8.31,8.35,8.17,8.33,15600,8.299459
2015-02-27,8.28,8.40,8.25,8.30,25800,8.26957
2015-02-26,8.45,8.49,8.20,8.32,40200,8.289496
2015-02-25,8.35,8.51,8.35,8.47,13500,8.438946
2015-02-24,8.42,8.53,8.26,8.42,19200,8.389129
2015-02-23,8.55,8.56,8.35,8.44,29500,8.409056
2015-02-20,8.61,8.65,8.51,8.62,32800,8.588396
2015-02-19,8.57,8.66,8.57,8.61,15200,8.578432
2015-02-18,8.55,8.66,8.55,8.64,58300,8.608323
2015-02-17,8.68,8.68,8.57,8.59,21500,8.558506
2015-02-13,8.61,8.70,8.55,8.68,44400,8.648176
2015-02-12,8.51,8.56,8.41,8.54,17900,8.508689
2015-02-11,8.60,8.64,8.38,8.41,29100,8.379166
2015-02-10,8.65,8.71,8.38,8.65,24300,8.618286
2015-02-09,8.66,8.82,8.55,8.56,31700,8.528617
2015-02-06,8.79,8.96,8.59,8.89,43500,8.857407
2015-02-05,8.45,8.76,8.41,8.75,32100,8.71792
2015-02-04,8.41,8.50,8.10,8.46,38500,8.428983
2015-02-03,8.19,8.55,8.19,8.41,63800,8.379166
2015-02-02,7.95,8.21,7.90,8.19,105000,8.159972
2015-01-30,7.98,8.05,7.78,7.84,83500,7.811256
2015-01-29,8.14,8.14,7.83,8.05,102700,8.020486
2015-01-28,8.17,8.17,8.05,8.10,74500,8.070303
2015-01-27,8.07,8.16,8.02,8.13,49600,8.100193
2015-01-26,8.18,8.20,8.07,8.15,61600,8.120119
2015-01-23,8.46,8.46,8.18,8.21,26900,8.179899
2015-01-22,8.14,8.46,8.07,8.44,29600,8.409056
2015-01-21,8.07,8.20,8.04,8.05,36800,8.020486
2015-01-20,8.20,8.26,8.01,8.14,60100,8.110156
2015-01-16,8.15,8.43,8.15,8.37,37000,8.339313
2015-01-15,8.17,8.23,8.02,8.20,76300,8.169936
2015-01-14,8.19,8.29,8.19,8.27,34000,8.23968
2015-01-13,8.30,8.51,8.19,8.29,35100,8.259606
2015-01-12,8.32,8.37,8.19,8.22,35100,8.189863
2015-01-09,8.41,8.41,8.30,8.35,22500,8.319386
2015-01-08,8.47,8.50,8.38,8.44,27100,8.409056
2015-01-07,8.40,8.43,8.20,8.38,42100,8.349276
2015-01-06,8.34,8.37,8.26,8.35,55100,8.319386
2015-01-05,8.40,8.53,8.32,8.33,89000,8.299459
2015-01-02,8.71,8.77,8.33,8.51,52100,8.4788
2014-12-31,8.80,8.90,8.58,8.71,33400,8.678066
2014-12-30,8.69,8.87,8.69,8.74,28800,8.707956
2014-12-29,8.75,8.75,8.62,8.74,63100,8.707956
2014-12-26,8.64,8.76,8.62,8.74,32400,8.707956
2014-12-24,8.65,8.67,8.53,8.62,22000,8.588396
2014-12-23,8.50,8.63,8.39,8.62,54000,8.588396
2014-12-22,8.40,8.55,8.40,8.49,644800,8.458873
2014-12-19,8.46,8.50,8.39,8.50,635900,8.468836
2014-12-18,8.48,8.50,8.40,8.50,34200,8.468836
2014-12-17,8.29,8.42,8.20,8.42,64900,8.389129
2014-12-16,8.05,8.48,8.00,8.30,95300,8.26957
2014-12-15,8.18,8.31,8.07,8.11,25700,8.080266
2014-12-12,8.29,8.43,8.04,8.15,40800,8.120119
2014-12-11,8.42,8.51,8.36,8.42,19100,8.389129
2014-12-10,8.56,8.61,8.33,8.35,30100,8.319386
2014-12-09,8.40,8.66,8.40,8.58,64500,8.548543
2014-12-08,8.43,8.60,8.38,8.51,37900,8.4788
2014-12-05,8.28,8.49,8.28,8.48,74000,8.448909
2014-12-04,8.17,8.45,8.14,8.29,24100,8.259606
2014-12-03,8.39,8.45,8.26,8.34,29100,8.309423
2014-12-02,8.11,8.40,8.11,8.40,22900,8.369202
2014-12-01,8.09,8.14,8.02,8.09,46700,8.060339
2014-11-28,8.34,8.34,8.05,8.08,41400,8.050376
2014-11-26,8.39,8.41,8.34,8.37,19400,8.339313
2014-11-25,8.44,8.44,8.32,8.37,11400,8.339313
2014-11-24,8.25,8.42,8.24,8.40,29900,8.369202
2014-11-21,8.41,8.46,8.18,8.21,59300,8.179899
2014-11-20,8.08,8.30,8.08,8.27,18100,8.23968
2014-11-19,8.17,8.24,8.10,8.15,28900,8.120119
2014-11-18,8.37,8.39,7.97,8.21,43500,8.179899
2014-11-17,8.56,8.56,8.33,8.33,36300,8.299459
2014-11-14,8.65,8.65,8.55,8.60,18900,8.56847
2014-11-13,8.65,8.69,8.58,8.62,19700,8.588396
2014-11-12,8.60,8.67,8.54,8.67,39100,8.638213
2014-11-11,8.70,8.70,8.63,8.67,35100,8.638213
2014-11-10,8.67,8.74,8.56,8.73,46300,8.697992
2014-11-07,8.70,8.70,8.60,8.64,25500,8.608323
2014-11-06,8.68,8.74,8.36,8.68,36300,8.648176
2014-11-05,8.88,8.88,8.61,8.64,38800,8.608323
2014-11-04,8.74,8.83,8.26,8.73,30500,8.697992
2014-11-03,8.90,8.90,8.62,8.79,72600,8.757773
2014-10-31,8.82,8.98,8.64,8.89,77600,8.857407
2014-10-30,8.45,8.69,8.40,8.69,86700,8.658139
2014-10-29,8.40,8.45,8.26,8.41,83700,8.379166
2014-10-28,8.11,8.48,8.02,8.41,141800,8.379166
2014-10-27,7.87,8.07,7.80,8.05,24000,8.020486
2014-10-24,8.03,8.03,7.68,7.93,51300,7.900926
2014-10-23,7.75,7.95,7.57,7.94,47500,7.910889
2014-10-22,8.10,8.10,7.64,7.66,38400,7.631916
2014-10-21,7.86,8.12,7.83,8.10,31500,8.070303
2014-10-20,7.79,7.84,7.74,7.84,23200,7.811256
2014-10-17,8.20,8.23,7.77,7.80,46300,7.771403
2014-10-16,8.00,8.10,7.93,8.07,74500,8.040412
2014-10-15,8.08,8.24,7.82,8.11,111300,8.080266
2014-10-14,7.95,8.24,7.95,8.24,98600,8.209789
2014-10-13,7.63,8.00,7.62,7.88,55600,7.851109
2014-10-10,7.59,7.89,7.59,7.66,42700,7.631916
2014-10-09,7.72,7.89,7.60,7.65,50900,7.621953
2014-10-08,7.64,8.00,7.50,7.97,48700,7.940779
2014-10-07,7.81,7.88,7.65,7.70,51400,7.671769
2014-10-06,7.84,7.99,7.84,7.87,24000,7.841146
2014-10-03,7.91,8.01,7.66,7.85,53800,7.821219
2014-10-02,7.67,7.85,7.67,7.82,27600,7.791329
2014-10-01,7.61,7.69,7.34,7.69,151600,7.661806
2014-09-30,7.75,7.80,7.58,7.59,107500,7.562173
2014-09-29,7.65,7.75,7.63,7.75,43900,7.721586
2014-09-26,7.69,7.73,7.58,7.71,32400,7.681733
2014-09-25,7.70,7.72,7.60,7.70,58400,7.671769
2014-09-24,7.65,7.74,7.60,7.71,34600,7.681733
2014-09-23,7.65,7.70,7.55,7.63,71100,7.602026
2014-09-22,7.73,7.84,7.58,7.65,55200,7.621953
2014-09-19,7.98,8.19,7.72,7.72,181400,7.691696
2014-09-18,7.96,8.00,7.86,7.97,33000,7.940779
2014-09-17,7.95,7.96,7.77,7.83,55000,7.801292
2014-09-16,7.95,8.19,7.95,7.96,61800,7.930816
2014-09-15,7.98,8.03,7.83,7.95,64600,7.920852
2014-09-12,8.00,8.00,7.83,7.95,54300,7.920852
2014-09-11,7.87,8.00,7.87,7.99,43100,7.960706
2014-09-10,7.73,7.95,7.73,7.93,38800,7.900926
2014-09-09,7.88,7.99,7.63,7.71,66800,7.681733
2014-09-08,7.61,7.99,7.60,7.94,46900,7.910889
2014-09-05,7.45,7.63,7.45,7.59,15800,7.562173
2014-09-04,7.41,7.74,7.31,7.51,56900,7.482466
2014-09-03,7.50,7.60,7.32,7.37,36500,7.342979
2014-09-02,7.50,7.61,7.42,7.50,51000,7.472502
2014-08-29,7.35,7.50,7.31,7.47,34600,7.442612
2014-08-28,7.43,7.50,7.35,7.35,100400,7.323052
2014-08-27,7.51,7.54,7.40,7.44,26800,7.412722
2014-08-26,7.33,7.58,7.33,7.54,51300,7.512356
2014-08-25,7.41,7.48,7.25,7.33,30300,7.303126
2014-08-22,7.38,7.51,7.27,7.41,32900,7.382832
2014-08-21,7.37,7.43,7.30,7.37,26700,7.342979
2014-08-20,7.53,7.53,7.36,7.40,26400,7.372869
2014-08-19,7.58,7.60,7.53,7.55,24400,7.522319
2014-08-18,7.49,7.62,7.40,7.60,36400,7.572136
2014-08-15,7.63,7.63,7.32,7.41,48800,7.382832
2014-08-14,7.61,7.64,7.51,7.52,20200,7.492429
2014-08-13,7.59,7.65,7.56,7.62,12000,7.592062
2014-08-12,7.64,7.66,7.53,7.58,23900,7.552209
2014-08-11,7.66,7.74,7.60,7.70,94700,7.671769
2014-08-08,7.45,7.64,7.45,7.60,28200,7.572136
2014-08-07,7.43,7.53,7.41,7.47,41300,7.442612
2014-08-06,7.27,7.43,7.25,7.41,32800,7.382832
2014-08-05,7.26,7.40,7.20,7.28,45700,7.253309
2014-08-04,7.28,7.36,7.25,7.26,59600,7.233383
2014-08-01,7.45,7.59,7.21,7.22,60500,7.193529
2014-07-31,7.59,7.69,7.49,7.49,55300,7.462539
2014-07-30,7.73,7.76,7.64,7.69,63200,7.661806
2014-07-29,7.55,7.71,7.54,7.64,42800,7.611989
2014-07-28,7.40,7.65,7.36,7.50,54600,7.472502
2014-07-25,7.39,7.53,7.36,7.36,53200,7.333016
2014-07-24,7.72,8.05,7.44,7.48,24200,7.452576
2014-07-23,7.57,7.75,7.55,7.66,38900,7.631916
2014-07-22,7.52,7.68,7.52,7.59,41600,7.562173
2014-07-21,7.66,7.71,7.48,7.60,41100,7.572136
2014-07-18,7.45,7.72,7.45,7.71,57100,7.681733
2014-07-17,7.44,7.63,7.42,7.44,60900,7.412722
2014-07-16,7.62,7.62,7.45,7.49,60200,7.462539
2014-07-15,7.45,7.58,7.43,7.56,90800,7.532282
2014-07-14,7.60,7.65,7.45,7.51,56000,7.482466
2014-07-11,7.51,7.77,7.40,7.54,41900,7.512356
2014-07-10,7.61,7.64,7.50,7.55,62000,7.522319
2014-07-09,7.67,7.78,7.64,7.74,45000,7.711622
2014-07-08,7.85,7.85,7.51,7.62,106100,7.592062
2014-07-07,8.10,8.10,7.80,7.85,70400,7.821219
2014-07-03,8.15,8.46,8.00,8.15,31700,8.120119
2014-07-02,8.10,8.20,8.03,8.06,93500,8.03045
2014-07-01,8.08,8.26,8.06,8.12,144700,8.090229
2014-06-30,8.20,8.24,8.00,8.06,98300,8.03045
2014-06-27,8.09,8.44,8.07,8.20,957800,8.169936
2014-06-26,8.24,8.38,8.08,8.16,118400,8.130083
2014-06-25,8.41,8.60,8.39,8.57,83700,8.538579
2014-06-24,8.46,8.65,8.42,8.48,78200,8.448909
2014-06-23,8.56,8.60,8.43,8.49,85700,8.458873
2014-06-20,8.44,8.58,8.32,8.58,328800,8.548543
2014-06-19,8.48,8.56,8.32,8.37,61600,8.339313
2014-06-18,8.43,8.58,8.29,8.50,74600,8.468836
2014-06-17,8.50,8.69,8.41,8.68,91800,8.648176
2014-06-16,8.05,8.50,7.96,8.49,79300,8.458873
2014-06-13,8.19,8.24,8.05,8.09,31000,8.060339
2014-06-12,7.93,8.18,7.89,8.14,57900,8.110156
2014-06-11,8.06,8.16,7.93,7.98,43400,7.950743
2014-06-10,7.95,8.20,7.95,8.12,44700,8.090229
2014-06-09,7.71,8.00,7.71,8.00,62000,7.970669
2014-06-06,7.72,7.86,7.69,7.75,561200,7.721586
2014-06-05,7.56,7.72,7.45,7.71,59000,7.681733
2014-06-04,7.39,7.54,7.39,7.52,42000,7.492429
2014-06-03,7.42,7.56,7.42,7.48,64700,7.452576
2014-06-02,7.50,7.50,7.39,7.47,42500,7.442612
2014-05-30,7.54,7.58,7.45,7.50,82400,7.472502
2014-05-29,7.55,7.55,7.42,7.51,50300,7.482466
2014-05-28,7.51,7.59,7.44,7.56,29100,7.532282
2014-05-27,7.45,7.62,7.41,7.58,42900,7.552209
2014-05-23,7.78,7.87,7.37,7.38,178600,7.352943
2014-05-22,7.55,7.88,7.53,7.76,42700,7.731549
2014-05-21,7.48,7.66,7.48,7.59,56200,7.562173
2014-05-20,7.62,7.69,7.32,7.47,71300,7.442612
2014-05-19,7.54,7.70,7.54,7.66,30200,7.631916
2014-05-16,7.38,7.53,7.38,7.53,53700,7.502393
2014-05-15,7.44,7.50,7.31,7.40,54700,7.372869
2014-05-14,7.74,7.79,7.48,7.50,65600,7.472502
2014-05-13,7.94,7.94,7.59,7.73,84400,7.701659
2014-05-12,7.54,7.96,7.49,7.94,79500,7.910889
2014-05-09,7.40,7.59,7.40,7.53,25000,7.502393
2014-05-08,7.39,7.58,7.28,7.46,94000,7.432649
2014-05-07,7.36,7.46,7.34,7.44,43900,7.412722
2014-05-06,7.46,7.67,7.26,7.36,110300,7.333016
2014-05-05,7.54,7.55,7.45,7.51,41200,7.482466
2014-05-02,7.71,7.88,7.57,7.61,47300,7.582099
2014-05-01,7.65,7.70,7.50,7.67,82300,7.641879
2014-04-30,7.53,7.69,7.46,7.69,241500,7.661806
2014-04-29,7.50,7.59,7.45,7.53,52200,7.502393
2014-04-28,7.52,7.68,7.39,7.47,100800,7.442612
2014-04-25,7.45,7.64,7.44,7.55,79700,7.522319
2014-04-24,7.63,7.68,7.41,7.46,25500,7.432649
2014-04-23,7.27,7.64,7.13,7.58,60800,7.552209
2014-04-22,7.14,7.40,7.14,7.28,35300,7.253309
2014-04-21,7.28,7.34,7.12,7.19,40300,7.163639
2014-04-17,7.13,7.37,7.04,7.33,35100,7.303126
2014-04-16,7.26,7.26,7.12,7.18,26300,7.153675
2014-04-15,7.21,7.26,7.03,7.23,30700,7.203492
2014-04-14,7.22,7.22,7.01,7.16,59200,7.133749
2014-04-11,7.24,7.24,7.07,7.12,47800,7.093896
2014-04-10,7.24,7.24,7.02,7.10,55200,7.073969
2014-04-09,7.30,7.32,7.15,7.26,48400,7.233383
2014-04-08,7.21,7.40,7.21,7.30,55600,7.273236
2014-04-07,7.18,7.27,7.12,7.21,55700,7.183566
2014-04-04,7.45,7.45,7.19,7.24,50900,7.213455
2014-04-03,7.38,7.44,7.34,7.42,32200,7.392796
2014-04-02,7.27,7.43,7.11,7.42,117300,7.392796
2014-04-01,7.08,7.30,6.99,7.27,93700,7.243346
2014-03-31,7.07,7.26,7.03,7.14,50300,7.113822
2014-03-28,6.99,7.11,6.95,7.06,37400,7.034116
2014-03-27,7.00,7.03,6.98,7.01,23300,6.984299
2014-03-26,7.21,7.36,6.96,7.02,90900,6.994262
2014-03-25,7.36,7.50,7.13,7.13,40900,7.103859
2014-03-24,7.42,7.52,7.26,7.35,69600,7.323052
2014-03-21,7.22,7.57,7.19,7.44,278600,7.412722
2014-03-20,7.06,7.23,7.06,7.21,17500,7.183566
2014-03-19,7.10,7.18,7.05,7.08,16900,7.054042
