Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,10.58,10.65,10.49,10.52,600,10.52
2015-08-06,10.40,10.49,10.36,10.49,4900,10.479999
2015-08-05,10.37,10.40,10.32,10.34,2600,10.330143
2015-08-04,10.28,10.38,10.28,10.38,7900,10.370105
2015-08-03,10.25,10.38,10.24,10.37,12800,10.360114
2015-07-31,10.35,10.38,10.35,10.38,4900,10.370105
2015-07-30,10.31,10.37,10.31,10.31,3500,10.300172
2015-07-29,10.31,10.31,10.13,10.29,1900,10.28019
2015-07-28,10.40,10.40,10.04,10.11,1400,10.100362
2015-07-27,10.20,10.40,10.15,10.16,5400,10.150314
2015-07-24,10.06,10.20,10.05,10.20,11200,10.190276
2015-07-23,10.00,10.05,10.00,10.05,2600,10.040419
2015-07-22,10.00,10.14,10.00,10.10,5400,10.090372
2015-07-21,10.00,10.13,10.00,10.13,7500,10.120343
2015-07-20,10.00,10.00,9.91,9.91,1400,9.900552
2015-07-17,9.99,10.00,9.95,10.00,5100,9.990467
2015-07-16,9.84,9.84,9.84,9.84,000,9.83062
2015-07-15,9.85,9.85,9.82,9.84,4500,9.83062
2015-07-14,9.84,9.84,9.84,9.84,200,9.83062
2015-07-13,9.83,9.89,9.83,9.85,6300,9.84061
2015-07-10,9.89,9.89,9.89,9.89,000,9.880572
2015-07-09,10.00,10.00,9.86,9.89,17900,9.880572
2015-07-08,9.90,9.99,9.90,9.90,4200,9.890562
2015-07-07,9.94,10.00,9.90,10.00,3100,9.990467
2015-07-06,9.92,10.03,9.91,9.95,4100,9.940514
2015-07-02,9.99,10.00,9.95,10.00,5300,9.990467
2015-07-01,10.00,10.14,9.98,9.98,3600,9.970485
2015-06-30,10.00,10.00,9.95,9.95,6800,9.940514
2015-06-29,9.87,10.12,9.87,9.99,63600,9.980476
2015-06-26,9.88,10.00,9.87,9.96,11100,9.950505
2015-06-25,9.98,9.98,9.88,9.88,50300,9.870581
2015-06-24,9.91,9.91,9.87,9.89,5900,9.880572
2015-06-23,9.93,9.93,9.93,9.93,200,9.920534
2015-06-22,10.15,10.15,10.15,10.15,000,10.140323
2015-06-19,9.83,10.15,9.83,10.15,8200,10.140323
2015-06-18,10.10,10.11,9.82,9.82,4300,9.810638
2015-06-17,9.85,10.02,9.85,10.01,5500,10.000458
2015-06-16,9.71,10.19,9.71,9.89,5900,9.880572
2015-06-15,9.75,9.83,9.70,9.76,55600,9.750696
2015-06-12,10.20,10.20,9.69,9.69,2400,9.680762
2015-06-11,9.82,10.13,9.80,9.84,3900,9.83062
2015-06-10,9.71,10.12,9.66,10.01,1600,10.000458
2015-06-09,9.90,9.90,9.90,9.90,100,9.890562
2015-06-08,9.65,10.14,9.65,9.92,8600,9.910543
2015-06-05,9.62,9.74,9.60,9.74,4300,9.730714
