Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,14.14,15.89,14.02,14.90,705100,14.90
2015-08-06,15.34,15.83,15.00,15.17,246500,15.17
2015-08-05,15.39,15.52,15.21,15.28,275500,15.28
2015-08-04,15.41,15.53,15.29,15.34,93200,15.34
2015-08-03,15.50,15.50,15.13,15.38,121500,15.38
2015-07-31,15.34,15.53,15.28,15.50,200500,15.50
2015-07-30,15.11,15.37,15.09,15.31,163800,15.31
2015-07-29,15.12,15.28,15.04,15.18,101600,15.18
2015-07-28,15.10,15.41,14.92,15.15,285500,15.15
2015-07-27,14.97,15.15,14.73,15.10,503400,15.10
2015-07-24,15.17,15.31,15.05,15.06,149200,15.06
2015-07-23,15.45,15.47,15.15,15.25,194900,15.25
2015-07-22,15.46,15.47,15.31,15.38,123400,15.38
2015-07-21,15.50,15.60,15.29,15.50,224900,15.50
2015-07-20,15.76,15.76,15.29,15.52,435800,15.52
2015-07-17,15.97,16.040001,15.71,15.77,157000,15.77
2015-07-16,15.98,15.99,15.80,15.97,124200,15.97
2015-07-15,15.94,15.98,15.60,15.80,166600,15.80
2015-07-14,15.93,15.97,15.77,15.90,167500,15.90
2015-07-13,15.93,16.040001,15.80,15.95,250300,15.95
2015-07-10,15.88,15.99,15.62,15.86,251100,15.86
2015-07-09,15.90,15.90,15.67,15.75,136100,15.75
2015-07-08,15.84,15.89,15.55,15.69,193100,15.69
2015-07-07,15.77,16.01,15.63,15.94,166900,15.94
2015-07-06,15.52,15.80,15.52,15.79,137800,15.79
2015-07-02,15.98,15.98,15.60,15.66,176700,15.66
2015-07-01,16.120001,16.120001,15.84,15.92,256000,15.92
2015-06-30,16.07,16.07,15.75,15.96,368300,15.96
2015-06-29,16.219999,16.290001,15.98,16.00,189000,16.00
2015-06-26,16.360001,16.41,16.200001,16.280001,407700,16.280001
2015-06-25,16.48,16.48,16.17,16.280001,138600,16.280001
2015-06-24,16.459999,16.459999,16.23,16.389999,161800,16.389999
2015-06-23,16.67,16.67,16.440001,16.450001,164400,16.450001
2015-06-22,16.639999,16.68,16.52,16.639999,264000,16.639999
2015-06-19,16.60,16.76,16.41,16.629999,320800,16.629999
2015-06-18,16.35,16.629999,16.280001,16.57,438900,16.57
2015-06-17,16.309999,16.459999,16.10,16.290001,265300,16.290001
2015-06-16,16.25,16.379999,16.139999,16.23,397000,16.23
2015-06-15,16.27,16.32,16.120001,16.23,207100,16.23
2015-06-12,16.469999,16.469999,16.15,16.309999,349100,16.309999
2015-06-11,16.10,16.51,15.98,16.51,245600,16.51
2015-06-10,16.17,16.209999,16.00,16.02,334200,16.02
2015-06-09,16.25,16.25,15.96,16.049999,118500,16.049999
2015-06-08,16.110001,16.290001,15.88,16.219999,287300,16.219999
2015-06-05,15.79,16.139999,15.59,16.110001,305900,16.110001
2015-06-04,15.93,16.030001,15.73,15.76,140500,15.76
2015-06-03,15.92,16.18,15.91,15.99,224900,15.99
2015-06-02,15.99,16.15,15.91,15.93,202100,15.93
2015-06-01,16.049999,16.200001,16.00,16.040001,296900,16.040001
2015-05-29,15.95,16.09,15.69,15.93,255000,15.93
2015-05-28,15.86,15.97,15.76,15.93,188900,15.93
2015-05-27,15.75,16.00,15.62,15.85,217200,15.85
2015-05-26,15.94,16.040001,15.66,15.69,198800,15.69
2015-05-22,16.27,16.34,15.96,15.98,202700,15.98
2015-05-21,16.190001,16.42,16.18,16.24,403000,16.24
2015-05-20,16.549999,16.709999,16.299999,16.41,494800,16.19
2015-05-19,16.34,16.51,16.08,16.51,590200,16.28866
2015-05-18,16.23,16.33,16.02,16.24,341600,16.022279
2015-05-15,16.10,16.219999,15.90,16.200001,292200,15.982816
2015-05-14,15.80,16.17,15.62,16.120001,426500,15.903889
2015-05-13,15.88,15.91,15.50,15.67,367500,15.459921
2015-05-12,16.120001,16.41,15.31,15.80,829400,15.588178
2015-05-11,14.88,15.13,14.75,14.90,409900,14.700243
2015-05-08,15.01,15.01,14.75,14.79,232300,14.591718
2015-05-07,14.91,15.15,14.39,14.84,294100,14.641048
2015-05-06,14.85,14.85,14.33,14.78,319400,14.581852
2015-05-05,14.88,15.01,14.67,14.84,321100,14.641048
2015-05-04,15.26,15.48,14.86,14.88,411300,14.680512
2015-05-01,15.25,15.35,15.00,15.26,182400,15.055418
2015-04-30,15.70,15.89,15.21,15.24,311900,15.035685
2015-04-29,15.94,16.110001,15.73,15.81,224600,15.598044
2015-04-28,15.82,16.049999,15.78,16.030001,220000,15.815095
2015-04-27,15.65,15.87,15.55,15.86,299900,15.647373
2015-04-24,15.59,15.86,15.53,15.66,226000,15.450055
2015-04-23,15.56,15.73,15.48,15.60,143000,15.39086
2015-04-22,15.54,15.84,15.40,15.58,84500,15.371127
2015-04-21,15.66,15.83,15.55,15.55,87100,15.34153
2015-04-20,15.56,15.72,15.39,15.64,145000,15.430323
2015-04-17,15.78,15.89,15.50,15.52,189200,15.311932
2015-04-16,15.76,16.07,15.76,15.89,226300,15.676972
2015-04-15,15.81,15.99,15.72,15.83,97800,15.617776
2015-04-14,15.59,15.91,15.50,15.89,222100,15.676972
2015-04-13,15.87,15.87,15.56,15.59,174700,15.380994
2015-04-10,16.16,16.16,15.92,15.92,173900,15.706569
2015-04-09,16.040001,16.23,15.88,16.07,197300,15.854558
2015-04-08,15.82,16.26,15.82,16.09,382800,15.87429
2015-04-07,15.65,15.89,15.58,15.79,342400,15.578312
2015-04-06,15.44,15.70,15.11,15.69,258200,15.479652
2015-04-02,15.10,15.54,15.02,15.53,222100,15.321797
2015-04-01,15.09,15.21,14.91,15.15,166300,14.946892
2015-03-31,14.94,15.17,14.84,15.10,322300,14.897563
2015-03-30,15.14,15.21,14.93,15.03,207500,14.828501
2015-03-27,14.97,15.28,14.81,15.05,176800,14.848233
2015-03-26,15.07,15.14,14.96,14.99,180100,14.789037
2015-03-25,15.31,15.38,15.08,15.10,281100,14.897563
2015-03-24,15.25,15.37,15.05,15.30,141200,15.094881
2015-03-23,15.16,15.36,15.02,15.24,267900,15.035685
2015-03-20,15.10,15.24,14.94,15.16,462900,14.956758
2015-03-19,15.00,15.28,14.94,14.99,311000,14.789037
2015-03-18,14.55,15.15,14.54,14.95,358900,14.749573
2015-03-17,14.62,15.09,14.28,14.52,1679200,14.325339
2015-03-16,15.22,15.35,15.08,15.24,120500,15.035685
2015-03-13,15.10,15.22,14.96,15.15,219600,14.946892
2015-03-12,15.05,15.19,14.73,15.16,330800,14.956758
2015-03-11,14.79,15.02,14.68,14.94,248200,14.739707
2015-03-10,15.01,15.13,14.72,14.82,292400,14.621316
2015-03-09,15.42,15.45,15.24,15.36,291300,14.937026
2015-03-06,15.37,15.48,15.22,15.36,193400,14.937026
2015-03-05,15.51,15.55,15.31,15.50,220700,15.073171
2015-03-04,15.37,15.53,15.21,15.51,185700,15.082896
2015-03-03,15.41,15.61,15.17,15.45,398300,15.024548
2015-03-02,15.19,15.60,15.11,15.40,511000,14.975925
2015-02-27,15.18,15.77,14.85,15.24,575600,14.820331
2015-02-26,15.08,15.27,14.86,15.15,306400,14.732809
2015-02-25,14.98,15.17,14.94,15.13,286100,14.71336
2015-02-24,14.54,15.05,14.41,15.01,388900,14.596665
2015-02-23,15.02,15.06,14.56,14.56,362200,14.159057
2015-02-20,15.01,15.09,14.83,15.00,256700,14.58694
2015-02-19,14.86,15.01,14.77,14.97,272000,14.557766
2015-02-18,14.71,15.00,14.71,14.87,200800,14.46052
2015-02-17,14.96,15.03,14.75,14.76,225700,14.353549
2015-02-13,14.67,14.98,14.53,14.92,422700,14.509143
2015-02-12,14.66,14.77,14.58,14.64,214900,14.236854
2015-02-11,14.59,14.76,14.50,14.64,172500,14.236854
2015-02-10,14.72,14.78,14.42,14.65,202600,14.246578
2015-02-09,14.86,15.01,14.66,14.69,186100,14.285476
2015-02-06,15.08,15.18,14.88,14.93,154600,14.518868
2015-02-05,15.03,15.20,14.93,15.09,145000,14.674462
2015-02-04,14.87,15.11,14.82,15.00,242600,14.58694
2015-02-03,14.64,15.02,14.44,14.96,385200,14.548041
2015-02-02,14.40,14.64,14.05,14.63,263100,14.227129
2015-01-30,14.71,14.87,14.22,14.40,508000,14.003462
2015-01-29,15.01,15.01,14.66,14.84,225100,14.431346
