Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,15.17,15.38,15.13,15.32,188300,15.32
2015-08-06,15.30,15.36,15.19,15.26,131700,15.26
2015-08-05,15.18,15.34,15.15,15.24,114800,15.24
2015-08-04,14.97,15.22,14.97,15.17,155300,15.17
2015-08-03,15.00,15.22,14.88,14.94,357700,14.94
2015-07-31,15.12,15.20,14.99,15.06,179800,14.99
2015-07-30,14.92,15.15,14.92,15.08,145700,15.009907
2015-07-29,15.14,15.27,14.98,14.98,350500,14.910371
2015-07-28,15.13,15.23,15.01,15.17,298900,15.099489
2015-07-27,14.91,15.06,14.76,15.05,245500,14.980046
2015-07-24,14.91,15.04,14.90,14.96,359200,14.890465
2015-07-23,15.59,15.59,14.97,15.00,523200,14.930279
2015-07-22,15.54,15.70,15.54,15.66,221300,15.587211
2015-07-21,15.60,15.65,15.45,15.56,162300,15.487676
2015-07-20,15.57,15.64,15.50,15.63,153100,15.55735
2015-07-17,15.62,15.62,15.52,15.57,146900,15.497629
2015-07-16,15.62,15.66,15.59,15.63,243700,15.55735
2015-07-15,15.53,15.61,15.40,15.59,150500,15.517536
2015-07-14,15.48,15.55,15.39,15.55,165100,15.477722
2015-07-13,15.53,15.55,15.44,15.49,215400,15.418001
2015-07-10,15.51,15.53,15.40,15.48,346400,15.408047
2015-07-09,15.48,15.53,15.35,15.40,564300,15.328419
2015-07-08,15.49,15.59,15.31,15.37,6008300,15.298559
2015-07-07,15.80,15.86,15.38,15.59,2025600,15.517536
2015-07-06,15.02,15.13,14.99,15.12,98700,15.049721
2015-07-02,15.21,15.21,15.00,15.01,78000,14.940232
2015-07-01,15.15,15.24,15.07,15.20,163400,15.129349
2015-06-30,15.10,15.14,15.01,15.05,181900,14.980046
2015-06-29,15.16,15.23,14.99,15.02,167900,14.950186
2015-06-26,15.18,15.26,15.08,15.18,696400,15.109442
2015-06-25,15.16,15.20,15.06,15.18,127900,15.109442
2015-06-24,15.16,15.19,15.06,15.09,122700,15.01986
2015-06-23,15.17,15.20,15.10,15.20,127800,15.129349
2015-06-22,15.14,15.21,14.97,15.15,222200,15.079581
2015-06-19,14.89,15.15,14.81,15.06,691900,14.99
2015-06-18,14.81,14.88,14.73,14.84,212100,14.771023
2015-06-17,14.84,14.92,14.74,14.76,189000,14.691394
2015-06-16,14.82,14.95,14.78,14.83,199200,14.761069
2015-06-15,14.75,14.90,14.63,14.83,178100,14.761069
2015-06-12,14.64,14.83,14.60,14.80,204600,14.731208
2015-06-11,14.59,14.70,14.51,14.65,1099900,14.581905
2015-06-10,14.67,14.75,14.57,14.58,224600,14.512231
2015-06-09,14.66,14.68,14.55,14.58,315000,14.512231
2015-06-08,14.71,14.78,14.61,14.63,205200,14.561999
2015-06-05,14.61,14.76,14.59,14.74,141300,14.671487
2015-06-04,14.69,14.78,14.58,14.59,173000,14.522185
2015-06-03,14.64,14.84,14.64,14.77,101300,14.701348
2015-06-02,14.43,14.74,14.43,14.65,106200,14.581905
2015-06-01,14.70,14.85,14.49,14.52,152200,14.45251
2015-05-29,14.64,14.85,14.54,14.64,156100,14.571952
2015-05-28,14.68,14.85,14.64,14.69,128100,14.621719
2015-05-27,14.55,14.79,14.48,14.76,131000,14.691394
2015-05-26,14.59,14.63,14.46,14.52,258000,14.45251
2015-05-22,14.78,14.84,14.63,14.65,117800,14.581905
2015-05-21,14.81,14.86,14.75,14.80,105700,14.731208
2015-05-20,14.82,14.85,14.75,14.81,152600,14.741162
2015-05-19,14.77,14.80,14.74,14.76,216800,14.691394
2015-05-18,14.68,14.88,14.68,14.78,138800,14.711301
2015-05-15,14.71,14.82,14.63,14.71,145100,14.641627
2015-05-14,14.68,14.81,14.65,14.76,84000,14.691394
2015-05-13,14.70,14.70,14.58,14.67,101100,14.601813
2015-05-12,14.49,14.75,14.41,14.69,88000,14.621719
2015-05-11,14.61,14.74,14.55,14.56,82000,14.492324
2015-05-08,14.72,14.73,14.56,14.58,107100,14.512231
2015-05-07,14.57,14.75,14.51,14.67,97800,14.601813
2015-05-06,14.47,14.63,14.37,14.61,155900,14.542091
2015-05-05,14.39,14.57,14.32,14.45,293900,14.382835
2015-05-04,14.38,14.55,14.38,14.44,154900,14.372881
2015-05-01,14.45,14.58,14.35,14.41,205600,14.273347
2015-04-30,14.68,14.83,14.41,14.43,242200,14.293157
2015-04-29,14.85,14.90,14.75,14.75,101600,14.610123
2015-04-28,14.68,14.93,14.68,14.87,119900,14.728984
2015-04-27,14.77,14.90,14.64,14.72,113700,14.580407
2015-04-24,14.81,14.86,14.75,14.80,58900,14.659649
2015-04-23,14.82,14.90,14.80,14.80,80100,14.659649
2015-04-22,14.79,14.85,14.73,14.84,57000,14.699269
2015-04-21,14.87,14.90,14.78,14.80,23400,14.659649
2015-04-20,14.71,14.90,14.71,14.84,50500,14.699269
2015-04-17,14.75,14.85,14.57,14.66,148800,14.520976
2015-04-16,14.86,14.87,14.75,14.84,32100,14.699269
2015-04-15,14.83,14.92,14.71,14.86,116700,14.719079
2015-04-14,14.83,14.86,14.69,14.78,92600,14.639838
2015-04-13,14.80,14.90,14.74,14.85,65700,14.709175
2015-04-10,14.77,14.80,14.67,14.80,114100,14.659649
2015-04-09,14.74,14.77,14.54,14.71,112600,14.570502
2015-04-08,14.74,14.79,14.65,14.78,135600,14.639838
2015-04-07,14.76,14.84,14.70,14.72,113700,14.580407
2015-04-06,14.84,14.95,14.73,14.75,235200,14.610123
2015-04-02,14.89,14.92,14.80,14.89,150500,14.748795
2015-04-01,14.74,14.89,14.72,14.86,163100,14.719079
2015-03-31,14.78,14.85,14.67,14.82,468900,14.679458
2015-03-30,14.80,14.90,14.80,14.84,117400,14.699269
2015-03-27,14.74,14.80,14.64,14.80,179700,14.659649
2015-03-26,14.57,14.74,14.54,14.73,121000,14.590312
2015-03-25,14.75,14.77,14.59,14.59,177500,14.45164
2015-03-24,14.82,14.88,14.75,14.78,98500,14.639838
2015-03-23,14.80,14.90,14.78,14.83,187200,14.689364
2015-03-20,14.86,14.89,14.71,14.87,253600,14.728984
2015-03-19,14.75,14.79,14.64,14.77,69700,14.629933
2015-03-18,14.78,14.85,14.72,14.77,129400,14.629933
2015-03-17,14.70,14.80,14.69,14.79,137200,14.649743
2015-03-16,14.72,14.78,14.66,14.75,163500,14.610123
2015-03-13,14.80,14.80,14.53,14.68,134700,14.540787
2015-03-12,14.60,14.80,14.59,14.77,205600,14.629933
2015-03-11,14.51,14.55,14.46,14.53,72200,14.392209
2015-03-10,14.50,14.59,14.46,14.50,117500,14.362493
2015-03-09,14.49,14.63,14.49,14.58,127000,14.441735
2015-03-06,14.42,14.65,14.42,14.49,146100,14.352588
2015-03-05,14.49,14.55,14.39,14.53,182800,14.392209
2015-03-04,14.45,14.53,14.42,14.51,139600,14.372399
2015-03-03,14.49,14.60,14.42,14.50,183100,14.362493
2015-03-02,14.44,14.63,14.41,14.57,121900,14.431829
