Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,32.490002,33.599998,29.860001,33.040001,245400,33.040001
2015-08-06,31.379999,31.379999,30.24,30.33,162000,30.33
2015-08-05,31.059999,31.639999,31.030001,31.42,76900,31.42
2015-08-04,30.629999,31.469999,30.629999,30.959999,64000,30.959999
2015-08-03,31.709999,31.809999,30.469999,30.629999,71600,30.629999
2015-07-31,31.040001,32.32,31.040001,31.719999,138100,31.719999
2015-07-30,30.32,31.59,30.32,31.030001,107400,31.030001
2015-07-29,30.790001,31.00,30.209999,30.469999,156100,30.469999
2015-07-28,30.700001,31.040001,29.91,30.85,183200,30.85
2015-07-27,30.709999,30.84,30.280001,30.530001,140500,30.530001
2015-07-24,31.440001,31.68,30.84,30.889999,161700,30.889999
2015-07-23,32.00,32.080002,31.34,31.440001,93600,31.440001
2015-07-22,31.75,32.240002,31.530001,32.02,97100,32.02
2015-07-21,31.60,32.00,31.120001,31.870001,79400,31.870001
2015-07-20,31.75,32.00,31.27,31.620001,94300,31.620001
2015-07-17,32.09,32.27,31.48,31.75,81700,31.75
2015-07-16,31.27,32.110001,30.950001,32.099998,80400,32.099998
2015-07-15,31.51,31.51,30.940001,31.280001,63100,31.280001
2015-07-14,31.290001,31.889999,31.129999,31.57,95500,31.57
2015-07-13,31.190001,31.48,30.90,31.280001,123500,31.280001
2015-07-10,31.290001,31.35,30.85,31.01,62000,31.01
2015-07-09,30.90,31.049999,30.299999,30.83,204100,30.83
2015-07-08,30.27,30.90,30.190001,30.549999,214800,30.549999
2015-07-07,30.120001,30.629999,29.799999,30.49,105200,30.49
2015-07-06,29.870001,30.620001,29.68,30.17,70300,30.17
2015-07-02,30.309999,30.469999,29.52,30.040001,106000,30.040001
2015-07-01,30.629999,30.809999,30.040001,30.34,112600,30.34
2015-06-30,30.24,30.48,29.93,30.389999,99100,30.389999
2015-06-29,30.75,30.84,29.969999,30.059999,165700,30.059999
2015-06-26,30.700001,31.120001,30.540001,30.940001,216500,30.940001
2015-06-25,30.65,30.790001,30.370001,30.65,146700,30.65
2015-06-24,30.48,30.790001,30.129999,30.65,97800,30.65
2015-06-23,30.00,30.59,29.540001,30.50,96800,30.50
2015-06-22,30.58,30.60,29.709999,29.99,164800,29.99
2015-06-19,30.450001,30.51,29.540001,30.33,539100,30.33
2015-06-18,30.10,30.870001,29.98,30.33,220000,30.33
2015-06-17,30.35,30.42,29.91,30.07,158900,30.07
2015-06-16,30.08,30.58,29.92,30.25,111800,30.25
2015-06-15,30.030001,30.66,29.51,30.120001,108900,30.120001
2015-06-12,29.76,30.33,29.379999,30.200001,190900,30.200001
2015-06-11,29.49,29.870001,28.780001,29.799999,115100,29.799999
2015-06-10,29.129999,29.74,28.74,29.42,110900,29.42
2015-06-09,29.33,29.34,28.52,28.959999,83900,28.959999
2015-06-08,29.65,29.65,28.790001,29.120001,97400,29.120001
2015-06-05,28.860001,29.74,28.219999,29.66,140200,29.66
2015-06-04,28.559999,29.629999,28.24,28.85,171700,28.85
2015-06-03,27.91,29.139999,27.620001,28.66,103900,28.66
2015-06-02,27.50,28.27,27.379999,27.860001,69900,27.860001
2015-06-01,27.74,28.379999,27.24,27.620001,145500,27.620001
2015-05-29,28.01,28.299999,27.43,27.610001,122800,27.610001
2015-05-28,27.75,28.33,27.52,28.02,105400,28.02
2015-05-27,27.629999,27.92,27.34,27.700001,85500,27.700001
2015-05-26,27.50,27.809999,27.18,27.690001,163300,27.690001
2015-05-22,27.790001,28.139999,27.219999,27.540001,99200,27.540001
2015-05-21,27.780001,27.98,27.57,27.860001,71000,27.860001
2015-05-20,27.370001,27.76,26.85,27.700001,110600,27.700001
2015-05-19,27.950001,28.219999,27.309999,27.33,105700,27.33
2015-05-18,27.08,28.10,27.040001,28.030001,133400,28.030001
