Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,13.23,13.23,12.80,12.85,2300,12.85
2015-08-06,13.09,14.17,12.90,13.37,6900,13.37
2015-08-05,12.10,13.25,12.10,13.16,5900,13.16
2015-08-04,14.06,14.06,13.43,13.45,2600,13.45
2015-08-03,14.25,14.50,13.93,13.93,6000,13.93
2015-07-31,14.25,14.94,13.505,14.80,9700,14.80
2015-07-30,14.32,15.04,13.21,14.16,14000,14.16
2015-07-29,14.50,14.59,14.16,14.47,11200,14.47
2015-07-28,14.89,15.21,13.78,14.28,15800,14.28
2015-07-27,13.38,13.98,13.38,13.83,9200,13.83
2015-07-24,13.16,13.69,12.40,13.34,51800,13.34
2015-07-23,14.09,14.47,12.83,13.10,24200,13.10
2015-07-22,13.95,14.21,13.95,14.11,2300,14.11
2015-07-21,14.86,14.95,14.12,14.20,10900,14.20
2015-07-20,14.81,15.055,14.70,14.75,11200,14.75
2015-07-17,14.92,15.20,14.59,15.11,19800,15.11
2015-07-16,14.71,14.96,14.55,14.86,20000,14.86
2015-07-15,14.33,15.10,14.16,14.61,68100,14.61
2015-07-14,14.164,14.96,14.164,14.53,5600,14.53
2015-07-13,14.27,14.50,14.08,14.43,5800,14.43
2015-07-10,14.21,14.28,13.90,14.27,9100,14.27
2015-07-09,14.27,14.27,13.82,14.09,12500,14.09
2015-07-08,14.00,14.46,14.00,14.08,8200,14.08
2015-07-07,14.16,14.38,13.75,14.20,10500,14.20
2015-07-06,14.12,14.66,14.12,14.32,6900,14.32
2015-07-02,14.24,14.383,14.14,14.14,3800,14.14
2015-07-01,14.27,14.63,13.77,14.26,11200,14.26
2015-06-30,14.40,14.49,14.13,14.21,7000,14.21
2015-06-29,14.17,14.50,14.17,14.19,16700,14.19
2015-06-26,14.27,14.44,14.15,14.40,54600,14.40
2015-06-25,14.26,14.57,14.20,14.25,12800,14.19
2015-06-24,14.28,14.83,14.22,14.57,17300,14.508652
2015-06-23,14.47,14.50,14.17,14.49,9300,14.428989
2015-06-22,14.50,14.50,14.05,14.47,11700,14.409074
2015-06-19,14.09,14.49,13.86,14.48,42100,14.419031
2015-06-18,13.76,14.47,13.76,14.32,29000,14.259705
2015-06-17,13.515,13.85,13.51,13.74,13500,13.682147
2015-06-16,13.49,13.92,13.49,13.82,7200,13.76181
2015-06-15,13.41,13.83,13.40,13.57,16800,13.512863
2015-06-12,13.47,13.61,13.47,13.55,4800,13.492947
2015-06-11,13.65,13.745,13.49,13.55,4200,13.492947
2015-06-10,13.48,13.80,13.40,13.80,8000,13.741895
2015-06-09,13.53,13.58,13.40,13.47,7500,13.413284
2015-06-08,13.54,13.657,13.395,13.50,5200,13.443158
2015-06-05,13.44,13.60,13.41,13.48,4600,13.423242
2015-06-04,13.55,13.59,13.39,13.40,5100,13.343578
2015-06-03,13.70,13.83,13.60,13.67,9500,13.612442
2015-06-02,13.55,13.93,13.55,13.70,7300,13.642316
2015-06-01,13.97,13.97,13.43,13.65,4000,13.592526
2015-05-29,13.75,14.00,13.47,13.98,14000,13.921136
2015-05-28,13.53,13.96,13.53,13.81,9800,13.751853
2015-05-27,13.60,13.93,13.59,13.91,5700,13.851431
2015-05-26,14.54,14.54,13.68,13.70,9900,13.642316
2015-05-22,14.35,14.59,13.97,14.56,7600,14.498695
2015-05-21,14.78,14.78,14.12,14.42,27100,14.359284
2015-05-20,14.72,14.75,14.35,14.43,18500,14.369242
2015-05-19,14.68,15.00,14.26,14.90,11900,14.837263
2015-05-18,13.72,14.90,13.491,14.81,19900,14.747642
2015-05-15,14.00,14.49,14.00,14.17,16500,14.110337
2015-05-14,13.85,14.25,13.71,14.03,178700,13.970926
