Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,17.940001,18.190001,17.940001,18.10,25700,18.10
2015-08-06,17.84,18.33,17.84,18.030001,17700,18.030001
2015-08-05,17.549999,17.99,17.549999,17.91,23600,17.91
2015-08-04,17.43,17.82,17.200001,17.549999,45100,17.549999
2015-08-03,17.59,17.59,17.200001,17.32,18200,17.32
2015-07-31,17.639999,17.77,17.459999,17.530001,24000,17.530001
2015-07-30,17.42,17.91,17.299999,17.52,36900,17.52
2015-07-29,17.60,17.889999,17.379999,17.52,38600,17.390001
2015-07-28,17.469999,17.690001,17.26,17.610001,35800,17.479333
2015-07-27,17.790001,17.790001,16.879999,17.48,53400,17.350297
2015-07-24,17.209999,18.92,17.209999,17.780001,16000,17.648072
2015-07-23,18.25,18.40,17.73,17.73,30200,17.598442
2015-07-22,18.25,18.379999,18.18,18.290001,14700,18.154288
2015-07-21,18.65,18.65,18.219999,18.33,9900,18.19399
2015-07-20,18.60,18.82,18.549999,18.60,23000,18.461987
2015-07-17,18.68,19.09,18.639999,18.809999,28800,18.670428
2015-07-16,18.889999,18.98,18.610001,18.68,20800,18.541394
2015-07-15,18.58,18.889999,18.50,18.809999,22900,18.670428
2015-07-14,18.719999,18.90,18.41,18.66,36400,18.521541
2015-07-13,18.73,18.93,18.629999,18.85,16000,18.710132
2015-07-10,18.540001,18.73,18.32,18.68,23500,18.541394
2015-07-09,18.610001,18.700001,18.34,18.34,28300,18.203916
2015-07-08,18.690001,18.690001,18.41,18.459999,17600,18.323025
2015-07-07,18.620001,18.790001,18.35,18.610001,30800,18.471913
2015-07-06,18.459999,18.83,18.33,18.67,22200,18.531467
2015-07-02,18.790001,18.90,18.57,18.58,12600,18.442135
2015-07-01,18.629999,18.950001,18.629999,18.73,18500,18.591022
2015-06-30,18.77,18.77,18.50,18.65,25700,18.511615
2015-06-29,18.59,18.870001,18.42,18.450001,30400,18.313101
2015-06-26,18.40,18.879999,18.32,18.76,116800,18.6208
2015-06-25,18.34,18.459999,18.299999,18.299999,38100,18.164212
2015-06-24,18.309999,18.379999,18.23,18.33,30300,18.19399
2015-06-23,17.959999,18.360001,17.950001,18.309999,15200,18.174138
2015-06-22,17.610001,18.09,17.60,18.09,30400,17.955771
2015-06-19,17.32,17.67,17.209999,17.629999,68100,17.499183
2015-06-18,17.200001,17.469999,17.08,17.379999,29000,17.251038
2015-06-17,17.309999,17.379999,17.139999,17.17,14200,17.042598
2015-06-16,17.049999,17.34,16.83,17.34,11200,17.211336
2015-06-15,17.23,17.280001,16.74,17.18,24800,17.052524
2015-06-12,17.25,17.379999,17.23,17.26,14200,17.13193
2015-06-11,16.940001,17.35,16.940001,17.299999,38300,17.171632
2015-06-10,17.360001,17.48,17.17,17.280001,25100,17.151782
2015-06-09,17.190001,17.370001,17.15,17.209999,16900,17.0823
2015-06-08,17.23,17.42,17.07,17.280001,25400,17.151782
2015-06-05,17.280001,17.42,17.049999,17.280001,25100,17.151782
2015-06-04,17.25,17.34,16.93,17.27,31500,17.141856
2015-06-03,17.35,17.49,16.99,17.280001,32400,17.151782
2015-06-02,17.09,17.389999,16.98,17.389999,11400,17.260964
2015-06-01,16.860001,17.469999,16.860001,17.09,14800,16.963191
2015-05-29,17.190001,17.450001,16.91,17.299999,26500,17.171632
2015-05-28,17.299999,17.440001,17.07,17.25,12200,17.122004
2015-05-27,17.02,17.459999,16.93,17.42,66100,17.290743
2015-05-26,17.110001,17.110001,16.82,16.93,18000,16.804379
2015-05-22,17.299999,17.299999,16.959999,17.24,58700,17.112078
2015-05-21,17.34,17.43,17.25,17.27,34700,17.141856
2015-05-20,17.370001,17.370001,17.26,17.290001,7500,17.161708
2015-05-19,17.280001,17.379999,17.209999,17.27,9100,17.141856
2015-05-18,17.209999,17.48,17.01,17.379999,14100,17.251038
2015-05-15,17.25,17.370001,17.040001,17.139999,43700,17.01282
2015-05-14,16.950001,17.25,16.950001,17.23,8100,17.102152
2015-05-13,16.91,17.10,16.91,17.07,7000,16.943339
2015-05-12,17.00,17.120001,16.75,17.049999,12300,16.923487
2015-05-11,16.85,17.10,16.85,17.00,9300,16.873859
2015-05-08,17.15,17.15,16.84,16.92,15000,16.794453
2015-05-07,17.10,17.23,16.92,16.92,26300,16.794453
2015-05-06,16.90,17.26,16.76,17.059999,30900,16.933413
2015-05-05,16.76,16.93,16.65,16.860001,22500,16.734898
2015-05-04,16.83,16.959999,16.780001,16.870001,15700,16.744824
2015-05-01,16.790001,17.00,16.709999,16.75,17900,16.625714
2015-04-30,17.200001,17.50,16.780001,16.780001,30600,16.655492
2015-04-29,17.40,17.49,17.15,17.360001,9500,17.102153
2015-04-28,17.309999,17.629999,17.290001,17.51,12400,17.249924
2015-04-27,17.35,17.389999,17.040001,17.209999,12300,16.954379
2015-04-24,16.90,17.32,16.90,17.32,12400,17.062746
2015-04-23,16.809999,16.99,16.77,16.90,14400,16.648984
2015-04-22,16.93,17.00,16.76,16.93,13800,16.678539
2015-04-21,16.870001,16.940001,16.860001,16.92,22000,16.668687
2015-04-20,16.90,16.959999,16.85,16.889999,16600,16.639132
2015-04-17,16.870001,16.959999,16.799999,16.85,18600,16.599727
2015-04-16,16.99,16.99,16.870001,16.950001,35100,16.698242
2015-04-15,16.90,17.040001,16.90,17.00,30900,16.747499
2015-04-14,16.92,17.00,16.889999,16.92,9800,16.668687
2015-04-13,17.00,17.02,16.889999,17.00,7700,16.747499
2015-04-10,17.27,17.27,16.90,16.99,15100,16.737647
2015-04-09,17.059999,17.18,16.90,17.17,9800,16.914974
2015-04-08,17.049999,17.280001,16.950001,17.18,6900,16.924826
2015-04-07,17.450001,17.450001,17.10,17.10,7300,16.846014
2015-04-06,17.67,17.67,17.120001,17.280001,22800,17.023341
2015-04-02,17.459999,17.85,17.43,17.700001,10100,17.437103
2015-04-01,17.139999,17.450001,17.139999,17.450001,10500,17.190816
2015-03-31,17.17,17.27,17.10,17.27,6800,17.013489
2015-03-30,17.35,17.35,17.190001,17.25,76700,16.993786
2015-03-27,17.309999,17.370001,17.209999,17.35,15400,17.092301
2015-03-26,17.200001,17.370001,17.200001,17.33,10400,17.072597
2015-03-25,17.35,17.35,17.190001,17.27,17500,17.013489
2015-03-24,17.32,17.43,17.18,17.360001,15400,17.102153
2015-03-23,17.190001,17.450001,17.18,17.42,17400,17.161261
2015-03-20,17.290001,17.41,17.16,17.18,46100,16.924826
2015-03-19,17.42,17.43,16.969999,17.24,21100,16.983934
2015-03-18,17.370001,17.43,17.27,17.370001,12500,17.112004
2015-03-17,17.370001,17.389999,17.209999,17.35,17000,17.092301
2015-03-16,17.51,17.51,17.190001,17.33,11200,17.072597
2015-03-13,17.299999,17.299999,17.040001,17.190001,6100,16.934677
2015-03-12,16.959999,17.40,16.889999,17.34,32400,17.082449
2015-03-11,16.549999,16.860001,16.51,16.790001,18700,16.540619
2015-03-10,16.690001,16.74,16.440001,16.52,13500,16.274629
2015-03-09,16.639999,16.940001,16.549999,16.860001,47400,16.609579
2015-03-06,16.450001,16.719999,16.440001,16.450001,14600,16.205669
2015-03-05,16.66,16.700001,16.370001,16.58,9300,16.333737
2015-03-04,16.450001,16.639999,16.33,16.60,13800,16.353441
2015-03-03,16.639999,16.639999,16.299999,16.48,14900,16.235222
2015-03-02,16.43,16.639999,16.27,16.559999,15700,16.314034
2015-02-27,16.870001,16.99,16.34,16.34,28500,16.097302
2015-02-26,16.709999,17.08,16.709999,16.84,14700,16.589876
2015-02-25,16.85,17.059999,16.75,16.799999,15200,16.550469
2015-02-24,16.969999,17.23,16.690001,16.860001,10100,16.609579
2015-02-23,16.82,17.15,16.549999,16.68,17300,16.432252
2015-02-20,16.889999,17.120001,16.67,16.84,73400,16.589876
2015-02-19,16.780001,17.15,16.780001,16.84,33600,16.589876
2015-02-18,16.780001,16.809999,16.60,16.790001,7400,16.540619
2015-02-17,16.940001,16.99,16.700001,16.83,8500,16.580024
2015-02-13,16.82,17.00,16.610001,16.85,25700,16.599727
2015-02-12,16.84,16.870001,16.469999,16.76,8400,16.511064
2015-02-11,16.639999,16.65,16.33,16.41,7600,16.166262
2015-02-10,16.75,16.75,16.25,16.530001,32900,16.284481
2015-02-09,16.83,17.049999,16.48,16.530001,11900,16.284481
2015-02-06,16.66,17.139999,16.610001,16.93,19200,16.678539
2015-02-05,16.440001,16.60,16.440001,16.59,18800,16.343589
2015-02-04,16.60,16.610001,16.299999,16.52,18000,16.274629
2015-02-03,16.440001,16.719999,16.299999,16.629999,20200,16.382994
2015-02-02,16.389999,16.50,16.110001,16.450001,15500,16.205669
2015-01-30,16.290001,16.57,16.190001,16.200001,75200,15.959382
2015-01-29,16.16,16.540001,16.16,16.469999,34900,16.22537
2015-01-28,16.26,16.469999,16.26,16.35,31800,15.979084
2015-01-27,16.110001,16.620001,16.110001,16.370001,16600,15.998631
2015-01-26,16.59,16.59,16.16,16.389999,25600,16.018176
2015-01-23,17.02,17.360001,16.309999,16.549999,17900,16.174546
2015-01-22,16.91,17.24,16.68,17.200001,21800,16.809801
2015-01-21,16.629999,16.860001,16.440001,16.709999,30400,16.330916
2015-01-20,16.440001,16.940001,16.01,16.52,32100,16.145228
2015-01-16,16.040001,16.540001,16.040001,16.52,17800,16.145228
2015-01-15,16.25,16.360001,16.030001,16.110001,37000,15.744529
2015-01-14,16.559999,16.559999,16.15,16.26,6800,15.891126
2015-01-13,16.43,17.01,16.200001,16.60,23500,16.223413
2015-01-12,16.25,16.559999,16.18,16.280001,13100,15.910673
2015-01-09,16.799999,16.85,16.27,16.27,12100,15.900899
2015-01-08,16.559999,16.950001,16.35,16.75,19600,16.370009
2015-01-07,16.33,16.50,16.030001,16.48,30700,16.106134
2015-01-06,16.370001,16.370001,16.049999,16.17,24200,15.803167
2015-01-05,16.549999,16.690001,16.209999,16.440001,25000,16.067043
2015-01-02,17.309999,17.309999,16.530001,16.68,24700,16.301598
2014-12-31,17.15,17.459999,17.049999,17.139999,13500,16.751161
2014-12-30,17.25,17.40,17.190001,17.309999,11800,16.917305
2014-12-29,17.530001,17.530001,17.25,17.35,14400,16.956398
2014-12-26,17.290001,17.459999,17.129999,17.23,11900,16.83912
2014-12-24,17.190001,17.620001,17.110001,17.190001,6600,16.800028
2014-12-23,17.18,17.50,17.049999,17.26,21000,16.86844
