Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,10.48,11.06,10.48,10.99,39500,10.99
2015-08-06,10.75,11.03,10.06,10.38,63800,10.38
2015-08-05,10.74,11.05,10.72,10.77,10000,10.77
2015-08-04,10.85,11.00,10.71,10.73,18800,10.73
2015-08-03,10.91,11.13,10.79,10.90,7300,10.90
2015-07-31,10.93,11.19,10.69,10.92,9100,10.92
2015-07-30,11.08,11.13,10.90,10.91,10100,10.91
2015-07-29,10.70,11.08,10.66,11.08,20600,11.08
2015-07-28,10.98,10.98,10.68,10.71,19900,10.71
2015-07-27,11.11,11.29,10.56,10.86,67400,10.86
2015-07-24,11.28,11.35,11.11,11.24,26500,11.24
2015-07-23,11.70,11.70,11.27,11.29,47800,11.29
2015-07-22,11.41,11.79,11.38,11.78,13400,11.78
2015-07-21,11.33,11.48,11.33,11.40,11600,11.40
2015-07-20,11.57,11.57,11.26,11.37,30500,11.37
2015-07-17,11.75,11.75,11.53,11.53,28300,11.53
2015-07-16,11.77,11.77,11.56,11.75,11900,11.75
2015-07-15,11.64,11.78,11.55,11.78,14400,11.78
2015-07-14,11.68,11.80,11.58,11.68,20000,11.68
2015-07-13,11.94,11.94,11.66,11.73,23600,11.73
2015-07-10,11.94,11.94,11.76,11.90,7200,11.90
2015-07-09,11.89,11.95,11.81,11.91,6400,11.91
2015-07-08,11.79,11.93,11.75,11.77,13900,11.77
2015-07-07,11.94,11.94,11.75,11.84,9100,11.84
2015-07-06,12.00,12.04,11.83,11.94,20300,11.94
2015-07-02,12.02,12.09,12.00,12.01,5000,12.01
2015-07-01,11.90,12.17,11.89,11.97,37900,11.97
2015-06-30,12.07,12.14,12.00,12.00,31300,12.00
2015-06-29,12.23,12.41,11.75,11.99,27100,11.99
2015-06-26,12.28,12.42,12.03,12.24,14400,12.24
2015-06-25,12.42,12.42,12.09,12.10,19100,12.10
2015-06-24,12.05,12.40,12.05,12.39,6200,12.39
2015-06-23,12.31,12.34,12.07,12.11,16500,12.11
2015-06-22,12.23,12.45,12.07,12.42,35200,12.42
2015-06-19,12.22,12.39,12.07,12.21,26400,12.21
2015-06-18,12.17,12.44,12.00,12.26,28800,12.26
2015-06-17,12.15,12.40,12.04,12.05,42100,12.05
2015-06-16,12.05,12.28,12.01,12.11,4600,12.11
2015-06-15,12.31,12.35,12.00,12.05,34300,12.05
2015-06-12,12.33,12.50,12.12,12.29,20700,12.29
2015-06-11,12.33,12.50,12.23,12.40,24800,12.06
2015-06-10,12.30,12.40,12.20,12.36,22900,12.021097
2015-06-09,12.32,12.45,12.20,12.20,25200,11.865484
2015-06-08,12.40,12.43,12.20,12.33,13800,11.99192
2015-06-05,12.25,12.44,12.25,12.36,10900,12.021097
2015-06-04,12.25,12.41,12.25,12.27,7800,11.933565
2015-06-03,12.29,12.44,12.20,12.21,31600,11.87521
2015-06-02,12.29,12.43,12.29,12.30,4700,11.962742
2015-06-01,12.25,12.34,12.25,12.29,10200,11.953016
2015-05-29,12.30,12.42,12.25,12.25,15800,11.914113
2015-05-28,12.45,12.45,12.30,12.35,16200,12.011372
2015-05-27,12.40,12.44,12.25,12.42,15500,12.079452
2015-05-26,12.39,12.45,12.36,12.42,38200,12.079452
2015-05-22,12.35,12.42,12.35,12.37,6700,12.030823
2015-05-21,12.28,12.42,12.28,12.35,18000,12.011372
2015-05-20,12.28,12.37,12.21,12.34,27400,12.001646
2015-05-19,12.25,12.30,12.17,12.29,13200,11.953016
2015-05-18,12.27,12.29,12.21,12.24,13200,11.904387
2015-05-15,12.07,12.26,12.07,12.25,28600,11.914113
2015-05-14,12.27,12.30,12.22,12.22,18100,11.884936
2015-05-13,12.24,12.30,12.08,12.28,23100,11.94329
2015-05-12,12.14,12.26,12.06,12.22,22100,11.884936
2015-05-11,12.30,12.30,12.20,12.25,10000,11.914113
2015-05-08,12.20,12.30,12.14,12.25,13800,11.914113
2015-05-07,12.15,12.26,12.02,12.17,27400,11.836307
2015-05-06,12.45,12.45,12.15,12.22,20200,11.884936
2015-05-05,12.40,12.45,12.35,12.45,27400,12.108629
2015-05-04,12.30,12.45,12.30,12.44,24500,12.098903
2015-05-01,12.30,12.30,12.21,12.30,22100,11.962742
2015-04-30,12.30,12.30,12.24,12.30,22000,11.962742
2015-04-29,12.19,12.30,12.15,12.30,12400,11.962742
2015-04-28,12.11,12.20,12.11,12.20,6700,11.865484
2015-04-27,12.30,12.30,12.15,12.18,16700,11.846033
2015-04-24,12.18,12.28,12.18,12.20,7200,11.865484
2015-04-23,12.30,12.30,12.18,12.20,11000,11.865484
2015-04-22,12.27,12.30,12.10,12.26,8700,11.923839
2015-04-21,12.30,12.30,12.13,12.30,15100,11.962742
2015-04-20,12.30,12.30,12.18,12.18,11500,11.846033
2015-04-17,12.33,12.33,12.20,12.28,5900,11.94329
2015-04-16,12.20,12.38,12.20,12.33,9200,11.99192
2015-04-15,12.17,12.46,12.02,12.32,18800,11.982194
2015-04-14,12.15,12.20,12.06,12.19,4900,11.855758
2015-04-13,12.32,12.32,12.10,12.14,2600,11.80713
2015-04-10,12.17,12.42,12.11,12.34,17700,12.001646
2015-04-09,12.08,12.24,12.00,12.24,26400,11.904387
2015-04-08,12.02,12.10,12.01,12.08,5600,11.748774
2015-04-07,12.02,12.12,11.99,12.08,13100,11.748774
2015-04-06,12.15,12.22,12.02,12.09,8100,11.7585
2015-04-02,12.19,12.27,12.00,12.18,40200,11.846033
2015-04-01,12.26,12.33,12.00,12.29,60100,11.953016
2015-03-31,12.34,12.34,12.15,12.25,7500,11.914113
2015-03-30,12.23,12.34,12.10,12.31,23400,11.972468
2015-03-27,12.17,12.30,12.03,12.21,13100,11.87521
2015-03-26,12.13,12.18,12.04,12.13,4700,11.797404
2015-03-25,12.20,12.20,12.01,12.11,3600,11.777952
2015-03-24,12.08,12.20,12.00,12.18,12800,11.846033
2015-03-23,12.13,12.28,12.06,12.09,25100,11.7585
2015-03-20,12.15,12.22,12.00,12.22,12500,11.884936
2015-03-19,12.27,12.28,12.14,12.20,18500,11.865484
2015-03-18,12.18,12.22,12.14,12.14,1800,11.80713
2015-03-17,12.20,12.31,12.05,12.27,19200,11.933565
2015-03-16,12.24,12.38,12.11,12.17,19700,11.836307
2015-03-13,12.14,12.30,12.14,12.26,14700,11.923839
2015-03-12,12.40,12.40,12.20,12.31,20300,11.641791
2015-03-11,12.20,12.40,12.02,12.36,35700,11.689076
2015-03-10,12.24,12.34,12.08,12.34,10200,11.670162
2015-03-09,12.40,12.40,12.22,12.35,18600,11.67962
2015-03-06,12.30,12.47,12.28,12.40,21900,11.726905
2015-03-05,12.16,12.47,12.10,12.42,13800,11.74582
2015-03-04,12.44,12.50,11.90,12.01,109100,11.358075
2015-03-03,12.33,12.44,12.25,12.44,9000,11.764734
2015-03-02,12.10,12.44,12.01,12.44,29000,11.764734
2015-02-27,11.97,12.13,11.83,12.13,44400,11.471562
2015-02-26,11.78,11.97,11.78,11.93,23400,11.282418
2015-02-25,11.84,11.91,11.75,11.90,25000,11.254046
2015-02-24,11.71,11.90,11.67,11.86,7500,11.216217
2015-02-23,11.76,11.83,11.63,11.82,7600,11.178388
2015-02-20,11.63,11.89,11.62,11.67,2700,11.036531
2015-02-19,11.65,11.80,11.61,11.70,4500,11.064902
2015-02-18,11.67,11.74,11.57,11.60,7700,10.970331
2015-02-17,11.47,11.68,11.47,11.60,13300,10.970331
2015-02-13,11.52,11.69,11.52,11.66,11800,11.027074
