Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,4.92,4.99,4.71,4.99,46400,4.99
2015-08-06,4.88,4.97,4.83,4.90,57800,4.90
2015-08-05,5.10,5.10,4.85,4.86,93200,4.86
2015-08-04,5.11,5.13,5.01,5.04,50700,5.04
2015-08-03,5.16,5.16,5.12,5.12,19200,5.12
2015-07-31,5.20,5.24,5.14,5.20,22200,5.20
2015-07-30,5.23,5.24,5.21,5.21,3800,5.21
2015-07-29,5.11,5.23,5.11,5.20,22200,5.20
2015-07-28,5.15,5.21,5.01,5.19,23200,5.19
2015-07-27,5.15,5.18,5.08,5.18,64100,5.18
2015-07-24,5.44,5.44,5.14,5.26,63700,5.26
2015-07-23,5.49,5.49,5.42,5.48,15400,5.48
2015-07-22,5.51,5.57,5.44,5.53,26800,5.53
2015-07-21,5.55,5.56,5.50,5.56,24500,5.56
2015-07-20,5.55,5.61,5.53,5.59,10100,5.59
2015-07-17,5.51,5.62,5.47,5.60,31900,5.60
2015-07-16,5.51,5.59,5.42,5.58,63000,5.58
2015-07-15,5.54,5.65,5.53,5.57,19300,5.57
2015-07-14,5.61,5.65,5.36,5.60,71000,5.60
2015-07-13,5.66,5.66,5.57,5.65,24200,5.65
2015-07-10,5.68,5.70,5.58,5.68,30700,5.68
2015-07-09,5.70,5.74,5.64,5.70,39400,5.70
2015-07-08,5.60,5.73,5.60,5.70,42900,5.70
2015-07-07,5.65,5.65,5.58,5.65,19300,5.65
2015-07-06,5.65,5.74,5.61,5.70,54800,5.70
2015-07-02,5.68,5.73,5.68,5.73,24400,5.73
2015-07-01,5.73,5.73,5.65,5.70,33900,5.70
2015-06-30,5.75,5.75,5.65,5.69,48200,5.69
2015-06-29,5.75,5.75,5.62,5.70,59200,5.70
2015-06-26,5.69,5.71,5.65,5.70,77600,5.70
2015-06-25,5.70,5.79,5.70,5.79,30400,5.67
2015-06-24,5.76,5.78,5.72,5.75,38800,5.630829
2015-06-23,5.60,5.80,5.60,5.76,55300,5.640622
2015-06-22,5.75,5.80,5.68,5.74,56500,5.621036
2015-06-19,5.75,5.80,5.75,5.76,47900,5.640622
2015-06-18,5.79,5.80,5.76,5.80,19100,5.679793
2015-06-17,5.81,5.83,5.75,5.80,73200,5.679793
2015-06-16,5.79,5.84,5.78,5.82,9900,5.699379
2015-06-15,5.75,5.84,5.75,5.82,27300,5.699379
2015-06-12,5.73,5.80,5.73,5.80,23800,5.679793
2015-06-11,5.77,5.83,5.70,5.83,67200,5.709171
2015-06-10,5.80,5.83,5.71,5.83,41900,5.709171
2015-06-09,5.83,5.83,5.77,5.83,25500,5.709171
2015-06-08,5.78,5.84,5.76,5.83,28400,5.709171
2015-06-05,5.81,5.84,5.76,5.82,34900,5.699379
2015-06-04,5.78,5.85,5.77,5.84,22200,5.718964
2015-06-03,5.75,5.83,5.70,5.82,43800,5.699379
2015-06-02,5.80,5.85,5.80,5.82,8300,5.699379
2015-06-01,5.80,5.86,5.77,5.84,26600,5.718964
2015-05-29,5.89,5.89,5.77,5.77,18800,5.650415
2015-05-28,5.88,5.98,5.78,5.86,27000,5.738549
2015-05-27,5.75,5.86,5.71,5.86,30100,5.738549
2015-05-26,5.68,5.73,5.65,5.69,48800,5.572073
2015-05-22,5.62,5.70,5.60,5.68,15500,5.56228
2015-05-21,5.67,5.70,5.59,5.66,74300,5.542694
2015-05-20,5.65,5.68,5.58,5.67,49600,5.552487
2015-05-19,5.70,5.70,5.60,5.67,28700,5.552487
2015-05-18,5.64,5.70,5.61,5.70,44400,5.581865
2015-05-15,5.66,5.70,5.59,5.68,75400,5.56228
2015-05-14,5.61,5.70,5.60,5.66,21000,5.542694
2015-05-13,5.54,5.68,5.50,5.68,27700,5.56228
2015-05-12,5.60,5.60,5.49,5.55,18000,5.434974
2015-05-11,5.62,5.68,5.62,5.65,27300,5.532902
2015-05-08,5.68,5.70,5.59,5.69,36700,5.572073
2015-05-07,5.62,5.69,5.55,5.68,88700,5.56228
2015-05-06,5.60,5.60,5.50,5.60,48000,5.483938
2015-05-05,5.62,5.69,5.56,5.65,29300,5.532902
2015-05-04,5.57,5.63,5.51,5.62,31400,5.503523
2015-05-01,5.63,5.63,5.50,5.61,29600,5.493731
2015-04-30,5.61,5.64,5.48,5.63,54600,5.513316
2015-04-29,5.61,5.64,5.55,5.64,18600,5.523109
2015-04-28,5.69,5.69,5.55,5.65,23000,5.532902
2015-04-27,5.70,5.70,5.58,5.64,24900,5.523109
2015-04-24,5.73,5.73,5.61,5.68,19200,5.56228
2015-04-23,5.55,5.73,5.55,5.72,38400,5.601451
2015-04-22,5.58,5.60,5.50,5.59,46500,5.474145
2015-04-21,5.52,5.58,5.48,5.56,60200,5.444767
2015-04-20,5.53,5.58,5.39,5.57,24000,5.45456
2015-04-17,5.55,5.56,5.41,5.54,25700,5.425181
2015-04-16,5.44,5.56,5.41,5.56,67500,5.444767
2015-04-15,5.60,5.60,5.47,5.48,39000,5.366425
2015-04-14,5.42,5.53,5.37,5.52,66400,5.405596
2015-04-13,5.39,5.50,5.27,5.44,44200,5.327254
2015-04-10,5.50,5.64,5.36,5.42,66300,5.307669
2015-04-09,5.35,5.47,5.35,5.45,86200,5.337047
2015-04-08,5.45,5.67,5.32,5.39,84400,5.27829
2015-04-07,5.30,5.37,5.30,5.37,33200,5.258705
2015-04-06,5.23,5.37,5.23,5.36,52700,5.248912
2015-04-02,5.25,5.38,5.17,5.34,89000,5.229327
2015-04-01,5.25,5.25,5.10,5.25,94400,5.141192
2015-03-31,5.12,5.31,5.12,5.27,108900,5.160777
2015-03-30,5.19,5.20,5.13,5.17,34200,5.06285
2015-03-27,5.01,5.18,5.01,5.18,68000,5.072642
2015-03-26,5.20,5.22,5.11,5.15,79800,4.925751
2015-03-25,5.13,5.23,5.13,5.22,60600,4.992703
2015-03-24,5.15,5.19,5.11,5.17,17200,4.94488
2015-03-23,5.14,5.19,5.13,5.16,23900,4.935316
2015-03-20,5.10,5.19,5.05,5.11,36200,4.887493
