Date,Open,High,Low,Close,Volume,Adj Close
2015-08-07,0.40,0.40,0.38,0.38,119800,0.38
2015-08-06,0.40,0.41,0.37,0.41,208400,0.41
2015-08-05,0.40,0.41,0.38,0.39,69600,0.39
2015-08-04,0.39,0.40,0.38,0.40,168200,0.40
2015-08-03,0.40,0.40,0.37,0.38,231700,0.38
2015-07-31,0.41,0.41,0.39,0.40,353300,0.40
2015-07-30,0.40,0.43,0.40,0.40,292600,0.40
2015-07-29,0.42,0.43,0.41,0.41,238800,0.41
2015-07-28,0.41,0.43,0.41,0.42,290600,0.42
2015-07-27,0.42,0.43,0.40,0.41,630400,0.41
2015-07-24,0.48,0.48,0.42,0.44,605600,0.44
2015-07-23,0.47,0.49,0.45,0.48,146300,0.48
2015-07-22,0.45,0.49,0.44,0.48,366100,0.48
2015-07-21,0.47,0.49,0.46,0.48,201900,0.48
2015-07-20,0.51,0.53,0.47,0.47,563100,0.47
2015-07-17,0.49,0.53,0.46,0.52,1345300,0.52
2015-07-16,0.47,0.49,0.46,0.48,231300,0.48
2015-07-15,0.46,0.51,0.46,0.47,341200,0.47
2015-07-14,0.46,0.51,0.45,0.48,989100,0.48
2015-07-13,0.44,0.48,0.44,0.45,283800,0.45
2015-07-10,0.44,0.47,0.44,0.44,466100,0.44
2015-07-09,0.45,0.48,0.44,0.45,200400,0.45
2015-07-08,0.42,0.45,0.41,0.44,609000,0.44
2015-07-07,0.43,0.45,0.41,0.42,495700,0.42
2015-07-06,0.44,0.46,0.42,0.43,541000,0.43
2015-07-02,0.45,0.47,0.44,0.44,497400,0.44
2015-07-01,0.44,0.48,0.44,0.45,423100,0.45
2015-06-30,0.44,0.49,0.43,0.45,921700,0.45
2015-06-29,0.45,0.46,0.41,0.43,774700,0.43
2015-06-26,0.48,0.49,0.45,0.45,792900,0.45
2015-06-25,0.49,0.51,0.46,0.48,578100,0.48
2015-06-24,0.50,0.51,0.48,0.48,590900,0.48
2015-06-23,0.50,0.52,0.44,0.49,1965700,0.49
2015-06-22,0.56,0.57,0.52,0.54,598400,0.54
2015-06-19,0.52,0.56,0.52,0.56,927300,0.56
2015-06-18,0.52,0.55,0.52,0.52,916900,0.52
2015-06-17,0.53,0.58,0.52,0.52,1175800,0.52
2015-06-16,0.59,0.59,0.53,0.55,945600,0.55
2015-06-15,0.57,0.60,0.54,0.59,1027300,0.59
2015-06-12,0.62,0.62,0.52,0.56,1426700,0.56
2015-06-11,0.59,0.66,0.55,0.60,3575600,0.60
2015-06-10,0.49,0.60,0.48,0.60,3242200,0.60
2015-06-09,0.50,0.51,0.47,0.48,983400,0.48
2015-06-08,0.50,0.52,0.47,0.50,1033900,0.50
2015-06-05,0.52,0.53,0.49,0.50,1355700,0.50
2015-06-04,0.54,0.54,0.51,0.53,1213500,0.53
2015-06-03,0.57,0.57,0.52,0.54,1930900,0.54
2015-06-02,0.49,0.58,0.46,0.57,4443100,0.57
2015-06-01,0.53,0.56,0.49,0.50,3508800,0.50
2015-05-29,0.64,0.66,0.56,0.57,6569800,0.57
2015-05-28,0.60,0.73,0.57,0.61,28056500,0.61
2015-05-27,0.47,0.54,0.43,0.52,11894200,0.52
2015-05-26,0.41,0.42,0.36,0.39,480900,0.39
2015-05-22,0.40,0.41,0.39,0.39,524800,0.39
2015-05-21,0.38,0.42,0.38,0.39,444300,0.39
2015-05-20,0.35,0.40,0.35,0.38,611800,0.38
2015-05-19,0.37,0.37,0.33,0.35,647000,0.35
2015-05-18,0.39,0.40,0.37,0.37,383100,0.37
2015-05-15,0.39,0.41,0.37,0.38,510000,0.38
2015-05-14,0.42,0.45,0.38,0.39,529300,0.39
2015-05-13,0.40,0.47,0.39,0.42,1622600,0.42
2015-05-12,0.38,0.40,0.38,0.38,213500,0.38
2015-05-11,0.37,0.39,0.37,0.38,267100,0.38
2015-05-08,0.39,0.40,0.37,0.39,82300,0.39
2015-05-07,0.37,0.39,0.37,0.39,111700,0.39
2015-05-06,0.39,0.39,0.37,0.38,147100,0.38
2015-05-05,0.39,0.43,0.37,0.38,390600,0.38
2015-05-04,0.39,0.40,0.37,0.39,322900,0.39
2015-05-01,0.38,0.39,0.38,0.39,286600,0.39
2015-04-30,0.38,0.40,0.38,0.39,231600,0.39
2015-04-29,0.39,0.41,0.38,0.38,479400,0.38
2015-04-28,0.39,0.41,0.38,0.39,424000,0.39
2015-04-27,0.43,0.44,0.38,0.39,952700,0.39
2015-04-24,0.44,0.44,0.43,0.43,381200,0.43
2015-04-23,0.43,0.45,0.42,0.44,699700,0.44
2015-04-22,0.47,0.47,0.43,0.43,769400,0.43
2015-04-21,0.43,0.46,0.41,0.45,1938700,0.45
2015-04-20,0.44,0.44,0.41,0.41,430100,0.41
2015-04-17,0.44,0.44,0.41,0.42,234900,0.42
2015-04-16,0.43,0.44,0.42,0.43,523200,0.43
